,Year,Total Revenue,Var Total Revenue (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Segment 8 Revenue,Var Segment 8 Revenue (%),Segment 8 Transactions,Var Segment 8 Transactions (%),Segment 8 AADT,Var Segment 8 AADT (%),Segment 8 Toll/AADT/mi,Var Segment 8 Toll/AADT/mi (%)
0,2032.0000000000005,710756562.117862,,94900614.724302,,32658.161897,,2.267151,,0.194659,,0.0,,0.0,,28282.265323,,0.0,
1,2033.0000000000007,772042570.086518,0.08622643987421008,96641888.11529,0.018348388954556594,33333.251695,0.02067139602434298,2.412765,0.0642277466300214,0.19549,0.004269003745010602,0.0,,0.0,,28911.964834,0.02226481874094821,0.0,
2,2034.0000000000002,838613052.336413,0.08622643987420897,98415111.067731,0.01834838895454527,34022.296541,0.020671396007349685,2.56773,0.06422714188907763,0.196324,0.004266202874827263,0.0,,0.0,,29555.68449,0.022264818724564872,0.0,
3,2034.9999999999993,910923670.271426,0.08622643987420942,100220869.804608,0.01834838895456059,34725.584907,0.020671396040313317,2.732649,0.0642275472888505,0.197162,0.004268454187974946,0.0,,0.0,,30213.736447,0.022264818709329726,0.0,
4,2035.9999999999998,989469375.35608,0.0862264398742103,102059761.305146,0.018348388954547268,35443.411224,0.0206713960016065,2.90816,0.06422742181670604,0.198004,0.004270599811322606,0.0,,0.0,,30886.439812,0.022264818725086677,0.0,
5,2036.999999999999,1074787796.957592,0.08622643987420875,103932393.502182,0.018348388954556594,36176.076014,0.020671396028153266,3.094943,0.06422720895686629,0.198849,0.004267590553726164,0.0,,0.0,,31574.120795,0.022264818709627487,0.0,
6,2038.0000000000005,1167462922.309491,0.08622643987421053,105839385.483138,0.018348388954555928,36923.886008,0.020671396027324818,3.293723,0.06422735410635982,0.199697,0.00426454244175245,0.0,,0.0,,32277.112871,0.02226481872810626,0.0,
7,2038.999999999999,1268129093.785379,0.08622643987420942,107781367.694693,0.018348388954548378,37687.154278,0.02067139601272272,3.50527,0.0642273196622789,0.20055,0.004271471278987526,0.0,,0.0,,32995.756938,0.02226481872378616,0.0,
8,2039.9999999999998,1377475350.8434,0.08622643987420964,109758982.151209,0.018348388954553707,38466.200369,0.020671396021396227,3.730405,0.06422757733355788,0.201406,0.004268262278733559,0.0,,0.0,,33730.401485,0.02226481872746322,0.0,
9,2041.0000000000002,1483446109.615446,0.0769311470489562,112979717.920339,0.029343710245900212,39700.0291,0.03207565912837973,3.892533,0.043461232761590196,0.205658,0.02111158555355841,0.0,,0.0,,34940.727719,0.03588235481093327,0.0,
10,2041.9999999999995,1597569320.413473,0.07693114704895554,116294962.026657,0.029343710245900434,40973.433701,0.032075659133459,4.061708,0.043461417025880245,0.21,0.021112721119528555,0.0,,0.0,,36194.483307,0.03588235477185653,0.0,
11,2043.0,1720472160.723109,0.07693114704895998,119707487.695425,0.029343710245898658,42287.683594,0.03207565913539545,4.238236,0.04346151914416274,0.214433,0.0211095238095238,0.0,,0.0,,37493.226599,0.035882354804850136,0.0,
12,2044.0000000000002,1852830057.513334,0.0769311470489562,123220149.528624,0.029343710245898436,43644.088918,0.03207565912152388,4.422436,0.04346147784125298,0.21896,0.021111489369639802,0.0,,0.0,,38838.571858,0.03588235478874169,0.0,
13,2044.9999999999993,1995370399.124618,0.07693114704895598,126835885.892848,0.02934371024589666,45044.001838,0.03207565914894461,4.614641,0.04346134121556533,0.223583,0.021113445378151408,0.0,,0.0,,40232.191273,0.035882354791398896,0.0,
14,2045.9999999999993,2148876532.716808,0.07693114704895598,130557721.37727,0.029343710245901766,46488.817887,0.03207565913428967,4.8152,0.04346145236433352,0.228303,0.021110728454309946,0.0,,0.0,,41675.817034,0.03588235478411117,0.0,
15,2046.9999999999995,2314192069.245296,0.07693114704895643,134388769.32373,0.02934371024590332,47979.977363,0.032075659132149825,5.024476,0.04346153846153844,0.233123,0.021112293749972588,0.0,,0.0,,43171.243487,0.03588235479054913,0.0,
16,2048.0,2492225519.623942,0.07693114704895954,138332234.431068,0.029343710245895327,49518.966762,0.03207565913081889,5.242847,0.043461447522090024,0.238045,0.021113317862244463,0.0,,0.0,,44720.329363,0.03588235480097923,0.0,
17,2049.000000000001,2683955287.553292,0.07693114704895576,142391415.435881,0.029343710245898658,51107.32026,0.03207565912338217,5.470708,0.04346131023850197,0.243071,0.02111365498120099,0.0,,0.0,,46325.000088,0.035882354800536254,0.0,
18,2049.999999999999,2890435046.452878,0.07693114704895643,146569707.871935,0.029343710245899768,52746.621244,0.03207565913572319,5.708473,0.04346146787582139,0.248203,0.02111317269439783,0.0,,0.0,,47987.250177,0.035882354794222415,0.0,
