,Period,Hours/Day,Peak,4Periods,Segment,Direction,SegDir,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,Year,MinToll,MinCapture,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalHeavies,TotalVeh,TotalVeh_Real,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeHeavies,InScopeVeh,TollLights,TollHeavies,CaptureRateLights,CaptureRateHeavies,VOT Lights,VOT Heavies,Speed GP real,Speed ML real,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_Heavies,GPVeh_Heavies,MLVeh,GPVeh,GPVehDay,ML PCE,GP PCE,TollLightsPerSeg,TollHeaviesPerSeg,TollBlend,RevenuePerHour,RevenuePerDay,TransactionsDay_Lights,TransactionsDay_Heavies,TransactionsDay,TotalVeh_hours
0,Night,8,OP,NT,1,NB,1NB,3.9,70,8000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.3103448275862069,0.3103448275862069,3.402,0.708,1542.3,257.8,1800.1,1800.1,2315.7,1.2,0.28946249999999996,2315.7,0.0,1.0,154.23000000000002,1138.2173999999998,211.396,1476.0819999999999,5.399827440285065,16.1987367396072,0.0011985043682248974,0.0006678241617212254,322908.93936620833,968682.2324423863,69.95905369727495,69.999999533495,0.0,3.342857165135137,3.3448136821941428,-0.00195651705900568,0.0013695775359000857,155.5941585258896,1232.4758414741104,0.14117535649122015,257.6588246435088,155.73533388238084,1490.1346661176192,11921.077328940954,156.01768459536328,2005.452315404637,21.05932701711175,63.17507328446808,5.409616740067216,3285.6270298413297,26285.016238730637,1244.753268207117,1.1294028519297612,1245.8826710590467,14400.8
1,AM-Early,1,OP,AM,1,NB,1NB,3.9,70,6000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.375,0.375,3.246,0.715,5379.0,420.2,5799.2,5799.2,6639.6,1.2,1.1066,6639.6,0.0,1.0,537.9,3969.702,344.56399999999996,4755.343999999999,2.8424948462634463,8.503259697557858,0.12974545394735595,0.12986354853427776,60.657483160831816,181.45550293426703,36.17719250239408,69.88078262636287,4.013415287583069,3.348560093425776,6.468163608453439,-3.1196035150276633,2.1877145259174076,1052.950788025727,3788.149211974273,44.74630373716488,375.45369626283514,1097.697091762892,4163.602908237108,4163.602908237108,1187.1896992372217,4914.510300762779,11.08572990042744,33.16271282047565,3.0732491274958873,13156.63685510881,13156.63685510881,1052.950788025727,44.74630373716488,1097.697091762892,5799.2
2,AM-Peak,2,Peak,AM,1,NB,1NB,3.9,70,5600.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.391304347826087,0.391304347826087,3.246,0.715,5430.566637246249,429.81112091791704,5860.377758164166,5928.400000000001,6798.0,1.2,1.2139285714285715,6720.0,78.0,0.9885260370697264,549.36,4002.589442541924,352.445119152692,4805.509761694616,4.900318716693098,14.629034465728552,0.13333680567962358,0.13354356932444794,60.07479751075993,179.34267832677617,26.812703808933872,69.85597977086572,7.077829047525848,3.349749023169417,8.727206389459024,-5.377457366289606,3.7690444726213164,1083.0524907155254,3798.154146530724,47.06677920263083,382.7443417152862,1130.1192699181563,4180.89848824601,8361.79697649202,1224.2528283234178,4946.3871716765825,19.111242995103083,57.05323441634135,5.305496584439898,23383.79131358591,46767.58262717182,2166.104981431051,94.13355840526167,2260.2385398363126,11720.755516328332
3,AM-Shoulder,1,OP,AM,1,NB,1NB,3.9,70,8000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.3103448275862069,0.3103448275862069,3.246,0.715,5001.5,711.0,5712.5,5712.5,7134.5,1.2,0.8918125,7134.5,0.0,1.0,500.15000000000003,3691.107,583.02,4684.25,1.3859723110527513,4.154031121279535,0.12092507001599775,0.12096097524090753,62.0482083097199,185.97066209961366,55.16817394493323,69.90038342019918,2.9197760523151484,3.3476211223811516,4.2415759534395665,-0.8939548310584149,0.6291031674076961,946.4973724115395,3554.8526275884606,70.52266778495391,640.4773322150461,1017.0200401964934,4195.329959803506,4195.329959803506,1158.0653757664013,5476.284624233599,5.40529201310573,16.200721372990184,1.5779163083855103,6258.612778785643,6258.612778785643,946.4973724115395,70.52266778495391,1017.0200401964934,5712.5
4,MD,5,OP,MD,1,NB,1NB,3.9,70,8000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.3103448275862069,0.3103448275862069,3.249,0.708,6404.2,565.4,6969.599999999999,6969.599999999999,8100.4,1.2,1.01255,8100.4,0.0,1.0,640.4200000000001,4726.299599999999,463.62799999999993,5715.071999999999,2.047915260988988,6.129409237712888,0.11921158000848428,0.11929814064082903,62.58900341017274,187.32885241369328,44.26711759970575,69.72335813931278,3.2177841334789408,3.3561206207602554,5.286090730279566,-1.929970109519311,1.360263511195696,1203.849642909467,4559.930357090532,55.309958349026275,510.0900416509737,1259.1596012584935,5070.020398741506,25350.101993707533,1369.779517956546,6090.200482043453,7.986869517857053,23.904696027080263,2.22719933397606,10937.157758640664,54685.78879320332,6019.248214547335,276.54979174513136,6295.798006292466,34848.0
5,PM-Shoulder,1,OP,PM,1,NB,1NB,3.9,70,9600.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.2727272727272727,0.2727272727272727,3.399,0.592,8984.2,529.2,9513.400000000001,9513.400000000001,10571.800000000001,1.2,1.1012291666666667,10571.800000000001,0.0,1.0,898.4200000000001,6630.3396,433.944,7800.988,2.723029070913328,8.142356557261992,0.11666561866704549,0.11674014800833031,64.68774598559514,193.42822973375212,35.43462233780459,68.47335269176257,2.9037699448197727,3.417387798336191,6.6037108500617325,-3.1863230517255414,2.2825975950432125,1671.952671406611,6413.82732859339,50.65868678732689,478.5413132126732,1722.6113581939378,6892.368641806063,6892.368641806063,1823.9287317685917,7849.45126823141,10.619813376561979,31.75519057332177,2.882401068794919,19364.501597908245,19364.501597908245,1671.952671406611,50.65868678732689,1722.6113581939378,9513.400000000001
6,PM-Peak,3,Peak,PM,1,NB,1NB,3.9,70,8000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.3103448275862069,0.3103448275862069,3.399,0.592,7075.0,431.3,7506.3,7506.3,8368.9,1.2,1.0461125,8368.9,0.0,1.0,707.5,5221.349999999999,353.666,6155.166,2.7036702848940024,8.091350892458856,0.12835226663885752,0.12840860398423504,62.378084509065175,186.68066612349003,41.85464319442218,69.4873602707708,4.8241738647176575,3.367518914061122,5.590777561118579,-2.2232586470574573,1.5735442927830057,1377.6721074147986,4989.827892585201,45.41375733668847,385.8862426633115,1423.085864751487,5375.714135248512,16127.142405745537,1513.913379424864,6147.486620575135,10.544314111086608,31.556268480589537,2.8756028616835696,15959.696161893171,47879.08848567952,4133.016322244395,136.24127201006542,4269.257594254461,22518.9
7,PM-Late,3,OP,NT,1,NB,1NB,3.9,70,8000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.3103448275862069,0.3103448275862069,3.402,0.708,4584.2,332.8,4917.0,4917.0,5582.6,1.2,0.697825,5582.6,0.0,1.0,458.42,3383.1395999999995,272.896,4031.9399999999996,0.9112623156640363,2.7316810445890454,0.12175647956681927,0.12178148573494887,72.31652042901709,216.78243977710306,65.94872002889053,69.9646868677506,2.1589289675083605,3.344544376255324,3.5482113966349957,-0.20366702037967155,0.14374797764449695,870.3391675790971,3255.4408324209026,33.23368033112461,299.5663196688754,903.5728479102216,3555.007152089778,10665.021456269335,970.0402085724709,4154.1397914275285,3.553923031089741,10.653556073897276,0.9782178624645054,3447.17528946844,10341.52586840532,2611.017502737291,99.70104099337382,2710.718543730665,14751.0
8,Night,8,OP,NT,1,SB,1SB,3.9,70,9600.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.2727272727272727,0.2727272727272727,3.402,0.708,1981.7,338.0,2319.7,2319.7,2995.7,1.2,0.31205208333333334,2995.7,0.0,1.0,198.17000000000002,1462.4946,277.15999999999997,1902.1539999999998,0.5588406234984324,3.3124878520305003,0.07446981358039878,0.008164094804078282,27529.522415685708,163179.27641567748,69.95027842141612,69.99996142030078,0.0,3.3428589852356314,3.345233289712798,-0.002374304477166689,0.0016633027989590128,307.0817002243399,1476.44829977566,2.262760515898336,335.7372394841017,309.3444607402382,1812.1855392597618,14497.484314078094,313.8699817720349,2483.660018227965,2.1794784316438864,12.918702622918952,0.5789827143201827,698.5098726032556,5588.078980826045,2456.653601794719,18.10208412718669,2474.7556859219058,18557.6
9,AM-Early,1,OP,AM,1,SB,1SB,3.9,70,10400.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.2571428571428571,0.2571428571428571,3.246,0.715,8675.3,677.7,9353.0,9353.0,10708.4,1.2,1.029653846153846,10708.4,0.0,1.0,867.53,6402.371399999999,555.714,7669.459999999999,2.274389354411606,6.795350770387225,0.10325959760352071,0.10340786747558305,67.12618392298012,200.55755394273044,41.15922371299983,69.01022370302789,2.8050856537038547,3.3908019340289868,5.6852384202302835,-2.2944364862012967,1.6396668941611987,1528.6362944722896,6279.13370552771,57.465199666326164,620.2348003336739,1586.1014941386159,6899.368505861384,6899.368505861384,1701.0318934712682,8139.838106528732,8.870118482205264,26.50186800451018,2.438185903001258,15082.120184578223,15082.120184578223,1528.6362944722896,57.465199666326164,1586.1014941386159,9353.0
10,AM-Peak,2,Peak,AM,1,SB,1SB,3.9,70,10400.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.2571428571428571,0.2571428571428571,3.246,0.715,7969.2,632.4,8601.6,8601.6,9866.4,1.2,0.9486923076923076,9866.4,0.0,1.0,796.9200000000001,5881.2696,518.568,7053.312,2.23318137898915,6.674814607357438,0.10088083722409856,0.10101273052138743,67.75659285200632,202.51946392194043,48.80741089939008,69.43757520711642,4.115052873532608,3.3699333437556174,4.79435388372392,-1.4244205399683025,1.016047718606744,1390.2274011886393,5782.05259881136,52.381969641014834,580.0180303589851,1442.6093708296542,6362.0706291703455,12724.141258340691,1547.3733101116838,7522.106689888316,8.709407378057685,26.031776968694007,2.394459616625375,13471.652535966095,26943.30507193219,2780.4548023772786,104.76393928202967,2885.2187416593083,17203.2
11,AM-Shoulder,1,OP,AM,1,SB,1SB,3.9,70,10400.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.2571428571428571,0.2571428571428571,3.246,0.715,7015.5,997.3,8012.8,8012.8,10007.4,1.2,0.9622499999999999,10007.4,0.0,1.0,701.5500000000001,5177.438999999999,817.786,6570.496,1.8073159624443276,5.4119206728587095,0.10391784892016612,0.10398444244424832,66.32332535002512,198.60200596529154,47.776366228371,69.54921256118422,2.798272604382115,3.364524074145976,4.897819120053629,-1.5332950459076535,1.0884733840375407,1239.578323795376,5074.371676204623,85.03702124871205,912.2629787512878,1324.6153450440881,5986.634654955911,5986.634654955911,1494.6893875415121,7811.160612458487,7.048532253532877,21.106490624148968,2.038722648543463,10532.040887743427,10532.040887743427,1239.578323795376,85.03702124871205,1324.6153450440881,8012.8
12,MD,5,OP,MD,1,SB,1SB,3.9,70,8000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.3103448275862069,0.3103448275862069,3.249,0.708,7185.8,652.1,7837.900000000001,7837.900000000001,9142.1,1.2,1.1427625000000001,9142.1,0.0,1.0,718.58,5303.1204,534.722,6427.078,3.333821085211958,9.958421021540241,0.11777327602514581,0.11794026654701087,63.03528544172047,188.29202155631236,31.665373258483026,69.46114054011865,3.6656293073997825,3.3687900627668026,7.389775515667176,-4.020985452900373,2.832842860967023,1343.1458626637818,5124.074137336218,63.065255208550745,589.0347447914493,1406.2111178723326,5713.108882127667,28565.544410638337,1532.341628289434,6891.178371710566,13.001902232326636,38.83784198400694,3.630918782939748,19912.769606579273,99563.84803289636,6715.729313318909,315.3262760427537,7031.055589361662,39189.5
