,,,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,RevenueDay,RevenueDay,RevenueDay,RevenueDay,RevenueDay,RevenueDay,RevenueDay,RevenueDay
Period,,,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late
Year,Direction,Segment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,NB,1,1540.0530250536208,5402.177118445415,7400.873159689261,5453.716147584016,5176.9142048580725,4799.762716633124,4261.431562215009,3895.2542794870174,41.8469749463795,770.8228815545865,2226.707395066014,1726.9638524159839,1558.6457951419275,1989.2272833668758,2161.2184377849903,641.2457205129826,16.85180158112948,822.5739792294042,6244.709041832272,2478.293728718956,2284.9341392580604,2810.136360374306,2989.790316023732,346.2900317668089,0.5000019742543563,1.4132164621909966,3.5999812664542095,1.799995030454696,1.799999953340641,1.7999852123899898,1.7999838019942045,0.7171669683095013,0.034660729227100104,0.13929290807123576,0.25412733773621166,0.2684765209354254,0.2641664241737785,0.3299628872965001,0.37730554427795365,0.16132501822699608,101.11080948677687,822.5739792294042,6244.709041832272,7434.881186156868,9139.736557032242,5620.272720748612,5979.580632047464,1731.4501588340445
2032,NB,10,1208.4230904700073,4907.254915795083,6671.782987932678,5240.233927525115,4482.819941640446,5008.977737953026,5219.723765951321,3723.589006707611,311.1469095299928,614.0450842049171,857.8170120673213,616.7660724748853,545.7800583595538,663.1222620469734,676.1762340486792,606.0609932923888,1505.1258774499775,2741.74570495721,7667.145070278924,3254.1782757976566,2351.8743721543183,3127.227560059599,4541.356855655649,2490.499677632874,0.8550825832635318,0.921634676126594,1.7999943085200647,1.0039908019787083,0.8098734720817802,0.930685517858228,1.3568594852422269,0.8419704047041682,0.26358192599400515,0.12544316989864548,0.12705781770269248,0.12060828613467897,0.1267262956031247,0.13338073835519657,0.13022517816311407,0.16195603685246196,9030.755264699865,2741.74570495721,7667.145070278924,9762.53482739297,9407.497488617273,6254.455120119198,9082.713711311299,12452.49838816437
2032,NB,2,1323.7566336284399,4519.224725830449,6763.627595329389,5549.509088094244,5631.667375592979,6310.0532485246,5729.877533396388,4086.2444651453884,345.44336637156,630.6752741695514,914.7724046706111,725.3909119057556,750.1326244070208,2328.8367514754,2325.7024666036127,637.2555348546119,358.26733294263715,379.94623707334483,1220.0180257022823,595.9603987453497,661.0480211511383,3173.207933284383,3109.403204770718,326.3994981971772,1.312914033707025,0.8184354841479012,1.7999999161294777,1.0815617998394202,1.1549409291543054,1.7999998685914185,1.7999993558419016,0.7053215471928846,0.24019457193939212,0.1339360486280312,0.12905302498420576,0.1259794594882002,0.129179110974357,0.294384695811632,0.31407411876510183,0.1479616811774944,2149.603997655823,379.94623707334483,1220.0180257022823,1787.8811962360492,2644.192084604553,6346.415866568766,6218.806409541436,1631.997490985886
2032,NB,3,1080.449190015792,4534.5302439514535,3743.3912490262087,4025.1569025467106,4674.358353230487,4390.265543293816,3767.9836961762376,3459.346447155755,300.67080998420806,768.9497560485455,1748.8487509737909,926.28309745329,1000.2716467695127,1575.6944567061846,1557.9863038237622,693.5035528442451,247.14447610209382,747.8964311741779,1737.2032929217783,959.700568798525,1032.3353689855371,1568.6078032169116,1535.2515538822886,670.0741728181582,1.331455032590603,1.799999039344441,1.799999951541405,1.7999898165693793,1.7999997976139064,1.7999591035543434,1.7999999374558506,1.7999901577169233,0.27693673713879585,0.1617907388504199,0.34971346301086087,0.21097142200332608,0.20070401641849073,0.2945881798833998,0.32580905974086216,0.19025356753624667,1482.866856612563,747.8964311741779,1737.2032929217783,2879.101706395575,4129.3414759421485,3137.2156064338233,3070.503107764577,3350.370864090791
2032,NB,4,1376.932633132358,6077.8932291398505,6788.580279791576,6134.047718009632,5767.184249943363,6389.310826907187,6375.399597293483,3201.024528070945,335.68736686764214,715.6067708601511,1632.8197202084243,741.752281990368,697.6157500566367,1756.4791454264728,1837.2312218943339,454.5754719290551,428.53269724188226,1376.8576421424352,5066.935548111169,1915.4938472161134,1583.6748063914813,5634.217210677289,5757.026359269508,397.9510912220502,0.6435215666358374,1.1229034407898981,1.7999999781796008,1.4336121104666815,1.2187912216133259,1.7999999962375308,1.7999999966007525,0.5086204426415866,0.2507371302302997,0.1164786734407522,0.21109464213212517,0.12022089979669688,0.12221330031681964,0.23943782478214284,0.24688348955502742,0.14242555038861868,2571.1961834512936,1376.8576421424352,5066.935548111169,5746.48154164834,6334.699225565925,11268.434421354577,11514.052718539016,1989.755456110251
2032,NB,5,1448.3105830494783,6536.723150113221,7055.549181941856,6459.1366170242345,6069.152687995355,6411.587298986753,6194.675541780039,4012.774556104295,343.2194169505217,729.9768498867791,2234.579214031013,733.9633829757653,705.2473120046445,811.7127010132485,827.1244582199624,614.4954428420285,668.149792335132,1870.5423502853546,8724.513810092642,2380.469810666193,2157.9169649912146,2603.7017003314895,3234.6361405243697,1105.3666662216417,0.7898692644267786,1.2051103854320426,1.7999940362816458,1.4236339013159762,1.3107280237739867,1.4443707743018557,1.799987828543415,0.8345918397533524,0.24316203873266212,0.1107951360468152,0.2621429315939971,0.11413399898261718,0.11833048689270054,0.12552994867287012,0.13085470626140117,0.15169656512478197,4008.898754010792,1870.5423502853546,8724.513810092642,7141.40943199858,8631.667859964859,5207.403400662979,6469.272281048739,5526.833331108209
2032,NB,6,1477.584565588689,6602.827419626704,6982.957861072578,6041.881358170893,5765.338828348913,6133.71894078787,5735.389531985916,4303.199245050564,351.90543441131103,737.7725803732961,2123.5741354329657,904.7186418291063,826.1611716510864,754.8810592121299,1129.110468014085,655.0007549494358,1277.4539146849097,3451.5944828873794,14888.994580118773,6660.826226769443,6236.329024547735,3453.2857227525037,8016.075362470603,2356.375441956562,0.8339896865228144,1.2264604884307908,1.7999999709864443,1.7999997074428387,1.799996581987402,1.1445306364915961,1.799999976171729,0.9321218998939402,0.2420175140813488,0.11092959586142594,0.25405869318173135,0.14557670342705176,0.14235777352316853,0.12269660823613124,0.18280389409670025,0.15080534718989677,7664.723488109458,3451.5944828873794,14888.994580118773,19982.478680308326,24945.31609819094,6906.571445505007,16032.150724941206,11781.877209782811
2032,NB,7,1430.5662829040527,6101.7884326936455,6323.231987976081,5360.9292663748165,5341.763624645778,5794.682179207628,5972.290894940022,4200.252947893702,337.56371709594725,738.2115673063548,2235.188012023919,703.3119411084346,686.836375354223,759.4178207923725,871.4091050599781,676.827052106297,1334.8062126253853,3245.5365137852336,12923.518609426832,4254.283435157224,3566.7402963716527,3159.2254538475418,4956.9089073881305,2371.0862266892536,1.112895566102132,1.4172688541846723,1.7999961118686687,1.7999735234915548,1.5259314558331767,1.2822828139844034,1.7999967279088285,1.1256001330753873,0.24220239940447275,0.11966672254529424,0.28672677788069006,0.13119300478137566,0.13032982603355286,0.13004182119063204,0.14180644750214494,0.15898695848016708,8008.837275752312,3245.5365137852336,12923.518609426832,12762.850305471671,14266.96118548661,6318.4509076950835,9913.817814776261,11855.431133446269
