,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT Medium A,AADT Medium B,AADT Heavy A,AADT Heavy B,GrowthFactor,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,TollHeavyA,TollHeavyB,CaptureRateLights,CaptureRateMediumA,CaptureRateMediumB,CaptureRateHeavyA,VOT Lights,VOT MediumA,VOT MediumB,VOT HeavyA,Speed GP Real,Speed ML Real,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh_MediumB,GPVeh_MediumB,MLVeh_HeavyA,GPVeh_HeavyA,MLVeh,GPVeh,GPVehDay,ML PCE,GP PCE,TollLightsPerSeg,TollMediumAPerSeg,TollMediumBPerSeg,TollHeavyAPerSeg,TollBlend,RevenuePerHour,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerHourMediumB,RevenuePerHourHeavyA,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,RevenuePerDayMediumB,RevenuePerDayHeavyA,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay_MediumB,TransactionsDay_HeavyA,TransactionsDay,TotalVeh_hours,SegDir,RevenuePerDay
10,2032,1SB,1,SB,AM-Peak,1,Peak,AM,0.7,55,8000,1,6,70,3600,1,5,0.5,0,4347.7,169.9,75.9,383.5,20.6,1.287065509,3.6,1.8,0.387931034,0.387931034,3.246,0.715,4565.085,178.395,79.695,402.675,21.63,5247.48,6297.4,1.1,0.787175,6297.4,0,1,0,3652.068,142.716,63.756,322.14,17.304,4197.984,1.799918582,5.399755745,5.399755745,5.399755745,5.399755745,0.141959157,0.141867766,0.14186105,0.141883028,55.2845758,165.8537274,165.8537274,165.8537274,49.46203777,69.97371892,0.853536441,0.600225351,0.849136063,-0.248910712,0.059849789,518.444496,4046.640504,20.24680013,158.1481999,9.044493099,70.6505069,45.70619848,356.9688015,593.4419877,4654.038012,4654.038012,743.4369711,5868.833029,1.259943007,3.779829021,3.779829021,3.779829021,2.254855649,936.6882129,653.2105173,76.5294427,34.1866375,172.7616155,936.6882129,653.2105173,76.5294427,34.1866375,172.7616155,518.444496,20.24680013,9.044493099,45.70619848,593.4419877,5247.48,1SB,936.6882129
11,2032,1SB,1,SB,AM-Shoulder,3,OP,AM,0.7,55,8000,1,6,70,3600,1,5,0.5,0,4320.7,196.9,69.5,453,19.3,1.287065509,3.6,1.8,0.387931034,0.387931034,3.246,0.715,4320.7,196.9,69.5,453,19.3,5059.4,6536.8,1.1,0.8171,6536.8,0,1,0,3456.56,157.52,55.6,362.4,15.44,4047.52,1.38561169,4.15683507,4.15683507,4.15683507,4.15683507,0.148531238,0.148464871,0.148458074,0.148478546,54.15260445,162.4578133,162.4578133,162.4578133,48.23124394,69.96872824,0.567907247,0.600268163,0.870804826,-0.270536663,0.075017924,513.4071376,3807.292862,23.3861865,173.5138135,8.254268938,61.24573106,53.80862521,399.1913748,598.8562183,4460.543782,13381.63135,769.7543796,5767.04562,0.969928183,2.909784549,2.909784549,2.909784549,1.781029626,746.6064667,497.9680521,68.04876413,24.01814422,156.5715062,2239.8194,1493.904156,204.1462924,72.05443265,469.7145187,1540.221413,70.1585595,24.76280681,161.4258756,1796.568655,15178.2,1SB,2239.8194
12,2032,1SB,1,SB,MD,4,OP,MD,0.7,55,8000,1,6,70,3600,1,5,0.5,0,5243.5,205.9,70.8,620.4,18,1.287065509,3.6,1.8,0.387931034,0.387931034,3.249,0.708,5243.5,205.9,70.8,620.4,18,6158.6,7988.8,1.1,0.9986,7988.8,0,1,0,4194.8,164.72,56.64,496.32,14.4,4926.88,1.799999765,5.399999296,5.399999296,5.399999296,5.399999296,0.176831427,0.176743173,0.176735437,0.176766902,49.69720258,149.0916077,149.0916077,149.0916077,39.29096441,69.79444234,0.61213123,0.601767112,1.068948055,-0.467180943,0.213718184,741.7724695,4501.72753,29.1131354,176.7868646,10.01029517,60.78970483,87.73294888,532.6670511,868.628849,5289.971151,21159.8846,1122.341608,6866.458392,1.259999836,3.779999507,3.779999507,3.779999507,2.32575125,1414.150242,934.6331898,110.0476375,37.83891082,331.6305035,5656.600966,3738.532759,440.1905499,151.3556433,1326.522014,2967.089878,116.4525416,40.04118069,350.9317955,3474.515396,24634.4,1SB,5656.600966
13,2032,1SB,1,SB,PM-Shoulder,2,OP,PM,0.7,55,8000,1,6,70,3600,1,5,0.5,0,5292.4,131.3,36,458.2,7.7,1.287065509,3.6,1.8,0.387931034,0.387931034,3.399,0.592,5292.4,131.3,36,458.2,7.7,5925.6,7192,1.1,0.899,7192,0,1,0,4233.92,105.04,28.8,366.56,6.16,4740.48,1.655787633,4.9673629,4.9673629,4.9673629,4.9673629,0.154594764,0.154507393,0.154502282,0.154524885,54.66666369,163.9999911,163.9999911,163.9999911,44.36347317,69.93667085,0.606966771,0.600543313,0.946724794,-0.346181481,0.128161901,654.5418643,4637.858136,16.22945658,115.0705434,4.449665711,31.55033429,56.64264195,401.557358,731.8636286,5193.736371,10387.47274,886.5071571,6305.492843,1.159051343,3.47715403,3.47715403,3.47715403,2.005657243,1027.507311,758.6476272,56.43232035,15.47217306,196.9551908,2055.014623,1517.295254,112.8646407,30.94434612,393.9103815,1309.083729,32.45891316,8.899331422,113.2852839,1463.727257,11851.2,1SB,2055.014623
14,2032,1SB,1,SB,PM-Peak,2,Peak,PM,0.7,55,8000,1,6,70,3600,1,5,0.5,0,4618,108.1,18,365.5,3.9,1.287065509,3.6,1.8,0.387931034,0.387931034,3.399,0.592,4848.9,113.505,18.9,383.775,4.095,5369.175,6104.5,1.1,0.7630625,6104.5,0,1,0,3879.12,90.804,15.12,307.02,3.276,4295.34,1.627881878,4.883645633,4.883645633,4.883645633,4.883645633,0.153058494,0.152979692,0.15297473,0.152993869,54.87552129,164.6265639,164.6265639,164.6265639,50.61642888,69.96588801,0.78326899,0.600292531,0.829770115,-0.229477584,0.046293626,593.7322646,4255.167735,13.89116798,99.61383202,2.312977924,16.58702208,46.97217765,336.8028224,656.9085881,4712.266412,9424.532824,783.2612352,5626.463765,1.139517314,3.418551943,3.418551943,3.418551943,1.940995739,892.5397392,676.5681956,47.48767928,7.907035175,160.5768292,1785.079478,1353.136391,94.97535856,15.81407035,321.1536583,1187.464529,27.78233596,4.625955847,93.94435529,1313.817176,10738.35,1SB,1785.079478
15,2032,1SB,1,SB,PM-Late,5,OP,PM,0.7,55,8000,1,6,70,3600,1,5,0.5,0,5256.4,78.5,16.7,414.4,29.6,1.287065509,3.6,1.8,0.387931034,0.387931034,3.399,0.592,5256.4,78.5,16.7,414.4,29.6,5795.6,6874,1.1,0.85925,6874,0,1,0,4205.12,62.8,13.36,331.52,23.68,4636.48,1.469050093,4.407150278,4.407150278,4.407150278,4.407150278,0.158991783,0.158911535,0.158908572,0.158927647,54.07556935,162.226708,162.226708,162.226708,46.61198071,69.94464312,0.573073398,0.600474863,0.901055895,-0.300581032,0.096193672,668.5795256,4587.820474,9.979644426,68.52035557,2.123018525,14.57698147,52.68769357,361.7123064,733.3698822,5062.230118,25311.15059,862.9505952,6011.049405,1.028335065,3.085005195,3.085005195,3.085005195,1.728619736,887.4023564,687.5237699,30.7872549,6.549523179,162.5418084,4437.011782,3437.61885,153.9362745,32.7476159,812.7090419,3342.897628,49.89822213,10.61509263,263.4384679,3666.849411,28978,1SB,4437.011782
16,2032,2NB,2,NB,Night,6,OP,NT,0.7,55,8000,1,6,70,3600,1,5,0.5,0,1198,31.1,4.1,147.4,16.2,1.352143242,3.6,1.8,0.387931034,0.387931034,3.402,0.708,1198,31.1,4.1,147.4,16.2,1396.8,1794.4,1.1,0.2243,1794.4,0,1,0,958.4,24.88,3.28,117.92,12.96,1117.44,0.500002247,1.50000674,1.50000674,1.50000674,1.50000674,0.034321238,0.034305779,0.034304646,0.034310662,108.9902247,326.9706741,326.9706741,326.9706741,54.9940469,69.99999997,0,0.6,0.763719027,-0.163719027,5.79E-05,32.89347478,1165.106525,0.853527788,30.24647221,0.112519238,3.987480762,4.045913229,143.3540868,37.90543504,1358.894565,8153.36739,47.92935555,1746.470644,0.350001573,1.050004718,1.050004718,1.050004718,0.632225575,16.77534982,11.51276791,0.896208204,0.118145731,4.248227979,100.6520989,69.07660744,5.377249226,0.708874385,25.48936788,197.3608487,5.121166727,0.675115428,24.27547937,227.4326102,8380.8,2NB,100.6520989
17,2032,2NB,2,NB,AM-Early,1,OP,AM,0.7,55,8000,1,6,70,3600,1,5,0.5,0,5308.5,51.4,41.9,185.2,14.9,1.352143242,3.6,1.8,0.387931034,0.387931034,3.246,0.715,5308.5,51.4,41.9,185.2,14.9,5601.9,6188.7,1.1,0.7735875,6188.7,0,1,0,4246.8,41.12,33.52,148.16,11.92,4481.52,1.236849293,3.710547878,3.710547878,3.710547878,3.710547878,0.151505385,0.151422975,0.151422518,0.151429397,53.66212352,160.9863706,160.9863706,160.9863706,50.03127155,69.97350798,0.53050849,0.60022716,0.839474966,-0.239247806,0.053087022,643.4130681,4665.086932,6.226512713,45.17348729,5.075682817,36.82431718,22.4357794,162.7642206,677.151043,4924.748957,4924.748957,744.6269929,5444.073007,0.865794505,2.597383515,2.597383515,2.597383515,1.360097395,644.6939587,557.0634987,16.17264147,13.18349488,58.27432356,644.6939587,557.0634987,16.17264147,13.18349488,58.27432356,643.4130681,6.226512713,5.075682817,22.4357794,677.151043,5601.9,2NB,644.6939587
18,2032,2NB,2,NB,AM-Peak,1,Peak,AM,0.7,55,8000,1,6,70,3600,1,5,0.5,0,7962.8,114.9,77.1,190.7,6.8,1.352143242,3.6,1.8,0.387931034,0.387931034,3.246,0.715,8360.94,120.645,80.955,200.235,7.14,8769.915,9131.3,1.1,1.1414125,9131.3,0,1,0,6688.752,96.516,64.764,160.188,5.712,7015.932,3.599995913,10.79998774,10.79998774,10.79998774,10.79998774,0.162578378,0.162282546,0.162278142,0.162291379,51.95613581,155.8684074,155.8684074,155.8684074,28.66931481,69.65685626,1.120655823,0.602955721,1.464980948,-0.862025227,0.490941209,1087.446453,7273.493547,15.66286218,104.9821378,10.50978156,70.44521844,25.99713136,174.2378686,1139.616228,7630.298772,7630.298772,1243.955778,8343.909222,2.519997139,7.559991417,7.559991417,7.559991417,3.929599814,3134.765001,2740.361949,118.4111037,79.4538584,196.5380899,3134.765001,2740.361949,118.4111037,79.4538584,196.5380899,1087.446453,15.66286218,10.50978156,25.99713136,1139.616228,8769.915,2NB,3134.765001
19,2032,2NB,2,NB,AM-Shoulder,3,OP,AM,0.7,55,8000,1,6,70,3600,1,5,0.5,0,6379.4,183.9,47.3,210.9,4.1,1.352143242,3.6,1.8,0.387931034,0.387931034,3.246,0.715,6379.4,183.9,47.3,210.9,4.1,6825.6,7718,1.1,0.96475,7718,0,1,0,5103.52,147.12,37.84,168.72,3.28,5460.48,1.799998462,5.399995385,5.399995385,5.399995385,5.399995385,0.163478833,0.163360159,0.163351812,0.16336181,51.79339449,155.3801835,155.3801835,155.3801835,40.79264209,69.87994327,0.62595832,0.601030826,1.029597443,-0.428566618,0.186172756,834.3174924,5545.082508,24.03354665,159.8664533,6.181232568,41.11876743,27.5624045,183.3375955,892.0946761,5933.505324,17800.51597,1007.649044,6710.350956,1.259998923,3.77999677,3.77999677,3.77999677,2.033154974,1269.63671,1051.239142,90.84672872,23.36503914,104.1858,3808.91013,3153.717426,272.5401862,70.09511742,312.5573999,2502.952477,72.10063996,18.5436977,82.6872135,2676.284028,20476.8,2NB,3808.91013
