,Year,Total Revenue,Var Total Revenue (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%)
0,2032.0000000000005,1803302365.803833,,252332498.417214,,71789.077737,,2.903815,,0.367811,
1,2033.0000000000007,1906364281.254182,0.057151766339755605,256773664.135483,0.017600450778741283,72880.145336,0.015198239528819935,3.023817,0.041325635414101836,0.368074,0.0007150411488510144
2,2034.0000000000002,2015316367.214877,0.05715176633975538,261292996.372377,0.017600450778742838,73987.795243,0.015198239546496461,3.148777,0.0413252521564631,0.368337,0.0007145302303341872
3,2034.9999999999993,2130495257.334626,0.05715176633975516,265891870.893859,0.017600450778741727,75112.279477,0.015198239524597756,3.278902,0.04132556862553294,0.3686,0.0007140200414292863
4,2035.9999999999998,2252256824.469772,0.057151766339755605,270571687.679994,0.01760045077874195,76253.853893,0.015198239541506231,3.414404,0.04132541930194922,0.368863,0.0007135105805751163
5,2036.999999999999,2380977280.238988,0.05715176633975538,275333871.351127,0.017600450778742616,77412.778229,0.015198239522768331,3.555506,0.04132551391106598,0.369127,0.0007157128798496171
6,2038.0000000000005,2517054337.419472,0.05715176633975516,280179871.601564,0.017600450778745502,78589.316176,0.015198239540242131,3.702439,0.04132548222390864,0.36939,0.0007124919065795154
7,2038.999999999999,2660908438.776138,0.05715176633975538,285111163.640881,0.01760045077873995,79783.735428,0.01519823953328614,3.855444,0.04132546140530602,0.369654,0.0007146917891658333
8,2039.9999999999998,2812984056.120556,0.05715176633975583,290129248.643012,0.017600450778741283,80996.30775,0.01519823953460131,4.014772,0.04132546082889532,0.369918,0.0007141813696052157
9,2041.0000000000002,2950494881.863492,0.048884324617388675,294743660.22838,0.015904675612508967,82132.926044,0.014032964286572636,4.152755,0.034368825925855884,0.370187,0.0007271881876522723
10,2041.9999999999995,3094727831.45044,0.0488843246173849,299431462.533156,0.015904675612508967,83285.494463,0.014032964299634632,4.295482,0.03436923199177411,0.370456,0.0007266597692519028
11,2043.0,3246011511.36553,0.04888432461738845,304193822.812926,0.01590467561251252,84454.236833,0.014032964293910988,4.443113,0.03436890202310261,0.370725,0.0007261321182543412
12,2044.0000000000002,3404690591.798892,0.048884324617385344,309031926.888094,0.01590467561250697,85639.380123,0.014032964294538486,4.595819,0.03436914613695374,0.370994,0.0007256052329893681
13,2044.9999999999993,3571126591.910158,0.048884324617388675,313946979.439158,0.015904675612509855,86841.154486,0.014032964289021566,4.753773,0.03436906457804367,0.371263,0.0007250791117916489
14,2045.9999999999993,3745698703.478884,0.0488843246173889,318940204.306664,0.015904675612506303,88059.793306,0.014032964292252315,4.917156,0.03436912111705803,0.371533,0.0007272472613752967
15,2046.9999999999995,3928804654.818663,0.04888432461738468,324012844.79595,0.015904675612512742,89295.533242,0.014032964303083428,5.086154,0.03436905398161039,0.371802,0.0007240272061970199
16,2048.0,4120861616.923126,0.048884324617388675,329166163.986716,0.01590467561250941,90548.614271,0.01403296428729539,5.26096,0.03436899472568089,0.372072,0.0007261929736794848
17,2049.000000000001,4322307153.908119,0.04888432461738512,334401445.047538,0.01590467561250697,91819.279742,0.014032964294705463,5.441774,0.03436901249961988,0.372342,0.0007256660001289106
18,2049.999999999999,4533600219.915825,0.048884324617388675,339719991.555374,0.015904675612511188,93107.776416,0.014032964292689964,5.628803,0.03436912301025363,0.372613,0.0007278254937665984
