,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT Medium A,AADT Medium B,AADT Heavy A,AADT Heavy B,GrowthFactor,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,TollHeavyA,TollHeavyB,CaptureRateLights,CaptureRateMediumA,CaptureRateMediumB,CaptureRateHeavyA,VOT Lights,VOT MediumA,VOT MediumB,VOT HeavyA,Speed GP Real,Speed ML Real,Bonus Seg,Time ML,Time GP,Time Savings,BonusRel,Reliability %,Bonus %,Time Savings %,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh_MediumB,GPVeh_MediumB,MLVeh_HeavyA,GPVeh_HeavyA,MLVeh,GPVeh,GPVehDay,ML PCE,ML V/C,ML Volume,ML PCE Total,GP PCE,GP Volume,GP PCE Total,Highway PCE,Highway Volume,Highway PCE Total,Highway V/C,TollLightsPerSeg,TollMediumAPerSeg,TollMediumBPerSeg,TollHeavyAPerSeg,TollBlend,RevenuePerHour,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerHourMediumB,RevenuePerHourHeavyA,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,RevenuePerDayMediumB,RevenuePerDayHeavyA,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay_MediumB,TransactionsDay_HeavyA,TransactionsDay,TransactionsLightsLength,TransactionsMediumALength,TransactionsMediumBLength,TransactionsHeavyALength,TotalVeh_hours,Difference in Travel Time,Implied Min VOT
0,2032,1NB,1,NB,Night,6,OP,NT,0.7,55,8234.489712329321,1,6,70,3600,1,5,0.5,0,1187.7,41.1,6.0,307.2,39.9,1.2094222272955006,3.6,1.8,0.36387036537853473,0.36387036537853473,3.402,0.708,1187.7,41.1,6.0,307.2,39.9,1581.9,2370.2999999999997,1.2,0.2962875,2370.2999999999997,0.0,1.0,0.0,1045.1760000000002,36.168,5.28,270.336,35.112,1392.0720000000001,0.500000084248164,1.500000252744492,1.500000252744492,1.500000252744492,1.500000252744492,0.034663318757907575,0.03464695355943672,0.03464533454967281,0.005597569960491806,108.64639506741891,325.93918520225674,325.93918520225674,325.93918520225674,54.97213172890863,69.99999997845417,0.0,0.6000000001846786,0.7640234911594874,-0.16402349097480884,0.0002709892661867198,0.001649411871836588,0.0,0.9983505881281635,36.22926884611481,1151.4707311538853,1.2531110163377073,39.846888983662296,0.18292736642227242,5.817072633577728,1.513224672839513,305.6867753271605,39.1785319017143,1542.7214680982856,9256.328808589715,45.07705801291329,0.012521405003587026,270.46234807747976,189.3236436542358,2325.2229419870864,13951.337651922518,9765.936356345763,2370.2999999999997,14221.799999999997,9955.259999999998,0.2878502594339272,0.3500000589737148,1.0500001769211442,1.0500001769211442,1.0500001769211442,0.5752776255286336,15.776972962881215,12.680246232714753,1.3157667888564275,0.19207376710710503,1.5888861742029292,94.66183777728729,76.08147739628852,7.8946007331385655,1.1524426026426302,9.533317045217576,217.37561307668886,7.518666098026244,1.0975641985336346,9.079348037037077,235.07119141028582,152.1629291536822,5.2630662686183705,0.7682949389735442,6.355543625925954,9491.400000000001,-0.21468383220244397,128.03046328070243
1,2032,1NB,1,NB,AM-Early,1,OP,AM,0.7,55,8796.923054719633,1,6,70,3600,1,5,0.5,0,5655.3,84.7,55.6,353.2,24.2,1.2094222272955006,3.6,1.8,0.3473620088376977,0.3473620088376977,3.246,0.715,5655.3,84.7,55.6,353.2,24.2,6173.0,7208.4000000000015,1.2,0.9010500000000001,7208.4000000000015,0.0,1.0,0.0,4976.664,74.536,48.928000000000004,310.816,21.296,5432.24,1.385555982021178,4.156667946063534,4.156667946063534,4.156667946063534,4.156667946063534,0.14723715228871084,0.1471396645401388,0.1471380905610124,0.038979163781434095,54.37432189974249,163.12296569922748,163.12296569922748,163.12296569922748,47.98529747756333,69.95615884734208,0.556666220295247,0.6003760168086437,0.8752680968506678,-0.27489208004202403,0.0781422132500129,0.0858988338281457,0.6119225085408683,0.302178657630986,732.7498352577448,4922.550164742255,10.967202036163785,73.73279796383622,7.199172494969216,48.40082750503078,12.115347769890219,341.0846522301098,763.0315575587681,5409.968442441232,5409.968442441232,823.5950021608145,0.22877638948911513,823.5950021608145,576.5165015125701,6384.804997839186,6384.804997839186,4469.36349848743,7208.400000000001,7208.400000000001,5045.88,0.8194228771993891,0.9698891874148245,2.9096675622444734,2.9096675622444734,2.9096675622444734,1.4955305199402216,798.795887404663,710.6861422964807,31.910912013207305,20.94719868361454,35.25163441136049,798.795887404663,710.6861422964807,31.910912013207305,20.94719868361454,35.25163441136049,732.7498352577448,10.967202036163785,7.199172494969216,12.115347769890219,763.0315575587681,512.9248846804213,7.677041425314649,5.03942074647845,8.480743438923152,6173.0,-0.3140661484533969,211.6952632320043
2,2032,1NB,1,NB,AM-Peak,1,Peak,AM,0.7,55,8000.0,1,6,70,3600,1,5,0.5,0,7093.3,203.2,106.4,345.9,15.7,1.2094222272955006,3.6,1.8,0.37122587031842935,0.37122587031842935,3.246,0.715,8795.327084686149,251.9575463618098,131.9305262445697,428.8982051503445,19.46719231240361,9627.580554755277,11292.087494893532,1.2,1.4115109368616916,11292.087494893532,0.0,1.0,0.0,7739.887834523811,221.7226407983926,116.09886309522135,377.4304205323032,17.13112923491518,8472.270888184645,3.5999992286239033,10.799997685871709,10.799997685871709,10.799997685871709,10.799997685871709,0.26718604775591137,0.26700793885071966,0.26699996109548696,0.09083621099579925,40.07232620670842,120.21697862012525,120.21697862012525,120.21697862012525,19.409800626344918,61.21788531071204,0.7492656457795703,0.686074009038838,2.163855302201992,-1.4777812931631542,0.98015325699594,0.3056102510336354,0.23361985532689195,0.4607698936394726,2067.9900405804765,6727.337044105672,59.20170531611729,192.7558410456925,30.998391929654368,100.93213431491534,34.28434931570553,394.61385583463897,2192.4744871419534,7435.106067613322,7435.106067613322,2441.443380264908,0.6781787167402522,2441.443380264908,1709.0103661854353,8850.644114628623,8850.644114628623,6195.450880240036,11292.08749489353,11292.08749489353,7904.4612464254715,1.4115109368616914,2.519999460036732,7.559998380110196,7.559998380110196,7.559998380110196,4.008801168372976,6152.435999977823,5211.333785624141,447.5647962896079,234.347792774208,259.18962528986594,6152.435999977823,5211.333785624141,447.5647962896079,234.347792774208,259.18962528986594,2067.9900405804765,59.20170531611729,30.998391929654368,34.28434931570553,2192.4744871419534,1447.5930284063334,41.441193721282104,21.698874350758057,23.999044520993873,9627.580554755277,-0.6829390540390237,102.31552415889915
3,2032,1NB,1,NB,AM-Shoulder,3,OP,AM,0.7,55,7130.1280045716185,1,6,70,3600,1,5,0.5,0,4898.2,188.7,47.2,381.0,8.5,1.2094222272955006,3.6,1.8,0.40132047761770373,0.40132047761770373,3.246,0.715,6367.66,245.31,61.36000000000001,495.3,11.05,7180.68,8806.72,1.2,1.1008399999999998,8806.72,0.0,1.0,0.0,5603.5408,215.8728,53.99680000000001,435.86400000000003,9.724,6318.9984,1.799998974409168,5.399996923227504,5.399996923227504,5.399996923227504,5.399996923227504,0.281684044859473,0.2816191791256107,0.28161281210542877,0.09816326272701749,38.83474177437193,116.50422532311579,116.50422532311579,116.50422532311579,30.530537852186903,66.9959935378957,0.47750954304905424,0.6269031591604514,1.3756718012418356,-0.7487686420813843,0.4284248063238304,0.25891341741474744,0.2885771921094948,0.45250939047575783,1578.4280380790872,4789.231961920913,60.79392073154713,184.51607926845287,15.206190692694419,46.153809307305586,42.78583234524876,452.51416765475125,1697.2139818485775,5483.466018151423,16450.39805445427,1934.785869387558,0.5374405192743217,5804.357608162674,4063.0503257138716,6871.934130612442,20615.802391837326,14431.061674286128,8806.72,26420.16,18494.112,1.2351419209239163,1.2599992820864174,3.7799978462592527,3.7799978462592527,3.7799978462592527,2.0519584553538444,2437.828806419268,1988.8181948047222,229.80088943090388,57.47936806819239,161.73035411544979,7313.486419257804,5966.454584414167,689.4026682927116,172.43810420457717,485.1910623463493,4735.284114237262,182.3817621946414,45.618572078083254,128.35749703574626,5091.641945545733,3314.698879966083,127.66723353624897,31.933000454658277,89.85024792502237,21542.04,-0.5442930802284831,100.96570913418142
4,2032,1NB,1,NB,MD,4,OP,MD,0.7,55,7229.63859674559,1,6,70,3600,1,5,0.5,0,4433.7,175.4,49.6,508.0,14.5,1.2094222272955006,3.6,1.8,0.39763285332419496,0.39763285332419496,3.249,0.708,5763.81,228.02,64.48,660.4,18.85,6735.56,8679.06,1.2,1.0848825,8679.06,0.0,1.0,0.0,5072.152800000001,200.6576,56.7424,581.1519999999999,16.588,5927.2928,1.799999758337062,5.399999275011186,5.399999275011186,5.399999275011186,5.399999275011186,0.27667475465067226,0.276615416744769,0.276609677705578,0.09444299539753048,39.205159483587956,117.61547845076386,117.61547845076386,117.61547845076386,31.354848409250888,67.9819749707736,0.5142662502305464,0.617810824384793,1.33950575846536,-0.7216949340805671,0.4031085763802974,0.24593741282265716,0.3137549496451041,0.4403076375322388,1403.3366314907205,4360.47336850928,55.504985647005164,172.51501435299485,15.695496976240989,48.784503023759015,54.88573566126563,605.5142643387344,1529.4228497752324,5206.1371502247675,20824.54860089907,1781.5952863442558,0.49488757954007107,7126.381145377023,4988.466801763916,6897.464713655744,27589.858854622977,19312.901198236083,8679.06,34716.24,24301.368,1.2004832446129277,1.2599998308359432,3.7799994925078297,3.7799994925078297,3.7799994925078297,2.0967851273736353,2244.8097594118763,1768.2039182841902,209.80881757733388,59.32897060484911,207.46805294550296,8979.239037647505,7072.815673136761,839.2352703093355,237.31588241939644,829.8722117820118,5613.346525962882,222.01994258802065,62.781987904963955,219.5429426450625,6117.69139910093,3929.3425681740173,155.41395981161446,43.947391533474764,153.68005985154375,26942.24,-0.5387770299004879,104.75338855810358
5,2032,1NB,1,NB,PM-Shoulder,2,OP,PM,0.7,55,6217.690612419211,1,6,70,3600,1,5,0.5,0,4634.5,145.1,38.7,394.3,9.7,1.2094222272955006,3.6,1.8,0.4386184354033815,0.4386184354033815,3.399,0.592,6024.85,188.63,50.31,512.59,12.61,6788.990000000001,8317.27,1.2,1.03965875,8317.27,0.0,1.0,0.0,5301.868,165.99439999999998,44.272800000000004,451.0792,11.0968,5974.311200000001,1.7999992185282914,5.399997655584874,5.399997655584874,5.399997655584874,5.399997655584874,0.34746095092807816,0.34741994550288424,0.3474168100531914,0.1047736671250088,37.759829330785216,113.27948799235566,113.27948799235566,113.27948799235566,28.884347972256755,64.46625683490802,0.41592986697587825,0.6515036247188668,1.4540747134171335,-0.8025710886982667,0.4833068448465389,0.28399613910493693,0.24440472469841815,0.4715991361966449,1842.192096975148,4182.657903024852,57.66976540178396,130.96023459821603,15.381114948122935,34.92888505187707,47.26122194781527,465.32877805218476,1962.5041992728702,4826.48580072713,9652.97160145426,2203.1284038683143,0.6119801121856429,4406.256807736629,3084.3797654156397,6114.141596131685,12228.28319226337,8559.79823458436,8317.27,16634.54,11644.178,1.3376783308238418,1.259999452969804,3.779998358909412,3.779998358909412,3.779998358909412,2.0206985578679313,2775.9405836963138,2321.1610344539827,217.99161857743417,58.14058926210172,178.6473414027952,5551.8811673926275,4642.322068907965,435.98323715486833,116.28117852420344,357.2946828055904,3684.384193950296,115.33953080356792,30.76222989624587,94.52244389563054,3925.0083985457404,2579.068935765207,80.73767156249754,21.533560927372108,66.16571072694138,13577.980000000001,-0.5519462523436589,94.19722220595798
6,2032,1NB,1,NB,PM-Peak,2,Peak,PM,0.7,55,5600.0,1,6,70,3600,1,5,0.5,0,4457.9,89.5,26.6,356.8,9.7,1.2094222272955006,3.6,1.8,0.46806740170584565,0.46806740170584565,3.399,0.592,5795.2699999999995,116.35000000000001,34.580000000000005,463.84000000000003,12.61,6422.65,7677.41,1.2,0.95967625,7677.41,0.0,1.0,0.0,5099.8376,102.388,30.430400000000006,408.17920000000004,11.0968,5651.932,1.799996405809382,5.399989217428146,5.399989217428146,5.399989217428146,5.399989217428146,0.3811795277957597,0.3811439176576699,0.38114232054599717,0.1219962526454445,35.804386093326066,107.4131582799782,107.4131582799782,107.4131582799782,30.00292133706298,63.96450807418421,0.6061399206403913,0.6566141328139287,1.3998636842112064,-0.7432495513972778,0.44535912440239006,0.248145687527364,0.33772970868604607,0.41412460378658983,1943.9536882030604,3851.316311796939,39.02456344113351,77.3254365588665,11.598313271142915,22.981686728857092,49.796332807815425,414.0436671921846,2044.3728977231522,4378.277102276847,8756.554204553693,2245.2113167633356,0.6236698102120377,4490.422633526671,3143.29584346867,5432.198683236664,10864.397366473328,7605.078156531329,7677.41,15354.82,10748.374,1.3709660714285714,1.2599974840665673,3.779992452199702,3.779992452199702,3.779992452199702,1.9768273708566033,2828.960610319588,2449.3767562777803,147.5125552578731,43.841536623167855,188.2297621607667,5657.921220639176,4898.7535125555605,295.0251105157462,87.68307324633571,376.4595243215334,3887.907376406121,78.04912688226702,23.19662654228583,99.59266561563085,4088.7457954463043,2721.5351634842846,54.63438881758691,16.23763857960008,69.71486593094158,12845.3,-0.5309442339138065,101.71529724016585
7,2032,1NB,1,NB,PM-Late,5,OP,PM,0.7,55,10400.0,1,6,70,3600,1,5,0.5,0,4068.5,78.6,12.1,349.5,27.8,1.2094222272955006,3.6,1.8,0.30758714969241285,0.30758714969241285,3.399,0.592,4068.5,78.6,12.1,349.5,27.8,4536.500000000001,5472.5,1.2,0.6840625,5472.5,0.0,1.0,0.0,3580.28,69.16799999999999,10.648,307.56,24.464000000000002,3992.120000000001,0.7040475375418921,2.1121426126256764,2.1121426126256764,2.1121426126256764,2.1121426126256764,0.17091835174275793,0.17088874498338222,0.17088721454559153,0.034897003061410796,52.55154001276462,157.65462003829387,157.65462003829387,157.65462003829387,54.481589869894485,69.98253780575419,0.3024435138320149,0.6001497132981454,0.7709026131634316,-0.1707528998652862,0.005086374668947534,0.010634659646277309,0.6323529116845754,0.3570124286691473,611.9355563775614,3456.5644436224384,11.82003271301058,66.77996728698942,1.8196070604814585,10.280392939518542,10.732922261567504,338.7670777384325,636.308118412621,3900.191881587379,19500.959407936894,685.05324248274,0.19029256735631667,3425.2662124136996,2397.6863486895895,4787.446757517259,23937.233787586298,16756.063651310407,5472.499999999999,27362.499999999996,19153.749999999996,0.526201923076923,0.49283327627932444,1.4784998288379734,1.4784998288379734,1.4784998288379734,0.7579819186627171,337.61703391854326,301.58220512136484,17.475916343045387,2.6902887274742042,15.868623726658829,1688.0851695927163,1507.9110256068243,87.37958171522693,13.451443637371021,79.34311863329414,3059.677781887807,59.100163565052895,9.098035302407293,53.66461130783752,3181.540592063105,2141.774447321465,41.370114495537024,6.368624711685105,37.56522791548626,22682.500000000004,-0.22149736808465914,173.17419850607763
8,2032,1SB,1,SB,Night,6,OP,NT,0.7,55,9658.720330941385,1,6,70,3600,1,5,0.5,0,1579.5,38.7,15.7,309.6,36.3,1.2094222272955006,3.6,1.8,0.32478399032556055,0.32478399032556055,3.402,0.708,1579.5,38.7,15.7,309.6,36.3,1979.8,2780.4,1.2,0.34755,2780.4,0.0,1.0,0.0,1389.96,34.056000000000004,13.815999999999999,272.44800000000004,31.944,1742.224,0.5000003377657755,1.5000010132973265,1.5000010132973265,1.5000010132973265,1.5000010132973265,0.034664799507462374,0.03464230176138122,0.03464124097290391,0.005596809581116323,108.65095387439227,325.95286162317683,325.95286162317683,325.95286162317683,54.972419946955654,69.99999992575252,0.0,0.600000000636407,0.7640194854169948,-0.1640194847805878,0.0002681852464418974,0.0016324125017889277,0.0,0.9983675874982111,48.182684723392406,1531.3173152766076,1.1797782287855991,37.5202217712144,0.47860338528164037,15.221396614718358,1.5248395767559801,308.07516042324403,51.365905914215624,1928.4340940857844,11570.604564514706,57.73234829586206,0.016036763415517238,346.39408977517235,242.47586284262061,2722.6676517041383,16336.00591022483,11435.204137157381,2780.4000000000005,16682.4,11677.680000000002,0.2878642205938071,0.3500002364360428,1.0500007093081285,1.0500007093081285,1.0500007093081285,0.5619718592357902,20.206335553559697,16.86395104531065,1.2387679770511666,0.5025338940229939,1.6010826371748856,121.23801332135818,101.1837062718639,7.432607862307,3.015203364137963,9.606495823049315,289.0961083403544,7.078669372713595,2.871620311689842,9.149037460535881,308.1954354852938,202.36727583824808,4.955068560899516,2.0101342181828894,6.404326222375117,11878.8,-0.21467971421051843,128.0336553565859
9,2032,1SB,1,SB,AM-Early,1,OP,AM,0.7,55,10400.0,1,6,70,3600,1,5,0.5,0,2944.9,119.7,50.8,403.9,38.7,1.2094222272955006,3.6,1.8,0.30758714969241285,0.30758714969241285,3.246,0.715,2944.9,119.7,50.8,403.9,38.7,3558.0,4784.200000000001,1.2,0.5980250000000001,4784.200000000001,0.0,1.0,0.0,2591.512,105.336,44.704,355.43199999999996,34.056000000000004,3131.04,0.6281053316064169,1.8843159948192507,1.8843159948192507,1.8843159948192507,1.8843159948192507,0.17202647663657322,0.17200583251656987,0.17200418096509962,0.04841003553940716,50.531150629760994,151.59345188928296,151.59345188928296,151.59345188928296,54.75926066485271,69.99273363059002,0.2744719116991085,0.6000622896323637,0.7669935548811699,-0.1669312652488062,0.002350033871364475,0.005295812659080767,0.6185237762953081,0.3761804110456112,445.8086785213992,2499.091321478601,18.118406373965403,101.5815936260346,7.6892749058638135,43.110725094136185,17.206475751842564,386.6935242481574,488.822835553071,3069.177164446929,3069.177164446929,574.8511496164145,0.15968087489344848,574.8511496164145,402.39580473149016,4209.348850383586,4209.348850383586,2946.54419526851,4784.200000000001,4784.200000000001,3348.94,0.46001923076923085,0.4396737321244918,1.3190211963734755,1.3190211963734755,1.3190211963734755,0.7386460813468837,252.7469503679036,196.01036549899135,23.89856205176865,10.14231658557703,22.695706231566575,252.7469503679036,196.01036549899135,23.89856205176865,10.14231658557703,22.695706231566575,445.8086785213992,18.118406373965403,7.6892749058638135,17.206475751842564,488.822835553071,312.0660749649794,12.682884461775782,5.382492434104669,12.044533026289795,3558.0,-0.21764363492554875,158.03165385555698
