Year,Direction,Segment,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late
2032,NB,1,130.97012473159765,475.01306579140663,667.4289696621051,2224.133089661664,2917.6728571098156,2381.267369759316,5923.344972481749,4661.536414468988
2032,NB,10,3989.5072285284023,2945.995406509186,4591.6367610214265,7432.696013256806,7505.583231165684,4244.949231310373,9440.80233573464,8727.391475527564
2032,NB,2,93.57021067429842,1970.4874280295182,7102.773925022921,6008.939238617909,5638.10285470735,4288.5511415083665,5999.905235347195,1342.7386166712135
2032,NB,3,63.056748958070756,970.3110838498243,2003.4631023887557,2935.1724979157025,5039.891767093237,2902.9370411675595,3706.8394433553517,490.1437422683241
2032,NB,4,2.420101929328662,1510.7153648220706,2691.7557432458093,6039.911865960813,7418.366861472704,9014.067247947665,30087.069955885552,3300.454335530667
2032,NB,5,2336.3789079916596,1336.9781279866145,2305.3078110912193,6381.02417768094,6798.123946681178,14622.047573280322,42796.19569088304,5722.676798318406
2032,NB,6,4226.546557891292,4485.157122067526,6808.866470205603,15391.675505434097,19840.378025383106,21488.925441472522,58215.446674727296,13949.764767843943
2032,NB,7,3259.267586507488,2658.413512367215,3904.391998029251,7886.036914644245,10823.932343487413,7673.235480457586,25626.360280981247,9401.485268939112
2032,NB,8,4080.7745330123666,3498.9276260144848,4966.073338974025,8941.216861141203,12481.914836388103,7704.915549587702,25901.64910134509,11202.58413848167
2032,NB,9,2712.1398738036346,2636.123452256729,4057.3038350816164,7261.546410623866,8841.302986428213,5535.925913263607,15729.397051274369,8588.855842415338
2032,SB,1,155.48117929034754,587.8267752740594,2868.4571314705495,5430.491128795646,8126.618716685496,4720.75140728295,5822.406693495015,1959.5313445388747
2032,SB,10,3415.767965259505,1642.564224550454,5230.502306119277,6390.843218500693,8192.889829723928,7475.973937946174,9582.476250638441,12046.448017372826
2032,SB,2,893.5779653543652,174.4435018467208,272.7538713989674,1117.8477646062129,2800.474997581127,5901.213922013465,6943.22636176026,1626.1044124281398
2032,SB,3,953.1405081515152,640.841507108109,2264.8205815561355,3302.771129437028,4562.2330320226465,3062.7768501488517,3340.2464225899867,3755.289141482183
2032,SB,4,2424.63581275415,758.7166036134054,4212.679883752629,4765.5848815180525,4511.721028415555,8551.26814228706,9035.205191167637,2738.345938058982
2032,SB,5,2647.089456776402,905.3418476367754,6965.939599600102,6192.962749831669,7852.8629375874625,5078.954777810481,5663.803144330067,5930.523621354192
2032,SB,6,4551.0485661441735,1915.3700767353062,12242.126288860894,16925.282800952707,24106.31422702866,7224.646276290321,15691.091116891637,12464.12044870777
2032,SB,7,3235.4061906136512,2076.016126503195,11612.713309267418,11549.485101611328,14186.664311316006,6821.413200737429,9027.981013299446,12154.010638393513
2032,SB,8,3751.849567943537,2982.1752463614066,18311.016374931307,11745.19368101487,11796.114977489447,8086.077526226785,10547.734251923546,13518.219409355841
2032,SB,9,2209.845576831357,1633.8418971710953,12442.526547201864,6888.82744626314,8621.594073961744,9985.809656281042,10974.100092532899,10710.428766083416
2040,NB,1,795.608982744953,662.5855050954106,930.830557715425,3431.812973344492,4498.274989913852,3801.250823107948,14141.550631313718,7492.4138048895165
2040,NB,10,5620.582771888425,4547.7085129038005,6871.451341542024,11034.138007953057,10866.133263775288,6196.89580017342,14275.800150327972,12767.875362868323
2040,NB,2,789.7402364005468,3174.385415878984,11333.39134639787,9953.37006052433,9861.776853083977,7080.273282290253,15447.07563038902,1891.08631913519
2040,NB,3,506.8945631756609,1573.1255725225567,5111.765350542271,4754.114434918147,8035.55509455435,4524.148042007558,5562.718687383869,711.7438731177502
2040,NB,4,338.0495753200365,2517.5532875128356,4277.102971084009,10634.651909377259,12931.129066605576,14818.154673298277,46853.052152229764,4871.099727080317
2040,NB,5,3261.307447120673,1991.421709102035,3428.4825685791966,10288.812981575753,10518.78920826101,22153.039008719912,62897.960729314844,8619.757521040674
2040,NB,6,5921.349469626109,7514.116773844396,10383.40826289686,25901.988926597325,33451.261789037126,33582.32506340147,90207.39656352573,22498.549871266045
2040,NB,7,4637.210601164024,4351.818466910697,6056.108445554185,12938.288246927783,17805.20303690323,13367.841015867356,62375.54401776212,15000.649150902127
2040,NB,8,5777.395201957866,5714.866115448794,7661.01546384066,14315.123773488815,20052.835052910952,12852.772811925928,39450.20195334104,17531.624853246503
2040,NB,9,3752.709209956598,4086.093495476245,6099.495425937381,11120.043636082348,13372.52743654748,8649.391111554478,23864.88282382257,12813.723712358493
2040,SB,1,918.5895019512894,903.1410762873173,6837.85571909307,8266.344665991894,12460.648662973308,7022.414312363516,13882.85037946231,2669.8275199087557
2040,SB,10,4800.959374636226,2445.6074836051685,8019.443659174545,9367.972024189152,11950.087159341929,11743.28273621215,14308.954654060599,18233.825163180136
2040,SB,2,1262.2802203759388,242.86428435453666,386.72939873000456,1625.174567365048,4578.104466887471,15445.042381791878,18260.62726889394,2322.016402196744
2040,SB,3,1353.4064598080536,1098.5671944524586,5759.88706754536,5549.002662569737,7711.77228729999,4887.333910535815,5127.306960956497,6438.734249599605
2040,SB,4,3508.69013455763,1158.606391420732,6629.386870224871,8209.686167851452,7027.332924976211,13905.806714486935,14025.607239457484,3926.4145493385004
2040,SB,5,3711.4916809911056,1331.6761831526935,10296.295818501785,10090.221959235918,12560.945481915258,8473.158745633551,8608.208343551592,8798.414602563786
2040,SB,6,6392.885635384873,2912.5438866542804,18221.16333983011,27977.3805746404,40107.75377407137,11529.67395441798,23952.112423187176,19012.31738451234
