,Period,Hours/Day,Peak,4Periods,Segment,Direction,SegDir,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,Year,MinToll,MinCapture,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalHeavies,TotalVeh,HOV3,Corridor PCE,InScopeLights,InScopeHeavies,InScopeVeh,CaptureRateLights,CaptureRateHeavies,TollLights,TollHeavies,VOT Lights,VOT Heavies,Speed GP real,Speed ML real,MLVeh_Lights,GPVeh_Lights,MLVeh_Heavies,GPVeh_Heavies,MLVeh,GPVeh,ML PCE,GP PCE,TollLightsPerSeg,TollHeaviesPerSeg,TollBlend,RevenuePerHour,RevenuePerDay,TransactionsDay_Lights,TransactionsDay_Heavies,TransactionsDay,TotalVeh_hours
10,AM-Peak,2,Peak,AM,1,SB,1SB,3.9,65,10400,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.282229965,0.282229965,3.246,0.715,8367.66,730.485,9098.145,502.0596,10559.115,6449.792328,598.9977,7460.4789,0.143701624,0.135621485,1.94999999,5.849999966,56.94735252,170.8420575,42.7322112,69.14318829,926.8456313,6938.754769,81.23695769,649.2480423,1008.082589,7588.002811,1170.556504,8886.498896,7.60499996,22.81499987,2.264283895,8902.082168,17804.16434,1853.691263,162.4739154,2016.165178,18196.29
11,AM-Shoulder,1,OP,AM,1,SB,1SB,3.9,65,10400,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.282229965,0.282229965,3.246,0.715,7015.5,1097.1,8112.6,420.93,10306.8,5407.5474,899.622,6652.332,0.1127082,0.111592473,1.949997479,5.723831976,64.01682328,187.9087251,42.46965329,69.78757741,609.4749362,5985.095064,100.3910441,996.7089559,709.8659804,6981.80402,910.6480686,8975.221931,7.604990167,22.32294471,2.483702708,6876.074624,6876.074624,609.4749362,100.3910441,709.8659804,8112.6
12,MD,5,OP,MD,1,SB,1SB,3.9,65,8000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.3,0.340622372,3.249,0.708,7185.8,717.3,7903.1,431.148,9337.7,5538.81464,588.186,6480.542,0.173973582,0.167410503,1.949999997,5.84999994,51.40833842,154.2250139,32.29084398,69.08321385,963.6074229,5791.044577,98.46851425,618.8314858,1062.075937,6409.876063,1259.012966,7647.539034,7.604999987,22.81499977,2.311581675,9574.793568,47873.96784,4818.037115,492.3425712,5310.379686,39515.5
13,PM-Shoulder,1,OP,PM,1,SB,1SB,3.9,65,8000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.3,0.340622372,3.399,0.592,7957,515.6,8472.6,477.42,9503.8,6133.2556,422.792,6947.532,0.126329542,0.130117891,3.28011028,9.226570398,62.77791444,176.587004,26.49283202,69.68129064,774.8113726,6704.768627,55.01280319,460.5871968,829.8241758,7165.355824,939.8497822,8086.530218,12.79243009,35.98362455,3.674328055,11891.28037,11891.28037,774.8113726,55.01280319,829.8241758,8472.6
14,PM-Peak,3,Peak,PM,1,SB,1SB,3.9,65,8000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.3,0.340622372,3.399,0.592,7573.545,502.74,8076.285,454.4127,9081.765,5837.688486,412.2468,6622.5537,0.198647796,0.192550723,1.949999983,5.849999807,50.2224107,150.6672284,37.3371278,68.39514999,1159.643951,5959.488349,79.37841957,423.3615804,1239.022371,6382.849929,1397.77921,7229.57309,7.604999935,22.81499925,2.199854893,10630.11076,31890.33227,3478.931853,238.1352587,3717.067112,24228.855
15,PM-Late,3,OP,NT,1,SB,1SB,3.9,65,8000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.3,0.340622372,3.402,0.708,3888.9,311,4199.9,233.334,4821.9,2997.56412,255.02,3443.918,0.153575385,0.153976688,0.936934184,2.786078551,62.48883508,185.8175378,63.63986943,69.98863444,460.352063,3195.213937,39.26713506,271.7328649,499.619198,3466.946802,578.1534682,4010.412532,3.654043317,10.86570635,1.082266072,2108.811538,6326.434614,1381.056189,117.8014052,1498.857594,12599.7
16,Night,8,OP,NT,2,NB,2NB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.279503106,0.279503106,3.402,0.708,1742.1,322.8,2064.9,104.526,2710.5,1506.56808,296.976,1899.708,0.142239957,0.142279693,0.504531419,1.512105201,64.18096579,192.353476,64.97910164,69.99969826,214.2941796,1423.27982,42.25365425,280.5463458,256.5478338,1703.826166,341.0551423,2264.918858,1.564047399,4.687526124,0.670479709,533.2313624,4265.850899,1714.353437,338.029234,2052.382671,16519.2
17,AM-Early,1,OP,AM,2,NB,2NB,3.1,65,7200,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.3,0.326086957,3.246,0.715,7626.3,647.1,8273.4,457.578,9567.6,6595.22424,595.332,7611.528,0.147038878,0.134333616,3.899999977,11.69999949,57.47708926,172.4312612,19.46075951,69.15085877,969.7543724,6198.967628,79.97310039,567.1268996,1049.727473,6766.094527,1209.673674,7900.348326,12.08999993,36.26999841,4.494240063,14624.95452,14624.95452,969.7543724,79.97310039,1049.727473,8273.4
18,AM-Peak,2,Peak,AM,2,NB,2NB,3.1,65,6300,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.3,0.355731225,3.246,0.715,7355.88,634.095,7989.975,441.3528,9258.165,6361.365024,583.3674,7350.777,0.210097167,0.200914368,3.899999991,11.69999985,47.16370649,141.491118,17.05146074,66.39966628,1336.504768,5578.022432,117.2068924,516.8881076,1453.711661,6094.910539,1688.125446,7128.686754,12.08999997,36.26999953,4.528882436,20409.43654,40818.87309,2673.009537,234.4137848,2907.423322,15979.95
19,AM-Shoulder,1,OP,AM,2,NB,2NB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.279503106,0.279503106,3.246,0.715,6167.3,952.3,7119.6,370.038,9024.2,5333.48104,876.116,6550.032,0.113379679,0.109639568,1.949999913,5.836780549,62.85562823,188.1407819,42.52305697,69.84404085,604.7083673,5192.553633,96.05698006,856.2430199,700.7653473,6048.796653,892.8793075,7761.282693,6.04499973,18.0940197,2.482777984,5393.518807,5393.518807,604.7083673,96.05698006,700.7653473,7119.6
20,MD,5,OP,MD,2,NB,2NB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.279503106,0.279503106,3.249,0.708,6316.9,622.7,6939.6,379.014,8185,5462.85512,572.884,6384.432,0.109375896,0.110377304,1.526553225,4.480572116,63.09819877,185.198934,50.03798606,69.9020043,597.5046715,5340.381329,63.23339117,559.4666088,660.7380626,5899.847937,787.204845,7018.781155,4.732314996,13.88977356,1.809256224,3705.877802,18529.38901,2987.523357,316.1669559,3303.690313,34698
21,PM-Shoulder,1,OP,PM,2,NB,2NB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.279503106,0.279503106,3.399,0.592,6994.9,447.5,7442.4,419.694,8337.4,6049.18952,411.7,6847.008,0.121441759,0.121956874,1.522253583,4.492239251,60.85973426,179.5998315,49.60686267,69.80428905,734.624217,5840.581783,50.20964505,397.290355,784.8338621,6237.872138,885.2531522,7032.452848,4.718986107,13.92594168,1.712258033,4165.898063,4165.898063,734.624217,50.20964505,784.8338621,7442.4
22,PM-Peak,3,Peak,PM,2,NB,2NB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.279503106,0.279503106,3.399,0.592,6657.84,436.485,7094.325,399.4704,7967.295,5757.700032,401.5662,6526.779,0.117619739,0.11831666,1.932832349,5.680149339,61.82654381,181.6939799,52.33817987,69.87005313,677.2191726,5581.150427,47.51197152,388.9730285,724.7311441,5970.123456,819.7550872,6748.069513,5.991780283,17.60846295,2.1784992,4894.361276,14683.08383,2031.657518,142.5359146,2174.193432,21282.975
23,PM-Late,3,OP,NT,2,NB,2NB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.279503106,0.279503106,3.402,0.708,3418.7,270,3688.7,205.122,4228.7,2956.49176,248.4,3393.604,0.137392483,0.1376132,0.780449868,2.328978479,65.44396978,195.294539,64.69069672,69.99472853,406.1997432,2807.378257,34.18311895,235.816881,440.3828621,3043.195138,508.7491,3514.8289,2.419394592,7.219833286,0.900648773,1229.553882,3688.661646,1218.59923,102.5493569,1321.148586,11066.1
