,Year,Total Revenue,Var Total Revenue (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Segment 5 Revenue,Var Segment 5 Revenue (%),Segment 5 Transactions,Var Segment 5 Transactions (%),Segment 5 AADT,Var Segment 5 AADT (%),Segment 5 Toll/AADT/mi,Var Segment 5 Toll/AADT/mi (%)
0,2032,349825586.4,,62997161.3,,25697.82005,,2.083576,,36225373.31,,10067253.48,,27581.51638,,1.799169,
1,2033,379791941.6,0.085660845,63919054.75,0.014633889,26073.51084,0.014619559,2.229463,0.070017604,38778876.95,0.070489367,10279466.99,0.021079583,28162.92325,0.021079583,1.88623,0.048389562
2,2034,412325240.2,0.085660845,64854439.08,0.014633889,26454.69406,0.014619559,2.385565,0.070017758,41512375.45,0.070489367,10496153.87,0.021079583,28756.58594,0.021079583,1.977504,0.048389645
3,2035,447645368.5,0.085660845,65803511.73,0.014633889,26841.45001,0.014619559,2.552597,0.070017795,44438556.53,0.070489367,10717408.42,0.021079583,29362.76278,0.021079583,2.073195,0.048389788
4,2036,485991049,0.085660845,66766473,0.014633889,27233.86016,0.014619559,2.731324,0.070017711,47571002.26,0.070489367,10943326.92,0.021079583,29981.71758,0.021079583,2.173516,0.048389563
5,2037,527621452.8,0.085660845,67743526.13,0.014633889,27632.00718,0.014619559,2.922565,0.070017691,50924252.11,0.070489367,11174007.69,0.021079583,30613.7197,0.021079583,2.278692,0.048389798
6,2038,572817952.1,0.085660845,68734877.35,0.014633889,28035.97493,0.014619559,3.127196,0.070017604,54513870.42,0.070489367,11409551.11,0.021079583,31259.04415,0.021079583,2.388958,0.048390041
7,2039,621886021.8,0.085660845,69740735.9,0.014633889,28445.84851,0.014619559,3.346155,0.070017677,58356518.65,0.070489367,11650059.7,0.021079583,31917.97177,0.021079583,2.504559,0.048389716
8,2040,675157303.8,0.085660845,70761314.07,0.014633889,28861.71426,0.014619559,3.580445,0.070017677,62470032.72,0.070489367,11895638.1,0.021079583,32590.78931,0.021079583,2.625754,0.048389756
9,2041,714126247.8,0.057718318,72119996.07,0.019200915,29492.0893,0.02184122,3.706155,0.035110161,65570990.25,0.049639121,11958205.09,0.005259659,32762.20574,0.005259659,2.741674,0.044147319
10,2042,755344413.7,0.057718318,73504766.01,0.019200915,30136.23251,0.02184122,3.836279,0.035110242,68825876.58,0.049639121,12021101.17,0.005259659,32934.52376,0.005259659,2.862711,0.044147116
11,2043,798941622.8,0.057718318,74916124.8,0.019200915,30794.44458,0.02184122,3.970972,0.035110324,72242332.61,0.049639121,12084328.06,0.005259659,33107.74811,0.005259659,2.989092,0.044147314
12,2044,845055189.6,0.057718318,76354582.97,0.019200915,31467.03281,0.02184122,4.110393,0.035110044,75828378.52,0.049639121,12147887.5,0.005259659,33281.88356,0.005259659,3.121052,0.044147186
13,2045,893830353.8,0.057718318,77820660.85,0.019200915,32154.31119,0.02184122,4.25471,0.035110268,79592432.59,0.049639121,12211781.24,0.005259659,33456.93491,0.005259659,3.258838,0.044147294
14,2046,945420738.5,0.057718318,79314888.77,0.019200915,32856.60056,0.02184122,4.404094,0.035110266,83543331,0.049639121,12276011.04,0.005259659,33632.90696,0.005259659,3.402707,0.044147331
15,2047,999988833.4,0.057718318,80837807.24,0.019200915,33574.2288,0.02184122,4.558723,0.035110286,87690348.53,0.049639121,12340578.67,0.005259659,33809.80457,0.005259659,3.552927,0.044147204
16,2048,1057706507,0.057718318,82389967.13,0.019200915,34307.5309,0.02184122,4.718781,0.035110271,92043220.37,0.049639121,12405485.9,0.005259659,33987.6326,0.005259659,3.709779,0.044147262
17,2049,1118755548,0.057718318,83971929.92,0.019200915,35056.84922,0.02184122,4.884459,0.035110339,96612164.94,0.049639121,12470734.52,0.005259659,34166.39594,0.005259659,3.873556,0.044147374
18,2050,1183328236,0.057718318,85584267.84,0.019200915,35822.53357,0.02184122,5.055953,0.035110132,101407907.9,0.049639121,12536326.33,0.005259659,34346.09952,0.005259659,4.044562,0.044147032
