,,,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,TollHeavies,TollHeavies,TollHeavies,TollHeavies,TollHeavies,TollHeavies,TollHeavies,TollHeavies,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights
Period,,,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late
Year,Direction,Segment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,NB,4,1902.7291540108686,7647.694028817423,6325.035026298348,6203.543728355577,5833.211223097596,6063.030596208762,5791.188858794617,2906.3123463698275,0.4208459891316055,823.0059711825777,1198.0574737016523,953.2562716444245,1044.8887769024032,741.219403791237,775.8786412053843,366.18765363017263,1.6363150446619479,3569.117871592216,5678.306825976731,4855.386064005483,5321.7118211078305,3323.554114102947,3487.5236827219414,575.7672550300484,1.799823508661902,1.7999662964799708,1.7999994431389008,1.7999999600381722,1.7999999710537389,1.7999648285804222,1.799999972952005,0.6650480851070304,5.3994705259857065,5.399898889439912,5.399998329416702,5.399999880114517,5.399999913161217,5.3998944857412665,5.3999999188560155,1.9951442553210912,0.0002696598915761096,0.11044013769104681,0.1809851885370772,0.15137194239660584,0.1726425804811999,0.12381337484843098,0.1342788322080875,0.12716211500178395
2032,SB,4,1868.5315481379685,4427.563085861886,5266.258328218955,4768.158008903172,5388.095506934922,4298.369016386207,4366.538790631966,4406.87072166663,45.91845186203168,506.0369141381145,617.731671781044,531.3419910968275,1000.8044930650782,612.1809836137932,557.3312093680346,544.37927833337,123.25177580789239,1730.0234292320745,3237.238804285107,2847.6361793032684,5006.8742519268435,2825.907870557299,1941.4741035843554,1323.6068273949968,1.0453931201380517,1.2034499571158754,1.7999959011802567,1.74171623864205,1.799999998743066,1.7999956868246076,1.40409918568164,1.0751674526234598,3.1361793604141552,3.6103498713476263,5.39998770354077,5.225148715926149,5.399999996229198,5.399987060473823,4.21229755704492,3.225502357870379,0.027265735033989102,0.116563689801502,0.11930850372713897,0.11392773600267046,0.17802173211349373,0.14168391216643988,0.12863840224440787,0.12495047110927647
2040,NB,4,2376.362835029872,9540.742424975198,7877.68686756117,7627.381269888373,7131.938232335124,6973.101095680533,6862.930870850257,3660.9633849588254,19.037164970127982,1119.3575750248037,1589.9531324388308,1379.4187301116267,1523.7617676648756,1589.8989043194665,1401.1991291497434,457.4366150411747,91.87276098104121,11318.827932924698,17579.168167051226,16392.1642332542,18105.906580164818,8318.26082765418,7347.987789413895,1051.5391076692329,1.9998249729739506,4.199997748340875,4.199999996881251,4.199999995954321,4.199999996942379,2.0999999221743666,2.0999995312464557,0.9723788853072567,5.999474918921852,12.599993245022626,12.599999990643754,12.599999987862962,12.599999990827138,6.2999997665231,6.299998593739367,2.91713665592177,0.009054547592702836,0.11941234645207133,0.19088784808706874,0.17407144715410644,0.2000765442783621,0.21101008760555043,0.19269302552391468,0.12622634754373907
2040,SB,4,2324.0769497410474,5496.692159204776,6296.512000672539,5558.198468366512,6590.6972910183995,4892.103791650386,5430.973673960765,5569.884215710386,85.27305025895215,712.5078407952242,1108.8754993274615,1110.8015316334875,1449.4527089815997,1288.3962083496144,765.4438260392359,661.6157842896127,272.7044144680247,4250.569435110612,6780.185818365522,7177.318933401191,16917.873929445588,6940.031317301942,3987.369839728648,2859.435633408413,1.2453932442307563,2.0999999759884456,2.099999977610626,2.0999999958490903,4.199996797246396,2.0999999807132235,2.099910273443885,1.9112527393818899,3.7361797326922686,6.299999927965336,6.299999932831879,6.29999998754727,12.599990391739187,6.299999942139671,6.299730820331654,5.733758218145669,0.040230441892166145,0.1304127813529443,0.1701653565822969,0.1892679329910838,0.2048940930994038,0.2369039289767478,0.14039860283147101,0.12067249739287864
2050,NB,4,3033.187109829984,11098.03881790164,9804.844128878585,9376.689803334199,9069.03248942865,8493.985969013105,8632.346711461401,4745.687750114931,62.11289017001576,2677.911182098359,2430.2283711214154,2262.6601966658013,2116.667510571349,2571.764030986895,2047.8857885385987,576.9122498850691,330.32569766183866,30522.343216800815,30661.557612905443,30616.336336213895,30832.2127348028,23849.159068526154,26332.541966185432,2287.690809396284,2.1998256053314926,4.7680401538095545,4.789787966728717,4.782723621258456,5.149999135184002,3.7255909510455845,5.149999989787216,1.6774253881149086,6.599476815994478,14.304120461428663,14.369363900186151,14.348170863775369,15.449997405552006,11.176772853136754,15.449999969361649,5.032276164344726,0.022832900592569916,0.22211673681268948,0.22566926402650467,0.2209615009119092,0.21511308758259792,0.2642903947273031,0.21794852606863924,0.12318902570936949
2050,SB,4,2934.0367923352214,6923.063395101455,7967.838200106216,6851.890929993217,8324.666658990986,5984.83799405449,6522.155975839582,6694.535788847929,179.61320766477877,1101.1366048985442,1601.809299893784,1766.5090700067828,2065.283341009014,2002.0620059455102,1485.3540241604185,1358.5142111520713,666.6853696920722,16107.196258765187,24016.902481670302,27992.52174945029,29547.601094600825,26444.09736346573,9488.495363579501,7911.107942660812,1.4453937558580736,5.149999143272018,5.149999933772429,5.149998774675098,5.149999999490266,5.1499982809014435,2.574997913394339,2.5749998778928935,4.33618126757422,15.449997429816053,15.449999801317288,15.449996324025296,15.449999998470798,15.449994842704331,7.724993740183017,7.724999633678681,0.06556682627384902,0.15597958215689373,0.19023061030736516,0.23290231487309287,0.22598161959223861,0.284890128756356,0.21081330079226648,0.19172475344897583
