,Unnamed: 0,Period,Hours/Day,Peak,4Periods,Segment,Direction,SegDir,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,Year,MinToll,MinCapture,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalHeavies,TotalVeh,TotalVeh_Real,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeHeavies,InScopeVeh,TollLights,TollHeavies,CaptureRateLights,CaptureRateHeavies,VOT Lights,VOT Heavies,Speed GP real,Speed ML real,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_Heavies,GPVeh_Heavies,MLVeh,GPVeh,GPVehDay,ML PCE,GP PCE,TollLightsPerSeg,TollHeaviesPerSeg,TollBlend,RevenuePerHour,RevenuePerDay,TransactionsDay_Lights,TransactionsDay_Heavies,TransactionsDay,TotalVeh_hours,SegDir,RevenuePerDay
10,10,AM-Peak,2,Peak,AM,1,SB,1SB,3.9,70,10400,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.257142857,0.257142857,3.246,0.715,7969.2,632.4,8601.6,8601.6,9866.4,1.1,0.948692308,9866.4,0,1,796.92,5881.2696,518.568,7053.312,1.799999949,5.399998878,0.122475947,0.121943567,63.60798331,190.8239157,50.48505804,68.96831184,3.481841994,3.392862515,4.635034782,-1.242172267,0.904524348,1517.234062,5655.045938,63.23603179,569.1639682,1580.470094,6224.209906,12448.41981,1706.942157,7362.537843,7.019999801,21.05999562,1.944039148,11982.73337,23965.46673,3034.468124,126.4720636,3160.940187,17203.2,1SB,23965.46673
11,11,AM-Shoulder,1,OP,AM,1,SB,1SB,3.9,70,10400,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.257142857,0.257142857,3.246,0.715,7015.5,997.3,8012.8,8012.8,10007.4,1.1,0.96225,10007.4,0,1,701.55,5177.439,817.786,6570.496,1.799983505,5.399415373,0.104420366,0.104050798,66.20899129,198.6072897,47.80671754,69.54390798,2.791147474,3.364780709,4.894709615,-1.529928906,1.086296731,1242.180073,5071.769927,85.09128614,912.2087139,1327.271359,5983.978641,5983.978641,1497.453932,7808.396068,7.01993567,21.05771995,2.030742863,10511.85268,10511.85268,1242.180073,85.09128614,1327.271359,8012.8,1SB,10511.85268
12,12,MD,5,OP,MD,1,SB,1SB,3.9,70,8000,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.310344828,0.310344828,3.249,0.708,6916.905306,627.6982313,7544.603537,7837.9,9142.1,1.1,1.1427625,8800,342.1,0.962579714,718.58,5082.626751,514.7125496,6186.574901,3.293406051,9.840735942,0.122052667,0.122210146,62.17293769,185.7734677,31.6378821,69.46549772,3.671114966,3.368578757,7.396196726,-4.027617968,2.837337708,1338.928149,4859.397157,62.90309559,564.7951357,1401.831245,5424.192292,27120.96146,1527.637436,6553.782564,12.8442836,38.37887018,3.587198417,19611.72261,98058.61304,6694.640747,314.515478,7009.156225,37723.01769,1SB,98058.61304
13,13,PM-Shoulder,1,OP,PM,1,SB,1SB,3.9,70,8000,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.310344828,0.310344828,3.399,0.592,7478.463329,440.5122235,7918.975553,8425.7,9363.1,1.1,1.1703875,8800,563.1,0.939859662,795.7,5479.86593,361.2200233,6493.559953,3.400809244,10.17015545,0.134861331,0.134935441,61.54060253,184.0378126,30.03751592,69.02839243,3.47792895,3.389909453,7.790258044,-4.400348591,3.113180631,1534.722013,5148.041316,48.74138323,391.7708403,1583.463397,5539.812156,5539.812156,1680.946163,6323.353837,13.26315605,39.66360626,3.609179894,22288.51659,22288.51659,1534.722013,48.74138323,1583.463397,7918.975553,1SB,22288.51659
14,14,PM-Peak,3,Peak,PM,1,SB,1SB,3.9,70,8000,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.310344828,0.310344828,3.399,0.592,7212.9,435.3,7648.2,7648.2,8518.8,1.1,1.06485,8518.8,0,1,721.29,5323.1202,356.946,6271.524,1.799999263,5.399993539,0.186081025,0.185692219,56.9152374,170.7455778,45.45235855,67.87698327,3.325796293,3.447413081,5.148247692,-1.700834612,1.263773385,1711.82166,4779.78834,66.2820948,369.0179052,1778.103755,5148.806245,15446.41873,1910.667945,5886.842055,7.019997127,21.0599748,1.934195685,13412.88238,40238.64715,5135.464981,198.8462844,5334.311266,22944.6,1SB,40238.64715
15,15,PM-Late,3,OP,NT,1,SB,1SB,3.9,70,8000,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.310344828,0.310344828,3.402,0.708,3888.9,282.7,4171.6,4171.6,4737,1.1,0.592125,4737,0,1,388.89,2870.0082,231.814,3420.712,0.709968652,2.128832471,0.122248987,0.122264475,72.17253193,216.4084697,68.43505021,69.98664786,1.827283928,3.343494897,3.41930048,-0.075805582,0.053510336,739.7455963,2760.264404,28.34261711,254.3573829,768.0882134,3014.621787,9043.86536,824.7734477,3523.336552,2.768877742,8.302446636,0.762325026,2283.578182,6850.734547,2219.236789,85.02785133,2304.26464,12514.8,1SB,6850.734547
16,16,Night,8,OP,NT,2,NB,2NB,3.1,70,9000,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.285714286,0.285714286,3.402,0.708,1728.4,293.4,2021.8,2021.8,2608.6,1.1,0.289844444,2608.6,0,1,172.84,1431.1152,269.928,1860.056,1.799543566,5.395692531,0.000399294,0.000225941,106429.7634,319115.5191,69.95859871,69.99999912,0,2.657142891,2.658715346,-0.001572456,0.001100742,173.4114352,1382.148565,0.060987712,293.3390123,173.4724229,1675.487577,13403.90062,173.5943984,2262.165602,5.578585055,16.72664685,1.800807865,968.4105609,7747.284487,1387.291482,0.487901695,1387.779384,16174.4,2NB,7747.284487
17,17,AM-Early,1,OP,AM,2,NB,2NB,3.1,70,7200,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.333333333,0.333333333,3.246,0.715,6422.062048,499.3126507,6921.374699,8154.9,9331.5,1.1,1.296041667,7920,1411.5,0.848738145,756.66,5212.169884,459.3676386,6367.664723,3.599999923,10.79999437,0.189432543,0.188696468,53.59691877,160.7906759,24.8644591,67.07410857,2.535372425,2.773052135,7.480556856,-4.707504721,3.376389799,1744.014594,3921.387454,86.68105072,412.6316,1830.695644,4334.019054,4334.019054,2004.057746,5159.282254,11.15999976,33.47998255,3.940910268,22365.28252,22365.28252,1744.014594,86.68105072,1830.695644,6921.374699,2NB,22365.28252
18,18,AM-Peak,2,Peak,AM,2,NB,2NB,3.1,70,6300,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.363636364,0.363636364,3.246,0.715,5602.469381,442.5102062,6044.979588,7499.7,8597.7,1.1,1.364714286,6930,1667.7,0.80602952,695.07,4514.807431,407.1093897,5561.381221,3.599999984,10.79999953,0.252352726,0.251778835,47.90459735,143.7137864,24.43446338,65.50695733,3.63976892,2.83939306,7.612199093,-4.772806033,3.468539365,1834.393961,3073.00542,102.5015278,340.0086785,1936.895489,3413.014099,6826.028198,2141.898544,4093.031456,11.15999995,33.47999854,3.981027746,23903.58751,47807.17502,3668.787922,205.0030555,3873.790977,12089.95918,2NB,47807.17502
19,19,AM-Shoulder,1,OP,AM,2,NB,2NB,3.1,70,9000,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.285714286,0.285714286,3.246,0.715,6119,865.8,6984.8,6984.8,8716.4,1.1,0.968488889,8716.4,0,1,611.9,5066.532,796.536,6426.016,1.87347106,5.611937816,0.102046516,0.102100445,66.79388497,200.0794871,48.0537999,69.72569753,2.381945752,2.667596117,3.870661641,-1.203065524,0.849463149,1128.921938,4378.178062,81.32668035,784.4733197,1210.248619,5162.651381,5162.651381,1372.901979,6731.598021,5.807760287,17.39700723,2.124689766,7971.348847,7971.348847,1128.921938,81.32668035,1210.248619,6984.8,2NB,7971.348847
