,Year,Total Revenue,Var Total Revenue (%),Total Revenues Heavies,Var Total Revenues Heavies (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Segment 8 Revenue,Var Segment 8 Revenue (%),Segment 8 Transactions,Var Segment 8 Transactions (%),Segment 8 AADT,Var Segment 8 AADT (%),Segment 8 Toll/AADT/mi,Var Segment 8 Toll/AADT/mi (%)
0,2032.0000000000005,19842864.424164,,4962824.189162,,7899953.821125,,21643.709099,,3.588242,,0.119779,,0.0,,0.0,,,,,
1,2033.0000000000007,21897746.144553,0.10355771608692899,5513827.446709,0.11102614893155005,8195954.173369,0.03746861803830748,22454.668968,0.03746861803079171,3.816822,0.06370250390023857,0.120357,0.004825553728116105,0.0,,0.0,,,,,
2,2034.0000000000002,24165426.722736,0.10355771608700848,6126006.47399,0.11102614893151719,8503045.24975,0.03746861803825441,23296.014383,0.0374686180499475,4.059962,0.06370221089691874,0.120938,0.00482730543300347,0.0,,0.0,,,,,
3,2034.9999999999993,26667943.122409,0.1035577160869463,6806153.381127,0.11102614893157403,8821642.604375,0.03746861803826884,24168.883848,0.03746861804983115,4.31859,0.06370207405882145,0.121522,0.004828920603945797,0.0,,0.0,,,,,
4,2035.9999999999998,29429614.404903,0.10355771608697384,7561814.380071,0.11102614893155316,9152177.361589,0.03746861803833168,25074.458525,0.03746861802535961,4.593694,0.06370227319564936,0.122108,0.00482217211698277,0.0,,0.0,,,,,
5,2036.999999999999,32477278.057995,0.10355771608697184,8401373.509626,0.111026148931616,9495096.799369,0.03746861803828305,26013.963834,0.03746861803868207,4.886323,0.0637023275821158,0.122697,0.004823598781406702,0.0,,0.0,,,,,
6,2038.0000000000005,35840550.798403,0.10355771608698783,9334145.656135,0.11102614893151252,9850864.954581,0.037468618038274615,26988.671108,0.03746861801683865,5.197593,0.06370229720794152,0.123289,0.004824893844185274,0.0,,0.0,,,,,
7,2038.999999999999,39552116.382384,0.10355771608695208,10370479.901902,0.1110261489315687,10219963.250911,0.03746861803829282,27999.899318,0.03746861807138968,5.528691,0.06370217906634856,0.123884,0.004826059096918689,0.0,,0.0,,,,,
8,2039.9999999999998,43648043.22135,0.10355771608697717,11521874.347983,0.11102614893162555,10602891.150325,0.03746861803831503,29049.01685,0.037468618014835586,5.880882,0.06370242069958332,0.124482,0.004827096315908497,0.0,,0.0,,,,,
9,2041.0000000000002,46265763.386365,0.059973368147110184,12197291.091537,0.058620387894807946,11002949.528969,0.03773106532662429,30145.067203,0.03773106534584825,6.00693,0.02143351966592766,0.125595,0.008941051718320825,0.0,,0.0,,,,,
10,2041.9999999999995,49040477.046543,0.05997336814711973,12912301.026589,0.05862038789482571,11418102.536432,0.037731065326617186,31282.472703,0.03773106532954773,6.13568,0.02143357755126174,0.126717,0.008933476651140415,0.0,,0.0,,,,,
11,2043.0,51981599.630566,0.05997336814712595,13669225.121383,0.058620387894871895,11848919.70914,0.03773106532660586,32462.793724,0.037731065322301305,6.26719,0.021433647126317013,0.12785,0.008941183897977378,0.0,,0.0,,,,,
12,2044.0000000000002,55099111.242086,0.05997336814711751,14470520.400221,0.05862038789488655,12295992.072736,0.03773106532666759,33687.649514,0.03773106530552406,6.401518,0.021433529221229985,0.128993,0.008940164254986449,0.0,,0.0,,,,,
13,2044.9999999999993,58403590.525187,0.05997336814712462,15318787.919122,0.058620387894829706,12759932.952888,0.03773106532661963,34958.720419,0.037731065341076064,6.538726,0.021433666202297585,0.130146,0.008938469529354398,0.0,,0.0,,,,,
14,2045.9999999999993,61906250.560867,0.059973368147108186,16216781.20902,0.05862038789485835,13241378.816697,0.03773106532664272,36277.750183,0.037731065330500746,6.678874,0.021433533076626876,0.13131,0.008943801576690724,0.0,,0.0,,,,,
15,2046.9999999999995,65618976.916362,0.059973368147124395,17167415.213899,0.05862038789487056,13740990.145845,0.03773106532667159,37646.548345,0.03773106532503312,6.822026,0.02143355302106298,0.132484,0.00894067473916671,0.0,,0.0,,,,,
16,2048.0,69554367.976404,0.059973368147114625,18173775.752889,0.05862038789480861,14259452.342691,0.03773106532666959,39066.99272,0.0377310653285603,6.968247,0.02143366208220243,0.133668,0.00893692823284331,0.0,,0.0,,,,,
17,2049.000000000001,73725777.693293,0.05997336814711818,19239129.537038,0.05862038789488433,14797476.670555,0.037731065326626956,40541.031974,0.037731065315538714,7.117601,0.021433511182941567,0.134863,0.008940060448274778,0.0,,0.0,,,,,
18,2049.999999999999,78147360.900826,0.059973368147125505,20366934.773258,0.058620387894827486,15355801.229481,0.03773106532663051,42070.6883,0.03773106533107029,7.270157,0.021433626301895936,0.136069,0.00894240822167669,0.0,,0.0,,,,,
