,Period,Hours/Day,Peak,4Periods,Segment,Direction,SegDir,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,Year,MinToll,MinCapture,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalHeavies,TotalVeh,TotalVeh_Real,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeHeavies,InScopeVeh,TollLights,TollHeavies,CaptureRateLights,CaptureRateHeavies,VOT Lights,VOT Heavies,Speed GP real,Speed ML real,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_Heavies,GPVeh_Heavies,MLVeh,GPVeh,GPVehDay,ML PCE,GP PCE,TollLightsPerSeg,TollHeaviesPerSeg,TollBlend,RevenuePerHour,RevenuePerDay,TransactionsDay_Lights,TransactionsDay_Heavies,TransactionsDay,TotalVeh_hours
10,AM-Peak,2,Peak,AM,1,SB,1SB,3.9,70,10400.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.2571428571428571,0.2571428571428571,3.246,0.715,7969.2,632.4,8601.6,8601.6,9866.4,1.2,0.9486923076923076,9866.4,0.0,1.0,796.9200000000001,5881.2696,518.568,7053.312,1.7999999942939602,5.399999732823161,0.12247594898425952,0.12194353174076969,63.60798250174577,190.82393866872022,50.48505765781927,68.96831198009428,3.481842140569235,3.3928625086189923,4.635034817351692,-1.2421723087327,0.9045243721461849,720.3140754922764,6451.965924507724,63.236013367747454,569.1639866322525,783.5500888600238,7021.129911139977,14042.259822279953,910.0221155955187,8159.457884404481,7.019999977746444,21.059998958010326,2.0905361512366825,6388.355169559719,12776.710339119438,1440.6281509845528,126.47202673549491,2364.0201777200477,17203.2
11,AM-Shoulder,1,OP,AM,1,SB,1SB,3.9,70,10400.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.2571428571428571,0.2571428571428571,3.246,0.715,7015.5,997.3,8012.8,8012.8,10007.4,1.2,0.9622499999999999,10007.4,0.0,1.0,701.5500000000001,5177.438999999999,817.786,6570.496,1.7999142751153403,5.397840888315909,0.10441234970196911,0.10410638379839518,66.21102840546354,198.5631212139561,47.80761446655536,69.54375041089746,2.790936871807285,3.364788332774937,4.894617784447261,-1.5298294516723243,1.0862324491130828,540.5885714286131,5773.361428571387,85.1367431809544,912.1632568190455,625.7253146095675,6685.524685390432,6685.524685390432,795.9988009714764,8509.851199028522,7.019665672949827,21.051579464432045,2.289451372145064,5587.013952463226,5587.013952463226,540.5885714286131,85.1367431809544,1327.2753146095674,8012.8
12,MD,5,OP,MD,1,SB,1SB,3.9,70,8000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.3103448275862069,0.3103448275862069,3.249,0.708,7185.8,652.1,7837.900000000001,7837.900000000001,9142.1,1.2,1.1427625000000001,9142.1,0.0,1.0,718.58,5303.1204,534.722,6427.078,3.3337980780882477,9.95832610360799,0.11777398264023292,0.1179417195976684,63.03514652764072,188.29111134136986,31.6654550775983,69.46112753143377,3.665612984400346,3.3687906936740437,7.389756421518891,-4.020965727844848,2.832829495063224,624.569609928665,5842.650390071335,63.06603218670444,589.0339678132956,687.6356421153695,6431.684357884631,32158.421789423155,813.7677064887783,7609.752293511222,13.001812504544166,38.83747180407116,3.9413621310421223,10569.862211174568,52849.31105587284,3122.8480496433253,315.3301609335222,4156.758210576848,39189.5
13,PM-Shoulder,1,OP,PM,1,SB,1SB,3.9,70,8000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.3103448275862069,0.3103448275862069,3.399,0.592,7957.0,468.7,8425.7,8425.7,9363.1,1.2,1.1703875000000001,9363.1,0.0,1.0,795.7,5872.266,384.33399999999995,6909.0740000000005,3.4606747552935593,10.345065387877474,0.12698076273865852,0.1270665945674555,62.70616841442243,187.448823810497,30.05940844522841,69.0225779141655,3.473443091153872,3.3901950212725422,7.784584331603666,-4.394389310331124,3.1092090321225667,745.6648156842913,6415.635184315709,48.836012556488434,419.8639874435116,794.5008282407797,6835.49917175922,6835.49917175922,892.1728533537566,7675.227146646243,13.496631545644881,40.34575501272215,3.883841321552631,12034.289072244388,12034.289072244388,745.6648156842913,48.836012556488434,1590.2008282407796,8425.7
14,PM-Peak,3,Peak,PM,1,SB,1SB,3.9,70,8000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.3103448275862069,0.3103448275862069,3.399,0.592,7212.9,435.3,7648.2,7648.2,8518.8,1.2,1.0648499999999999,8518.8,0.0,1.0,721.29,5323.120199999999,356.94599999999997,6271.523999999999,1.7999992632584234,5.3999935385329225,0.1860810245102049,0.1856922189797854,56.91523739723945,170.7455777691814,45.452358546249776,67.87698326723822,3.3257962932148994,3.447413080789396,5.148247692402908,-1.7008346116135118,1.2637733846820352,990.5316604069667,5501.078339593033,66.28209479595847,369.01790520404154,1056.8137552029252,5870.096244797074,17610.288734391223,1189.377944794842,6608.1320552051575,7.019997126707851,21.059974800278397,2.0257865986748085,8349.428656082613,25048.285968247837,2971.5949812209,198.84628438787541,3891.7312656087756,22944.6
15,PM-Late,3,OP,NT,1,SB,1SB,3.9,70,8000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.3103448275862069,0.3103448275862069,3.402,0.708,3888.9,282.7,4171.6,4171.6,4737.0,1.2,0.592125,4737.0,0.0,1.0,388.89000000000004,2870.0082,231.81399999999996,3420.712,0.709968651704957,2.1288324707956465,0.12224898741458505,0.12226447544597617,72.17253192506574,216.40846971573774,68.43505020847473,69.98664785982399,1.8272839276255732,3.3434948973220973,3.4193004796104076,-0.07580558228831036,0.05351033572728553,350.85559632155594,3149.1544036784444,28.342617111033515,254.35738288896647,379.19821343258945,3403.511786567411,10210.535359702233,435.8834476546565,3912.226552345344,2.7688777416493324,8.30244663610302,0.8160195573596987,1206.7893172797158,3620.3679518391473,1052.566788964668,85.02785133310054,1526.4846402977685,12514.800000000001
16,Night,8,OP,NT,2,NB,2NB,3.1,70,9000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.2857142857142857,0.2857142857142857,3.402,0.708,1728.4,293.4,2021.8000000000002,2021.8000000000002,2608.6,1.2,0.28984444444444446,2608.6,0.0,1.0,172.84000000000003,1431.1152,269.928,1860.0560000000003,1.7995435662040997,5.395692531118406,0.00039929366087203527,0.00022594066518636746,106429.763354764,319115.5190720557,69.95859871184699,69.9999991180374,0.0,2.6571428906214383,2.6587153462881217,-0.0015724556666834033,0.001100742401685064,0.5714352273376149,1554.9885647726624,0.0609877118724258,293.33901228812755,0.6324229392100407,1848.32757706079,14786.62061648632,0.7543983629548923,2435.005601637045,5.578585055232709,16.72664684646706,2.146338224216457,4.207919937723277,33.66335950178622,4.571481818700919,0.4879016949794064,177.89938351368036,16174.400000000001
17,AM-Early,1,OP,AM,2,NB,2NB,3.1,70,7200.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.3333333333333333,0.3333333333333333,3.246,0.715,7566.6,588.3,8154.900000000001,8154.900000000001,9331.5,1.2,1.2960416666666668,9331.5,0.0,1.0,756.6600000000001,6265.144800000001,541.236,7502.508000000001,3.599999977066163,10.7999997845358,0.16796322823011461,0.16714793124369706,56.36069559988515,169.08208450354124,25.614621259123272,66.55869964368027,2.4085405549063883,2.7945257493873026,7.261477658341389,-4.466951908954086,3.2230343608389727,1052.313945937116,5757.626054062885,90.46647771461362,497.8335222853863,1142.7804236517295,6255.459576348271,6255.459576348271,1323.7133790809567,7251.1266209190435,11.159999928905107,33.47999933206098,4.169977033591398,14772.64117530324,14772.64117530324,1052.313945937116,90.46647771461362,1899.4404236517296,8154.900000000001
18,AM-Peak,2,Peak,AM,2,NB,2NB,3.1,70,6300.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.36363636363636365,0.36363636363636365,3.246,0.715,6950.7,549.0,7499.7,7499.7,8597.7,1.2,1.3647142857142858,8597.7,0.0,1.0,695.07,5755.1796,505.08000000000004,6899.724,3.599996878366649,10.799983349174417,0.21341365613076116,0.21276939748274037,51.653998473207714,154.96189087864744,25.528710675746122,64.57860192739024,3.3728487041675947,2.8802110056382366,7.2859143715672126,-4.405703365928976,3.2401400600970494,1228.2339201251716,5027.3960798748285,107.46556728058252,441.5344327194175,1335.699487405754,5468.9305125942465,10937.861025188493,1550.630621966919,6351.999378033081,11.159990322936613,33.47994838244069,4.179281843131204,17305.020308343024,34610.04061668605,2456.467840250343,214.93113456116504,3366.4689748115084,14999.4
19,AM-Shoulder,1,OP,AM,2,NB,2NB,3.1,70,9000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.2857142857142857,0.2857142857142857,3.246,0.715,6119.0,865.8,6984.8,6984.8,8716.4,1.2,0.9684888888888888,8716.4,0.0,1.0,611.9,5066.532,796.536,6426.0160000000005,1.873471060451336,5.61193781578719,0.10204651590036855,0.10210044536075748,66.79388497081187,200.07948713162173,48.05379990164186,69.72569753487655,2.3819457518493286,2.6675961170121454,3.8706616413418105,-1.203065524329665,0.8494631489392672,517.021938297726,4990.078061702275,81.32668034587631,784.4733196541237,598.3486186436023,5774.551381356398,5774.551381356398,761.0019793353549,7343.498020664645,5.807760287399142,17.39700722894029,2.3815980642106274,4417.580326842589,4417.580326842589,517.021938297726,81.32668034587631,1210.2486186436022,6984.8
20,MD,5,OP,MD,2,NB,2NB,3.1,70,10350.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.25806451612903225,0.25806451612903225,3.249,0.708,6267.4,566.1,6833.5,6833.5,7965.7,1.2,0.7696328502415459,7965.7,0.0,1.0,626.74,5189.4072,520.812,6286.820000000001,1.002185531250489,3.0032224748294687,0.09104082180368121,0.0910745256865265,69.97006257150818,209.67740795237614,62.33554977335703,69.84936936049509,1.7148021725446758,2.662873003763962,2.9838511198869484,-0.32097811612298655,0.22869578392086412,472.44789616194026,5168.212103838059,47.43270587185124,518.6672941281488,519.8806020337915,5686.879397966208,28434.39698983104,614.746013777494,6724.213986222506,3.106775146876516,9.309989671971353,1.1847555221525934,1909.387383770603,9546.936918853015,2362.2394808097015,237.1635293592562,3226.1430101689575,34167.5
21,PM-Shoulder,1,OP,PM,2,NB,2NB,3.1,70,10350.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.25806451612903225,0.25806451612903225,3.399,0.592,6940.1,406.9,7347.0,7347.0,8160.8,1.2,0.7884830917874396,8160.8,0.0,1.0,694.0100000000001,5746.402800000001,374.348,6759.240000000001,0.9788264676302072,2.9338519964076752,0.0956638241376607,0.09568587968614024,69.21866348116228,207.47019084449195,61.497588359943705,69.74577738279274,1.6208673901623136,2.666828114613413,3.024508845962334,-0.35768073134892076,0.2571561921736337,549.7228668833611,5696.367133116639,35.81981768874723,371.08018231125277,585.5426845721083,6067.447315427891,6067.447315427891,657.1823199496027,6809.607680050397,3.0343620496536423,9.094941188863794,1.098422630066819,1993.8373403726512,1993.8373403726512,549.7228668833611,35.81981768874723,1279.5526845721083,7347.0
22,PM-Peak,3,Peak,PM,2,NB,2NB,3.1,70,10350.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.25806451612903225,0.25806451612903225,3.399,0.592,6291.1,377.9,6669.0,6669.0,7424.8,1.2,0.7173719806763286,7424.8,0.0,1.0,629.1100000000001,5209.0308,347.668,6135.4800000000005,1.1844893646298393,3.5499578679990904,0.09416587479668462,0.0941910823490385,69.58784538561797,208.55731306711934,64.86719788814186,69.86382111392791,2.338846317580937,2.6623221723971726,2.8673968670689565,-0.20507469467178385,0.1471778069482695,490.512942124874,5171.477057875127,32.74722521812552,345.1527747818744,523.2601673429995,5516.629832657001,16549.889497971002,588.7546177792506,6206.93538222075,3.671917030352502,11.00486939079718,1.3325276344250598,2161.501762233127,6484.505286699381,1471.538826374622,98.24167565437656,2198.8905020289985,20007.0
23,PM-Late,3,OP,NT,2,NB,2NB,3.1,70,9000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.2857142857142857,0.2857142857142857,3.402,0.708,3391.9,245.4,3637.3,3637.3,4128.1,1.2,0.4586777777777778,4128.1,0.0,1.0,339.19000000000005,2808.4932000000003,225.76800000000003,3346.3160000000003,0.543798755981842,1.6313687495486175,0.10041801888972364,0.10034960444887334,78.47821295334268,235.43066754786716,69.63747941670971,69.99550097427681,1.072177006925168,2.6573136474636363,2.6709754798415175,-0.013661832377881211,0.009682835889062233,282.0233232092604,2770.6866767907395,22.655729497213237,222.74427050278678,304.67905270647367,2993.4309472935265,8980.292841880579,349.99051170090013,3438.9194882990996,1.6857761435437104,5.057243123600714,0.6246697294362349,590.0037223990279,1770.0111671970835,846.0699696277812,67.96718849163972,1253.227158119421,10911.900000000001
24,Night,8,OP,NT,2,SB,2SB,3.1,70,9000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.2857142857142857,0.2857142857142857,3.402,0.708,1906.3,296.1,2202.4,2202.4,2794.6,1.2,0.3105111111111111,2794.6,0.0,1.0,190.63,1578.4164,272.41200000000003,2026.208,0.6388226157549329,3.7726824608849,0.056993841045616125,0.0056776345628154,31368.54562642922,185252.61784673034,69.95012861111881,69.99997870849123,0.0,2.6571436653513953,2.659037284034881,-0.0018936186834856983,0.001326098824416876,89.96001340539364,1625.709986594606,1.546655786525669,294.55334421347436,91.50666919191931,1920.2633308080804,15362.106646464643,94.59998076497064,2509.3700192350293,1.9803501088402922,11.69531562874319,0.6917914595171832,196.24094993108517,1569.9275994486813,719.6801072431491,12.373246292205351,922.6833535353545,17619.2
25,AM-Early,1,OP,AM,2,SB,2SB,3.1,70,9000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.2857142857142857,0.2857142857142857,3.246,0.715,5174.9,402.3,5577.2,5577.2,6381.799999999999,1.2,0.7090888888888888,6381.799999999999,0.0,1.0,517.49,4284.8172,370.11600000000004,5131.024,0.8498183137670438,2.5474194836393638,0.10045463201555954,0.10048016620050743,67.68438430517807,202.89103744169216,65.35700753916778,69.94077046814536,1.6663912251259316,2.659393065804358,2.8459075316221005,-0.18651446581774245,0.13213527213547047,430.42973507994026,4226.980264920059,37.18931719346701,365.110682806533,467.61905227340725,4592.090947726592,4592.090947726592,541.9976866603413,5322.312313339658,2.6344367726778355,7.897000399282028,0.9848269881729576,1427.6239748744085,1427.6239748744085,430.42973507994026,37.18931719346701,985.1090522734073,5577.2
26,AM-Peak,2,Peak,AM,2,SB,2SB,3.1,70,9000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.2857142857142857,0.2857142857142857,3.246,0.715,5946.1,468.5,6414.6,6414.6,7351.6,1.2,0.8168444444444445,7351.6,0.0,1.0,594.61,4923.370800000001,431.02000000000004,5901.432000000001,1.605008839522503,4.8064764403537,0.10048676651592162,0.10055330439183816,67.73307696740868,202.83840852450905,60.035799361016956,69.86255400774172,3.001864210983377,2.662370459279068,3.0981514692844314,-0.4357810100053636,0.30870602849910217,494.7336120509063,4856.7563879490945,43.340485258970084,425.1595147410299,538.0740973098764,5281.915902690124,10563.831805380249,624.7550678278166,6132.234932172184,4.975527402519759,14.90007696509647,1.8628788244457635,3107.3372097701476,6214.674419540295,989.4672241018126,86.68097051794017,1670.7581946197529,12829.2
27,AM-Shoulder,1,OP,AM,2,SB,2SB,3.1,70,9000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.2857142857142857,0.2857142857142857,3.246,0.715,5237.7,741.0,5978.7,5978.7,7460.7,1.2,0.8289666666666666,7460.7,0.0,1.0,523.77,4336.815600000001,681.72,5500.404,1.2003343492486178,3.5980100302699083,0.10212105451892801,0.1021525318320956,66.71205589371209,199.96982207145587,59.34630370588881,69.89161903768219,2.0378706855633637,2.661263289661637,3.134146330692936,-0.4728830410312992,0.33390243148505533,442.8801823261376,4271.049817673862,69.63942400057621,671.3605759994238,512.5196063267138,4942.410393673285,4942.410393673285,651.7984543278662,6285.131545672133,3.721036482670715,11.153831093836716,1.526122380194838,2424.7196886619217,2424.7196886619217,442.8801823261376,69.63942400057621,1036.2896063267137,5978.7
28,MD,5,OP,MD,2,SB,2SB,3.1,70,9000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.2857142857142857,0.2857142857142857,3.249,0.708,6989.2,619.4,7608.599999999999,7608.599999999999,8847.4,1.2,0.9830444444444444,8847.4,0.0,1.0,698.9200000000001,5787.0576,569.848,6999.911999999999,1.9331993379021861,5.786294032971638,0.10163825531558245,0.10171379545106693,66.97816295197971,200.47355543220826,46.64470059578842,69.5957190740462,2.31693369892431,2.672578176857484,3.98759125097255,-1.315013074115066,0.931313875680785,588.1864378747817,5702.093562125218,57.96140291019958,561.4385970898004,646.1478407849813,6263.5321592150185,31317.66079607509,762.0706466053805,7386.40935339462,5.992917947496777,17.93751150221208,2.2788335101076624,4564.636391400031,22823.181957000157,2940.932189373909,289.8070145509979,3929.6592039249067,38043.0
29,PM-Shoulder,1,OP,PM,2,SB,2SB,3.1,70,9000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.2857142857142857,0.2857142857142857,3.399,0.592,8001.6,469.1,8470.7,8470.7,9408.900000000001,1.2,1.0454333333333334,9408.900000000001,0.0,1.0,800.1600000000001,6625.3248,431.57200000000006,7793.044000000001,2.255455165245985,6.751427118356711,0.10846207885672263,0.1085076399755409,66.3246122537866,198.53455421530057,41.303695660144946,69.12153108598378,2.2718205501011934,2.690912615471801,4.5032289974835455,-1.8123163820117445,1.2922602982384823,718.5965009090002,6482.843499091,46.828859199524146,422.2711408004759,765.4253601085243,6905.114639891476,6905.114639891476,859.0830785075726,7749.6569214924275,6.991911012262554,20.929424066905803,2.5305195262274145,6004.46384083524,6004.46384083524,718.5965009090002,46.828859199524146,1565.5853601085244,8470.7
