,Period,Hours/Day,Peak,4Periods,Segment,Direction,SegDir,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,Year,MinToll,MinCapture,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalHeavies,TotalVeh,TotalVeh_Real,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeHeavies,InScopeVeh,TollLights,TollHeavies,CaptureRateLights,CaptureRateHeavies,VOT Lights,VOT Heavies,Speed GP real,Speed ML real,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_Heavies,GPVeh_Heavies,MLVeh,GPVeh,GPVehDay,ML PCE,GP PCE,TollLightsPerSeg,TollHeaviesPerSeg,TollBlend,RevenuePerHour,RevenuePerDay,TransactionsDay_Lights,TransactionsDay_Heavies,TransactionsDay,TotalVeh_hours
0,Night,8,OP,NT,1,NB,1NB,3.9,70,8000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.3103448275862069,0.3103448275862069,3.402,0.708,1542.3,257.8,1800.1,1800.1,2315.7,1.2,0.28946249999999996,2315.7,0.0,1.0,154.23000000000002,1138.2173999999998,211.396,1476.0819999999999,1.7993975105582158,5.395276193166212,0.0003993194414007222,0.00022262150047406887,107243.58124289449,321556.9307807795,69.95891628736244,69.99999955619612,0.0,3.342857164051043,3.3448202519150567,-0.0019630878640137794,0.0013741763405396477,0.4545123363605823,1387.6154876636394,0.04706129471421626,257.75293870528577,0.5015736310747986,1645.3684263689252,13162.947410951401,0.595696220503231,2160.8743037794966,7.017650291177041,21.041577153348225,2.1367890637707614,4.1798524932700385,33.43881994616031,3.6360986908846584,0.3764903577137301,158.2425890485984,14400.8
1,AM-Early,1,OP,AM,1,NB,1NB,3.9,70,6000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.375,0.375,3.246,0.715,5379.0,420.2,5799.2,5799.2,6639.6,1.2,1.1066,6639.6,0.0,1.0,537.9,3969.702,344.56399999999996,4755.343999999999,1.7999999897463415,5.3999999381578005,0.19037639730541459,0.19001290969106258,52.292378683299034,156.8771351469465,42.08006686606714,69.51434678580272,3.0993089078261433,3.3662115925656813,5.560827665620816,-2.1946160730551347,1.5525793659345715,755.737565136099,4085.362434863901,65.47160821479127,354.7283917852087,821.2091733508903,4440.09082664911,4440.09082664911,952.1523897804727,5149.547610219527,7.019999960010732,21.059999758815422,2.0870130843930004,6684.109730246784,6684.109730246784,755.737565136099,65.47160821479127,1359.1091733508902,5799.2
2,AM-Peak,2,Peak,AM,1,NB,1NB,3.9,70,5600.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.391304347826087,0.391304347826087,3.246,0.715,5493.6,434.8,5928.400000000001,5928.400000000001,6798.0,1.2,1.2139285714285715,6798.0,0.0,1.0,549.36,4054.2768000000005,356.536,4861.2880000000005,1.799999999228116,5.3999999098324984,0.26676523391637147,0.2664754569800992,46.1373033898937,138.41190791787696,40.51208716750208,67.78137334744106,3.7328655508952546,3.4522758752694136,5.776053922684826,-2.323778047415413,1.703237745879378,1081.540098913718,3862.6999010862824,95.00809352985665,339.7919064701434,1176.5481924435749,4202.491807556426,8404.983615112851,1366.5643795032881,4882.075620496713,7.019999996989652,21.059999648346743,2.090705582230046,9593.281907447365,19186.56381489473,2163.080197827436,190.0161870597133,2902.45638488715,11856.800000000001
3,AM-Shoulder,1,OP,AM,1,NB,1NB,3.9,70,8000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.3103448275862069,0.3103448275862069,3.246,0.715,5001.5,711.0,5712.5,5712.5,7134.5,1.2,0.8918125,7134.5,0.0,1.0,500.15000000000003,3691.107,583.02,4684.25,1.385943759666997,4.153902563794597,0.12092702090962568,0.12096584049402076,62.047843982172274,185.96764579927859,55.1683541190731,69.90037526001959,2.9197345554649976,3.3476215131829097,4.241562100891103,-0.893940587708193,0.6290934706237719,446.3545733686657,4054.995426631334,70.52550432482398,640.4744956751761,516.8800776934896,4695.46992230651,4695.46992230651,657.9310863431376,5976.418913656862,5.405180662701288,16.20021999879893,1.7636168390446019,3555.1557942689888,3555.1557942689888,446.3545733686657,70.52550432482398,1017.0300776934896,5712.5
4,MD,5,OP,MD,1,NB,1NB,3.9,70,8000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.3103448275862069,0.3103448275862069,3.249,0.708,6404.2,565.4,6969.599999999999,6969.599999999999,8100.4,1.2,1.01255,8100.4,0.0,1.0,640.4200000000001,4726.299599999999,463.62799999999993,5715.071999999999,1.7999997092845388,5.399987990432744,0.1346836942095447,0.13422321510035967,59.89286168372988,179.678214466681,45.623596947282564,69.58283637270148,2.9613990289156242,3.36289826914561,5.128924847165903,-1.766026578020293,1.2502473930161322,636.5554900690934,5127.224509930907,62.229640770549544,503.1703592294504,698.7851308396429,5630.394869160357,28151.974345801787,823.244412380742,6636.735587619258,7.0199988662097015,21.0599531626877,2.120593218829965,5779.17213852325,28895.860692616254,3182.7774503454666,311.1482038527477,4134.345654198214,34848.0
5,PM-Shoulder,1,OP,PM,1,NB,1NB,3.9,70,9600.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.2727272727272727,0.2727272727272727,3.399,0.592,8984.2,529.2,9513.400000000001,9513.400000000001,10571.800000000001,1.2,1.1012291666666667,10571.800000000001,0.0,1.0,898.4200000000001,6630.3396,433.944,7800.988,2.5875290733221443,7.778151986073748,0.12278448489074237,0.12113475533395232,63.81786353981229,191.83747427497025,35.99378375764182,68.21955479651899,2.7826990016265305,3.43010154050346,6.501122570930587,-3.071021030427127,2.210785799651411,814.1028324366908,7271.67716756331,52.56570026863661,476.63429973136346,866.6685327053275,7748.311467294673,7748.311467294673,971.7999332426007,8701.5800667574,10.091363385956363,30.33479274568762,2.902353851126773,9809.977138836017,9809.977138836017,814.1028324366908,52.56570026863661,1765.0885327053275,9513.400000000001
6,PM-Peak,3,Peak,PM,1,NB,1NB,3.9,70,8000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.3103448275862069,0.3103448275862069,3.399,0.592,7075.0,431.3,7506.3,7506.3,8368.9,1.2,1.0461125,8368.9,0.0,1.0,707.5,5221.349999999999,353.666,6155.166,1.7999978947294732,5.399959944594382,0.17921471665403108,0.17882092129407115,57.32780950276524,171.98235394202797,46.505882812555456,68.34204117624078,3.45532663977227,3.4239539231285128,5.031621503523543,-1.6076675803950304,1.1821350524664802,935.742760801525,5431.757239198475,63.24287995038897,368.05712004961106,998.985640751914,5799.8143592480865,17399.44307774426,1125.471400652692,6535.928599347308,7.019991789444945,21.05984378391809,2.027901038136218,7900.791670059528,23702.375010178584,2807.228282404575,189.72863985116692,3704.456922255742,22518.9
7,PM-Late,3,OP,NT,1,NB,1NB,3.9,70,8000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.3103448275862069,0.3103448275862069,3.402,0.708,4584.2,332.8,4917.0,4917.0,5582.6,1.2,0.697825,5582.6,0.0,1.0,458.42,3383.1395999999995,272.896,4031.9399999999996,0.9112610272856011,2.731655824661194,0.12175639954088192,0.12178364186584832,72.31654241181408,216.780810748617,65.9487267023389,69.9646865624618,2.1589252870396427,3.3445443908491432,3.548211037586281,-0.20366664673713775,0.14374772631039678,411.9188968401794,3713.8611031598202,33.234268730622546,299.56573126937747,445.15316557080195,4013.4268344291977,12040.280503287593,511.62170303204704,4612.558296967953,3.553918006413844,10.653457716178655,1.0471681589674158,1817.985861312246,5453.957583936738,1235.756690520538,99.70280619186764,1793.8794967124059,14751.0
8,Night,8,OP,NT,1,SB,1SB,3.9,70,9600.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.2727272727272727,0.2727272727272727,3.402,0.708,1981.7,338.0,2319.7,2319.7,2995.7,1.2,0.31205208333333334,2995.7,0.0,1.0,198.17000000000002,1462.4946,277.15999999999997,1902.1539999999998,0.757260966031491,1.5920728022552684,0.03063031113745319,0.08527361436976094,36750.5946205214,77264.80670021457,69.94953328670395,69.99996621064396,0.0,3.3428587564720673,3.3452689246817155,-0.0024101682096482335,0.0016882472772010138,44.79666463484515,1738.7333353651547,23.63443495872294,314.3655650412771,68.43109959356809,2053.0989004064318,16424.791203251454,115.69996951101396,2681.8300304889863,2.953317767522815,6.209083928795547,1.0455846399631812,279.0469758602194,2232.375806881755,358.3733170787612,189.07547966978353,745.6187967485448,18557.6
9,AM-Early,1,OP,AM,1,SB,1SB,3.9,70,10400.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.2571428571428571,0.2571428571428571,3.246,0.715,8675.3,677.7,9353.0,9353.0,10708.4,1.2,1.029653846153846,10708.4,0.0,1.0,867.53,6402.371399999999,555.714,7669.459999999999,1.6310045278508123,4.8534854437434305,0.13698252761255658,0.13879260698595797,61.29574922205899,182.4017171826166,44.25082034129887,67.5351903202756,2.107680918037839,3.464860303055189,5.28803755942147,-1.823177256366281,1.3616262915950288,877.0130170863424,6930.756982913657,77.12899479859465,600.5710052014053,954.1420118849371,7531.327988115063,7531.327988115063,1108.4000014821263,8732.469998517874,6.360917658618168,18.92859323059938,1.89149689764956,7038.550956050125,7038.550956050125,877.0130170863424,77.12899479859465,1821.672011884937,9353.0
