,Year,Total Revenue,Var Total Revenue (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Segment 8 Revenue,Var Segment 8 Revenue (%),Segment 8 Transactions,Var Segment 8 Transactions (%),Segment 8 AADT,Var Segment 8 AADT (%),Segment 8 Toll/AADT/mi,Var Segment 8 Toll/AADT/mi (%)
0,2032.0000000000005,344344549.822573,,69575706.141879,,23951.210373,,1.497673,,0.136536,,0.0,,0.0,,20464.973318,,0.0,
1,2033.0000000000007,375561460.358279,0.09065603202313155,71311249.425295,0.024944673646241755,24613.975811,0.027671479966086654,1.589464,0.06128907979245124,0.137875,0.009806937364504664,0.0,,0.0,,21097.755641,0.03092026132491621,0.0,
2,2034.0000000000002,409608372.135172,0.09065603202312844,73090085.269515,0.02494467364624553,25295.080951,0.027671480025409423,1.68688,0.06128858533442716,0.139227,0.009805983680870378,0.0,,0.0,,21750.103759,0.030920261334919985,0.0,
3,2034.9999999999993,446741841.836402,0.09065603202313421,74913293.593339,0.02494467364624131,25995.033277,0.027671479974936686,1.790266,0.0612882955515508,0.140593,0.009811315333950965,0.0,,0.0,,22422.622651,0.03092026132159109,0.0,
4,2035.9999999999998,487241684.555995,0.09065603202313022,76781981.25379,0.024944673646242865,26714.35432,0.027671479983695457,1.899989,0.06128865766316283,0.141972,0.00980845419046461,0.0,,0.0,,23115.936003,0.030920261326748744,0.0,
5,2036.999999999999,531413082.314107,0.09065603202312977,78697282.718077,0.024944673646233317,27453.580041,0.027671479989564096,2.016437,0.06128877588238657,0.143365,0.00981179387484854,0.0,,0.0,,23830.686784,0.03092026128240022,0.0,
6,2038.0000000000005,579588883.721886,0.09065603202313222,80660360.752326,0.02494467364624864,28213.261232,0.027671479998800486,2.140022,0.061288798013525936,0.144771,0.009807135632825537,0.0,,0.0,,24567.537847,0.03092026132854553,0.0,
7,2038.999999999999,632132112.124826,0.09065603202312733,82672407.127481,0.024944673646243087,28993.963926,0.027671480002975146,2.27118,0.06128815498158424,0.146191,0.009808594262662895,0.0,,0.0,,25327.172538,0.030920261351821132,0.0,
8,2039.9999999999998,689438701.124465,0.0906560320231331,84734643.342825,0.02494467364623887,29796.269818,0.02767147996899255,2.410378,0.06128884544597968,0.147625,0.009809085374612891,0.0,,0.0,,26110.295331,0.030920261305324548,0.0,
9,2041.0000000000002,732234008.593792,0.06207267941229344,86925846.788765,0.025859593662000746,30734.522898,0.03148894427829352,2.481846,0.02965012126728661,0.149825,0.014902624894157501,0.0,,0.0,,27292.768727,0.04528763007119574,0.0,
10,2041.9999999999995,777685735.464015,0.06207267941229633,89173713.865447,0.025859593661991642,31702.320577,0.03148894427975568,2.555433,0.029650107218578414,0.152057,0.014897380276989614,0.0,,0.0,,28528.79354,0.04528763004455594,0.0,
11,2043.0,825958772.80499,0.062072679412298104,91479709.871339,0.025859593662000968,32700.593182,0.03148894424227877,2.631202,0.029650161049027846,0.154323,0.014902306371952667,0.0,,0.0,,29820.794987,0.045287630028535864,0.0,
12,2044.0000000000002,877228246.917085,0.062072679412292775,93845337.996929,0.025859593661994973,33730.300339,0.03148894429128579,2.709217,0.029649947058416615,0.156622,0.01489732573887248,0.0,,0.0,,31171.308118,0.045287630044361205,0.0,
13,2044.9999999999993,931680154.659377,0.062072679412293,96272140.304603,0.025859593662003855,34792.431886,0.03148894425265247,2.789545,0.029649895154208572,0.158956,0.014902121030251125,0.0,,0.0,,32582.982788,0.04528763004286063,0.0,
14,2045.9999999999993,989512038.214348,0.062072679412297216,98761698.733851,0.025859593661999192,35888.008835,0.031488944279311815,2.872256,0.029650355165448117,0.161324,0.014897204257782182,0.0,,0.0,,34058.588859,0.04528763006754111,0.0,
15,2046.9999999999995,1050933701.737036,0.062072679412297216,101315636.132477,0.025859593661997415,37018.084345,0.03148894426535831,2.957418,0.02964986407896797,0.163728,0.014901688527435564,0.0,,0.0,,35601.021631,0.04528763004203018,0.0,
16,2048.0,1116167972.488533,0.06207267941229255,103935617.314469,0.025859593661990976,38183.74474,0.031488944272110686,3.045106,0.029650188103271136,0.166168,0.014902765562396114,0.0,,0.0,,37213.307528,0.04528763004924774,0.0,
17,2049.000000000001,1185451509.215083,0.062072679412293,106623350.145231,0.02585959366200674,39386.11055,0.03148894426639193,3.135394,0.02965019936908586,0.168644,0.014900582542968444,0.0,,0.0,,38898.610032,0.04528763004288039,0.0,
18,2049.999999999999,1259035660.705415,0.06207267941229744,109380586.654867,0.02585959366199231,40626.33759,0.03148894426692772,3.228358,0.029649862186379217,0.171157,0.014901212020587806,0.0,,0.0,,40660.235893,0.04528763006058045,0.0,
