,Year,Total Revenue,Var Total Revenue (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Segment 5 Revenue,Var Segment 5 Revenue (%),Segment 5 Transactions,Var Segment 5 Transactions (%),Segment 5 AADT,Var Segment 5 AADT (%),Segment 5 Toll/AADT/mi,Var Segment 5 Toll/AADT/mi (%)
0,2032,337718301.9,,62170579.78,,25387.60201,,2.036043,,31309228.54,,10397236.13,,28485.57845,,1.505652,
1,2033,366608350.4,0.085544812,63040900.31,0.013998913,25746.56791,0.014139417,2.179401,0.070410104,32593441.53,0.041017076,10553290.04,0.015009172,28913.1234,0.015009172,1.544231,0.025622787
2,2034,397969792.8,0.085544812,63923404.38,0.013998913,26110.60938,0.014139417,2.332852,0.070409713,33930329.19,0.041017076,10711686.19,0.015009172,29347.08545,0.015009172,1.5838,0.025623757
3,2035,432014043.8,0.085544812,64818262.55,0.013998913,26479.79818,0.014139417,2.497108,0.070409953,35322052.06,0.041017076,10872459.73,0.015009172,29787.56091,0.015009172,1.624382,0.025623185
4,2036,468970603.9,0.085544812,65725647.75,0.013998913,26854.20709,0.014139417,2.672929,0.07040985,36770859.34,0.041017076,11035646.35,0.015009172,30234.64754,0.015009172,1.666004,0.025623283
5,2037,509088605.9,0.085544812,66645735.37,0.013998913,27233.90993,0.014139417,2.861129,0.070409652,38279092.46,0.041017076,11201282.27,0.015009172,30688.44457,0.015009172,1.708692,0.025622988
6,2038,552638494.9,0.085544812,67578703.21,0.013998913,27618.98155,0.014139417,3.062581,0.070409968,39849188.89,0.041017076,11369404.24,0.015009172,31149.05272,0.015009172,1.752475,0.025623693
7,2039,599913850.9,0.085544812,68524731.59,0.013998913,28009.49785,0.014139417,3.278217,0.070409893,41483686.09,0.041017076,11540049.59,0.015009172,31616.57422,0.015009172,1.797379,0.02562319
8,2040,651233368.4,0.085544812,69484003.33,0.013998913,28405.53583,0.014139417,3.509036,0.070409921,43185225.57,0.041017076,11713256.18,0.015009172,32091.11283,0.015009172,1.843434,0.025623422
9,2041,690132751.1,0.059731864,70973612.6,0.021438161,29109.5846,0.024785619,3.628697,0.034100819,45559350.14,0.054975389,11833170.15,0.010237458,32419.64424,0.010237458,1.92507,0.044284742
10,2042,731355666.4,0.059731864,72495156.35,0.021438161,29831.08366,0.024785619,3.75244,0.034101221,48063993.12,0.054975389,11954311.73,0.010237458,32751.53898,0.010237458,2.01032,0.044284104
11,2043,775040903.3,0.059731864,74049319.2,0.021438161,30570.46552,0.024785619,3.880402,0.034101012,50706329.82,0.054975389,12076693.49,0.010237458,33086.83147,0.010237458,2.099347,0.044284989
12,2044,821335540.8,0.059731864,75636800.45,0.021438161,31328.17342,0.024785619,4.012727,0.034100848,53493930.01,0.054975389,12200328.13,0.010237458,33425.55651,0.010237458,2.192315,0.044284246
13,2045,870395443.3,0.059731864,77258314.37,0.021438161,32104.66158,0.024785619,4.149565,0.034100999,56434779.61,0.054975389,12325228.47,0.010237458,33767.74923,0.010237458,2.289401,0.044284694
14,2046,922385785.1,0.059731864,78914590.58,0.021438161,32900.39547,0.024785619,4.29107,0.034101165,59537303.55,0.054975389,12451407.47,0.010237458,34113.44513,0.010237458,2.390786,0.044284509
15,2047,977481607,0.059731864,80606374.29,0.021438161,33715.85212,0.024785619,4.4374,0.034101052,62810389.96,0.054975389,12578878.23,0.010237458,34462.68009,0.010237458,2.496661,0.044284599
16,2048,1035868405,0.059731864,82334426.74,0.021438161,34551.52037,0.024785619,4.58872,0.03410105,66263415.56,0.054975389,12707653.96,0.010237458,34815.49031,0.010237458,2.607225,0.044284747
17,2049,1097742755,0.059731864,84099525.46,0.021438161,35407.90118,0.024785619,4.7452,0.034101013,69906272.59,0.054975389,12837748.03,0.010237458,35171.91242,0.010237458,2.722684,0.044284249
18,2050,1163312976,0.059731864,85902464.65,0.021438161,36285.50791,0.024785619,4.907016,0.034100986,73749397.09,0.054975389,12969173.94,0.010237458,35531.98339,0.010237458,2.843257,0.04428461
