,index,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT Medium A,AADT Medium B,AADT Heavy A,AADT Heavy B,GrowthFactor,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,TollHeavyA,TollHeavyB,CaptureRateLights,CaptureRateMediumA,CaptureRateMediumB,CaptureRateHeavyA,VOT Lights,VOT MediumA,VOT MediumB,VOT HeavyA,Speed GP Real,Speed ML Real,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh_MediumB,GPVeh_MediumB,MLVeh_HeavyA,GPVeh_HeavyA,MLVeh,GPVeh,GPVehDay,ML PCE,Traffic per Lane,GP PCE,TollLightsPerSeg,TollMediumAPerSeg,TollMediumBPerSeg,TollHeavyAPerSeg,TollBlend,RevenuePerHour,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerHourMediumB,RevenuePerHourHeavyA,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,RevenuePerDayMediumB,RevenuePerDayHeavyA,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay_MediumB,TransactionsDay_HeavyA,TransactionsDay,TotalVeh_hours
0,320,2050,1NB,1,NB,Night,6,OP,NT,0.7,55,6254.8511651611725,1,6,70,5400,1,5,0.5,0,1509.5,52.3,7.7,390.4,50.7,1.5371469295880429,5.15,2.575,0.5791579750222109,0.5791579750222109,3.635,0.708,1509.5,52.3,7.7,390.4,50.7,2010.6000000000001,3012.7999999999997,1.2,0.3766,3012.7999999999997,0.0,1.0,0.0,1207.6000000000001,41.84,6.16,312.32,40.56,1608.4800000000002,0.8563712909784104,2.569113872935231,2.569113872935231,2.569113872935231,2.569113872935231,0.2432070068997352,0.2431891652618162,0.24318739987404198,0.24320254534515598,62.04312804535551,186.12938413606653,186.12938413606653,186.12938413606653,54.79905956856231,69.99918569020478,0.3243717092141906,0.6000069798794416,0.7664365106019992,-0.16642953072255762,0.0019601028759449655,293.69678153212027,1215.8032184678798,10.175034674554391,42.12496532544561,1.4980343832240985,6.201965616775902,75.95701896219911,314.44298103780085,381.3268695520979,1629.273130447902,9775.638782687412,556.5870455920531,185.52901519735101,2456.2129544079467,0.5994599036848872,1.7983797110546615,1.7983797110546615,1.7983797110546615,1.2499648066641296,333.6516167428681,176.0594443698062,18.29857591799629,2.6940346412525025,136.5995618138131,2001.9097004572086,1056.356666218837,109.79145550797773,16.164207847515016,819.5973708828785,1762.1806891927217,61.05020804732635,8.988206299344592,455.74211377319466,2287.961217312587,12063.6
1,321,2050,1NB,1,NB,AM-Early,1,OP,AM,0.7,55,10400.0,1,6,70,5400,1,5,0.5,0,7187.7,107.6,70.7,448.8,30.7,1.5371469295880429,5.15,2.575,0.42721518987341767,0.42721518987341767,3.479,0.715,7187.7,107.6,70.7,448.8,30.7,7845.5,9161.1,1.2,1.1451375000000001,9161.1,0.0,1.0,0.0,5750.16,86.08,56.56,359.04,24.560000000000002,6276.400000000001,2.045906953197786,6.137720859593358,6.137720859593358,6.137720859593358,6.137720859593358,0.15257891883739153,0.15239688672342494,0.15239395052273197,0.15242403076075894,67.54299451577377,202.6289835473213,202.6289835473213,202.6289835473213,45.23894193781554,69.97469474404231,0.6378448569427461,0.6002169806332154,0.9284036761454828,-0.3281866955122674,0.11533711875638347,877.3531959420152,6310.346804057985,13.118324009152419,94.48167599084758,8.61940184156572,62.080598158434285,54.72632400434289,394.07367599565714,953.8172457970762,6891.682754202923,6891.682754202923,1106.7453455071982,368.91511516906604,8054.354654492802,1.4321348672384502,4.29640460171535,4.29640460171535,4.29640460171535,2.3739327505032244,1585.008598454724,1256.4881027916479,56.361627639715415,37.03243773613673,235.12643028722405,1585.008598454724,1256.4881027916479,56.361627639715415,37.03243773613673,235.12643028722405,877.3531959420152,13.118324009152419,8.61940184156572,54.72632400434289,953.8172457970762,7845.5
2,322,2050,1NB,1,NB,AM-Peak,1,Peak,AM,0.7,55,10400.0,1,6,70,5400,1,5,0.5,0,9015.4,258.2,135.3,439.6,20.0,1.5371469295880429,5.15,2.575,0.42721518987341767,0.42721518987341767,3.479,0.715,9466.17,271.11,142.06500000000003,461.58000000000004,21.0,10361.925000000001,11574.7,1.2,1.4468375,11574.7,0.0,1.0,0.0,7572.936000000001,216.88800000000003,113.65200000000003,369.26400000000007,16.8,8289.54,2.57497143380009,7.72491430140027,7.72491430140027,7.72491430140027,7.72491430140027,0.23184129782086818,0.2316535041976264,0.23164508318230995,0.23166590783236693,54.785808287006056,164.35742486101816,164.35742486101816,164.35742486101816,36.132245080484715,69.14681024442375,0.8437995204879011,0.6074032894870525,1.1623966323278512,-0.5549933428407987,0.2791321880840412,1755.7193105543743,7710.450689445626,50.2428652184148,220.8671347815852,26.326926993835897,115.73807300616413,85.54587978981115,376.0341202101889,1917.8349825564362,8444.090017443565,8444.090017443565,2242.06632656056,747.3554421868533,9911.368673439441,1.802480003660063,5.407440010980189,5.407440010980189,5.407440010980189,3.0102990069995013,4041.2797205049815,3164.6489493140916,271.68527964834107,142.3612783926226,462.5842131499263,4041.2797205049815,3164.6489493140916,271.68527964834107,142.3612783926226,462.5842131499263,1755.7193105543743,50.2428652184148,26.326926993835897,85.54587978981115,1917.8349825564362,10361.925000000001
3,323,2050,1NB,1,NB,AM-Shoulder,3,OP,AM,0.7,55,6722.4641675502235,1,6,70,5400,1,5,0.5,0,6225.4,239.8,59.9,484.2,10.8,1.5371469295880429,5.15,2.575,0.5568174841934037,0.5568174841934037,3.479,0.715,6225.4,239.8,59.9,484.2,10.8,7020.099999999999,8609.499999999998,1.2,1.0761874999999999,8609.499999999998,0.0,1.0,0.0,4980.32,191.84000000000003,47.92,387.36,8.64,5616.08,2.5749734448115533,7.72492033443466,7.72492033443466,7.72492033443466,7.72492033443466,0.2990763586473629,0.29896010893824654,0.29894869759208376,0.29897559747129593,47.281437911711855,141.8443137351356,141.8443137351356,141.8443137351356,29.545502196770983,69.44976202088213,0.6669295447950467,0.6047536921346318,1.4215361688653296,-0.8167824767306978,0.4605298636602762,1489.4959704986345,4735.904029501366,57.35250729871323,182.4474927012868,14.325621588612654,45.57437841138734,115.81118743648119,368.3888125635188,1676.9852868224416,5343.114713177559,16029.344139532677,2051.9639194700558,683.9879731566853,6557.536080529944,1.8024814113680871,5.407444234104262,5.407444234104262,5.407444234104262,3.150744758386343,3698.626821642778,2684.7887991314574,310.13048490384944,77.46499985930303,626.2425377481682,11095.880464928334,8054.366397394372,930.3914547115482,232.39499957790912,1878.7276132445045,4468.487911495904,172.0575218961397,42.97686476583796,347.4335623094436,5030.955860467326,21060.3
4,324,2050,1NB,1,NB,MD,4,OP,MD,0.7,55,6606.808870043984,1,6,70,5400,1,5,0.5,0,5635.2,222.9,63.0,645.6,18.4,1.5371469295880429,5.15,2.575,0.5621810152105197,0.5621810152105197,3.482,0.708,5635.2,222.9,63.0,645.6,18.4,6585.099999999999,8484.900000000001,1.2,1.0606125000000002,8484.900000000001,0.0,1.0,0.0,4508.16,178.32000000000002,50.400000000000006,516.48,14.719999999999999,5268.08,2.574999991436187,7.724999974308561,7.724999974308561,7.724999974308561,7.724999974308561,0.3016282907189237,0.30152406313841074,0.3015139897164383,0.30155068746365793,47.002660567792695,141.0079817033781,141.0079817033781,141.0079817033781,29.465752622143878,69.47335974246174,0.6717351798417313,0.6045482780118064,1.4253835813593467,-0.8208353033475403,0.463223052406088,1359.7885950874231,4275.4114049125765,53.76777093884141,169.1322290611586,15.196305081708491,47.80369491829151,155.74489906123006,489.85510093876997,1584.4975701692033,5000.602429830797,20002.409719323186,2033.9155203327628,677.9718401109209,6450.984479667236,1.8024999940053308,5.407499982015993,5.407499982015993,5.407499982015993,3.3053584593881795,3666.132713207155,2451.0189344935975,290.7492203848249,82.1740194560482,842.1905388726841,14664.53085282862,9804.07573797439,1162.9968815392997,328.6960778241928,3368.7621554907364,5439.1543803496925,215.07108375536563,60.785220326833965,622.9795962449202,6337.990280676813,26340.399999999998
5,325,2050,1NB,1,NB,PM-Shoulder,2,OP,PM,0.7,55,5600.0,1,6,70,5400,1,5,0.5,0,5890.3,184.5,49.2,501.1,12.3,1.5371469295880429,5.15,2.575,0.6136363636363636,0.6136363636363636,3.632,0.592,5890.3,184.5,49.2,501.1,12.3,6637.400000000001,8131.6,1.2,1.01645,8131.6,0.0,1.0,0.0,4712.240000000001,147.6,39.36000000000001,400.88000000000005,9.840000000000002,5309.920000000001,2.574982547899821,7.724947643699463,7.724947643699463,7.724947643699463,7.724947643699463,0.3895237039576261,0.3894425459391366,0.3894364014508796,0.3894570291325262,44.622139681295856,133.8664190438876,133.8664190438876,133.8664190438876,27.36362927736057,68.4773760721464,0.5987017967162096,0.6133412582244628,1.5348841184143984,-0.9215428601899356,0.5398734283446243,1835.5291787372842,4054.770821262716,57.48171978061656,127.01828021938344,15.328216761106624,33.87178323889338,156.12553383864713,344.9744661613529,2064.4646491176545,4572.935350882345,9145.87070176469,2522.335589878395,840.7785299594649,5609.264410121604,1.8024877835298745,5.407463350589624,5.407463350589624,5.407463350589624,3.146079603087123,4546.479086718427,3308.518920986578,310.83029304254666,82.88677036557766,844.2431023237245,9092.958173436855,6617.037841973156,621.6605860850933,165.77354073115532,1688.486204647449,3671.0583574745683,114.96343956123312,30.65643352221325,312.25106767729426,4128.929298235309,13274.800000000001
6,326,2050,1NB,1,NB,PM-Peak,2,Peak,PM,0.7,55,5600.0,1,6,70,5400,1,5,0.5,0,5665.9,113.7,33.8,453.5,12.3,1.5371469295880429,5.15,2.575,0.6136363636363636,0.6136363636363636,3.632,0.592,5949.195,119.385,35.49,476.175,12.915000000000001,6593.16,7505.799999999999,1.2,0.9382249999999999,7505.799999999999,0.0,1.0,0.0,4759.356,95.50800000000001,28.392000000000003,380.94000000000005,10.332,5274.528,2.5749991478531142,7.724997443559342,7.724997443559342,7.724997443559342,7.724997443559342,0.3581748595256459,0.3580826247424972,0.35807846459536785,0.35810030911756324,46.8641888547838,140.5925665643514,140.5925665643514,140.5925665643514,32.62601028330718,69.13745073410294,0.9151647562515016,0.6074855169527238,1.287316458104868,-0.6798309411521442,0.366576066127953,1704.6816667325397,4244.5133332674595,34.19975532390642,85.18524467609359,10.166563766791684,25.32343623320832,136.41473175524456,339.7602682447555,1885.4627175784824,4707.697282421516,9415.394564843033,2247.0248192703675,749.0082730901225,5634.065180729632,1.8024994034971797,5.407498210491539,5.407498210491539,5.407498210491539,3.0687888659273628,4050.260896378196,3072.687687437981,184.93511571327247,54.97567537577416,737.6624178511684,8100.521792756392,6145.375374875962,369.87023142654493,109.95135075154832,1475.3248357023367,3409.3633334650794,68.39951064781285,20.33312753358337,272.8294635104891,3770.925435156965,13186.32
7,327,2050,1NB,1,NB,PM-Late,5,OP,PM,0.7,55,5600.0,1,6,70,5400,1,5,0.5,0,5171.0,99.9,15.4,444.2,35.4,1.5371469295880429,5.15,2.575,0.6136363636363636,0.6136363636363636,3.632,0.592,5171.0,99.9,15.4,444.2,35.4,5765.899999999999,6955.7,1.2,0.8694625,6955.7,0.0,1.0,0.0,4136.8,79.92000000000002,12.32,355.36,28.32,4612.719999999999,2.5749996975015317,7.724999092504595,7.724999092504595,7.724999092504595,7.724999092504595,0.30414911280266854,0.30405236366631755,0.3040473226990797,0.3040728969927592,51.191640729789526,153.57492218936855,153.57492218936855,153.57492218936855,32.16528495838426,69.80458800038343,0.7121925946701905,0.6016796489045863,1.3057555701539714,-0.7040759212493851,0.3794834445623254,1258.2040498420793,3912.7959501579207,24.299864904212104,75.6001350957879,3.7458630156526618,11.654136984347339,108.05534467534692,336.14465532465306,1394.3051224372912,4371.5948775627085,21857.97438781354,1666.5072676277143,555.5024225425715,5289.192732372286,1.802499788251072,5.407499364753216,5.407499364753216,5.407499364753216,3.077702033055872,3003.8789970178277,2267.912533416989,131.4015040331159,20.255751877594335,584.3092076901282,15019.394985089139,11339.562667084945,657.0075201655795,101.27875938797168,2921.5460384506414,6291.020249210396,121.49932452106052,18.72931507826331,540.2767233767346,6971.525612186455,28829.499999999993
8,328,2050,1SB,1,SB,Night,6,OP,NT,0.7,55,7424.484805932848,1,6,70,5400,1,5,0.5,0,2007.5,49.2,20.0,393.5,46.1,1.5371469295880429,5.15,2.575,0.5263369329953375,0.5263369329953375,3.635,0.708,2007.5,49.2,20.0,393.5,46.1,2516.2999999999997,3533.9,1.2,0.4417375,3533.9,0.0,1.0,0.0,1606.0,39.36000000000001,16.0,314.8,36.88,2013.04,0.8727150420754355,2.6181451262263065,2.6181451262263065,2.6181451262263065,2.6181451262263065,0.22551806071679453,0.22549388836865877,0.22549274948265613,0.2255073146166727,64.62964153625244,193.8889246087573,193.8889246087573,193.8889246087573,54.79666498314458,69.99868474523275,0.31362641821239073,0.6000112738241186,0.7664700034741014,-0.16645872964998287,0.0019835478864165096,362.182005511172,1645.317994488828,8.875439446190411,40.32456055380959,3.607883991722498,16.3921160082775,70.98970264132856,322.51029735867144,445.65503159041344,2070.6449684095865,12423.86981045752,612.6010837488964,204.20036124963212,2921.298916251104,0.6109005294528048,1.8327015883584143,1.8327015883584143,1.8327015883584143,1.1996412980494124,374.2383264055628,221.25717892505367,16.26603197041209,6.6121747222427185,130.10294078785438,2245.4299584333767,1327.5430735503219,97.59619182247255,39.67304833345631,780.6176447271263,2173.092033067032,53.25263667714246,21.647303950334987,425.9382158479714,2673.9301895424805,15097.8
9,329,2050,1SB,1,SB,AM-Early,1,OP,AM,0.7,55,5600.0,1,6,70,5400,1,5,0.5,0,3743.0,152.2,64.6,513.4,49.2,1.5371469295880429,5.15,2.575,0.6136363636363636,0.6136363636363636,3.479,0.715,3743.0,152.2,64.6,513.4,49.2,4522.4,6081.200000000001,1.2,0.7601500000000001,6081.200000000001,0.0,1.0,0.0,2994.4,121.75999999999999,51.68,410.72,39.36000000000001,3617.92,2.5749999637918433,7.72499989137553,7.72499989137553,7.72499989137553,7.72499989137553,0.22103242461746414,0.22093663596167287,0.22092897442177908,0.22096822392152743,56.19856288398595,168.59568865195786,168.59568865195786,168.59568865195786,36.030786974269574,69.98063306358208,0.7888353008132861,0.6001660482528102,1.165669793168636,-0.5655037449158258,0.28142340067259075,661.8594922745347,3081.1405077254653,26.901244794693287,125.2987552053067,11.417609398117543,53.18239060188245,90.75606892904975,422.6439310709502,790.9344153963953,3731.465584603605,3731.465584603605,1049.0842616401164,349.69475388003883,5032.115738359884,1.8024999746542902,5.407499923962871,5.407499923962871,5.407499923962871,3.4154436615127266,1890.9743550165247,1193.0017180495502,145.46847918181052,61.740721952158374,490.7634358330056,1890.9743550165247,1193.0017180495502,145.46847918181052,61.740721952158374,490.7634358330056,661.8594922745347,26.901244794693287,11.417609398117543,90.75606892904975,790.9344153963953,4522.4
