Year,Direction,Segment,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late
2050,NB,1,2001.9097004572086,1585.008598454724,4041.2797205049815,11095.880464928334,14664.53085282862,9092.958173436855,8100.521792756392,15019.394985089139
2050,NB,10,6022.585529778231,17498.57690729926,23129.506650087507,30493.586773300303,27269.922829519903,16461.321881487613,45665.59647537706,32314.180712064343
2050,NB,2,1346.2033909104528,3746.1011114417083,15807.815028796374,31274.370870979124,44087.33169035862,24950.73534558341,20543.57716194538,4112.995245810648
2050,NB,3,882.0417862052686,1516.3683435039245,1940.8788970690919,4592.780464885858,9409.301954958994,4784.446193538264,3916.5437949658667,1625.7333900763058
2050,NB,4,3070.3699552215385,9443.690603192457,17840.134737685315,35797.0707018993,45369.825393841995,60938.755161576744,54305.83795683525,15831.236689561334
2050,NB,5,3395.5627590178456,5720.83206550679,10628.529920136923,37698.050873453576,40774.28535923533,80692.9195393423,72901.72691017932,21136.830586658638
2050,NB,6,6173.7536396837195,25125.402274709864,45805.52401384505,82458.62872842696,108065.79434114747,131629.1830754267,127584.4109011314,36134.52423839795
2050,NB,7,4905.949835325256,16370.675123062378,17825.352138069684,47920.02310850801,66861.44178587892,43800.60424496221,105191.60691540621,29537.185627976207
2050,NB,8,6098.599047778225,21101.4443094974,22276.384635125545,52534.98759598165,74968.25869334053,45626.8485907938,121957.61012328096,30407.805199879956
2050,NB,9,3952.9338263294408,15066.433772108176,17856.367427990146,40772.411580708955,48895.667198202435,31529.676684571867,49347.75150740662,20523.265371410558
2050,SB,1,2245.4299584333767,1890.9743550165247,3893.6820245358144,11802.17306469053,41520.57041854701,10353.338553737969,7581.424347271803,5986.467057437229
2050,SB,10,5163.814272632579,2995.4728366423733,19673.470891342542,31459.15698899293,39087.68924402341,45874.735295922255,52180.324580820576,64441.06169318228
2050,SB,2,1502.918373964936,485.8201162130731,1313.8694213169658,3859.2239093134554,17192.29069439405,37289.27628787707,36841.70745504106,5309.899244827294
2050,SB,3,1537.12201275514,2061.3854411602797,7263.520452529889,23727.283088132353,33956.81108120921,14093.46282602943,5269.003923219805,13379.244662757264
2050,SB,4,3804.59225324433,2889.1746885423427,8744.229933029868,28061.00066661236,26989.298645951054,41265.929101589136,14455.417380248875,9220.866168079741
2050,SB,5,3837.64972307381,3072.064419034524,10970.009538342509,35353.92639058963,46219.82211700055,29066.11960363188,24045.279117185222,32668.919060562366
2050,SB,6,6638.132217498699,5349.743949193344,20704.616930893746,78856.41837251399,184587.87861977765,44811.95573266144,96830.67954785921,72054.25298925563
2050,SB,7,4872.770287579244,5706.907878213883,21055.875006123122,60745.64467989995,81108.92254416493,42876.12954013045,44743.003398596054,72854.3524669297
2050,SB,8,5615.8818547832125,16656.987096716264,28844.937152490103,65545.3003572787,70517.80024338393,48677.02894766703,50299.189986064426,49971.33074607077
2050,SB,9,3240.8489025049435,2308.01898187155,13390.728723342318,38259.74524720969,47376.485943906475,51330.10567807734,47658.84536769885,29863.823175001096
