,,,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights
Period,,,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late
Year,Direction,Segment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,NB,1,1599.4932589701752,5845.934650358765,7367.641040896805,5212.94915162813,4881.799420019617,4854.320454729365,4848.70301925382,4177.622628824375,84.00674102982462,723.1653496412353,1308.4039591031958,665.0508483718709,632.0005799803824,703.1795452706348,671.7769807461806,650.2773711756248,98.09556040657179,1254.351786996158,3854.4120119264117,1010.2817071868657,957.4484018709526,865.0246642761466,956.4082955773499,570.6632113237831,1.1421069025501778,2.1354754623875274,3.599997867101982,1.7736504121566645,1.6860554841410529,1.4384322673708914,1.7066698092692878,1.048852196937153,0.0639489995784358,0.13815891938494076,0.188909390557554,0.14165553858638794,0.14368866928605778,0.15846055701290035,0.15241581232405563,0.16940693353921235
2032,NB,10,872.8241479241708,5282.79819383826,7364.708976804877,5629.868076349767,4813.9191060138655,5388.429653557023,5899.942001754563,3137.8884056902752,376.9758520758292,620.3018061617413,1088.1060231951224,632.1319236502344,562.3808939861341,675.8703464429765,718.9429982454378,422.91159430972465,6953.429194361903,4664.175741422943,20893.24192075739,8182.724923914794,5179.447935393551,6360.983888837125,9210.747982318708,1440.0723677823567,2.6999614105985246,1.4222047926128398,3.5999998898983234,2.2297773427792427,1.531995766271646,1.675154337269058,2.345655262077213,0.6153792487089494,0.3879310260283763,0.13215068116621356,0.16141342409056675,0.12678713411912376,0.13138838461312738,0.13964115430115379,0.13624782850058645,0.1492346191738604
2032,NB,2,1358.8945652686104,4924.822182195405,7630.298772240809,6079.31637554308,6191.479060563139,6387.563884764945,6257.967654098691,4441.782599235385,37.9054347313898,677.0778178045949,1139.616227759192,746.2836244569202,750.5209394368618,841.0361152350558,819.4523459013097,696.3174007646148,16.775349730550857,644.693970565607,3134.765001317929,1288.5317212625425,1466.8592559449467,1648.2122533023198,1529.4006145772769,530.5760261365584,0.5000022480650114,1.23698309612995,3.599995912626683,2.1838119865858148,2.4311538852587047,2.483432455517382,2.418833558744604,0.9965852644861871,0.03432123801756332,0.1514890025935295,0.1625783782468594,0.13676243694432577,0.13533933574252444,0.1457179522383351,0.14485422698455436,0.16975961130543393
2032,NB,3,1116.1750498402282,3838.1238396525546,4229.293393637807,3585.565025976259,4132.178094224203,4293.245632093359,4056.321204636095,2939.7398309490313,30.42495015977182,565.1761603474457,558.9166063621947,525.5349740237416,579.3219057757976,660.1543679066415,586.5687953639049,508.1601690509682,11.214358536866978,301.7090342333967,453.8784182493026,304.1306651518894,419.9137862906966,424.4045143344502,451.2273669178176,206.66070252600684,0.5000877415201481,0.9193940628541104,1.4021739919065332,0.9240415885627187,1.1477846291363965,1.0793921809543,1.306624031677491,0.684343159152903,0.034281432146193315,0.161223347584157,0.14629849524851407,0.16010611644363826,0.1541809664849488,0.16681655536522363,0.15816051812045115,0.18551537604131008
2032,NB,4,1417.919816991667,6567.764891145859,8042.096553291724,6496.911505406696,6136.501745533097,6475.271522196986,6576.34389265945,3439.5267622651727,0.18018300833299314,744.5351088541419,1475.5234467082746,903.8884945933041,821.9982544669026,834.428477803015,863.3261073405497,495.2732377348275,1.0486199657524724,3503.4687537119516,9491.264374115111,4716.392199090143,4508.962744384414,4289.060047825986,4303.238021630156,674.3225729652584,2.697560165003766,2.5883062303004203,3.5999999938247096,2.699999430422576,2.6999992864555327,2.6999373591546085,2.6999923489086277,0.7109021210046975,0.00017922129549527937,0.12781118127583413,0.1942748373569249,0.15292536439614798,0.148153835017064,0.14293299600742065,0.14530026703912732,0.15872588981231814
2032,NB,5,1463.7575040612373,6898.925852476831,7993.132169755513,6834.325774195239,6487.18855703436,6858.915946629367,7005.190408676866,3608.8483605132114,0.24249593876247502,820.3741475231694,1368.037830244487,806.8742258047612,709.2114429656399,814.1840533706337,826.8645913231323,486.6516394867882,1.7336447452023211,4981.299081657934,11085.86447390673,7111.380444994379,6519.282846036267,6529.543693572221,6465.2566780175775,825.6072073092066,2.6987110682820403,2.6999514699646445,3.5999999941347407,3.599994227251456,3.599921061631524,3.3509004536751514,3.3600881862507785,0.7109003106395644,0.00023414543488150283,0.13336827100627713,0.18314211391269,0.13244710775383972,0.12375637165401576,0.13291515939999102,0.13224557372530357,0.14990004976981697
2032,NB,6,1496.127737622955,6948.089981976054,7881.993773294858,6664.2431284074055,6195.809321551392,6506.0539581832,6852.153419235638,3574.2517117769535,0.4722623770450899,856.7100180239449,1241.0362267051416,721.8568715925958,812.5906784486086,818.4460418168005,811.4815807643618,481.0482882230467,6.000047730395808,9345.832713097796,18059.986467704806,10687.181001262647,10059.758052103665,9549.037356205463,11039.476308105477,1438.6124752826263,2.698183081786006,2.6999973765756704,3.5999998925817516,3.3728985387693045,2.6999999350638997,2.6999939127256045,3.2226597597279216,0.6977373442681519,0.00044080019661323815,0.13774916223752992,0.17042899195544817,0.12263390970189833,0.14556397329755322,0.13999907422094174,0.1326812931341325,0.1493301585504527
2032,NB,7,1453.6516341475458,6581.403001942918,6584.1616998674845,5649.820715750549,5796.87693748394,6248.626239293788,6869.37411855321,3534.124687945876,0.34836585245414664,731.5969980570817,806.3683001325145,638.2792842494506,648.5230625160596,758.7737607062111,813.4758814467903,476.6753120541243,3.580754554021448,6051.267555438255,7336.97389323812,4871.697097102957,5993.7509100216175,6584.597485298844,8923.0264157116,1144.4055153342124,2.6969404252486813,2.500680199499765,2.699983229858499,2.0869083273133073,2.4644439021938305,2.466920569808683,3.230005313407946,0.6925281817137527,0.00033919378451104597,0.12555009893846714,0.13670030871985211,0.1274165279947556,0.1263835001759359,0.13563781745746728,0.13265993799976436,0.14983087063494224
2032,NB,8,1425.5460562837475,6445.5983441549315,6422.998383658052,4969.6336230041925,5176.602477940097,5498.592380134011,6427.94817223755,3312.4301657674855,0.45394371625279295,723.301655845069,735.4816163419476,581.16637699581,597.2975220599035,688.9076198659883,798.5718277624496,446.8698342325141,6.238462232152967,6937.437801702236,8827.874874539997,3991.154097373488,5166.347458506874,5485.817477344867,9702.050033115112,1307.3541988595762,2.6981728930019013,2.2383012988959616,2.6999978566261174,1.435511948832779,1.7474663120283065,1.7032544548221535,2.69999970233297,0.6405702209902762,0.00043973089798312383,0.12660874338840933,0.12875963874874904,0.1313506307395879,0.12989829447024717,0.13951612343596734,0.13859894651029,0.14957643805550183
2032,NB,9,857.527594096799,5674.941280766991,6295.4610389730915,4890.355142248154,4466.738766866472,4812.873405460869,5548.810581573375,3020.234945373552,372.0724059032012,660.0587192330092,700.6889610269078,575.0448577518466,532.3612331335273,619.2265945391301,684.8294184266252,407.2650546264479,4970.490284365875,3951.0261863245128,7085.284789529891,3356.133585472933,2950.8177473190917,3294.7595682500487,5680.0842250490505,992.8825620348383,2.6999458168207275,1.553123197188868,2.5668253351718646,1.3692253672792292,1.2363248158675686,1.252249529395388,2.0165182523921628,0.5852850909311819,0.3879310261930543,0.13085502721987932,0.12564694380810915,0.13211717685605046,0.13373341101765698,0.14285947914982136,0.13778982960957287,0.14920644425271995
2032,SB,1,1794.888438754093,3297.0209516539917,4656.722497514884,4460.541541385856,5491.825800786884,5193.740322802636,4712.408502045058,5062.236454670179,312.01156124590705,489.5790483460086,590.7575024851154,598.8584586141441,666.7741992131157,731.8596771973628,656.7664979549428,733.3635453298218,181.99558006017406,409.85653253293606,936.6985123039399,746.6064536504316,1462.6861844711334,1027.5073188214587,892.5397691972175,887.4023415346699,0.6062015485455161,0.9016211659862596,1.8081197470407075,1.3856064425621923,2.4256015633557455,1.6557966403969706,1.6282341790407424,1.4690627408713166,0.18856893728331134,0.16339760984522328,0.14131711643890954,0.14853179094521962,0.13574729381190612,0.15459393308799665,0.15302539064660123,0.15899040751446122
