,Year,Total Revenue,Var Total Revenue (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,203332092.039996,,79445404.831465,,26914.431859,,1.309998,,0.174967,,190748.327033,
1,2026.0,223697521.136157,0.10015845945339041,83396977.844572,0.04973947859526717,28117.259389,0.04469080143699111,1.379553,0.05309550090916182,0.177834,0.01638594706430352,196063.149049,0.02786300723403201
2,2026.9999999999995,246102720.236698,0.10015845945339619,87545100.038983,0.0497394785952785,29373.842246,0.04469080146166737,1.4528,0.0530947343088668,0.180748,0.016386067906024815,201526.057989,0.02786300723260693
3,2027.999999999999,270751989.562895,0.10015845945339286,91899547.668492,0.04973947859526118,30686.582797,0.044690801428225235,1.529936,0.053094713656387515,0.183709,0.016381924004691628,207141.180001,0.027863007236049286
4,2029.0,297870091.731456,0.10015845945339397,96470583.252665,0.04973947859528138,32057.990776,0.04469080145131277,1.611167,0.05309437780403892,0.186719,0.016384608266334144,212912.756198,0.02786300723483426
5,2030.0,327704301.236519,0.1001584594533913,101268979.763434,0.049739478595268505,33490.688076,0.04469080142953241,1.696712,0.05309505470258524,0.189778,0.016382906935020092,218845.145864,0.0278630072332684
6,2031.0000000000007,360526659.20462,0.10015845945339508,106306046.014742,0.049739478595268505,34987.413767,0.04469080144318016,1.786799,0.05309504500469142,0.192887,0.016382299318150606,224942.829746,0.027863007232471926
7,2032.0000000000005,396636453.982433,0.10015845945339263,111593653.31504,0.049739478595269615,36551.029328,0.044690801423990845,1.881668,0.05309438834474389,0.196048,0.016387833290994136,231210.413439,0.027863007236448523
8,2033.0000000000007,427861976.581025,0.07872580113368732,114751487.059949,0.02829761058179625,37674.61493,0.030740190431225,1.969268,0.046554439996853825,0.199404,0.017118256753448025,234315.437888,0.013429431671420744
9,2034.0000000000002,461545753.46201,0.07872580113368932,117998679.954454,0.028297610581800914,38832.739767,0.030740190421370217,2.060947,0.0465548620096401,0.202818,0.017121020641511775,237462.16105,0.013429431668536163
10,2034.9999999999993,497881312.663161,0.07872580113369354,121337760.648972,0.02829761058180358,40026.465583,0.030740190446578497,2.156893,0.04655432672455917,0.20629,0.017118796162076455,240651.142917,0.013429431674078396
11,2035.9999999999998,537077417.872062,0.07872580113369088,124771329.348684,0.028297610581797805,41256.886757,0.030740190423472757,2.257306,0.04655446514963879,0.209821,0.017116680401376705,243882.950998,0.013429431673693148
12,2036.999999999999,579359267.864853,0.07872580113368888,128302059.838366,0.028297610581795363,42525.131312,0.03074019041887155,2.362394,0.04655460978706483,0.213413,0.017119354116127417,247158.160424,0.013429431670387126
13,2038.0000000000005,624969790.371744,0.07872580113369398,131932701.564514,0.028297610581793142,43832.361946,0.030740190416087332,2.472374,0.04655446974552069,0.217067,0.017121731103541205,250477.354052,0.013429431673653625
14,2038.999999999999,674171037.803113,0.07872580113368866,135666081.776392,0.028297610581804244,45179.777099,0.030740190425055713,2.587474,0.04655444524169883,0.220783,0.017119138330561556,253841.122563,0.013429431669506053
15,2039.9999999999998,727245692.855294,0.07872580113368954,139505107.727659,0.028297610581800026,46568.612051,0.03074019043867171,2.707933,0.04655467069427566,0.224563,0.017120883401348763,257250.064574,0.013429431671985848
16,2041.0000000000002,772004817.300202,0.06154608392271932,143062446.280154,0.025499701125206276,47869.333245,0.027931285402612138,2.796486,0.03270132606678211,0.228514,0.017594171791434743,259879.540989,0.010221480097019064
17,2041.9999999999995,819518690.574504,0.06154608392271954,146710495.902539,0.02549970112520783,49206.385253,0.027931285383835158,2.887935,0.03270139739658995,0.232535,0.017596296069387396,262535.894544,0.010221480093780988
18,2043.0,869956856.680842,0.06154608392272243,150451569.699984,0.0254997011252025,50580.782843,0.027931285399920958,2.982375,0.03270156703665417,0.236627,0.017597350936418232,265219.399965,0.010221480097649227
19,2044.0000000000002,923499294.391266,0.0615460839227191,154288039.761152,0.025499701125208052,51993.569124,0.027931285393213656,3.079903,0.03270145437780281,0.24079,0.017593089545994367,267930.334782,0.010221480092925894
20,2044.9999999999993,980337059.466442,0.06154608392271821,158222338.662256,0.025499701125210716,53445.816342,0.027931285396786576,3.18062,0.03270135455564671,0.245027,0.017596245691266166,270668.979366,0.010221480095668367
21,2045.9999999999993,1040672966.400915,0.061546083922718875,162256961.009474,0.025499701125201835,54938.626692,0.027931285405905282,3.284631,0.03270148587382349,0.249338,0.01759397943900054,273435.616951,0.010221480095282676
22,2046.9999999999995,1104722312.127131,0.06154608392271932,166394465.0207,0.025499701125207386,56473.133153,0.027931285388745453,3.392043,0.032701390201821834,0.253726,0.01759860109570144,276230.533667,0.010221480095260915
23,2048.0,1172713644.260612,0.061546083922723094,170637474.147617,0.025499701125209606,58050.500352,0.02793128539063905,3.502967,0.0327012363935244,0.25819,0.01759378226906172,279054.018569,0.010221480096779478
24,2049.000000000001,1244889576.627592,0.06154608392271799,174988678.739142,0.02549970112521005,59671.925445,0.027931285400955908,3.617519,0.03270142139506316,0.262733,0.01759556915449867,281906.363665,0.010221480094165791
25,2049.999999999999,1321507654.985232,0.0615460839227191,179450837.747284,0.02549970112520139,61338.639025,0.027931285400472294,3.735817,0.032701417739616545,0.267356,0.017595810195141004,284787.86395,0.01022148009551227
