,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%)
0,2024.9999999999995,167474783.147,,167474783.147,,0.0,,0.0,,75178074.749,,25767.288,,1.047,,0.164,
1,2026.0,188065717.003,0.123,188065716.982,0.123,0.0,,0.0,,78310549.557,0.042,26773.165,0.039,1.132,0.081,0.166,0.012
2,2026.9999999999995,211188295.02,0.123,211188294.973,0.123,0.0,,0.0,,81573546.442,0.042,27818.308,0.039,1.223,0.08,0.168,0.012
3,2027.999999999999,237153781.478,0.123,237153781.399,0.123,0.0,,0.0,,84972503.918,0.042,28904.251,0.039,1.322,0.081,0.169,0.006
4,2029.0,266311710.429,0.123,266311710.31,0.123,0.0,,0.0,,88513087.11,0.042,30032.586,0.039,1.429,0.081,0.171,0.012
5,2030.0,299054590.947,0.123,299054590.78,0.123,0.0,,0.0,,92201197.193,0.042,31204.967,0.039,1.544,0.08,0.173,0.012
6,2031.0000000000007,335823190.887,0.123,335823190.661,0.123,0.0,,0.0,,96042981.23,0.042,32423.115,0.039,1.669,0.081,0.175,0.012
7,2032.0000000000005,377112470.268,0.123,377112469.973,0.123,0.148,inf,0.148,inf,100044842.413,0.042,33688.816,0.039,1.804,0.081,0.177,0.011
8,2033.0000000000007,421205817.828,0.117,412993610.805,0.095,1.781,11.034,1.781,11.034,103682152.171,0.036,35002.08,0.039,1.939,0.075,0.181,0.023
9,2034.0000000000002,470454718.313,0.117,452288736.509,0.095,21.499,11.071,21.499,11.071,107451702.851,0.036,36366.538,0.039,2.085,0.075,0.185,0.022
10,2034.9999999999993,525461977.53,0.117,495322677.69,0.095,259.548,11.073,259.548,11.073,111358302.309,0.036,37784.185,0.039,2.241,0.075,0.189,0.022
11,2035.9999999999998,586900883.51,0.117,542451171.629,0.095,3133.386,11.072,3133.386,11.072,115406933.201,0.036,39257.095,0.039,2.409,0.075,0.194,0.026
12,2036.999999999999,655523447.546,0.117,594063802.962,0.095,37827.687,11.072,37827.687,11.072,119602759.334,0.036,40787.423,0.039,2.59,0.075,0.199,0.026
13,2038.0000000000005,732169608.799,0.117,650587224.155,0.095,456673.337,11.072,456673.341,11.072,123951132.254,0.036,42377.406,0.039,2.784,0.075,0.203,0.02
14,2038.999999999999,817777515.137,0.117,712488682.399,0.095,5513171.845,11.072,5513171.894,11.072,128457598.073,0.036,44029.37,0.039,2.993,0.075,0.208,0.025
15,2039.9999999999998,913395006.057,0.117,780279882.081,0.095,66557561.644,11.072,66557562.332,11.072,133127904.544,0.036,45745.732,0.039,3.218,0.075,0.213,0.024
16,2041.0000000000002,962074951.868,0.053,816772275.26,0.047,72170830.102,0.084,72344454.039,0.087,134763109.911,0.012,46349.827,0.013,3.345,0.039,0.213,0.0
17,2041.9999999999995,1013349325.18,0.053,854971357.015,0.047,78257505.068,0.084,78634490.91,0.087,136418400.449,0.012,46961.9,0.013,3.478,0.04,0.213,0.0
18,2043.0,1067356397.596,0.053,894956946.332,0.047,84857512.249,0.084,85471419.238,0.087,138094022.861,0.012,47582.055,0.013,3.615,0.039,0.214,0.005
19,2044.0000000000002,1124241809.987,0.053,936812595.201,0.047,92014144.571,0.084,92902788.865,0.087,139790226.885,0.012,48210.4,0.013,3.758,0.04,0.214,0.0
20,2044.9999999999993,1184158965.243,0.053,980625763.2,0.047,99774346.157,0.084,100980283.887,0.087,141507265.323,0.012,48847.043,0.013,3.907,0.04,0.214,0.0
21,2045.9999999999993,1247269441.956,0.053,1026488000.244,0.047,108189020.258,0.084,109760082.108,0.087,143245394.084,0.012,49492.093,0.013,4.061,0.039,0.214,0.0
22,2046.9999999999995,1313743430.146,0.053,1074495137.887,0.047,117313363.156,0.084,119303245.749,0.087,145004872.219,0.012,50145.661,0.013,4.222,0.04,0.214,0.0
23,2048.0,1383760190.216,0.053,1124747489.564,0.047,127207226.225,0.084,129676146.127,0.087,146785961.963,0.012,50807.859,0.013,4.389,0.04,0.214,0.0
24,2049.000000000001,1457508536.361,0.053,1177350060.205,0.047,137935508.526,0.084,140950925.255,0.087,148588928.769,0.012,51478.802,0.013,4.563,0.04,0.214,0.0
25,2049.999999999999,1535187345.746,0.053,1232412765.644,0.047,149568582.517,0.084,153205997.584,0.087,150414041.352,0.012,52158.606,0.013,4.743,0.039,0.215,0.005
