,Year,Total Revenue,Var Total Revenue (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,158310833.28159,,67912713.898158,,22657.134284,,1.21159,,0.147398,,190634.964052,
1,2026.0,173831069.49193,0.09803647601761978,71154582.73178,0.04773581627857637,23582.559031,0.04084473947146594,1.278164,0.054947630799197844,0.149358,0.01329733103569919,195828.404812,0.02724285540077198
2,2026.9999999999995,190872854.967293,0.09803647601762089,74551204.820444,0.04773581627859036,24545.78251,0.04084473944213651,1.348396,0.0549475654141407,0.151345,0.013303606100778076,201163.329727,0.02724285539741622
3,2027.999999999999,209585357.035709,0.09803647601762178,78109967.4371,0.047735816278586585,25548.348602,0.040844739481886494,1.422486,0.054946766380202794,0.153358,0.013300736727344775,206643.59323,0.027242855397339616
4,2029.0,230132366.864385,0.098036476017622,81838610.492203,0.04773581627857659,26591.864244,0.040844739448964384,1.500648,0.05494746521231142,0.155398,0.013302207905684815,212273.154759,0.027242855396606203
5,2030.0,252693733.129363,0.09803647601761822,85745243.367154,0.04773581627859147,27678.002011,0.04084473946745071,1.583105,0.054947595971873486,0.157466,0.013307764578694536,218056.081619,0.027242855398109667
6,2031.0000000000007,277466936.237103,0.09803647601762133,89838362.55129,0.04773581627857304,28808.502792,0.04084473946315592,1.670093,0.05494771351236971,0.15956,0.013298108798089903,223996.551919,0.02724285539707849
7,2032.0000000000005,304668816.877194,0.09803647601761911,94126870.120808,0.0477358162785928,29985.178582,0.04084473943320499,1.76186,0.0549472394651076,0.161683,0.013305339684131168,230098.857593,0.027242855399875365
8,2033.0000000000007,324933941.015684,0.06651525530641522,97015969.524291,0.030693673334457383,30966.169406,0.03271585731321558,1.819523,0.032728480128954685,0.164884,0.019797999789711973,233037.00603,0.012769070075945299
9,2034.0000000000002,346547005.060062,0.06651525530641544,99993746.001096,0.030693673334464933,31979.254185,0.03271585728662019,1.879074,0.03272890752136681,0.16815,0.019807864923218732,236012.67189,0.012769070074720057
10,2034.9999999999993,369597667.577307,0.06651525530641922,103062921.376343,0.030693673334464044,33025.482902,0.032715857316357955,1.940573,0.03272835449801348,0.17148,0.01980374665477247,239026.334236,0.01276907007520589
11,2035.9999999999998,394181550.796867,0.06651525530641478,106226301.017964,0.030693673334463822,34105.939888,0.032715857303469376,2.004086,0.032728992931469136,0.174875,0.0197982271985071,242078.478248,0.012769070076548594
12,2036.999999999999,420400637.285199,0.06651525530641433,109486776.400938,0.0306936733344656,35221.74495,0.032715857286565786,2.069677,0.03272863539788218,0.178338,0.019802716225875594,245169.5953,0.012769070073355593
13,2038.0000000000005,448363693.005205,0.06651525530641833,112847327.750232,0.030693673334464933,36374.054532,0.03271585731018711,2.137415,0.03272877845190325,0.18187,0.0198050892126187,248300.183043,0.012769070076447564
14,2038.999999999999,478186718.515574,0.06651525530641655,116311026.764864,0.030693673334456717,37564.062909,0.03271585728649229,2.207369,0.032728319020873364,0.185472,0.01980535547368989,251470.74548,0.012769070075356881
15,2039.9999999999998,509993430.181774,0.06651525530641456,119881039.425581,0.030693673334465377,38793.003431,0.03271585730694637,2.279614,0.03272900906010734,0.189145,0.019803528295376127,254681.79305,0.012769070071633415
16,2041.0000000000002,537513772.301366,0.05396215027668694,122933976.415369,0.02546638738216145,39933.050024,0.029387943499341818,2.334034,0.023872462618671264,0.193041,0.020597953950672654,256903.746616,0.008724430354406065
17,2041.9999999999995,566519171.258081,0.053962150276686494,126064660.681191,0.025466387382151012,41106.600243,0.029387943527847016,2.389753,0.02387240288701875,0.197017,0.020596660812987944,259145.085462,0.008724430357764268
18,2043.0,597089763.912135,0.05396215027668938,129275072.165298,0.0254663873821539,42314.638689,0.029387943514149306,2.446803,0.023872760071856902,0.201076,0.020602283051716297,261405.978711,0.008724430351319645
19,2044.0000000000002,629310011.481033,0.053962150276686716,132567241.231916,0.025466387382158562,43558.178901,0.02938794352327223,2.505215,0.023872784200444475,0.205218,0.020599176430802224,263686.596967,0.008724430356358948
20,2044.9999999999993,663268932.891196,0.05396215027668694,135943249.951312,0.02546638738215834,44838.264202,0.0293879435113531,2.565021,0.02387260175274375,0.209445,0.02059760839692415,265987.112317,0.008724430352020862
21,2045.9999999999993,699060350.721728,0.05396215027668605,139405233.416561,0.025466387382153233,46155.968577,0.029387943499856295,2.626255,0.023872709034350903,0.21376,0.02060206736852166,268307.698354,0.008724430355987911
22,2046.9999999999995,736783150.419846,0.05396215027668516,142955381.093847,0.025466387382155897,47512.397575,0.02938794352754459,2.68895,0.023872396244843053,0.218163,0.02059786676646702,270648.530182,0.0087244303550007
23,2048.0,776541553.504135,0.05396215027669027,146595938.207146,0.025466387382151234,48908.689231,0.02938794351086793,2.753143,0.0238728871864482,0.222657,0.020599276687614188,273009.784434,0.008724430354054125
24,2049.000000000001,818445405.510417,0.053962150276686716,150329207.15818,0.02546638738215745,50346.015028,0.029387943524950888,2.818868,0.02387271565625171,0.227244,0.02060119376439995,275391.639284,0.008724430353066026
25,2049.999999999999,862610479.475833,0.053962150276685605,154157548.982522,0.025466387382152122,51825.580873,0.029387943498152325,2.886161,0.0238723487584378,0.231925,0.02059900371406931,277794.274461,0.008724430353974189
