Segment,Direction,Class,AADT,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
S2,NB,Medium A,1829,17,26,30,18,30,38,85,94,126,189,123,149,137,136,154,107,80,86,72,45,27,32,13,15
S2,NB,Medium B,498,5,5,3,3,0,31,57,28,30,47,43,31,36,33,40,27,25,24,7,12,6,0,3,2
S2,NB,Heavy A,3535,95,110,100,133,111,137,141,101,186,181,212,210,225,188,197,155,145,150,132,161,146,121,95,103
S2,NB,Heavy B,191,10,12,14,13,9,11,5,4,0,4,3,6,9,10,14,5,3,4,4,6,8,6,15,16
S3,SB,Lights,79296,1116,859,661,592,1070,2991,4343,4299,4042,4178,4503,4817,4729,4727,4940,3886,3450,3563,4071,4262,3845,3463,2826,2063
S3,SB,Medium A,2457,28,20,20,42,58,108,160,221,243,279,181,177,174,153,135,70,64,70,85,45,35,32,27,30
S3,SB,Medium B,790,6,2,11,6,20,51,78,85,54,71,58,73,74,53,41,22,15,24,16,14,5,3,5,3
S3,SB,Heavy A,6253,179,156,183,177,238,251,215,225,302,343,422,405,385,369,306,262,209,230,251,297,254,209,199,186
S3,SB,Heavy B,380,30,29,20,19,24,25,12,13,4,14,10,11,13,11,8,2,5,4,16,21,20,21,26,22
S3,NB,Lights,54840,521,358,351,535,1109,3032,3152,2897,2517,2680,2983,3059,3063,3178,3405,3329,2816,3241,3117,2650,2206,2010,1686,950
S3,NB,Medium A,1666,13,17,19,27,38,57,79,100,122,148,128,108,128,117,115,85,74,72,80,38,37,23,26,20
S3,NB,Medium B,389,5,5,2,1,8,19,31,21,21,28,32,31,35,24,25,28,19,19,15,8,3,7,1,6
S3,NB,Heavy A,5225,158,161,145,194,204,191,161,156,223,354,334,305,315,307,238,223,213,193,199,190,200,207,186,175
S3,NB,Heavy B,364,28,28,37,31,24,17,9,4,9,5,14,7,18,7,8,3,6,4,5,10,17,23,38,20
S4,SB,Lights,72736,1104,829,694,582,879,2122,3305,3861,3480,3285,3655,4066,4466,4663,4964,3577,3329,3332,3836,4495,3843,3437,2852,2080
S4,SB,Medium A,2591,23,11,18,35,74,136,160,197,197,220,158,183,230,218,170,107,77,82,103,77,32,41,23,19
S4,SB,Medium B,834,4,6,6,8,1,31,75,78,70,83,70,78,91,61,50,28,18,18,19,15,6,6,4,8
S4,SB,Heavy A,6606,188,179,173,198,254,263,234,274,318,377,426,435,423,388,311,262,222,232,278,295,239,223,218,196
