,SegmentMapped,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071
0,S1,0.01892764306656219,0.01892764306656219,0.01892764306656219,0.01892764306656219,0.01892764306656219,0.022899469148668045,0.022899469148668045,0.022899469148668045,0.022899469148668045,0.022899469148668045,0.02614433506221444,0.02614433506221444,0.02614433506221444,0.02614433506221444,0.02614433506221444,0.024569138564890753,0.024569138564890753,0.024569138564890753,0.024569138564890753,0.024569138564890753,0.023326379745946754,0.023326379745946754,0.023326379745946754,0.023326379745946754,0.023326379745946754,0.02111672041654016,0.02111672041654016,0.02111672041654016,0.02111672041654016,0.02111672041654016,0.014077813611026772,0.014077813611026772,0.014077813611026772,0.014077813611026772,0.014077813611026772,0.014077813611026772,0.014077813611026772,0.014077813611026772,0.014077813611026772,0.014077813611026772,0.008446688166616064,0.008446688166616064,0.008446688166616064,0.008446688166616064,0.008446688166616064,0.008446688166616064
2,S2,0.025583019621250966,0.025583019621250966,0.025583019621250966,0.025583019621250966,0.025583019621250966,0.03151437665754157,0.03151437665754157,0.03151437665754157,0.03151437665754157,0.03151437665754157,0.03306727344960952,0.03306727344960952,0.03306727344960952,0.03306727344960952,0.03306727344960952,0.02935083185926449,0.02935083185926449,0.02935083185926449,0.02935083185926449,0.02935083185926449,0.02772449318830756,0.02772449318830756,0.02772449318830756,0.02772449318830756,0.02772449318830756,0.024990051009258007,0.024990051009258007,0.024990051009258007,0.024990051009258007,0.024990051009258007,0.016660034006172005,0.016660034006172005,0.016660034006172005,0.016660034006172005,0.016660034006172005,0.016660034006172005,0.016660034006172005,0.016660034006172005,0.016660034006172005,0.016660034006172005,0.009996020403703202,0.009996020403703202,0.009996020403703202,0.009996020403703202,0.009996020403703202,0.009996020403703202
3,S3,0.023025316625614106,0.023025316625614106,0.023025316625614106,0.023025316625614106,0.023025316625614106,0.028938968954734915,0.028938968954734915,0.028938968954734915,0.028938968954734915,0.028938968954734915,0.030770038527928284,0.030770038527928284,0.030770038527928284,0.030770038527928284,0.030770038527928284,0.02737543975746577,0.02737543975746577,0.02737543975746577,0.02737543975746577,0.02737543975746577,0.025848686154996813,0.025848686154996813,0.025848686154996813,0.025848686154996813,0.025848686154996813,0.023315661386573986,0.023315661386573986,0.023315661386573986,0.023315661386573986,0.023315661386573986,0.01554377425771599,0.01554377425771599,0.01554377425771599,0.01554377425771599,0.01554377425771599,0.01554377425771599,0.01554377425771599,0.01554377425771599,0.01554377425771599,0.01554377425771599,0.009326264554629595,0.009326264554629595,0.009326264554629595,0.009326264554629595,0.009326264554629595,0.009326264554629595
4,S4,0.022149984420955775,0.022149984420955775,0.022149984420955775,0.022149984420955775,0.022149984420955775,0.027913503392738685,0.027913503392738685,0.027913503392738685,0.027913503392738685,0.027913503392738685,0.02990232677085443,0.02990232677085443,0.02990232677085443,0.02990232677085443,0.02990232677085443,0.02671688702964382,0.02671688702964382,0.02671688702964382,0.02671688702964382,0.02671688702964382,0.025231698367890094,0.025231698367890094,0.025231698367890094,0.025231698367890094,0.025231698367890094,0.022770630370785427,0.022770630370785427,0.022770630370785427,0.022770630370785427,0.022770630370785427,0.015180420247190284,0.015180420247190284,0.015180420247190284,0.015180420247190284,0.015180420247190284,0.015180420247190284,0.015180420247190284,0.015180420247190284,0.015180420247190284,0.015180420247190284,0.00910825214831417,0.00910825214831417,0.00910825214831417,0.00910825214831417,0.00910825214831417,0.00910825214831417
5,S5,0.018076743360661233,0.018076743360661233,0.018076743360661233,0.018076743360661233,0.018076743360661233,0.02296325268744383,0.02296325268744383,0.02296325268744383,0.02296325268744383,0.02296325268744383,0.02576731715256531,0.02576731715256531,0.02576731715256531,0.02576731715256531,0.02576731715256531,0.023703866243734648,0.023703866243734648,0.023703866243734648,0.023703866243734648,0.023703866243734648,0.02242269350212597,0.02242269350212597,0.02242269350212597,0.02242269350212597,0.02242269350212597,0.02030609271664427,0.02030609271664427,0.02030609271664427,0.02030609271664427,0.02030609271664427,0.013537395144429512,0.013537395144429512,0.013537395144429512,0.013537395144429512,0.013537395144429512,0.013537395144429512,0.013537395144429512,0.013537395144429512,0.013537395144429512,0.013537395144429512,0.008122437086657708,0.008122437086657708,0.008122437086657708,0.008122437086657708,0.008122437086657708,0.008122437086657708
6,S6,0.018314050545112946,0.018314050545112946,0.018314050545112946,0.018314050545112946,0.018314050545112946,0.023434726992659152,0.023434726992659152,0.023434726992659152,0.023434726992659152,0.023434726992659152,0.026091155114158226,0.026091155114158226,0.026091155114158226,0.026091155114158226,0.026091155114158226,0.023827078346450255,0.023827078346450255,0.023827078346450255,0.023827078346450255,0.023827078346450255,0.02253544331987205,0.02253544331987205,0.02253544331987205,0.02253544331987205,0.02253544331987205,0.020395947397579592,0.020395947397579592,0.020395947397579592,0.020395947397579592,0.020395947397579592,0.013597298265053062,0.013597298265053062,0.013597298265053062,0.013597298265053062,0.013597298265053062,0.013597298265053062,0.013597298265053062,0.013597298265053062,0.013597298265053062,0.013597298265053062,0.008158378959031837,0.008158378959031837,0.008158378959031837,0.008158378959031837,0.008158378959031837,0.008158378959031837
7,S7,0.02004612576711104,0.02004612576711104,0.02004612576711104,0.02004612576711104,0.02004612576711104,0.025429791996585963,0.025429791996585963,0.025429791996585963,0.025429791996585963,0.025429791996585963,0.027776821204558357,0.027776821204558357,0.027776821204558357,0.027776821204558357,0.027776821204558357,0.025113319749788296,0.025113319749788296,0.025113319749788296,0.025113319749788296,0.025113319749788296,0.023727204743374312,0.023727204743374312,0.023727204743374312,0.023727204743374312,0.023727204743374312,0.021445570032550817,0.021445570032550817,0.021445570032550817,0.021445570032550817,0.021445570032550817,0.014297046688367211,0.014297046688367211,0.014297046688367211,0.014297046688367211,0.014297046688367211,0.014297046688367211,0.014297046688367211,0.014297046688367211,0.014297046688367211,0.014297046688367211,0.008578228013020326,0.008578228013020326,0.008578228013020326,0.008578228013020326,0.008578228013020326,0.008578228013020326
8,S8,0.019537045014160065,0.019537045014160065,0.019537045014160065,0.019537045014160065,0.019537045014160065,0.02504876004507855,0.02504876004507855,0.02504876004507855,0.02504876004507855,0.02504876004507855,0.027386650353013794,0.027386650353013794,0.027386650353013794,0.027386650353013794,0.027386650353013794,0.024673896550163957,0.024673896550163957,0.024673896550163957,0.024673896550163957,0.024673896550163957,0.02334192969965585,0.02334192969965585,0.02334192969965585,0.02334192969965585,0.02334192969965585,0.021089287270998153,0.021089287270998153,0.021089287270998153,0.021089287270998153,0.021089287270998153,0.014059524847332102,0.014059524847332102,0.014059524847332102,0.014059524847332102,0.014059524847332102,0.014059524847332102,0.014059524847332102,0.014059524847332102,0.014059524847332102,0.014059524847332102,0.00843571490839926,0.00843571490839926,0.00843571490839926,0.00843571490839926,0.00843571490839926,0.00843571490839926
9,S9,0.017923660221581775,0.017923660221581775,0.017923660221581775,0.017923660221581775,0.017923660221581775,0.02294026220751371,0.02294026220751371,0.02294026220751371,0.02294026220751371,0.02294026220751371,0.025682881939419044,0.025682881939419044,0.025682881939419044,0.025682881939419044,0.025682881939419044,0.02354348240629403,0.02354348240629403,0.02354348240629403,0.02354348240629403,0.02354348240629403,0.022268493213338875,0.022268493213338875,0.022268493213338875,0.022268493213338875,0.022268493213338875,0.020163940409109307,0.020163940409109307,0.020163940409109307,0.020163940409109307,0.020163940409109307,0.013442626939406205,0.013442626939406205,0.013442626939406205,0.013442626939406205,0.013442626939406205,0.013442626939406205,0.013442626939406205,0.013442626939406205,0.013442626939406205,0.013442626939406205,0.008065576163643723,0.008065576163643723,0.008065576163643723,0.008065576163643723,0.008065576163643723,0.008065576163643723
1,S10,0.020342423252984087,0.020342423252984087,0.020342423252984087,0.020342423252984087,0.020342423252984087,0.024674420877181538,0.024674420877181538,0.024674420877181538,0.024674420877181538,0.024674420877181538,0.02743235545023389,0.02743235545023389,0.02743235545023389,0.02743235545023389,0.02743235545023389,0.02542543755075708,0.02542543755075708,0.02542543755075708,0.02542543755075708,0.02542543755075708,0.024101196303663648,0.024101196303663648,0.024101196303663648,0.024101196303663648,0.024101196303663648,0.021784318256214567,0.021784318256214567,0.021784318256214567,0.021784318256214567,0.021784318256214567,0.014522878837476378,0.014522878837476378,0.014522878837476378,0.014522878837476378,0.014522878837476378,0.014522878837476378,0.014522878837476378,0.014522878837476378,0.014522878837476378,0.014522878837476378,0.008713727302485827,0.008713727302485827,0.008713727302485827,0.008713727302485827,0.008713727302485827,0.008713727302485827
