Segment,Direction,Class,AADT,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
S3,WB,Medium A,1665.5,13.0,16.5,18.5,26.5,37.5,57.0,79.0,100.0,121.5,148.0,127.5,108.0,128.0,117.0,114.5,85.0,74.0,71.5,80.0,37.5,37.0,22.5,25.5,20.0
S3,WB,Medium B,389.0,4.5,5.0,1.5,0.5,8.0,18.5,31.0,20.5,21.0,28.0,32.0,31.0,35.0,24.0,24.5,27.5,18.5,19.0,14.5,8.0,3.0,7.0,1.0,5.5
S3,WB,Heavy A,5225.0,157.5,160.5,145.0,193.5,204.0,191.0,161.0,156.0,223.0,353.5,333.5,304.5,315.0,306.5,237.5,222.5,212.5,193.0,199.0,189.5,200.0,206.5,185.5,174.5
S3,WB,Heavy B,364.0,27.5,28.0,36.5,31.0,23.5,16.5,9.0,3.5,8.5,4.5,14.0,7.0,17.5,6.5,7.5,2.5,5.5,4.0,5.0,9.5,16.5,22.5,37.5,20.0
S4,EB,Lights,72736.0,1104.0,829.0,694.0,582.0,879.0,2122.0,3305.0,3861.0,3480.0,3285.0,3655.0,4066.0,4466.0,4663.0,4964.0,3577.0,3329.0,3332.0,3836.0,4495.0,3843.0,3437.0,2852.0,2080.0
S4,EB,Medium A,2591.0,23.0,11.0,18.0,35.0,74.0,136.0,160.0,197.0,197.0,220.0,158.0,183.0,230.0,218.0,170.0,107.0,77.0,82.0,103.0,77.0,32.0,41.0,23.0,19.0
S4,EB,Medium B,834.0,4.0,6.0,6.0,8.0,1.0,31.0,75.0,78.0,70.0,83.0,70.0,78.0,91.0,61.0,50.0,28.0,18.0,18.0,19.0,15.0,6.0,6.0,4.0,8.0
S4,EB,Heavy A,6606.0,188.0,179.0,173.0,198.0,254.0,263.0,234.0,274.0,318.0,377.0,426.0,435.0,423.0,388.0,311.0,262.0,222.0,232.0,278.0,295.0,239.0,223.0,218.0,196.0
S4,EB,Heavy B,497.0,42.0,33.0,33.0,26.0,32.0,30.0,16.0,16.0,7.0,22.0,15.0,17.0,12.0,15.0,9.0,7.0,5.0,6.0,22.0,23.0,32.0,20.0,25.0,32.0
S4,WB,Lights,82728.0,605.0,408.0,379.0,680.0,1578.0,5139.0,6448.0,5255.0,4975.0,4811.0,4761.0,4355.0,4453.0,4608.0,4942.0,5062.0,4903.0,4987.0,4045.0,2929.0,2429.0,2210.0,1703.0,1063.0
S4,WB,Medium A,2687.0,23.0,23.0,17.0,21.0,43.0,84.0,134.0,165.0,185.0,229.0,231.0,230.0,229.0,206.0,203.0,129.0,152.0,118.0,90.0,62.0,47.0,30.0,17.0,19.0
