Capacity Factors,1SB,1NB,2SB,2NB,3SB,3NB,4SB,4NB,5SB,5NB,6SB,6NB,7SB,7NB,8SB,8NB,9SB,9NB,10SB,10NB,11SB,11NB,12SB,12NB,13SB,13NB,14SB,14NB,15SB,15NB
Night,58.08201054,59.1624665,65.18999339,66.41205938,60.86831474,65.86545556,58.41299774,64.97729677,62.78207856,66.35116418,56.39500874,58.40672265,63.23465155,58.30835269,65.76852574,63.74569854,66.47128718,64.5187957,67.57331108,65.89633673,62.08300549,66.12243599,63.67980164,63.41658007,58.72070238,58.08120262,53.37941325,53.88212048,59.87866262,62.78475024
AM-Early,60.35477162,60.30965686,66.84280034,68.47311254,64.24988778,65.86545556,59.37058787,66.77680148,65.77003054,69.36624321,65.04670627,65.67965911,65.87587377,58.87000699,67.29191005,66.88343569,67.21360555,68.04819074,68.29032276,69.42833198,66.59198308,67.19650026,64.7769312,68.37224863,53.94164965,59.78538698,53.75734924,55.17294776,61.0791141,60.64592889
AM-Peak,58.41900898,42.93440332,45.5187168,67.331894,41.45154051,41.76468659,59.86534277,57.38788278,66.07692207,52.85748859,65.86387595,47.44930052,64.90933657,41.68790812,66.81740192,44.64130605,68.10934555,61.4852469,69.42027381,68.72101735,65.33811504,20.48699299,64.19741133,39.36672357,26.85762399,56.86491942,50.586184,42.23415307,61.0791141,17.97550842
AM-Shoulder,53.94284228,18.8647685,12.82065554,66.22809246,13.14371978,29.14800606,57.4858073,29.2845219,62.70165183,28.381039,62.74043613,23.2209453,62.86440526,15.48675588,63.90854957,21.32828733,66.86353469,61.81520521,68.42969077,67.21092686,64.9271835,12.92894689,63.43935445,32.73139562,17.8760118,55.58992123,47.45062112,23.10272193,59.38247204,14.85206422
MD,46.18072044,27.72196811,34.63896697,63.25719804,20.12011176,36.59243566,55.24026795,57.64254007,58.23038437,51.56709074,63.3401134,52.68820039,63.96195848,55.64197413,65.39853573,61.38890708,67.04039828,65.27156312,68.57766301,67.14022415,60.47601008,45.61649957,64.04693797,63.88884171,29.34685138,44.97726229,32.80464675,32.17538985,55.1161601,26.10324677
PM-Shoulder,40.49773731,25.54331277,40.0636277,50.4089046,21.48293462,36.46233048,39.6113141,62.18999175,43.43075008,54.26510628,58.24001699,60.58123808,61.80684354,62.57245061,64.19226358,63.68697444,67.21360555,64.77540179,69.2762508,66.67428937,36.8381183,47.72835533,63.81584914,62.42683571,24.69617695,34.82006055,25.27875351,20.30578223,54.35005915,34.29193885
PM-Peak,19.58389103,18.7487698,41.11597707,25.06900995,21.03418945,20.11727715,11.89459982,55.4435556,23.36560926,63.39110565,34.01617462,60.58629105,42.70071284,61.17982373,51.80014692,59.24637816,57.76491326,63.3319795,66.53887684,65.63247155,26.26710524,47.64298871,52.32377773,60.35367883,19.18720223,18.6462022,21.61496486,13.52226841,54.50490263,43.42192476
PM-Late,37.70837045,39.99243768,54.53966461,52.34873473,44.23938855,49.24738419,31.83841078,61.34793424,34.79628941,64.05576692,38.95902091,58.71777795,51.89159481,54.5453542,58.52600806,60.14522175,64.81423435,63.23442937,67.1600331,65.86151821,57.24758772,61.67717218,63.81734763,64.35448534,41.48796909,37.76285449,37.27214751,47.11885919,56.00077581,53.72886939
