Segment,Direction,Class,AADT,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
S3,NB,Heavy B,376.209736,27.5,28,36.5,31,23.20973596,14.85,9,4.9,11.9,6.3,19.6,7,17.5,6.5,7.5,2.5,7.7,5.6,7,13.3,14.85,20.25,33.75,20
S4,SB,Lights,77801.5416,1104,829,694,582,879,2122,3305,3754.131671,3773.411395,3472.77232,3758.726218,4066,4019.4,4196.7,4467.6,3577,4660.6,4664.8,5370.4,6293,3843,3437,2852,2080
S4,SB,Medium A,2693.016274,23,11,18,35,74,136,160,191.5472518,213.609783,232.5753152,162.4839241,183,207,196.2,153,107,107.8,114.8,144.2,107.8,32,41,23,19
S4,SB,Medium B,852.2738693,4,6,6,8,1,31,75,75.84104385,75.90195335,87.74432347,71.98654864,78,81.9,54.9,45,28,25.2,25.2,26.6,21,6,6,4,8
S4,SB,Heavy A,6957.46679,188,179,173,198,254,263,234,266.4159745,344.811731,398.5495174,438.0895674,435,380.7,349.2,279.9,262,310.8,324.8,389.2,413,239,223,218,196
S4,SB,Heavy B,517.6305531,42,33,33,26,32,30,16,15.5571372,7.590195335,23.25753152,15.42568899,17,10.8,13.5,8.1,7,7,8.4,30.8,32.2,32,20,25,32
S4,NB,Lights,81175.48321,605,408,379,680,1420.2,4625.1,5803.2,5156.376886,5782.13818,5920.951512,4790.740864,3919.5,4007.7,4147.2,4447.8,4555.8,4120.885337,5248.210476,5414.607308,2761.566345,2186.1,2210,1532.7,1052.7063
S4,NB,Medium A,2644.672556,23,23,17,21,38.7,75.6,120.6,161.9033656,215.0141836,281.8328614,232.4430035,207,206.1,185.4,182.7,116.1,127.7533288,124.1806369,120.4733394,58.45582566,42.3,30,15.3,18.81601101
S4,NB,Medium B,974.7556057,9,10,25,18,18.9,40.5,57.6,38.26806823,91.81686758,92.30333889,97.60593653,72.9,78.3,67.5,67.5,46.8,30.25736735,30.51897008,29.44903851,14.14253847,6.3,14,7.2,10.89348006
S4,NB,Heavy A,6392.585042,174,194,165,229,240.3,223.2,182.7,208.021294,399.8101576,519.3601202,439.7298378,351.9,342,357.3,276.3,255.6,216.844466,246.2565172,309.2149044,216.8522565,213.3,237,189.9,204.9954884
S4,NB,Heavy B,522.6172928,46,47,55,40,29.7,19.8,14.4,5.887395113,0,20.92209015,20.12493537,11.7,18,8.1,8.1,5.4,7.564341838,6.314269672,13.3859266,16.02821026,19.8,39,38.7,31.69012381
S5,SB,Lights,86425.51754,1145,860,720,548,826,2178,3330.357172,3594.250445,3497.889211,3280.073428,3521.060746,4216,4158.9,4663.086535,5069.7,5142,6232.8,7086.8,7011.2,6742.4,3995,3614,2915,2078
S5,SB,Medium A,2898.760131,17,15,26,42,39,80,161.0096343,190.6296381,215.1321383,277.4879431,199.7126944,212,231.3,152.8880831,165.6,155,166.6,156.8,159.6,140,30,26,19,21
S5,SB,Medium B,979.1235032,12,6,7,10,21,79,72.50141426,68.02202944,72.5960302,68.21962722,67.47050485,85,81,73.71389722,48.6,44,37.8,36.4,25.2,26.6,9,11,8,9
