,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT Medium A,AADT Medium B,AADT Heavy A,AADT Heavy B,GrowthFactor,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,TollHeavyA,TollHeavyB,TollheavyB,CaptureRateLights,CaptureRateMediumA,CaptureRateMediumB,CaptureRateHeavyA,CaptureRateHeavyB,VOT Lights,VOT MediumA,VOT MediumB,VOT HeavyA,VOT HeavyB,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh_MediumB,GPVeh_MediumB,MLVeh_HeavyA,GPVeh_HeavyA,MLVeh_HeavyB,GPVeh_HeavyB,MLVeh,GPVeh,GPVehDay,ML PCE,GP PCE,TollLightsPerSeg,TollMediumASeg,TollMediumBSeg,TollHeavyASeg,TollHeavyBSeg,TollBlend,TollMediumAPerSeg,TollMediumBPerSeg,TollHeavyAPerSeg,TollHeavyBPerSeg,RevenuePerHour,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerHourMediumB,RevenuePerHourHeavyA,RevenuePerHourHeavyB,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,RevenuePerDayMediumB,RevenuePerDayHeavyA,RevenuePerDayHeavyB,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay_MediumB,TransactionsDay_HeavyA,TransactionsDay_HeavyB,TransactionsDay,TotalVeh_hours,Speed GP Real,Speed ML Real
0,2032,1NB,1,NB,Night,6,OP,NT,0.7,54.8798901550707,8000.0,1,6,69.99999034106786,3600,1,5,0.5,0,1263.9,43.8,6.4,326.9,42.5,1.2870655091820147,3.6,1.8,0.3103448275862069,0.3103448275862069,3.402,0.708,1263.9,43.8,6.4,326.9,42.5,1683.5,2522.7000000000003,1.2,0.31533750000000005,2522.7000000000003,0.0,1.0,0.0,1011.1200000000001,35.04,5.120000000000001,261.52,34.0,1346.8000000000002,1.374103059974715,4.122309179924145,4.122309179924145,4.122309179924145,4.122309179924145,4.122309179924145,0.037343294180827304,0.0843261608294266,0.0843240508527141,0.08435380370874004,0.08432567960331673,105.7041829899527,317.1125489698581,317.1125489698581,317.1125489698581,317.1125489698581,0.29782667811727753,0.6000001103878138,0.7658655635639876,-0.16586545317617385,0.00039053652074571286,37.758551612118104,1226.141448387882,2.954788675463108,40.84521132453689,0.4317391403658963,5.968260859634104,22.060206745909696,304.8397932540903,2.867073106512769,39.63292689348723,66.07235928036957,1617.4276407196305,9704.565844317784,122.69997461687251,2400.0000253831276,0.9618721419823004,8.656849277840704,8.656849277840704,8.656849277840704,,2.551784322766828,2.8856164259469015,2.8856164259469015,2.8856164259469015,2.8856164259469015,118.02168740590506,36.31889891729728,8.526386737118232,1.2458335551640252,63.657294945781665,8.273273250543856,708.1301244354304,217.9133935037837,51.158320422709394,7.475001330984151,381.94376967469,49.63963950326313,226.5513096727086,17.728732052778646,2.5904348421953776,132.36124047545817,17.20243863907661,396.4341556822174,10101.0,54.83991185679016,69.9999871214241
1,2032,1NB,1,NB,AM-Early,1,OP,AM,0.7,23.828367301784464,8000.0,1,6,69.56067548108692,3600,1,5,0.5,0,6018.3,90.1,59.2,375.8,25.7,1.2870655091820147,3.6,1.8,0.3103448275862069,0.3103448275862069,3.246,0.715,6018.3,90.1,59.2,375.8,25.7,6569.1,7670.700000000001,1.2,0.9588375000000001,7670.700000000001,0.0,1.0,0.0,4814.64,72.08,47.36000000000001,300.64000000000004,20.560000000000002,5255.280000000001,1.7999988411467582,5.399996523440275,5.399996523440275,5.399996523440275,5.399996523440275,5.399996523440275,0.14690139523988885,0.25850202723130733,0.2585001712337076,0.2585191859271648,0.25849815902638196,23.609537813544986,70.82861344063495,70.82861344063495,70.82861344063495,70.82861344063495,0.6006773437783259,0.6050578728170571,2.3294021520406876,-1.7243442792236303,0.3967579872737179,707.2773335777784,5311.022666422222,18.632826122832633,71.46717387716737,12.242568109628394,46.95743189037161,77.72120805714283,298.07879194285715,5.314722149582414,20.385277850417587,821.1886580169646,5747.911341983036,5747.911341983036,1049.0113068953372,6621.688693104663,1.2599991888027307,11.339992699224576,11.339992699224576,11.339992699224576,,2.29937313226073,3.779997566408192,3.779997566408192,3.779997566408192,3.779997566408192,1321.7533957330172,891.1688665665591,70.43203739961434,46.27687766098187,293.78597731430466,20.08963679155724,1321.7533957330172,891.1688665665591,70.43203739961434,46.27687766098187,293.78597731430466,20.08963679155724,707.2773335777784,18.632826122832633,12.242568109628394,77.72120805714283,5.314722149582414,821.1886580169646,6569.1,18.030377435345645,69.4148475491351
2,2032,1NB,1,NB,AM-Peak,1,Peak,AM,0.7,13.161009971898324,8000.0,1,6,50.93603289597105,3600,1,5,0.5,0,7548.6,216.2,113.3,368.1,16.7,1.2870655091820147,3.6,1.8,0.3103448275862069,0.3103448275862069,3.246,0.715,7926.030000000001,227.01,118.965,386.50500000000005,17.535,8676.045,9691.500000000002,1.2,1.2114375000000002,9691.500000000002,0.0,1.0,0.0,6340.8240000000005,181.608,95.17200000000001,309.20400000000006,14.028,6940.836,1.7999999992971683,5.399999997891505,5.399999997891505,5.399999997891505,5.399999997891505,5.399999997891505,0.27820215997285747,0.3103448274274396,0.31034482740492614,0.31034482744338915,0.31034482737697777,10.585311315203443,31.75593394561033,31.75593394561033,31.75593394561033,31.75593394561033,0.4828609468638099,0.9167448536291589,5.140253798103721,-4.223508944474562,1.3643065452264844,1764.0309328077342,6161.999067192266,56.36110341944245,170.64889658055753,29.536137913781634,89.42886208621837,95.95986202480572,290.54513797519434,4.353517238444244,13.181482761555756,1950.2415534042084,6725.803446595791,6725.803446595791,2322.6627945971563,7853.412205402843,1.2599999995080178,11.339999995572159,11.339999995572159,11.339999995572159,,2.143730873411416,3.779999998524053,3.779999998524053,3.779999998524053,3.779999998524053,2926.5551200497084,2222.678974469873,213.04497084230644,111.6466012705008,362.7282783121339,16.45629515489368,2926.5551200497084,2222.678974469873,213.04497084230644,111.6466012705008,362.7282783121339,16.45629515489368,1764.0309328077342,56.36110341944245,29.536137913781634,95.95986202480572,4.353517238444244,1950.2415534042084,8676.045,8.170802775437688,45.81427409571236
3,2032,1NB,1,NB,AM-Shoulder,3,OP,AM,0.7,28.45963566129119,8000.0,1,6,69.81913489540779,3600,1,5,0.5,0,5212.6,200.8,50.2,405.4,9.0,1.2870655091820147,3.6,1.8,0.3103448275862069,0.3103448275862069,3.246,0.715,5212.6,200.8,50.2,405.4,9.0,5878.0,7208.8,1.2,0.9011,7208.8,0.0,1.0,0.0,4170.080000000001,160.64000000000001,40.160000000000004,324.32,7.2,4702.400000000001,1.7999992742940742,5.399997822882223,5.399997822882223,5.399997822882223,5.399997822882223,5.399997822882223,0.1240888590664535,0.2257396936984675,0.225729738392248,0.2257532174563356,0.22572701476247073,30.555889129492833,91.66766738847848,91.66766738847848,91.66766738847848,91.66766738847848,0.6131702414704086,0.6020732785976716,1.8382210665452372,-1.2361477879475657,0.25371270943472446,517.4604694158365,4695.139530584163,36.26282439572182,164.5371756042782,9.06530629383268,41.134693706167326,73.21628348543875,332.18371651456124,1.6252345062897893,7.3747654937102105,637.6301180971196,5240.3698819028805,15721.109645708642,877.9694154596857,6330.830584540315,1.259999492005852,11.339995428052667,11.339995428052667,11.339995428052667,,2.4784655960042326,3.7799984760175556,3.7799984760175556,3.7799984760175556,3.7799984760175556,1106.2410174758786,651.9999285970637,137.07342095192072,34.26684397531989,276.7574399946278,6.143383956946548,3318.7230524276356,1955.999785791191,411.22026285576214,102.80053192595966,830.2723199838834,18.430151870839644,1552.3814082475096,108.78847318716547,27.19591888149804,219.64885045631627,4.875703518869368,1912.8903542913588,17634.0,22.848176840305193,69.75895043511142
4,2032,1NB,1,NB,MD,4,OP,MD,0.7,29.67549467307931,8000.0,1,6,69.84599763556649,3600,1,5,0.5,0,4718.4,186.6,52.8,540.6,15.4,1.2870655091820147,3.6,1.8,0.3103448275862069,0.3103448275862069,3.249,0.708,4718.4,186.6,52.8,540.6,15.4,5513.8,7104.599999999999,1.2,0.888075,7104.599999999999,0.0,1.0,0.0,3774.72,149.28,42.24,432.48,12.32,4411.04,1.7999717870623007,5.399915361186902,5.399915361186902,5.399915361186902,5.399915361186902,5.399915361186902,0.1162908523404075,0.21537788987925377,0.21536894568264284,0.21540155212844436,0.21536644528097076,32.55116192938726,97.65348578816177,97.65348578816177,97.65348578816177,97.65348578816177,0.6111353503736467,0.6017645555634052,1.7384928040702892,-1.136728248506884,0.2262285376005014,438.965406146383,4279.434593853617,32.151611401175,154.44838859882498,9.097184265634834,43.70281573436516,93.15686326450962,447.4431367354904,2.65331460586156,12.74668539413844,576.0243796835639,4937.775620316435,19751.10248126574,850.142326757926,6254.457673242074,1.2599802509436104,11.339822258492493,11.339822258492493,11.339822258492493,,2.656540690156885,3.779940752830831,3.779940752830831,3.779940752830831,3.779940752830831,1071.1625422062364,553.0877425918835,121.53118620448177,34.38681754168452,352.1274238594093,10.029372008777385,4284.6501688249455,2212.350970367534,486.1247448179271,137.5472701667381,1408.5096954376372,40.11748803510954,1755.861624585532,128.6064456047,36.388737062539334,372.6274530580385,10.61325842344624,2304.0975187342556,22055.2,24.158857546989246,69.79473884213283
5,2032,1NB,1,NB,PM-Shoulder,2,OP,PM,0.7,34.285687747714675,8000.0,1,6,69.84561473439699,3600,1,5,0.5,0,4932.0,154.4,41.2,419.6,10.3,1.2870655091820147,3.6,1.8,0.3103448275862069,0.3103448275862069,3.399,0.592,4932.0,154.4,41.2,419.6,10.3,5557.5,6808.5,1.2,0.8510625,6808.5,0.0,1.0,0.0,3945.6000000000004,123.52000000000001,32.96,335.68000000000006,8.24,4446.0,1.5978307288751423,4.793492186625427,4.793492186625427,4.793492186625427,4.793492186625427,4.793492186625427,0.12140876257637556,0.24748296009123474,0.24747693269803617,0.24749708897871164,0.24747528329640806,36.84818006606698,110.54454019820093,110.54454019820093,110.54454019820093,110.54454019820093,0.5694905533134494,0.6017689541514148,1.4340128164345347,-0.8322438622831199,0.14630830777723267,479.03041362134746,4452.969586378653,30.56909523046932,123.83090476953069,8.156839701727272,33.04316029827273,83.07982282837393,336.5201771716261,2.039196334362402,8.2608036656376,602.8753677162804,4954.6246322837205,9909.249264567441,850.5652759061463,5957.934724093854,1.1184815102125996,10.066333591913395,10.066333591913395,10.066333591913395,,2.254295676244302,3.3554445306377985,3.3554445306377985,3.3554445306377985,3.3554445306377985,951.341534329903,535.786660464971,102.57290339762429,27.369823164450025,278.7697371158246,6.84241018703297,1902.683068659806,1071.573320929942,205.14580679524857,54.73964632890005,557.5394742316493,13.68482037406594,958.0608272426949,61.13819046093864,16.313679403454543,166.15964565674787,4.078392668724804,1205.7507354325608,11115.0,29.288441162211452,69.79422868237918
6,2032,1NB,1,NB,PM-Peak,2,Peak,PM,0.7,41.223562677278494,8000.0,1,6,69.86637282203755,3600,1,5,0.5,0,4744.1,95.2,28.3,379.7,10.3,1.2870655091820147,3.6,1.8,0.3103448275862069,0.3103448275862069,3.399,0.592,4981.305,99.96000000000001,29.715000000000003,398.685,10.815000000000001,5520.4800000000005,6284.6,1.2,0.785575,6284.6,0.0,1.0,0.0,3985.0440000000003,79.96800000000002,23.772000000000006,318.94800000000004,8.652000000000001,4416.384000000001,1.799998677865853,5.399996033597559,5.399996033597559,5.399996033597559,5.399996033597559,5.399996033597559,0.12511500807890474,0.2532535321531515,0.2532495136909304,0.253270688103144,0.25324842382935936,46.41914117118767,139.257423513563,139.257423513563,139.257423513563,139.257423513563,0.7923154559083131,0.6015305761625057,1.1216124565988992,-0.5200818804363935,0.07194436361972666,498.5888122547909,4482.716187745209,20.252178459223224,79.70782154077679,6.020247439460799,23.694752560539204,80.78017942912159,317.9048205708784,2.1911053629716175,8.623894637028384,607.8325229455683,4912.647477054432,9825.294954108864,826.3199443271227,5772.510055672877,1.259999074506097,11.339991670554873,11.339991670554873,11.339991670554873,,2.4470141875185596,3.7799972235182913,3.7799972235182913,3.7799972235182913,3.7799972235182913,1041.1623650981041,628.2214420001307,76.55317834606073,22.75651860605492,305.348853957389,8.282372188468752,2082.3247301962083,1256.4428840002613,153.10635669212147,45.51303721210984,610.697707914778,16.564744376937504,997.1776245095818,40.50435691844645,12.040494878921598,161.56035885824318,4.382210725943235,1215.6650458911365,11040.960000000001,37.44608911295255,69.82188713987091
7,2032,1NB,1,NB,PM-Late,5,OP,PM,0.7,45.72356668652285,8000.0,1,6,69.90537055986785,3600,1,5,0.5,0,4329.7,83.7,12.9,372.0,29.6,1.2870655091820147,3.6,1.8,0.3103448275862069,0.3103448275862069,3.399,0.592,4329.7,83.7,12.9,372.0,29.6,4827.9,5824.3,1.2,0.7280375,5824.3,0.0,1.0,0.0,3463.76,66.96000000000001,10.32,297.6,23.680000000000003,3862.3199999999997,1.1598825323412,3.4796475970236003,3.4796475970236003,3.4796475970236003,3.4796475970236003,3.4796475970236003,0.13169026124862987,0.2634505904869585,0.26344779928949286,0.2634619514748646,0.26344845754088864,46.832026976548065,140.4960809296442,140.4960809296442,140.4960809296442,140.4960809296442,0.4675249751185193,0.6010831875445886,0.9768998728245045,-0.37581668527991596,0.040835452527223565,456.1434593025542,3873.5565406974456,17.640651539006743,66.05934846099326,2.718781288667566,10.181218711332434,78.40627675891972,293.5937232410803,6.238459474568244,23.361540525431757,561.1476283637165,4266.752371636283,21333.761858181417,771.1559664860409,5053.144033513959,0.81191777263884,7.30725995374956,7.30725995374956,7.30725995374956,,1.593966168664092,2.43575331791652,2.43575331791652,2.43575331791652,2.43575331791652,626.1152346664983,370.3509814807052,42.96827551634484,6.6222805445613755,190.97834876101962,15.19534836386735,3130.5761733324916,1851.754907403526,214.8413775817242,33.11140272280688,954.891743805098,75.97674181933675,2280.717296512771,88.20325769503371,13.593906443337831,392.0313837945986,31.19229737284122,2805.7381418185823,24139.5,42.99314716723799,69.87385584941921
8,2032,1SB,1,SB,Night,6,OP,NT,0.7,54.83476899537768,8000.0,1,6,69.99503307099243,3600,1,5,0.5,0,1680.9,41.2,16.7,329.5,38.6,1.2870655091820147,3.6,1.8,0.3103448275862069,0.3103448275862069,3.402,0.708,1680.9,41.2,16.7,329.5,38.6,2106.9,2958.9,1.2,0.36986250000000004,2958.9,0.0,1.0,0.0,1344.7200000000003,32.96,13.36,263.6,30.880000000000003,1685.5200000000002,0.7112668557174285,2.1338005671522855,2.1338005671522855,2.1338005671522855,2.1338005671522855,2.1338005671522855,0.13418186817156333,0.2417822930407787,0.24178156671084022,0.24179085072094209,0.24178221705076938,65.35644313381572,196.0693294014471,196.0693294014471,196.0693294014471,196.0693294014471,0.22133194698820588,0.6000567696024348,0.7667059423083976,-0.1666491727059628,0.0005379846445150459,180.43704176766468,1500.4629582323355,7.969144378624066,33.23085562137594,3.2302017312568254,13.469798268743174,63.73606825004034,265.7639317499597,7.4662348625277595,31.133765137472242,262.83869099011366,1844.0613090098866,11064.36785405932,427.6419894350116,2531.258010564989,0.49788679900219995,4.4809811910198,4.4809811910198,4.4809811910198,,1.1572404810432853,1.4936603970065998,1.4936603970065998,1.4936603970065998,1.4936603970065998,212.91730123873054,89.83722114712883,11.903195356378536,4.824824400320476,95.20004100599499,11.152019328907729,1277.5038074323834,539.023326882773,71.41917213827122,28.948946401922854,571.2002460359699,66.91211597344638,1082.622250605988,47.8148662717444,19.381210387540953,382.416409500242,44.79740917516656,1577.032145940682,12641.400000000001,54.77980237579278,69.99337750630983
9,2032,1SB,1,SB,AM-Early,1,OP,AM,0.7,50.41027996076448,8000.0,1,6,69.96107071048979,3600,1,5,0.5,0,3134.0,127.4,54.1,429.9,41.2,1.2870655091820147,3.6,1.8,0.3103448275862069,0.3103448275862069,3.246,0.715,3134.0,127.4,54.1,429.9,41.2,3786.6,5091.8,1.2,0.636475,5091.8,0.0,1.0,0.0,2507.2000000000003,101.92000000000002,43.28,343.92,32.96,3029.28,1.0390005236784912,3.1170015710354733,3.1170015710354733,3.1170015710354733,3.1170015710354733,3.1170015710354733,0.12008753199048687,0.21993975257651668,0.21993669173213942,0.21995238119209273,0.21993615316481913,53.28682689207582,159.86048067622747,159.86048067622747,159.86048067622747,159.86048067622747,0.4216263167678558,0.600445195008994,0.8577183624164681,-0.2572731674074742,0.017188477122250155,301.0834602065487,2832.916539793451,22.416259582598585,104.98374041740142,9.518860018166995,44.581139981833005,75.64602293958454,354.2539770604154,7.249095608312438,33.950904391687565,415.91369835521124,3370.6863016447883,3370.6863016447883,645.5741746525363,4446.225825347464,0.7273003665749438,6.545703299174494,6.545703299174494,6.545703299174494,,1.6127189563360789,2.181901099724831,2.181901099724831,2.181901099724831,2.181901099724831,469.52633387610643,218.97811097787536,48.91006143498913,20.76921114176529,165.0521406416893,15.816809679787351,469.52633387610643,218.97811097787536,48.91006143498913,20.76921114176529,165.0521406416893,15.816809679787351,301.0834602065487,22.416259582598585,9.518860018166995,75.64602293958454,7.249095608312438,415.91369835521124,3786.6,48.96712235665855,69.9480990923258
