,Year,Total Revenue,Var Total Revenue (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%)
0,2032.0000000000005,448394205.180441,,118768409.788488,,30162.781862,,1.718491,,0.154539,
1,2033.0000000000007,472405132.386658,0.0535487009618123,120962435.083021,0.018473138593337213,30578.865146,0.013794592484992041,1.785879,0.03921347275022091,0.154435,-0.0006729692828348899
2,2034.0000000000002,497701813.553656,0.05354870096181119,123196990.910898,0.018473138593343874,31000.688129,0.013794592473788336,1.855909,0.03921318297600229,0.154332,-0.0006669472593647807
3,2034.9999999999993,524353099.135792,0.053548700961811635,125472825.998277,0.018473138593336103,31428.329988,0.013794592469060785,1.928685,0.039213129523053114,0.154229,-0.0006673923748801158
4,2035.9999999999998,552431526.439815,0.05354870096181408,127790702.90264,0.01847313859333055,31861.870992,0.013794592463727273,2.004315,0.0392132463310495,0.154126,-0.0006678380849256538
5,2036.999999999999,582013517.051017,0.0535487009618103,130151398.268301,0.01847313859334143,32301.392518,0.013794592480471657,2.082911,0.03921339709576599,0.154022,-0.000674772588661332
6,2038.0000000000005,613179584.831314,0.05354870096181119,132555703.086628,0.018473138593337657,32746.977064,0.013794592470021128,2.164588,0.03921290924096121,0.153919,-0.0006687356351690044
7,2038.999999999999,646014555.055334,0.05354870096181186,135004422.961084,0.018473138593333216,33198.708268,0.01379459249374837,2.249468,0.03921300496907487,0.153816,-0.0006691831417823257
8,2039.9999999999998,680607795.28097,0.05354870096181186,137498378.377157,0.01847313859333255,33656.670919,0.013794592467364808,2.337677,0.03921327176025624,0.153713,-0.000669631247724678
9,2041.0000000000002,716802738.842329,0.05318032472198908,140360160.907818,0.020813209322448456,34249.629591,0.017617864625620427,2.419372,0.034947086359663926,0.154369,0.004267693688887908
10,2041.9999999999995,754922541.255576,0.05318032472199019,143281506.317325,0.020813209322448678,34853.034928,0.017617864607755163,2.503921,0.03494667211160585,0.155027,0.004262513846692073
11,2043.0,795069567.139498,0.053180324721990635,146263654.300343,0.020813209322447124,35467.070979,0.017617864621215285,2.591425,0.03494678945541807,0.155688,0.004263773407212845
12,2044.0000000000002,837351624.896549,0.053180324721990635,149307870.353562,0.020813209322446458,36091.925034,0.01761786462067816,2.681987,0.03494679568191228,0.156352,0.004264940136683659
13,2044.9999999999993,881882256.215033,0.053180324721989525,152415446.31272,0.020813209322450676,36727.787683,0.017617864616558787,2.775713,0.03494647811492002,0.157019,0.004266015145313107
14,2045.9999999999993,928781040.967107,0.05318032472198708,155587700.900801,0.020813209322448234,37374.852874,0.017617864614793977,2.872716,0.034947056846295066,0.157688,0.004260630879065586
15,2046.9999999999995,978173918.321366,0.05318032472199019,158825980.287648,0.020813209322449122,38033.317973,0.017617864643370007,2.973108,0.03494671941117744,0.15836,0.004261579828522155
16,2048.0,1030193524.932277,0.053180324721989525,162131658.661218,0.020813209322449122,38703.38382,0.017617864617430534,3.077008,0.03494659460739413,0.159036,0.004268754736044489
17,2049.000000000001,1084979551.114668,0.05318032472199086,165506138.810729,0.020813209322444237,39385.254796,0.01761786460768433,3.18454,0.03494693546458105,0.159714,0.004263185693805127
18,2049.999999999999,1142679115.959665,0.05318032472199019,168950852.721947,0.020813209322449122,40079.138883,0.017617864619488666,3.295829,0.034946648495544075,0.160395,0.004263871670611374
