,Unnamed: 0,Period,Hours/Day,Peak,4Periods,Segment,Direction,SegDir,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,Year,MinToll,MinCapture,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalHeavies,TotalVeh,HOV3,Corridor PCE,InScopeLights,InScopeHeavies,InScopeVeh,CaptureRateLights,CaptureRateHeavies,TollLights,TollHeavies,VOT Lights,VOT Heavies,Speed GP real,Speed ML real,MLVeh_Lights,GPVeh_Lights,MLVeh_Heavies,GPVeh_Heavies,MLVeh,GPVeh,ML PCE,GP PCE,TollLightsPerSeg,TollHeaviesPerSeg,TollBlend,RevenuePerHour,RevenuePerDay,TransactionsDay_Lights,TransactionsDay_Heavies,TransactionsDay,TotalVeh_hours,GPVehDay,RevenuePerHourLights,RevenuePerHourHeavies,RevenuePerDayLights,RevenuePerDayHeavies
10,10,AM-Peak,2,Peak,AM,1,SB,1SB,3.9,65,10400,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.282229965,0.282229965,3.246,0.715,8367.66,730.485,9098.145,502.0596,10559.115,6449.792328,598.9977,7460.4789,0.143701624,0.135621485,1.94999999,5.849999966,56.94735252,170.8420575,42.7322112,69.14318829,926.8456319963408,6938.75476800366,81.2369575855845,649.2480424144155,1008.0825895819253,7588.002810418075,1170.5565047530943,8886.498895246907,7.604999961,22.8149998674,2.264283894819234,8902.082171728282,17804.164343456563,1853.6912639926816,162.473915171169,2016.1651791638506,18196.29,15176.00562083615,7048.6609951851915,1853.42117654309,14097.321990370383,3706.84235308618
11,11,AM-Shoulder,1,OP,AM,1,SB,1SB,3.9,65,10400,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.282229965,0.282229965,3.246,0.715,7015.5,1097.1,8112.6,420.93,10306.8,5407.5474,899.622,6652.332,0.1127082,0.111592473,1.949997479,5.723831976,64.01682328,187.9087251,42.46965329,69.78757741,609.4749338686801,5985.09506613132,100.39104374520599,996.708956254794,709.8659776138861,6981.8040223861135,910.648065104298,8975.221934895702,7.6049901681000005,22.322944706399998,2.4837027079066956,6876.074598316726,6876.074598316726,609.4749338686801,100.39104374520599,709.8659776138861,8112.6,6981.8040223861135,4635.05087977471,2241.0237185420165,4635.05087977471,2241.0237185420165
12,12,MD,5,OP,MD,1,SB,1SB,3.9,65,8000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.3,0.340622372,3.249,0.708,7185.8,717.3,7903.1,431.148,9337.7,5538.81464,588.186,6480.542,0.173973582,0.167410503,1.949999997,5.84999994,51.40833842,154.2250139,32.29084398,69.08321385,963.6074229548403,5791.04457704516,98.468514117558,618.8314858824419,1062.0759370723983,6409.876062927602,1259.0129653075144,7647.539034692485,7.6049999882999995,22.814999766,2.311581674958299,9574.793566847806,47873.967834239025,4818.037114774202,492.34257058779,5310.3796853619915,39515.5,32049.38031463801,7328.234440297353,2246.5591265504536,36641.17220148676,11232.795632752268
13,13,PM-Shoulder,1,OP,PM,1,SB,1SB,3.9,65,8000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.3,0.340622372,3.399,0.592,7957.0,515.6,8472.6,477.42,9503.8,6133.2556,422.792,6947.532,0.126329542,0.130117891,3.28011028,9.226570398,62.77791444,176.587004,26.49283202,69.68129064,774.8113709169352,6704.768629083064,55.012803371672,460.587196628328,829.8241742886072,7165.355825711393,939.8497810319511,8086.530218968048,12.792430092,35.9836245522,3.674328056927826,11891.280359031824,11891.280359031824,774.8113709169352,55.012803371672,829.8241742886072,8472.6,7165.355825711393,9911.720296941576,1979.5600620902474,9911.720296941576,1979.5600620902474
14,14,PM-Peak,3,Peak,PM,1,SB,1SB,3.9,65,8000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.3,0.340622372,3.399,0.592,7573.545,502.74,8076.285,454.4127,9081.765,5837.688486,412.2468,6622.5537,0.198647796,0.192550723,1.949999983,5.849999807,50.2224107,150.6672284,37.3371278,68.39514999,1159.6439514784768,5959.488348521523,79.3784193944364,423.36158060556363,1239.0223708729131,6382.849929127087,1397.779209661786,7229.573090338214,7.6049999337,22.814999247299998,2.1998548919550327,10630.110752845352,31890.33225853606,3478.93185443543,238.13525818330922,3717.0671126187394,24228.855,19148.549787381264,8819.092174109423,1811.01857873593,26457.27652232827,5433.055736207791
15,15,PM-Late,3,OP,NT,1,SB,1SB,3.9,65,8000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.3,0.340622372,3.402,0.708,3888.9,311.0,4199.9,233.334,4821.9,2997.56412,255.02,3443.918,0.153575385,0.153976688,0.936934184,2.786078551,62.48883508,185.8175378,63.63986943,69.98863444,460.35206379118625,3195.213936208814,39.26713497376,271.73286502624,499.61919876494625,3466.9468012350544,578.1534687124663,4010.412531287534,3.6540433176,10.8657063489,1.0822660720148114,2108.8115402270505,6326.4346206811515,1381.0561913735587,117.80140492128001,1498.8575962948387,12599.699999999999,10400.840403705162,1682.146382439553,426.66515778749726,5046.439147318659,1279.9954733624918
16,16,Night,8,OP,NT,2,NB,2NB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.279503106,0.279503106,3.402,0.708,1742.1,322.8,2064.9,104.526,2710.5,1506.56808,296.976,1899.708,0.142239957,0.142279693,0.504531419,1.512105201,64.18096579,192.353476,64.97910164,69.99969826,214.29417891677255,1423.2798210832273,42.253654108368,280.54634589163203,256.54783302514056,1703.8261669748592,341.0551412418765,2264.9188587581234,1.5640473988999999,4.6875261231000005,0.6704797085305382,533.231360563596,4265.850884508768,1714.3534313341804,338.029232866944,2052.3826642011245,16519.2,13630.609335798874,335.16625313418933,198.06510742940668,2681.3300250735147,1584.5208594352534
17,17,AM-Early,1,OP,AM,2,NB,2NB,3.1,65,7200,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.3,0.326086957,3.246,0.715,7626.3,647.1,8273.4,457.578,9567.6,6595.22424,595.332,7611.528,0.147038878,0.134333616,3.899999977,11.69999949,57.47708926,172.4312612,19.46075951,69.15085877,969.7543724080027,6198.967627591997,79.97310028051199,567.126899719488,1049.7274726885148,6766.094527311486,1209.6736732495388,7900.348326750462,12.0899999287,36.269998419,4.494240062613335,14624.954514005964,14624.954514005964,969.7543724080027,79.97310028051199,1049.7274726885148,8273.4,6766.094527311486,11724.330293269266,2900.624220736698,11724.330293269266,2900.624220736698
18,18,AM-Peak,2,Peak,AM,2,NB,2NB,3.1,65,6300,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.3,0.355731225,3.246,0.715,7355.88,634.095,7989.975,441.3528,9258.165,6361.365024,583.3674,7350.777,0.210097167,0.200914368,3.899999991,11.69999985,47.16370649,141.491118,17.05146074,66.39966628,1336.5047697952868,5578.022430204714,117.2068924828032,516.8881075171969,1453.71166227809,6094.91053772191,1688.1254472436965,7128.6867527563045,12.089999972100001,36.269999535,4.528882436234732,20409.436565386604,40818.87313077321,2673.0095395905737,234.4137849656064,2907.42332455618,15979.95,12189.82107544382,16158.342629536537,4251.093935850066,32316.685259073074,8502.187871700133
19,19,AM-Shoulder,1,OP,AM,2,NB,2NB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.279503106,0.279503106,3.246,0.715,6167.3,952.3,7119.6,370.038,9024.2,5333.48104,876.116,6550.032,0.113379679,0.109639568,1.949999913,5.836780549,62.85562823,188.1407819,42.52305697,69.84404085,604.7083682677861,5192.553631732215,96.056979757888,856.2430202421119,700.7653480256741,6048.796651974327,892.8793075414501,7761.282692458551,6.044999730300001,18.094019701900002,2.482777981903493,5393.518807333156,5393.518807333156,604.7083682677861,96.056979757888,700.7653480256741,7119.6,6048.796651974327,3655.4619230889207,1738.0568842442353,3655.4619230889207,1738.0568842442353
20,20,MD,5,OP,MD,2,NB,2NB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.279503106,0.279503106,3.249,0.708,6316.9,622.7,6939.6,379.014,8185.0,5462.85512,572.884,6384.432,0.109375896,0.110377304,1.526553225,4.480572116,63.09819877,185.198934,50.03798606,69.9020043,597.5046734681875,5340.381326531812,63.233391424736,559.466608575264,660.7380648929236,5899.847935107076,787.2048477423955,7018.781152257604,4.7323149975000005,13.889773559600002,1.809256224472171,3705.87781562498,18529.3890781249,2987.5233673409375,316.16695712368,3303.6903244646173,34698.0,29499.239675535384,2827.5803273298447,878.2974882951355,14137.901636649223,4391.487441475678
21,21,PM-Shoulder,1,OP,PM,2,NB,2NB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.279503106,0.279503106,3.399,0.592,6994.9,447.5,7442.4,419.694,8337.4,6049.18952,411.7,6847.008,0.121441759,0.121956874,1.522253583,4.492239251,60.85973426,179.5998315,49.60686267,69.80428905,734.6242158331656,5840.581784166833,50.2096450258,397.2903549742,784.8338608589656,6237.872139141033,885.2531509105656,7032.452849089434,4.7189861073,13.925941678100001,1.7122580330612984,4165.8980569102605,4165.8980569102605,734.6242158331656,50.2096450258,784.8338608589656,7442.4,6237.872139141033,3466.6814686028656,699.2165883073947,3466.6814686028656,699.2165883073947
22,22,PM-Peak,3,Peak,PM,2,NB,2NB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.279503106,0.279503106,3.399,0.592,6657.84,436.485,7094.325,399.4704,7967.295,5757.700032,401.5662,6526.779,0.117619739,0.11831666,1.932832349,5.680149339,61.82654381,181.6939799,52.33817987,69.87005313,677.2191750041317,5581.150424995868,47.511971552892,388.973028447108,724.7311465570236,5970.123453442976,819.7550896628077,6748.069510337192,5.9917802819,17.608462950899998,2.1784991994925913,4894.361290127655,14683.083870382965,2031.6575250123951,142.535914658676,2174.1934396710712,21282.975,17910.37036032893,4057.748499314341,836.6127908133134,12173.245497943024,2509.83837243994
23,23,PM-Late,3,OP,NT,2,NB,2NB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.279503106,0.279503106,3.402,0.708,3418.7,270.0,3688.7,205.122,4228.7,2956.49176,248.4,3393.604,0.137392483,0.1376132,0.780449868,2.328978479,65.44396978,195.294539,64.69069672,69.99472853,406.1997438754401,2807.37825612456,34.18311888,235.81688112,440.3828627554401,3043.1951372445596,508.7491005154401,3514.8288994845598,2.4193945908,7.2198332849,0.9006487723526658,1229.5538825881029,3688.6616477643083,1218.5992316263203,102.54935664000001,1321.1485882663203,11066.099999999999,9129.585411733678,982.7574631165852,246.79641947151762,2948.2723893497555,740.3892584145528
24,24,Night,8,OP,NT,2,SB,2SB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.279503106,0.279503106,3.402,0.708,1921.3,325.7,2247.0,115.278,2898.4,1661.54024,299.644,2067.24,0.139541145,0.139593289,0.531821231,1.593422255,64.75333238,194.0114361,64.9682227,69.9995688,231.8532275531748,1574.1687724468252,41.828291489116005,283.871708510884,273.6815190422908,1858.0404809577092,357.3381020205228,2425.783897979477,1.6486458161000002,4.9396089905,0.6940717082423247,588.859258251715,4710.87406601372,1854.8258204253984,334.62633191292804,2189.4521523383264,17976.0,14864.323847661673,382.2438535548229,206.61540469689206,3057.9508284385834,1652.9232375751365
25,25,AM-Early,1,OP,AM,2,SB,2SB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.279503106,0.279503106,3.246,0.715,5215.8,442.6,5658.4,312.948,6543.6,4510.62384,407.192,5205.728,0.118820607,0.119340054,1.047827228,3.105825312,60.5719077,179.5389155,60.53795075,69.96186928,535.9550626174708,4366.896937382529,48.594315268368,394.005684731632,584.5493778858388,4760.902622114161,681.7380084225748,5548.913991577425,3.2482644068,9.6280584672,1.218911162906051,2208.7926621219926,2208.7926621219926,535.9550626174708,48.594315268368,584.5493778858388,5658.4,4760.902622114161,1740.923753544596,467.8689085773968,1740.923753544596,467.8689085773968
26,26,AM-Peak,2,Peak,AM,2,SB,2SB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.279503106,0.279503106,3.246,0.715,6292.65,541.17,6833.82,377.559,7916.16,5441.88372,497.8764,6287.1144,0.114579483,0.108630675,1.949999921,5.849979054,62.56424284,187.692064,52.45614082,69.90259593,623.5282231837167,5291.562776816283,54.084649398569994,487.08535060143,677.6128725822867,5778.648127417713,785.7821713794267,6752.818828620573,6.0449997551,18.1349350674,2.261282384194985,4750.049561429667,9500.099122859334,1247.0564463674334,108.16929879713999,1355.2257451645735,13667.64,11557.296254835426,3769.2279564435057,980.8216049861613,7538.455912887011,1961.6432099723227
27,27,AM-Shoulder,1,OP,AM,2,SB,2SB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.279503106,0.279503106,3.246,0.715,5279.0,815.1,6094.1,316.74,7724.3,4565.2792,749.892,5606.572,0.115103849,0.115671146,1.386685028,4.108843124,61.70880771,182.847442,53.98844708,69.93096164,525.4812076796408,4436.77879232036,86.740867016232,728.3591329837681,612.2220746958727,5165.137925304128,785.7038087283368,6621.856191271663,4.2987235868,12.7374136844,1.7723659159679672,3363.752768401895,3363.752768401895,525.4812076796408,86.740867016232,612.2220746958727,6094.1,5165.137925304128,2258.8984618726213,1104.854306529274,2258.8984618726213,1104.854306529274
28,28,MD,5,OP,MD,2,SB,2SB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.279503106,0.279503106,3.249,0.708,7044.4,681.3,7725.7,422.664,9088.3,6091.99712,626.796,7107.644,0.109820353,0.106733675,1.949999921,5.770959954,63.64386922,188.3519157,41.61288273,69.81835428,669.0252741933833,5952.710725806616,66.9002405553,614.3997594447,735.9255147486833,6567.110485251316,869.7259958592833,7795.910004140716,6.0449997551,17.8899758574,2.297349129903542,5241.101307043282,26205.50653521641,3345.1263709669165,334.5012027765,3679.6275737434166,38628.5,32835.55242625658,4044.2576186547126,1196.8436883885693,20221.288093273564,5984.218441942847
29,29,PM-Shoulder,1,OP,PM,2,SB,2SB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.279503106,0.279503106,3.399,0.592,8064.7,516.0,8580.7,483.882,9612.7,6974.35256,474.72,7894.244,0.131989553,0.125439427,1.949999626,5.849989758,59.33680148,178.0101269,38.5229174,69.37575107,920.5416768588058,6660.276323141195,59.54860478544,456.45139521456,980.0902816442458,7116.727718355754,1099.1874912151256,8029.630508784874,6.044998840600001,18.134968249800004,2.1869563384448667,6644.585426439305,6644.585426439305,920.5416768588058,59.54860478544,980.0902816442458,8580.7,7116.727718355754,5564.673369335462,1079.912057103843,5564.673369335462,1079.912057103843
30,30,PM-Peak,3,Peak,PM,2,SB,2SB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.279503106,0.279503106,3.399,0.592,7635.6,509.145,8144.745,458.136,9163.035,6603.26688,468.4134,7493.1654,0.145446907,0.14002357,1.949999985,5.849999935,56.94608981,170.8382688,44.1244894,69.29287074,960.4247437915401,6217.03925620846,65.588916503838,443.556083496162,1026.013660295378,6660.595339704621,1157.1914933030541,7547.7075066969455,6.0449999535000005,18.1349997985,2.1993112573390854,6995.222519141045,20985.667557423134,2881.2742313746203,196.76674951151404,3078.040980886134,24434.235,19981.786019113864,5805.76753156011,1189.4549875809357,17417.302594680332,3568.364962742807
31,31,PM-Late,3,OP,NT,2,SB,2SB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.279503106,0.279503106,3.402,0.708,5578.4,440.6,6019.0,334.704,6900.2,4824.20032,405.352,5537.48,0.120152576,0.120898725,1.33647608,3.942916446,70.21223399,207.1424818,59.06504115,69.94358353,579.6400955880243,4664.0559044119755,49.006539976199996,391.59346002380005,628.6466355642243,5055.649364435775,726.6597155166244,5838.8362844833755,4.143075848,12.2230409826,1.5396627619382839,3000.5018271076724,9001.505481323016,1738.920286764073,147.01961992859998,1885.9399066926728,18057.0,15166.948093307325,2401.492880563155,599.0089465445178,7204.478641689464,1797.0268396335534
32,32,Night,8,OP,NT,3,NB,3NB,3.7,65,8000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.3,0.317398119,3.402,0.708,1939.6,359.3,2298.9,116.376,3017.5,1604.43712,316.184,2023.032,0.151248835,0.151312089,0.588063546,1.76154695,62.48598885,187.1770555,64.92066149,69.99937831,242.6692452307552,1580.5547547692447,47.84246154837601,311.45753845162403,290.5117067791312,1892.0122932208687,386.1966298758832,2514.927370124117,2.1758351202,6.517723715000001,0.781316806792726,839.8322125833295,6718.657700666636,1941.3539618460416,382.73969238700806,2324.0936542330496,18391.2,15136.09834576695,528.0082663655035,311.82394621782595,4224.066130924028,2494.5915697426076
33,33,AM-Early,1,OP,AM,3,NB,3NB,3.7,65,8000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.3,0.317398119,3.246,0.715,8489.2,720.3,9209.5,509.352,10650.1,7022.26624,633.864,8104.36,0.151565472,0.134737457,3.899999917,11.69999505,57.67298181,173.0188759,19.07512961,68.52899978,1064.3330971752653,6915.514902824735,85.405223443848,634.894776556152,1149.7383206191132,7550.409679380888,1320.5487675068093,8820.19923249319,14.429999692900001,43.289981685,4.4794016080178976,19055.5168240699,19055.5168240699,1064.3330971752653,85.405223443848,1149.7383206191132,9209.5,7550.409679380888,15358.326265382384,3697.1905586875127,15358.326265382384,3697.1905586875127
34,34,AM-Peak,2,Peak,AM,3,NB,3NB,3.7,65,7200,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.3,0.340909091,3.246,0.715,8187.585,705.81,8893.395,491.2551,10305.015,6772.770312,621.1128,7826.1876,0.200584076,0.187915388,3.899999997,11.69999998,48.9606425,146.8819273,17.44654355,65.68645535,1358.5098749927517,6337.820025007248,116.7166528037664,589.0933471962336,1475.2265277965182,6926.913372203481,1708.659833404051,8105.100066595949,14.4299999889,43.289999926,4.517118705707743,24655.961372303962,49311.922744607924,2717.0197499855035,233.4333056075328,2950.4530555930364,17786.79,13853.826744406962,19603.297481065947,5052.663891238015,39206.594962131894,10105.32778247603
35,35,AM-Shoulder,1,OP,AM,3,NB,3NB,3.7,65,8800,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.296920821,0.296920821,3.246,0.715,6864.4,1060.1,7924.5,411.864,10044.7,5678.23168,932.888,6973.56,0.157697732,0.153198696,1.949999891,5.849999095,54.009188,162.0275479,34.02479984,68.94683865,895.4442577065498,5557.09174229345,142.917225114048,917.1827748859519,1038.3614828205978,6474.274517179401,1324.1959330486939,8308.640066951306,7.2149995967,21.6449966515,2.4867850793995356,9554.072817255328,9554.072817255328,895.4442577065498,142.917225114048,1038.3614828205978,7924.5,6474.274517179401,6460.629958220088,3093.442859035241,6460.629958220088,3093.442859035241
36,36,MD,5,OP,MD,3,NB,3NB,3.7,65,8800,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.296920821,0.296920821,3.249,0.708,7031.7,693.1,7724.8,421.902,9111.0,5816.62224,609.928,6797.824,0.12202674,0.114606063,1.949999461,5.849985049,61.05653268,183.1691805,39.89518365,69.77209562,709.7834497586975,5900.0145502413025,69.90144679346399,623.1985532065361,779.6848965521615,6523.213103447839,919.4877901390895,7769.610209860911,7.2149980057,21.6449446813,2.299646653449649,6634.099123475233,33170.49561737616,3548.9172487934875,349.50723396731996,3898.424482760807,38624.0,32616.065517239193,5121.086174487869,1513.0129489873634,25605.43087243935,7565.064744936817
