Year,Direction,Segment,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late
2050,NB,1,218.47708140235574,430.74097196457564,627.275992131123,578.4265430855443,573.6938011340425,781.5357140140829,707.3247062956484,460.09524484088155
2050,NB,10,121.34999443268833,411.7423323471128,533.3839764465247,396.2669309991633,352.4088171256339,394.7488082650822,540.4997250218405,328.2178885819621
2050,NB,2,60.39999794982408,621.9451285674714,1513.391356946794,1190.4076392014822,1253.6005541408106,1101.890666613069,1179.022238209239,370.7121785769345
2050,NB,3,17.350000011833366,374.4291428015657,459.497176215446,375.3390487685339,528.3747875035785,528.6671114599113,454.09767078311404,290.2268628115401
2050,NB,4,170.27724540373373,613.4014367860503,970.3977164047792,833.6571608346893,775.9024499624002,1186.960732361271,1335.6382520779812,363.01998323333413
2050,NB,5,156.2600385486747,422.87411443348753,591.5978082072355,635.6283391217773,484.6575626680125,1273.9542147404466,1128.2136705522937,356.97561382624957
2050,NB,6,156.8449764100737,766.9215990422333,979.9278187324635,864.4485531327516,844.8295284078811,1116.627646656082,1385.4691930933677,353.37290659460103
2050,NB,7,156.0489535642929,572.8754861025285,693.5656205114203,566.8354327367107,588.8651973130686,852.1222525654684,1121.1657440353952,354.3727606874105
2050,NB,8,151.83101926577933,569.0211189252782,659.3272445019625,466.87998837167555,495.0523525215751,638.0343337803073,1261.9066663697329,336.7788968808242
2050,NB,9,41.59999730252447,437.3365307102872,581.9835762483646,407.69011360874345,398.333783904512,460.7603959123336,901.9179550295698,313.6118405428871
2050,SB,1,233.7051746834658,367.7396308260347,685.2048096248805,661.1919763639246,1184.9387282254545,921.3329414839037,655.1749998421036,422.3722515384396
2050,SB,10,33.799997752946496,241.90079635033533,499.580269416719,387.9003595674928,386.9761271870527,521.4612921405912,703.3717822392639,379.11319588634615
2050,SB,2,136.5999910557137,283.51186735453814,346.65365431877046,406.64047119749927,628.0370679064123,1829.2845834682698,1797.8456058185268,406.13555963796466
2050,SB,3,222.3824917281321,449.8529063432665,1173.5167707404084,1263.419122787388,1333.6798215954632,1122.603941395475,634.8257609169133,610.1369630832023
2050,SB,4,187.8530216121514,327.46252511890475,658.63039323642,655.2412446956606,464.07109149999434,1011.3944992001575,519.1989692804254,345.6129741674631
2050,SB,5,165.53806018206416,310.0215771714684,656.2086932841497,631.446079344639,583.7837307800341,779.4604774720885,673.5020237137301,423.2040639227237
2050,SB,6,162.36074161090627,307.7111394486851,693.6368643222623,893.7948194978308,982.6774008380504,593.4628169556509,1037.3338477689094,440.4038631191503
2050,SB,7,155.1275840935633,326.07682974377974,912.687514240676,842.2780203768765,789.0023774660978,764.8179597178246,861.7426620261296,532.9829510240688
2050,SB,8,145.81122300832692,462.96071086584686,962.0186948419719,651.5311105384112,456.5379223781242,671.7604630248118,732.0376411974969,372.80107592867967
2050,SB,9,0.2203800881327821,243.72070028782855,449.8072767041624,386.57526402607095,396.31526019438223,876.8106055280834,792.519023938073,343.79983052936825
