Year,Direction,Segment,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late
2050,NB,1,1441.5046994702607,890.2020440790479,2261.3297940857983,6255.671404310322,8272.64890491372,5634.872467815653,5099.811125809922,8293.153719160406
2050,NB,10,3944.8460306076468,8576.455232439754,12361.167091427811,15365.741058057505,14834.946147512866,8497.705198268952,25052.150397838002,17782.819298138736
2050,NB,2,709.5614348184943,2242.1096817978855,10911.550516028019,12874.239442308977,18076.919038137967,15889.190029661782,8500.749856972332,2570.503486055116
2050,NB,3,161.2410627836813,811.4000346838967,1183.205019937518,2459.6949817075847,5442.259716520467,2722.635241237338,2338.6022750557804,1075.5079059949776
2050,NB,4,2097.684658555516,5054.408563353113,7996.07686308145,20608.00382002139,25573.744678216506,39122.15678667871,22011.31618821996,8358.2269910555
2050,NB,5,2238.624566558135,2736.8364315462695,6093.453079529212,19640.904057988115,19546.267772748444,52486.848386554906,46482.38905349172,10674.699859697703
2050,NB,6,4067.212937266989,14218.71552453664,18167.823478856808,48080.491248615086,62652.55026157597,82809.10615951545,51373.143732342694,18467.324574165905
2050,NB,7,3235.152690741659,8555.895197912232,10358.402074039059,25396.99669169425,35178.80620900607,25452.891532192883,66978.44143467075,15040.821383377657
2050,NB,8,4020.51227148457,11135.743120610856,12903.0341545956,27410.51905135788,38752.697903864224,24972.657432640062,49391.02683028394,16354.133038813394
2050,NB,9,1793.721173052882,7657.761660502431,10190.529079547066,20326.965356436645,23925.329336108247,16135.820291468313,31585.15186261489,11680.26305948764
2050,SB,1,1588.0530259700863,1012.6379940986233,2470.1633225377877,7150.79117028941,17086.81642162843,6642.810384228126,4723.788285245428,3520.963663375697
2050,SB,10,2098.8842565558075,1879.104809251724,11577.771968328885,15758.873248938367,19844.97865787452,20839.17851872502,32601.125325842517,31420.223370211697
2050,SB,2,1062.1963052862486,327.29041912300266,815.2718007211637,2273.3003321665733,9056.294339957982,26378.283283768786,25924.882469740875,3192.8271897277905
2050,SB,3,1108.5620221107533,1158.3632092534392,3021.805444186329,9759.836315990035,13736.901976012437,5781.3784076552465,3269.347680886806,7855.510413421231
2050,SB,4,2577.6254549204527,1556.1223488111127,5427.103926317117,16197.526719197456,12883.420391869739,16667.7673593862,8556.390940026105,5315.715441115003
2050,SB,5,2523.380898252647,1670.9191262002134,6758.949121831961,19511.68209399608,24051.889558932115,16056.885797724459,13874.135077607923,15429.43781242521
2050,SB,6,4367.255758399278,2932.3757346477737,12860.015232126727,49712.86328417399,72875.20601298624,22005.58271024991,38464.26817851202,34600.8971754385
2050,SB,7,3209.175459371364,2934.6414171523393,13630.986577236476,37738.26573038364,47134.994091686334,22845.11223529519,25740.25316432698,39799.96583583754
2050,SB,8,3705.1638383858126,9060.135921585112,18826.7058026706,38251.39122680936,35737.71432563805,26292.67290133195,28651.953086229674,24458.34134299178
2050,SB,9,23.127623672232833,1444.8099748529417,7876.1253742739955,19323.638922551538,23078.786713451944,30705.889853046145,27754.016185949422,15733.5486951301
