,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT Medium A,AADT Medium B,AADT Heavy A,AADT Heavy B,GrowthFactor,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalHeavies,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeHeavies,InScopeVeh,TollLights,TollHeavies,CaptureRateLights,CaptureRateHeavies,VOT Lights,VOT Heavies,Speed GP real,Speed ML real,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_Heavies,GPVeh_Heavies,MLVeh,GPVeh,GPVehDay,ML PCE,GP PCE,TollLightsPerSeg,TollHeaviesPerSeg,TollBlend,RevenuePerHour,RevenuePerHourLights,RevenuePerHourHeavies,RevenuePerDay,RevenuePerDayLights,RevenuePerDayHeavies,TransactionsDay_Lights,TransactionsDay_Heavies,TransactionsDay,TotalVeh_hours
0,2032,1NB,1,NB,Night,6,OP,NT,0.7,55,8000.0,1,6,70,3600,1,5,0.5,0,1263.9,43.8,6.4,326.9,42.5,1.2870655091820147,3.6,1.8,0.3103448275862069,0.3103448275862069,3.402,0.708,1263.9,419.59999999999997,1683.5,2522.7,1.15,0.3153375,2522.7,0.0,1.0,0.0,1011.1200000000001,335.68,1346.8000000000002,1.163798135955094,3.4913944078652817,0.06079801048706217,0.06079789386300135,89.85023944172772,269.55071832518314,54.959934207501924,69.99999678035307,0.2978266687420145,0.6000000275969749,0.7641930545518572,-0.16419302695488225,0.00038968364084553185,61.47408436367831,1202.4259156363219,20.408637011932292,399.1913629880677,81.8827213756106,1601.6172786243897,9609.703671746338,122.69999539947518,2400.000004600525,0.8146586951685657,2.443976085505697,1.7439335616676428,99.95861814932546,50.080397354396496,49.878220794928964,599.7517088959528,300.482384126379,299.2693247695738,368.84450618206984,122.45182207159375,491.2963282536636,10101.0
1,2032,1NB,1,NB,AM-Early,1,OP,AM,0.7,55,8000.0,1,6,70,3600,1,5,0.5,0,6018.3,90.1,59.2,375.8,25.7,1.2870655091820147,3.6,1.8,0.3103448275862069,0.3103448275862069,3.246,0.715,6018.3,550.8000000000001,6569.1,7670.700000000001,1.15,0.9588375000000001,7670.700000000001,0.0,1.0,0.0,4814.64,440.6400000000001,5255.280000000001,1.7999913656294568,5.3999740968883705,0.1610338468683298,0.16094402047635792,52.162723238538526,156.48816971561558,41.05283997038105,69.89114222499978,0.6281663347401083,0.600934519925141,1.023071729758582,-0.42213720983344105,0.181604756285553,775.3200004861354,5242.979999513865,70.91837318270237,479.88162681729773,846.2383736688378,5722.861626331162,5722.861626331162,988.0751200342426,6682.624879965758,1.2599939559406197,3.779981867821859,2.1016852225031863,1244.968679258448,976.898514532409,268.0701647260389,1244.968679258448,976.898514532409,268.0701647260389,775.3200004861354,70.91837318270237,846.2383736688378,6569.1
2,2032,1NB,1,NB,AM-Peak,1,Peak,AM,0.7,55,8000.0,1,6,70,3600,1,5,0.5,0,7548.6,216.2,113.3,368.1,16.7,1.2870655091820147,3.6,1.8,0.3103448275862069,0.3103448275862069,3.246,0.715,7926.030000000001,750.0150000000001,8676.045,9691.5,1.15,1.2114375,9691.5,0.0,1.0,0.0,6340.8240000000005,600.0120000000001,6940.836,1.799999950789981,5.399999852369943,0.2666442777720675,0.2665817608765264,40.11019948817827,120.33059846453479,32.53735809437134,64.83360218087184,0.5900432496401767,0.6478122237112326,1.2908239162559916,-0.643011692544759,0.3690312868337395,1690.7444359597923,6235.285564040209,159.95225550704637,590.0627444929537,1850.6966914668387,6825.348308533163,6825.348308533163,2170.6012024809315,8005.473797519069,1.2599999655529868,3.7799998966589596,2.1111412127471016,2734.957440355245,2130.3379310682426,604.6195092870028,2734.957440355245,2130.3379310682426,604.6195092870028,1690.7444359597923,159.95225550704637,1850.6966914668387,8676.045
3,2032,1NB,1,NB,AM-Shoulder,3,OP,AM,0.7,55,8000.0,1,6,70,3600,1,5,0.5,0,5212.6,200.8,50.2,405.4,9.0,1.2870655091820147,3.6,1.8,0.3103448275862069,0.3103448275862069,3.246,0.715,5212.6,665.4,5878.0,7208.8,1.15,0.9011,7208.8,0.0,1.0,0.0,4170.080000000001,532.32,4702.400000000001,1.7756666139366304,5.326999841809891,0.14120036010053091,0.14112821539142484,55.42091245070796,166.26273735212388,43.62235510519899,69.95860334837356,0.6419405305835536,0.6003550384053864,0.9628090894843585,-0.3624540510789721,0.13942090809359642,588.8167976480221,4623.783202351979,75.12537161716328,590.2746283828367,663.9421692651854,5214.057830734815,15642.173492204445,814.192912499512,6394.607087500489,1.2429666297556412,3.7288998892669234,2.177501654442693,1012.0146204204481,731.8796305160714,280.13498990437665,3036.0438612613443,2195.6388915482144,840.40496971313,1766.4503929440662,225.37611485148983,1991.826507795556,17634.0
4,2032,1NB,1,NB,MD,4,OP,MD,0.7,55,8000.0,1,6,70,3600,1,5,0.5,0,4718.4,186.6,52.8,540.6,15.4,1.2870655091820147,3.6,1.8,0.3103448275862069,0.3103448275862069,3.249,0.708,4718.4,795.4,5513.799999999999,7104.599999999999,1.15,0.888075,7104.599999999999,0.0,1.0,0.0,3774.72,636.32,4411.04,1.689295809532404,5.067887428597212,0.14289421820779438,0.14284475728918652,54.873891831436474,164.62167549430941,44.469012699026834,69.95913976389805,0.628309933290439,0.600350435150345,0.9444779060930024,-0.3441274709426574,0.12658907971964722,539.3856633533255,4179.014336646675,90.89497595825517,704.5050240417448,630.2806393115807,4883.5193606884195,19534.077442753678,812.0705912280911,6292.5294087719085,1.1825070666726827,3.547521200018048,2.1765343265255366,960.279212764281,637.82735857724,322.451854187041,3841.116851057124,2551.30943430896,1289.807416748164,2157.542653413302,363.5799038330207,2521.1225572463227,22055.199999999997
5,2032,1NB,1,NB,PM-Shoulder,2,OP,PM,0.7,55,8000.0,1,6,70,3600,1,5,0.5,0,4932.0,154.4,41.2,419.6,10.3,1.2870655091820147,3.6,1.8,0.3103448275862069,0.3103448275862069,3.399,0.592,4932.0,625.5,5557.5,6808.5,1.15,0.8510625,6808.5,0.0,1.0,0.0,3945.6000000000004,500.40000000000003,4446.0,1.4399251270769935,4.319775381230981,0.15785392822321584,0.15780618299660665,54.22559128044055,162.67677384132165,47.04660260947949,69.9456685359981,0.5653575521650193,0.6004660600017622,0.8927318375915492,-0.292265777589787,0.0903668317686299,622.8284591975205,4309.171540802479,78.96621397150197,546.5337860284981,701.7946731690224,4855.705326830977,9711.410653661955,859.7271011120264,5948.7728988879735,1.0079475889538954,3.0238427668616863,1.7639670157800127,866.5598587241888,627.7784437800103,238.78141494417847,1733.1197174483775,1255.5568875600206,477.56282988835693,1245.656918395041,157.93242794300394,1403.5893463380448,11115.0
6,2032,1NB,1,NB,PM-Peak,2,Peak,PM,0.7,55,8000.0,1,6,70,3600,1,5,0.5,0,4744.1,95.2,28.3,379.7,10.3,1.2870655091820147,3.6,1.8,0.3103448275862069,0.3103448275862069,3.399,0.592,4981.305,539.1750000000001,5520.4800000000005,6284.6,1.15,0.785575,6284.6,0.0,1.0,0.0,3985.0440000000003,431.3400000000001,4416.384000000001,1.7089709096622567,5.12691272898677,0.15174663660402338,0.15168507261351497,55.0576386483259,165.1729159449777,49.83156612923628,69.96184839444938,0.810162118400611,0.6003271920890556,0.8428392535581681,-0.24251206146911253,0.05544202294526317,604.7170237190438,4376.587976280956,65.42783922111356,473.7471607788865,670.1448629401574,4850.335137059843,9700.670274119686,801.0005413823844,5797.829458617616,1.1962796367635797,3.588838910290739,2.0426727108530454,958.2206366923497,723.4106614793708,234.80997521297886,1916.4412733846993,1446.8213229587416,469.6199504259577,1209.4340474380876,130.85567844222712,1340.2897258803148,11040.960000000001
7,2032,1NB,1,NB,PM-Late,5,OP,PM,0.7,55,8000.0,1,6,70,3600,1,5,0.5,0,4329.7,83.7,12.9,372.0,29.6,1.2870655091820147,3.6,1.8,0.3103448275862069,0.3103448275862069,3.399,0.592,4329.7,498.20000000000005,4827.9,5824.3,1.15,0.7280375,5824.3,0.0,1.0,0.0,3463.76,398.56000000000006,3862.3199999999997,1.0529320618636147,3.1587961855908437,0.16719211240317558,0.16715906518495716,53.01575762220016,159.04727286660045,51.744233501328715,69.96680925788986,0.46399451828766997,0.6002846270321215,0.8116846488589208,-0.2114000218267993,0.033633799655789984,579.1133512576234,3750.5866487423764,66.62291702011653,431.5770829798835,645.73626827774,4182.16373172226,20910.8186586113,778.982102317973,5045.317897682027,0.7370524433045302,2.2111573299135903,1.2702015845201537,574.1506618039616,426.836910494706,147.31375130925557,2870.753309019808,2134.18455247353,736.5687565462779,2895.566756288117,333.11458510058264,3228.6813413887,24139.5
8,2032,1SB,1,SB,Night,6,OP,NT,0.7,55,8000.0,1,6,70,3600,1,5,0.5,0,1680.9,41.2,16.7,329.5,38.6,1.2870655091820147,3.6,1.8,0.3103448275862069,0.3103448275862069,3.402,0.708,1680.9,426.0,2106.9,2958.9,1.15,0.36986250000000004,2958.9,0.0,1.0,0.0,1344.7200000000003,340.8,1685.5200000000002,0.6133602976339141,1.8400808929017423,0.18262134308858313,0.18261796444949935,57.0013733327922,171.00411999837658,54.94547090670191,69.99825250324133,0.2192382546572372,0.600014978917583,0.7643942131520999,-0.16437923423451684,0.0005304946610154238,245.57457247807955,1435.3254275219206,62.23620228438938,363.7637977156106,307.8107747624689,1799.089225237531,10794.535351425187,432.28317933124765,2526.6168206687526,0.4293522083437398,1.2880566250312195,0.8613907025878345,185.6017376757241,105.43798500653324,80.16375266919086,1113.6104260543448,632.6279100391994,480.98251601514517,1473.4474348684773,373.41721370633627,1846.8646485748136,12641.400000000001
9,2032,1SB,1,SB,AM-Early,1,OP,AM,0.7,55,8000.0,1,6,70,3600,1,5,0.5,0,3134.0,127.4,54.1,429.9,41.2,1.2870655091820147,3.6,1.8,0.3103448275862069,0.3103448275862069,3.246,0.715,3134.0,652.6,3786.6,5091.8,1.15,0.636475,5091.8,0.0,1.0,0.0,2507.2000000000003,522.08,3029.28,0.9081432919834852,2.7244298759504555,0.1601311774390231,0.16011710902653237,52.28774922686075,156.86324768058225,53.439203423645615,69.98633487855655,0.41860904464418347,0.6001171524824138,0.7859398589279115,-0.1858227064454977,0.015612446704083517,401.4808880751188,2732.519111924881,83.59394028057203,569.006059719428,485.07482835569084,3301.525171644309,3301.525171644309,652.2627089168349,4439.537291083165,0.6357003043884396,1.9071009131653187,1.2211476850319043,414.6436025996601,255.22152275549408,159.42207984416603,414.6436025996601,255.22152275549408,159.42207984416603,401.4808880751188,83.59394028057203,485.07482835569084,3786.6
