,index,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT Medium A,AADT Medium B,AADT Heavy A,AADT Heavy B,GrowthFactor,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,TollHeavyA,TollHeavyB,CaptureRateLights,CaptureRateMediumA,CaptureRateMediumB,CaptureRateHeavyA,VOT Lights,VOT MediumA,VOT MediumB,VOT HeavyA,Speed GP Real,Speed ML Real,Bonus Seg,Time ML,Time GP,Time Savings,BonusRel,Reliability %,Bonus %,Time Savings %,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh_MediumB,GPVeh_MediumB,MLVeh_HeavyA,GPVeh_HeavyA,MLVeh,GPVeh,GPVehDay,ML PCE,ML V/C,ML Volume,ML PCE Total,GP PCE,GP Volume,GP PCE Total,Highway PCE,Highway Volume,Highway PCE Total,Highway V/C,TollLightsPerSeg,TollMediumAPerSeg,TollMediumBPerSeg,TollHeavyAPerSeg,TollBlend,RevenuePerHour,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerHourMediumB,RevenuePerHourHeavyA,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,RevenuePerDayMediumB,RevenuePerDayHeavyA,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay_MediumB,TransactionsDay_HeavyA,TransactionsDay,GPDay_Lights,GPDay_MediumA,GPDay_MediumB,GPDay_HeavyA,GPDay_HeavyB,TransactionsLightsLength,TransactionsMediumALength,TransactionsMediumBLength,TransactionsHeavyALength,TotalVeh_hours,GPDayLength_Lights,GPDayLength_MediumA,GPDayLength_MediumB,GPDayLength_HeavyA,GPDayLength_HeavyB,Difference in Travel Time,Implied Min VOT
0,160,2032,1NB,1,NB,Night,6,OP,NT,0.7,55,8000.0,1,6,70,3600,1,5,0.5,0,1187.7,41.1,6.0,307.2,39.9,1.2094222272955006,3.6,1.8,0.36683785766691124,0.36683785766691124,3.402,0.708,1153.8784225783245,39.929614522159746,5.829140806154707,298.452009275121,38.763786360928805,1536.8529735426887,2302.8020754714175,1.2,0.28785025943392717,2302.8020754714175,0.0,1.0,0.0,1084.645717223625,37.53383765083016,5.479392357785424,280.5448887186137,36.43795917927307,1444.6417951301273,0.5000020318191172,1.5000060954573515,1.5000060954573515,1.5000060954573515,1.5000060954573515,0.03466016280017339,0.034643181186501934,0.03464150121343766,0.005597663360394292,108.65025410745423,325.95076232236266,325.95076232236266,325.95076232236266,54.97235162200095,69.99999997407744,0.0,0.6000000002221934,0.7640204350142958,-0.1640204347921025,0.00026884996455259766,0.0016364424798051658,0.0,0.9983635575201949,37.59399713948167,1116.2844254388428,1.3002915383624574,38.62932298379729,0.18981437701112483,5.6393264291435825,1.570395844526078,296.8816134305949,40.65449889938133,1496.1984746433075,8977.190847859845,46.775502419180654,0.012993195116439071,280.6530145150839,196.45711016055873,2256.026573052237,13536.159438313422,9475.311606819394,2302.8020754714175,13816.812452828506,9671.768716979952,0.28785025943392717,0.350001422273382,1.050004266820146,1.050004266820146,1.050004266820146,0.5752831022916941,16.371492374265248,13.157952467760039,1.3653116633907116,0.1993059057654889,1.6489223373490083,98.2289542455915,78.94771480656023,8.19186998034427,1.1958354345929334,9.89353402409405,225.56398283689003,7.801749230174744,1.138886262066749,9.422375067156468,243.92699339628803,6697.706552633057,231.7759379027837,33.83595857486149,1781.2896805835694,232.58271816557283,157.894787985823,5.46122446112232,0.7972203834467243,6.595662547009527,9221.117841256131,4688.394586843139,162.24315653194859,23.685171002403045,1246.9027764084985,162.80790271590098,-0.21468069082345087,128.0333475705069
1,161,2032,1NB,1,NB,AM-Early,1,OP,AM,0.7,55,8000.0,1,6,70,3600,1,5,0.5,0,5655.3,84.7,55.6,353.2,24.2,1.2094222272955006,3.6,1.8,0.36683785766691124,0.36683785766691124,3.246,0.715,5142.980075939965,77.02693268829506,50.56313409054552,321.2032187190769,22.00769505379859,5613.781056491682,6555.383017595113,1.2,0.8194228771993892,6555.383017595113,0.0,1.0,0.0,4834.401271383566,72.40531672699736,47.52934604511278,301.9310255959323,20.687233350570672,5276.95419310218,1.3848640060938957,4.154592018281687,4.154592018281687,4.154592018281687,4.154592018281687,0.1458047124609044,0.14571035184783643,0.14570883079983543,0.038455445706691425,54.61704860787194,163.85114582361584,163.85114582361584,163.85114582361584,48.254688033268614,69.96391172482042,0.5604113183207973,0.6003094876283206,0.8703817538110205,-0.27007226618269986,0.07472177312225979,0.0825467641047175,0.6190985433301982,0.29835469256508423,704.8784872947116,4438.101588645253,10.55020417594482,66.47672851235023,6.9254454409141655,43.63768864963135,11.610892161970034,309.5923265571069,733.9650290735406,4879.81602741814,4879.81602741814,792.1381126311987,0.22003836461977744,792.1381126311987,554.4966788418391,5763.244904963914,5763.244904963914,4034.2714334747398,6555.383017595113,6555.383017595113,4588.7681123165785,0.8194228771993892,0.969404804265727,2.908214412797181,2.908214412797181,2.908214412797181,1.4946264693602773,767.9024920266694,683.3125920070515,30.682255842435733,20.140680246307102,33.76696393087507,767.9024920266694,683.3125920070515,30.682255842435733,20.140680246307102,33.76696393087507,704.8784872947116,10.55020417594482,6.9254454409141655,11.610892161970034,733.9650290735406,4438.101588645253,66.47672851235023,43.63768864963135,309.5923265571069,22.00769505379859,493.4149411062981,7.385142923161374,4.847811808639915,8.127624513379024,5613.781056491682,3106.671112051677,46.53370995864516,30.546382054741944,216.7146285899748,15.40538653765901,-0.31029173693057294,215.3656466769392
2,162,2032,1NB,1,NB,AM-Peak,1,Peak,AM,0.7,55,8000.0,1,6,70,3600,1,5,0.5,0,7093.3,203.2,106.4,345.9,15.7,1.2094222272955006,3.6,1.8,0.36683785766691124,0.36683785766691124,3.246,0.715,8795.327084686149,251.9575463618098,131.9305262445697,428.8982051503445,19.46719231240361,9627.580554755277,11292.087494893532,1.2,1.4115109368616916,11292.087494893532,0.0,1.0,0.0,8267.60745960498,236.84009358010118,124.01469466989552,403.1643128413238,18.299160773659395,9049.925721469961,3.59999997303192,10.79999991909576,10.79999991909576,10.79999991909576,10.79999991909576,0.2541268090298282,0.253945857011484,0.253937742288005,0.08444567705810639,41.24198104546346,123.72594313639036,123.72594313639036,123.72594313639036,19.723414129778327,60.62998916564774,0.7234511732025903,0.6927264968702439,2.129448772085994,-1.4367222752157498,0.9560686859147411,0.306801796747849,0.232154993744547,0.46104320950760397,2101.020702020618,6694.306382665531,60.14456053887886,191.81298582293093,31.492011575009553,100.43851466956015,34.0454833635518,394.8527217867927,2226.7027574980584,7400.877797257218,7400.877797257218,2478.0668684529383,0.6883519079035939,2478.0668684529383,1734.6468079170568,8814.020626440593,8814.020626440593,6169.814438508415,11292.08749489353,11292.08749489353,7904.4612464254715,1.4115109368616914,2.5199999811223437,7.559999943367031,7.559999943367031,7.559999943367031,4.006390448640585,6244.728461721311,5294.572129429611,454.6928742677591,238.0796057235861,257.3838523003548,6244.728461721311,5294.572129429611,454.6928742677591,238.0796057235861,257.3838523003548,2101.020702020618,60.14456053887886,31.492011575009553,34.0454833635518,2226.7027574980584,6694.306382665531,191.81298582293093,100.43851466956015,394.8527217867927,19.46719231240361,1470.7144914144326,42.1011923772152,22.044408102506686,23.831838354486262,9627.580554755277,4686.014467865871,134.26909007605164,70.3069602686921,276.39690525075486,13.627034618682528,-0.6746921053227997,105.2395452312697
3,163,2032,1NB,1,NB,AM-Shoulder,3,OP,AM,0.7,55,7130.1280045716185,1,6,70,3600,1,5,0.5,0,4898.2,188.7,47.2,381.0,8.5,1.2094222272955006,3.6,1.8,0.3965767367475181,0.3965767367475181,3.246,0.715,6367.66,245.31,61.36000000000001,495.3,11.05,7180.68,8806.72,1.2,1.1008399999999998,8806.72,0.0,1.0,0.0,5985.600399999999,230.5914,57.6784,465.582,10.387,6749.839199999999,1.7999999602497907,5.399999880749372,5.399999880749372,5.399999880749372,5.399999880749372,0.26847620841126446,0.268410279667543,0.26840380709164424,0.09149046820700978,39.94976346709268,119.84929040127803,119.84929040127803,119.84929040127803,30.91170853755624,66.7502143352705,0.462472656330563,0.629211462738441,1.358708463136938,-0.729497000398497,0.41655046965040204,0.2589650342691047,0.2875143734579932,0.45352059227290215,1606.9913004569478,4760.668699543052,61.89310216293027,183.41689783706974,15.481102146954694,45.878897853045316,42.59631516875602,452.703684831244,1726.961819935589,5453.718180064411,16361.154540193234,1966.9028588928707,0.5463619052480196,5900.708576678612,4130.496003675028,6839.817141107128,20519.451423321385,14363.615996324968,8806.72,26420.159999999996,18494.111999999997,1.2351419209239163,1.2599999721748534,3.7799999165245604,3.7799999165245604,3.7799999165245604,2.0500887900083486,2478.2975474756563,2024.8089938609855,233.9559210093225,58.51856482319693,161.0140677821516,7434.892642426968,6074.426981582957,701.8677630279675,175.5556944695908,483.0422033464548,4820.973901370843,185.67930648879081,46.44330644086408,127.78894550626806,5180.8854598067655,14282.006098629156,550.2506935112092,137.63669355913595,1358.111054493732,33.150000000000006,3374.68173095959,129.97551454215358,32.51031450860485,89.45226185438764,21542.04,9997.404269040408,385.17548545784643,96.34568549139516,950.6777381456122,23.205000000000002,-0.5369047298890449,103.63304892164567
4,164,2032,1NB,1,NB,MD,4,OP,MD,0.7,55,7229.63859674559,1,6,70,3600,1,5,0.5,0,4433.7,175.4,49.6,508.0,14.5,1.2094222272955006,3.6,1.8,0.39293270139364894,0.39293270139364894,3.249,0.708,5763.81,228.02,64.48,660.4,18.85,6735.56,8679.06,1.2,1.0848825,8679.06,0.0,1.0,0.0,5417.9814,214.3388,60.611200000000004,620.776,17.719,6331.4264,1.799999766701757,5.3999993001052715,5.3999993001052715,5.3999993001052715,5.3999993001052715,0.2641664368483357,0.2641060998223603,0.264100263351103,0.08824666447514332,40.26891087681105,120.80673263043315,120.80673263043315,120.80673263043315,31.728369034534538,67.80093017145614,0.4994257240123526,0.6194605279572077,1.3237364944376868,-0.7042759664804791,0.3920700915609262,0.2456930846692452,0.3129681384449547,0.44133877688580014,1431.2488413485573,4332.561158651443,56.608184508604914,171.4118154913951,16.007433882026373,48.47256611797363,54.78141138622156,605.6185886137785,1558.6458711254102,5176.9141288745905,20707.656515498362,1813.4399306791158,0.5037333140775322,7253.759722716463,5077.631805901524,6865.620069320885,27462.48027728354,19223.736194098477,8679.060000000001,34716.240000000005,24301.368000000002,1.2004832446129279,1.25999983669123,3.7799995100736896,3.7799995100736896,3.7799995100736896,2.0942482911741656,2284.934016505041,1803.3733063636944,213.9789097086876,60.50809223159667,207.07370820106274,9139.736066020165,7213.4932254547775,855.9156388347504,242.03236892638668,828.294832804251,5724.995365394229,226.43273803441966,64.02973552810549,219.12564554488625,6234.583484501641,17330.244634605773,685.6472619655804,193.8902644718945,2422.474354455114,75.4,4007.49675577596,158.50291662409376,44.82081486967384,153.38795188142038,26942.24,12131.17124422404,479.9530833759062,135.72318513032616,1695.7320481185795,52.78,-0.5320363753963361,107.34427099546532
5,165,2032,1NB,1,NB,PM-Shoulder,2,OP,PM,0.7,55,6217.690612419211,1,6,70,3600,1,5,0.5,0,4634.5,145.1,38.7,394.3,9.7,1.2094222272955006,3.6,1.8,0.4334338203276914,0.4334338203276914,3.399,0.592,6024.85,188.63,50.31,512.59,12.61,6788.990000000001,8317.27,1.2,1.03965875,8317.27,0.0,1.0,0.0,5663.359,177.3122,47.2914,481.8346,11.853399999999999,6381.6506,1.7999999694255007,5.399999908276502,5.399999908276502,5.399999908276502,5.399999908276502,0.3299619583994462,0.3299206028151869,0.32991743778365284,0.09635546766021934,38.84445877371517,116.53337632114551,116.53337632114551,116.53337632114551,29.25031482577325,64.14599782963846,0.4025924254258815,0.6547563592594708,1.435881981105812,-0.7811256218463413,0.470571932228614,0.284455529598628,0.24336266943196933,0.47218180096940265,1868.6930267591295,4156.156973240871,58.49894791048698,130.13105208951302,15.60225751720184,34.70774248279816,46.427398217874725,466.1626017821253,1989.221630404693,4799.768369595307,9599.536739190615,2230.27883769582,0.6195218993599501,4460.55767539164,3122.390372774148,6086.991162304181,12173.982324608362,8521.787627225853,8317.27,16634.54,11644.178,1.3376783308238418,1.2599999785978504,3.779999935793551,3.779999935793551,3.779999935793551,2.018126979066729,2810.151287763972,2354.5531737224555,221.12601934563108,58.97653241325741,175.4955622826281,5620.302575527944,4709.106347444911,442.25203869126216,117.95306482651482,350.9911245652562,3737.386053518259,116.99789582097397,31.20451503440368,92.85479643574945,3978.443260809386,8312.313946481741,260.26210417902604,69.41548496559632,932.3252035642506,25.22,2616.170237462781,81.89852707468177,21.843160524082574,64.99835750502461,13577.980000000001,5818.619762537219,182.18347292531823,48.59083947591742,652.6276424949754,17.653999999999996,-0.5440040561305568,96.78340666533998
6,166,2032,1NB,1,NB,PM-Peak,2,Peak,PM,0.7,55,5423.243373338456,1,6,70,3600,1,5,0.5,0,4457.9,89.5,26.6,356.8,9.7,1.2094222272955006,3.6,1.8,0.4715952981507324,0.4715952981507324,3.399,0.592,5795.2699999999995,116.35000000000001,34.580000000000005,463.84000000000003,12.61,6422.65,7677.41,1.2,0.95967625,7677.41,0.0,1.0,0.0,5447.5538,109.369,32.5052,436.0096,11.853399999999999,6037.290999999999,1.799999972324756,5.399999916974268,5.399999916974268,5.399999916974268,5.399999916974268,0.377304631775856,0.37727268870537045,0.37727123048866995,0.11995293268905446,36.02067105216585,108.06201315649756,108.06201315649756,108.06201315649756,29.323048092932268,62.254916071962185,0.5582219104706456,0.6746455163709647,1.4323204008973152,-0.7576748845263505,0.4680788260826661,0.2623796090887076,0.3129089343344332,0.4247114565768592,2055.387280588165,3739.8827194118344,41.26193669101766,75.08806330898236,12.263276801280314,22.316723198719693,52.30063020058156,411.53936979941847,2161.2131242810447,4261.436875718954,8522.873751437908,2372.8648116668037,0.6591291143518899,4745.729623333607,3322.010736333525,5304.545188333195,10609.09037666639,7426.363263666472,7677.409999999999,15354.819999999998,10748.373999999998,1.4156491736556378,1.259999980627329,3.7799999418819876,3.7799999418819876,3.7799999418819876,1.9762773728072232,2989.809616731443,2589.7879337227464,155.970118293985,46.35518559612232,197.69637911858962,5979.619233462886,5179.575867445493,311.94023658797,92.71037119224464,395.39275823717924,4110.77456117633,82.52387338203532,24.52655360256063,104.60126040116312,4322.426248562089,7479.765438823669,150.1761266179647,44.633446397439386,823.0787395988369,25.22,2877.542192823431,57.76671136742472,17.16858752179244,73.22088228081418,12845.3,5235.835807176568,105.1232886325753,31.243412478207567,576.1551177191858,17.653999999999996,-0.5289842161374543,99.77894263302656
7,167,2032,1NB,1,NB,PM-Late,5,OP,PM,0.7,55,10400.0,1,6,70,3600,1,5,0.5,0,4068.5,78.6,12.1,349.5,27.8,1.2094222272955006,3.6,1.8,0.303951367781155,0.303951367781155,3.399,0.592,2847.95,55.019999999999996,8.469999999999999,244.64999999999998,19.46,3175.5499999999997,3830.7499999999995,1.2,0.47884374999999996,3830.7499999999995,0.0,1.0,0.0,2677.073,51.718799999999995,7.961799999999998,229.97099999999998,18.2924,2985.0169999999994,0.5207102821353106,1.5621308464059318,1.5621308464059318,1.5621308464059318,1.5621308464059318,0.17528757916225074,0.17527106083506422,0.17527020074196306,0.036226524347045964,52.021494868756385,156.0644846062692,156.0644846062692,156.0644846062692,54.943397242622865,69.99535523081546,0.19240598771151834,0.600039814949171,0.7644230627846598,-0.16438324783548874,0.0005506894038073036,0.0015410799783514325,0.5384396600463881,0.46001925997526044,469.25764541062404,2378.692354589376,9.06480894111652,45.95519105888348,1.3954662842673613,7.074533715732637,8.331050030614506,236.31894996938547,488.0489706666224,2687.5010293333776,13437.505146666888,525.6316211786192,0.14600878366072756,2628.158105893096,1839.710674125167,3305.1183788213807,16525.591894106903,11567.914325874832,3830.75,19153.75,13407.624999999998,0.36834134615384617,0.3644971974947174,1.0934915924841522,1.0934915924841522,1.0934915924841522,0.5608080463509887,191.59125283421162,171.04309665514228,9.912292364586083,1.5259306494414595,9.1099331650418,957.9562641710581,855.2154832757114,49.56146182293041,7.6296532472072975,45.549665825209004,2346.28822705312,45.324044705582594,6.977331421336807,41.65525015307253,2440.2448533331117,11893.461772946881,229.7759552944174,35.37266857866319,1181.5947498469272,97.30000000000001,1642.4017589371838,31.726831293907814,4.884131994935764,29.158675107150767,15877.749999999998,8325.423241062816,160.84316870609217,24.76086800506423,827.116324892849,68.11,-0.215042240139471,133.04173106233978
8,168,2032,1SB,1,SB,Night,6,OP,NT,0.7,55,8000.0,1,6,70,3600,1,5,0.5,0,1579.5,38.7,15.7,309.6,36.3,1.2094222272955006,3.6,1.8,0.36683785766691124,0.36683785766691124,3.402,0.708,1308.2478389524333,32.05393565524481,13.003793017760813,256.43148524195846,30.06609468437691,1639.8031475517741,2302.9137647504567,1.2,0.28786422059380706,2302.9137647504567,0.0,1.0,0.0,1229.7529686152873,30.130699515930118,12.223565436695164,241.04559612744094,28.262129003314293,1541.4149586986675,0.5000003818303895,1.5000011454911686,1.5000011454911686,1.5000011454911686,1.5000011454911686,0.03465829356675111,0.03463839098471066,0.03463745258048027,0.005593293345742797,108.65467379472504,325.9640213841751,325.9640213841751,325.9640213841751,54.97265740496128,69.99999995979405,0.0,0.6000000003446224,0.7640161851846278,-0.16401618484000535,0.00026587508378491596,0.001618406074943632,0.0,0.9983815939250563,42.62113940085229,1265.626699551581,1.0436789504756196,31.010256704769187,0.4233931681779263,12.580399849582887,1.3482387288402211,255.08324651311824,45.436450248346056,1594.366697303428,9566.200183820569,51.06707194333359,0.014185297762037108,306.4024316600015,214.48170216200106,2251.846692807123,13511.080156842738,9457.756109789916,2302.9137647504567,13817.482588502739,9672.237811951916,0.28786422059380706,0.35000026728127265,1.0500008018438178,1.0500008018438178,1.0500008018438178,0.5619619343295028,17.873488829438735,14.917410182130684,1.095863734866915,0.44456316608201707,1.4156517463591218,107.24093297663241,89.50446109278411,6.575182409201489,2.6673789964921024,8.493910478154731,255.72683640511377,6.2620737028537174,2.540359009067558,8.089432373041326,272.61870149007643,7593.760197309486,186.06154022861512,75.48239909749732,1530.4994790787096,180.39656810626147,179.00878548357963,4.383451591997602,1.7782513063472905,5.662602661128928,9838.818885310644,5315.63213811664,130.24307816003056,52.837679368248125,1071.3496353550966,126.27759767438302,-0.21467632233520045,128.03624262667415
9,169,2032,1SB,1,SB,AM-Early,1,OP,AM,0.7,55,10400.0,1,6,70,3600,1,5,0.5,0,2944.9,119.7,50.8,403.9,38.7,1.2094222272955006,3.6,1.8,0.303951367781155,0.303951367781155,3.246,0.715,2061.43,83.78999999999999,35.559999999999995,282.72999999999996,27.09,2490.6,3348.939999999999,1.2,0.4186174999999999,3348.939999999999,0.0,1.0,0.0,1937.7441999999996,78.76259999999999,33.426399999999994,265.76619999999997,25.464599999999997,2341.1639999999998,0.7942966716270168,2.3828900148810503,2.3828900148810503,2.3828900148810503,2.3828900148810503,0.09332624489463111,0.09329503619030408,0.09328666232452344,0.02094372632792188,66.04395542472182,198.13186627416542,198.13186627416542,198.13186627416542,54.95993420674231,69.99992718961516,0.2647742288588798,0.600000624089662,0.7641930545624193,-0.16419243047275722,0.000389683648238924,0.0009075996072036335,0.6166771102559205,0.3824152901368758,180.842389752351,1880.5876102476489,7.348159617442443,76.44184038255754,3.11823728952445,32.441762710475544,5.5661345600117516,277.16386543998823,196.87492121932965,2293.72507878067,2293.72507878067,228.93998415328696,0.0635944400425797,228.93998415328696,160.25798890730087,3120.000015846713,3120.000015846713,2184.000011092699,3348.9399999999996,3348.9399999999996,2344.258,0.3220134615384615,0.5560076701389117,1.668023010416735,1.668023010416735,1.668023010416735,0.9236639501316214,127.29238719070842,100.54975578855769,12.256899326109028,5.201291550866293,9.28444052517543,127.29238719070842,100.54975578855769,12.256899326109028,5.201291550866293,9.28444052517543,180.842389752351,7.348159617442443,3.11823728952445,5.5661345600117516,196.87492121932965,1880.5876102476489,76.44184038255754,32.441762710475544,277.16386543998823,27.09,126.5896728266457,5.1437117322097095,2.182766102667115,3.896294192008226,2490.6,1316.411327173354,53.509288267790275,22.70923389733288,194.01470580799176,18.962999999999997,-0.21485726609590114,203.17903884046507
