,,,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights
Period,,,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late
Year,Direction,Segment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,NB,1,1601.6127370236172,5722.861161583951,7329.138580214391,5213.913263491801,4883.525794026755,4855.73559918461,4850.234379852518,4182.191102288372,81.88726297638263,846.2388384160491,1264.993597467081,664.0867365081997,630.2742059732445,701.764400815389,670.2456201474829,645.7088977116277,99.96253153387725,1244.958015161759,3738.292569604923,1011.9931840405307,960.2546615931839,866.5515219903132,958.2132784243968,574.1481596079872,1.1638437963947508,1.7999996541968775,3.599999981454543,1.775291357123194,1.6893247094767778,1.439994509500913,1.7087211979194077,1.0529790001031287,0.06080475306028402,0.1610353431028776,0.18401103197144883,0.14123379463648478,0.14289625200202086,0.15784871701001818,0.15177064708219162,0.16718576199262672
2032,SB,1,1799.1108501913216,3301.576074349734,4654.835073779958,4462.687166612776,5291.090832926053,5194.832540705482,4712.897528924407,5066.599135368074,307.7891498086786,485.02392565026577,592.6449262200424,596.7128333872238,867.5091670739481,730.7674592945176,656.2774710755942,729.0008646319261,185.60085342532668,414.63792326054204,940.842292862339,749.6540834378031,1417.777379740259,1028.7789820173687,893.1962323730376,891.886381203112,0.6134036346606326,0.908240739155184,1.79999111528631,1.389200046630303,1.799995317679507,1.6571459687402605,1.6287636953548847,1.4736660339975345,0.18260934257578912,0.16011646134781893,0.14118450978116562,0.14743537449401264,0.17608758838803618,0.15416276292276437,0.1527948909590507,0.1572378663444405
2040,NB,1,1915.4953521921555,7043.595131965076,7709.349617052338,5957.81718749645,5625.282662364087,5734.461012466497,5710.9479990887585,5149.24089031283,134.5046478078443,955.6048680349244,1600.9742428286916,1199.8828125035495,1089.0173376359141,1033.0389875335036,1011.362000911241,729.5591096871701,178.30030300172976,3279.7560750109947,5519.762458976575,2163.0127893869235,2062.608785495765,1860.2478104233128,1776.9877734950026,1089.6543255842828,1.2638511885553616,4.199998544676082,4.199999946899493,2.0999979523396077,2.099989495303782,2.0999817947327246,2.0999964155746347,1.7688737533110248,0.08201847150030143,0.1493527774046138,0.2149680624436258,0.20955526387317444,0.2027540385066677,0.19081880129579512,0.18806930551625792,0.1551332720366902
2040,SB,1,2207.408761354017,4055.893512666102,5454.311629321854,5331.635238555368,6478.283752345679,5970.767599985699,5599.707825964605,5956.049760083914,358.19123864598305,555.1064873338978,935.6733706781456,829.2647614446321,1021.0162476543204,1244.932400014301,938.3271740353946,1101.3502399160845,284.124995105604,721.2094833404495,1733.0441123123028,1574.8480615464996,3892.9609415399614,2221.047305461994,1646.5311017925824,1920.1513810577571,0.80687035449615,1.3803574221831256,2.099982968261614,2.099999765956388,4.1999964862646495,2.099997935064081,2.099974750271288,2.0999999740761908,0.1745186947635825,0.15049247845076102,0.18304723602790765,0.16826508574389906,0.1702144930022756,0.21567273182442157,0.17940648194385814,0.19507878770411233
2050,NB,1,2353.802063655305,7745.3057682850695,8081.8479181132325,7352.336812018894,6955.615473067321,7130.3457383141895,7304.645314763587,6621.849952062508,243.49793634469506,1846.2309122956012,1944.7037160835164,1716.4631879811043,1551.1845269326777,1443.9542616858096,1212.639685236414,826.7500479374917,348.3256947457214,7770.492979031977,8221.357065729568,7587.415900708755,7203.981606910742,6375.988538410539,5224.382712959398,3175.503550349789,1.3638528841585424,5.14997395366239,5.149999088290313,5.149999956298929,5.149999756098304,5.149999931787654,5.149997035259081,4.549662935680646,0.1171920220188576,0.2406316038355867,0.24246962402151226,0.2366188047052054,0.2279646605737191,0.2105327768869968,0.17799351116016457,0.13876851571794752
2050,SB,1,2820.4851397904645,5128.033930071334,6968.65853626532,6676.267919830045,6973.921201905086,7363.473118329705,7196.277785588604,7394.807651917587,430.114860209535,713.8660699286645,1127.4714637346804,1129.6320801699549,1660.252685739741,1778.7268816702942,1087.4872144113965,1546.892348082413,490.93446570551555,1729.965425714676,5120.2705288115785,5260.162837694122,7762.51996436892,7781.558776800907,4679.0276404229535,6613.220330756537,1.1611183798380902,2.5749880156143403,5.149997247128184,5.149999477060286,5.149994857774684,5.149973115153336,5.149999075468972,5.149992162682235,0.1654025193505946,0.152764471767724,0.17411223962972236,0.18093097141459297,0.24039167158374283,0.24322615615991322,0.16412609299736344,0.21627005801359506
