,index,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT Medium A,AADT Medium B,AADT Heavy A,AADT Heavy B,GrowthFactor,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,TollHeavyA,TollHeavyB,CaptureRateLights,CaptureRateMediumA,CaptureRateMediumB,CaptureRateHeavyA,VOT Lights,VOT MediumA,VOT MediumB,VOT HeavyA,Speed GP Real,Speed ML Real,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh_MediumB,GPVeh_MediumB,MLVeh_HeavyA,GPVeh_HeavyA,MLVeh,GPVeh,GPVehDay,ML PCE,Traffic per Lane,GP PCE,TollLightsPerSeg,TollMediumAPerSeg,TollMediumBPerSeg,TollHeavyAPerSeg,TollBlend,RevenuePerHour,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerHourMediumB,RevenuePerHourHeavyA,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,RevenuePerDayMediumB,RevenuePerDayHeavyA,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay_MediumB,TransactionsDay_HeavyA,TransactionsDay,TotalVeh_hours
0,320,2050,1NB,1,NB,Night,6,OP,NT,0.7,55,6254.8511651611725,1,6,70,3600,1,5,0.5,0,1553.2,53.8,7.9,401.8,52.2,1.5817153228325078,5.15,2.575,0.45662790077524257,0.45662790077524257,3.635,0.708,1553.2,53.8,7.9,401.8,52.2,2068.9,3100.2999999999997,1.0,0.3875375,3100.2999999999997,0.0,1.0,0.0,1242.5600000000002,43.04,6.32,321.44000000000005,41.760000000000005,1655.1200000000001,0.7477302837158414,2.2431908511475243,2.9909211348633655,2.2431908511475243,2.2431908511475243,0.30278483351479646,0.30277230944331956,0.17806173327308714,0.06743210049305433,54.63337734541253,163.9001320362376,218.53350938165013,163.9001320362376,54.706816698717276,69.99693410877138,0.31803462000330107,0.6000262802187066,0.7677288231063312,-0.16770254288762454,0.002864721628977266,376.22832273214556,1176.9716772678544,13.031320198440474,40.76867980155952,1.1253501542859108,6.774649845714089,21.675374382487387,380.1246256175126,412.06036746735936,1656.8396325326405,9941.037795195844,483.72445693778684,241.86222846889342,2616.5755430622125,0.523411198601089,1.570233595803267,2.093644794404356,1.570233595803267,0.8798149796467488,253.77581867156857,196.92211734890964,20.462216773260927,2.3560834924028358,34.035401056995184,1522.6549120294114,1181.5327040934578,122.77330063956556,14.136500954417015,204.2124063419711,2257.3699363928736,78.18792119064284,6.752100925715465,130.05224629492432,2472.362204804156,12413.400000000001
1,321,2050,1NB,1,NB,AM-Early,1,OP,AM,0.7,55,10400.0,1,6,70,3600,1,5,0.5,0,7396.1,110.7,72.8,461.9,31.6,1.5817153228325078,5.15,2.575,0.3214285714285714,0.3214285714285714,3.479,0.715,7396.1,110.7,72.8,461.9,31.6,8073.1,9427.099999999999,1.0,1.1783875,9427.099999999999,0.0,1.0,0.0,5916.880000000001,88.56,58.24,369.52,25.28,6458.4800000000005,1.4120739691032662,4.236221907309798,5.648295876413065,4.236221907309798,4.236221907309798,0.20844855212139968,0.20831633905690636,0.11225652736307992,0.0374769232316907,57.96234451797967,173.88703355393903,231.8493780719187,173.88703355393903,45.560871310523474,69.48496451637521,0.44157908253369943,0.6044473116209486,0.9218436520615663,-0.3173963404406177,0.1107451018976419,1233.3650690760676,6162.734930923933,18.448494986879627,92.25150501312038,6.537820153625775,66.26217984637422,13.848472672574346,448.0515273274256,1272.1998568891474,6800.900143110854,6800.900143110854,1349.869432515307,674.9347162576535,8077.230567484693,0.9884517783722863,2.965355335116859,3.953807113489145,2.965355335116859,1.5055396859422612,1340.7431610976735,1219.1218959104967,54.706343034220126,25.849279830118284,41.065642322838364,1340.7431610976735,1219.1218959104967,54.706343034220126,25.849279830118284,41.065642322838364,1233.3650690760676,18.448494986879627,6.537820153625775,13.848472672574346,1272.1998568891474,8073.1
2,322,2050,1NB,1,NB,AM-Peak,1,Peak,AM,0.7,55,10400.0,1,6,70,3600,1,5,0.5,0,9276.8,265.7,139.2,452.4,20.6,1.5817153228325078,5.15,2.575,0.3214285714285714,0.3214285714285714,3.479,0.715,9740.64,278.985,146.16,475.02,21.630000000000003,10662.435,11910.5,1.0,1.4888125,11910.5,0.0,1.0,0.0,7792.512,223.18800000000002,116.928,380.016,17.304000000000002,8529.948,2.2166998013041312,6.650099403912394,8.866799205216525,6.650099403912394,6.650099403912394,0.14631299167687808,0.14607798486991175,0.07273732259063219,0.021665901840103426,68.87220155086716,206.6166046526015,275.48880620346864,206.6166046526015,45.560871310523474,69.59176474427815,0.7199603099027114,0.6035196859044051,0.9218436520615663,-0.3183239661571612,0.1107451018976419,1140.1457433979726,8600.494256602027,32.60285328714586,246.38214671285414,8.50502965587744,137.65497034412255,8.233389353668743,466.7866106463312,1189.4870156946647,9472.947984305336,9472.947984305336,1288.1695602880486,644.0847801440243,11217.85543971195,1.5516898609128917,4.655069582738675,6.206759443651567,4.655069582738675,2.4164520234011913,2012.0368141193717,1769.1525899936257,151.76855064748435,52.788673135153935,38.327000343107805,2012.0368141193717,1769.1525899936257,151.76855064748435,52.788673135153935,38.327000343107805,1140.1457433979726,32.60285328714586,8.50502965587744,8.233389353668743,1189.4870156946647,10662.435
3,323,2050,1NB,1,NB,AM-Shoulder,3,OP,AM,0.7,55,6722.4641675502235,1,6,70,3600,1,5,0.5,0,6405.9,246.7,61.7,498.2,11.1,1.5817153228325078,5.15,2.575,0.4359424190733675,0.4359424190733675,3.479,0.715,6405.9,246.7,61.7,498.2,11.1,7223.599999999999,8859.0,1.0,1.107375,8859.0,0.0,1.0,0.0,5124.72,197.36,49.36000000000001,398.56,8.88,5778.88,2.574999992484993,7.724999977454979,10.299999969939972,7.724999977454979,7.724999977454979,0.3317455458872353,0.33166366730966007,0.2011050569993776,0.08017124420845063,44.268690967449935,132.8060729023498,177.07476386979974,132.8060729023498,26.108778784202382,66.29332369105984,0.5099615408765473,0.6335479602098155,1.6086543283829462,-0.9751063681731307,0.5915125753226078,1700.1030339192328,4705.796966080767,65.45714138023452,181.24285861976546,9.92654561348928,51.77345438651072,31.953051091720084,466.24694890827993,1807.4397720046766,5416.160227995323,16248.48068398597,2022.1132481755644,1011.0566240877822,6836.886751824435,1.8024999947394948,5.407499984218485,7.209999978957979,5.407499984218485,2.8949802559299225,3662.7517176152132,3064.435709696016,353.95949098060527,71.57039366438313,172.7861232742088,10988.255152845639,9193.307129088049,1061.8784729418157,214.7111809931494,518.3583698226264,5100.309101757698,196.37142414070354,29.779636840467838,95.85915327516025,5422.31931601403,21670.8
4,324,2050,1NB,1,NB,MD,4,OP,MD,0.7,55,6606.808870043984,1,6,70,3600,1,5,0.5,0,5798.6,229.3,64.9,664.3,19.0,1.5817153228325078,5.15,2.575,0.44088216574791295,0.44088216574791295,3.482,0.708,5798.6,229.3,64.9,664.3,19.0,6776.1,8731.1,1.0,1.0913875,8731.1,0.0,1.0,0.0,4638.88,183.44000000000003,51.92000000000001,531.4399999999999,15.200000000000001,5420.880000000001,2.5749999924537788,7.724999977361336,10.299999969815115,7.724999977361336,7.724999977361336,0.3483635754561435,0.34829700794454926,0.21294269708527408,0.08567431349348012,42.866135873843746,128.59840762153124,171.46454349537498,128.59840762153124,25.689104415253603,66.66632244518924,0.5296852543513271,0.6300032529097576,1.6349343800035847,-1.004931127093827,0.6099086114570549,1616.016822911995,4182.583177088005,63.89160313734813,165.4083968626519,11.055984832667432,53.84401516733257,45.53075716297507,618.7692428370249,1736.4951680449856,5039.604831955014,20158.419327820055,1977.4518583109668,988.7259291554834,6753.648141689033,1.802499994717645,5.407499984152935,7.20999997887058,5.407499984152935,2.9487025217892735,3584.2853767623965,2912.8703147624965,345.49384295271557,79.71365040992563,246.20756863725882,14337.141507049586,11651.481259049986,1381.9753718108623,318.85460163970254,984.8302745490353,6464.06729164798,255.5664125493925,44.22393933066973,182.12302865190028,6945.980672179942,27104.4
5,325,2050,1NB,1,NB,PM-Shoulder,2,OP,PM,0.7,55,5600.0,1,6,70,3600,1,5,0.5,0,6061.1,189.8,50.6,515.6,12.7,1.5817153228325078,5.15,2.575,0.4891304347826087,0.4891304347826087,3.632,0.592,6061.1,189.8,50.6,515.6,12.7,6829.800000000001,8367.2,1.0,1.0459,8367.2,0.0,1.0,0.0,4848.88,151.84,40.480000000000004,412.48,10.16,5463.840000000001,2.574999994946444,7.724999984839332,10.299999979785776,7.724999984839332,7.724999984839332,0.440093016263014,0.44005015734011366,0.2621314809074236,0.09325600997104865,41.31828719326615,123.95486157979846,165.2731487730646,123.95486157979846,23.427043303614184,60.57133600714409,0.4050452836234288,0.6933972860536922,1.7927998619236978,-1.0994025758700054,0.7204144488011339,2133.9582246974032,3927.141775302597,66.81721589052286,122.98278410947715,10.611082347132509,39.98891765286749,38.466238992858145,477.13376100714186,2249.8527619279166,4579.947238072084,9159.894476144167,2481.641836388944,1240.820918194472,5885.558163611056,1.8024999964625106,5.407499989387532,7.209999985850042,5.407499989387532,2.8524316620841472,4492.285877205459,3846.4596924682146,361.3140942189068,76.50590357267903,208.0061869456587,8984.571754410917,7692.919384936429,722.6281884378136,153.01180714535806,416.0123738913174,4267.9164493948065,133.63443178104572,21.222164694265018,76.93247798571629,4499.705523855833,13659.600000000002
6,326,2050,1NB,1,NB,PM-Peak,2,Peak,PM,0.7,55,5600.0,1,6,70,3600,1,5,0.5,0,5830.2,117.0,34.8,466.6,12.7,1.5817153228325078,5.15,2.575,0.4891304347826087,0.4891304347826087,3.632,0.592,6121.71,122.85000000000001,36.54,489.93000000000006,13.334999999999999,6784.365000000001,7723.5,1.0,0.9654375,7723.5,0.0,1.0,0.0,4897.368,98.28000000000002,29.232,391.9440000000001,10.668,5427.492000000001,2.5749999937081864,7.72499998112456,10.299999974832746,7.72499998112456,7.72499998112456,0.3935943190788469,0.3935385526032221,0.22480825717947894,0.07491626602112925,44.34098832210311,133.02296496630933,177.36395328841243,133.02296496630933,27.91218398723231,65.04208866370945,0.6954531343017277,0.6457357207139337,1.504719230111545,-0.8589835093976114,0.518758006532627,1927.5762232385343,4194.133776761466,38.67696894984468,84.17303105015533,6.571594973870528,29.96840502612947,29.362980969385486,460.5670190306146,2002.187768131635,4782.177231868365,9564.35446373673,2151.410857917836,1075.705428958918,5958.264142082164,1.8024999955957304,5.407499986787191,7.2099999823829215,5.407499986787191,2.775366472148573,3889.7633618329655,3474.456133897893,209.14570908525369,47.38119964583421,158.78031920398456,7779.526723665931,6948.912267795786,418.29141817050737,94.76239929166842,317.5606384079691,3855.1524464770687,77.35393789968936,13.143189947741057,58.72596193877097,4004.37553626327,13568.730000000001
7,327,2050,1NB,1,NB,PM-Late,5,OP,PM,0.7,55,5600.0,1,6,70,3600,1,5,0.5,0,5320.9,102.8,15.8,457.1,36.4,1.5817153228325078,5.15,2.575,0.4891304347826087,0.4891304347826087,3.632,0.592,5320.9,102.8,15.8,457.1,36.4,5933.0,7157.199999999999,1.0,0.8946499999999998,7157.199999999999,0.0,1.0,0.0,4256.72,82.24000000000001,12.64,365.68000000000006,29.12,4746.400000000001,2.5749997370544624,7.724999211163388,10.29999894821785,7.724999211163388,7.724999211163388,0.3482668467192079,0.34819401713283565,0.19047269095648656,0.05937247447139672,47.60825067260806,142.82475201782418,190.43300269043223,142.82475201782418,28.739119661827235,68.65003078670254,0.5928407906510723,0.6117987059684664,1.4614226355648097,-0.8496239295963433,0.48845039034991217,1482.4744517665868,3838.425548233413,28.635475969004407,74.1645240309956,2.4075748136899904,13.39242518631001,21.711326464700356,435.3886735352997,1535.2288290139813,4397.771170986018,21988.855854930087,1640.737583508771,820.3687917543855,5516.462416491228,1.8024998159381236,5.407499447814371,7.209999263752494,5.407499447814371,2.7560050141451047,2961.7688454358554,2672.1599264422434,154.846320490293,17.35861263413388,117.40398586918471,14808.844227179277,13360.799632211218,774.231602451465,86.7930631706694,587.0199293459235,7412.372258832934,143.17737984502205,12.037874068449952,108.55663232350179,7676.144145069908,29665.0
8,328,2050,1SB,1,SB,Night,6,OP,NT,0.7,55,7424.484805932848,1,6,70,3600,1,5,0.5,0,2065.7,50.6,20.6,404.9,47.5,1.5817153228325078,5.15,2.575,0.4081823395119849,0.4081823395119849,3.635,0.708,2065.7,50.6,20.6,404.9,47.5,2589.2999999999997,3636.5,1.0,0.4545625,3636.5,0.0,1.0,0.0,1652.56,40.480000000000004,16.48,323.92,38.0,2071.44,0.8027723648110482,2.4083170944331447,3.2110894592441928,2.4083170944331447,2.4083170944331447,0.2599304830649496,0.2599119352121013,0.14687113375320812,0.05237195982175952,59.78076679129884,179.3423003738965,239.12306716519535,179.3423003738965,54.7003554562395,69.99562962014878,0.3086909890254211,0.6000374627376732,0.767819507747078,-0.16778204500940475,0.0029282008774999748,429.5507190938131,1636.1492809061867,10.521235137385862,40.078764862614136,2.4204362842528697,18.179563715747133,16.964325225464343,387.93567477453564,459.45671574091614,2129.8432842590837,12779.059705554502,519.2687090351222,259.6343545175611,3117.2312909648776,0.5619406553677337,1.6858219661032012,2.247762621470935,1.6858219661032012,0.911506164860252,293.1583402190026,241.38201260125862,17.736929305141917,5.4405662073956,28.59883210520643,1758.9500413140154,1448.2920756075519,106.42157583085151,32.6433972443736,171.5929926312386,2577.3043145628785,63.12741082431517,14.522617705517218,101.78595135278606,2756.740294445497,15535.8
9,329,2050,1SB,1,SB,AM-Early,1,OP,AM,0.7,55,5600.0,1,6,70,3600,1,5,0.5,0,3851.5,156.6,66.4,528.3,50.6,1.5817153228325078,5.15,2.575,0.4891304347826087,0.4891304347826087,3.479,0.715,3851.5,156.6,66.4,528.3,50.6,4653.400000000001,6257.2,1.0,0.78215,6257.2,0.0,1.0,0.0,3081.2000000000003,125.28,53.120000000000005,422.64,40.480000000000004,3722.7200000000007,2.5749991783449935,7.72499753503498,10.299996713379974,7.72499753503498,7.72499753503498,0.26172351033471675,0.2616452593406409,0.14902437450955794,0.05409576816695791,51.18236693116467,153.54710079349402,204.7294677246587,153.54710079349402,32.6059008011303,69.88608917738962,0.7418127134393291,0.6009779699275023,1.2881104023522039,-0.6871324324247016,0.3671318271010881,806.4224800433293,3045.0775199566706,32.778918090195496,123.82108190980449,7.916174773947718,58.48382522605229,22.86303545808309,505.43696454191684,869.9806083655557,3783.4193916344443,3783.4193916344443,997.0968650100083,498.54843250500414,5260.103134989991,1.8024994248414954,5.407498274524485,7.209997699365982,5.407498274524485,2.974672914298202,1811.5354261687835,1453.5760564573534,177.25194301351158,57.075601907942065,123.63182478997643,1811.5354261687835,1453.5760564573534,177.25194301351158,57.075601907942065,123.63182478997643,806.4224800433293,32.778918090195496,7.916174773947718,22.86303545808309,869.9806083655557,4653.400000000001
