,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT Medium A,AADT Medium B,AADT Heavy A,AADT Heavy B,GrowthFactor,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,TollHeavyA,TollHeavyB,TollheavyB,CaptureRateLights,CaptureRateMediumA,CaptureRateMediumB,CaptureRateHeavyA,CaptureRateHeavyB,VOT Lights,VOT MediumA,VOT MediumB,VOT HeavyA,VOT HeavyB,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh_MediumB,GPVeh_MediumB,MLVeh_HeavyA,GPVeh_HeavyA,MLVeh_HeavyB,GPVeh_HeavyB,MLVeh,GPVeh,GPVehDay,ML PCE,GP PCE,TollLightsPerSeg,TollMediumASeg,TollMediumBSeg,TollHeavyASeg,TollHeavyBSeg,TollBlend,TollMediumAPerSeg,TollMediumBPerSeg,TollHeavyAPerSeg,TollHeavyBPerSeg,RevenuePerHour,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerHourMediumB,RevenuePerHourHeavyA,RevenuePerHourHeavyB,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,RevenuePerDayMediumB,RevenuePerDayHeavyA,RevenuePerDayHeavyB,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay_MediumB,TransactionsDay_HeavyA,TransactionsDay_HeavyB,TransactionsDay,TotalVeh_hours
0,2032,1NB,1,NB,Night,6,OP,NT,0.7,54.95993420542176,8000.0,1,6,69.9999967803558,3600,1,5,0.5,0,1263.9,43.8,6.4,326.9,42.5,1.2870655091820147,3.6,1.8,0.3103448275862069,0.3103448275862069,3.402,0.708,1263.9,43.8,6.4,326.9,42.5,1683.5,2522.7000000000003,1.2,0.31533750000000005,2522.7000000000003,0.0,1.0,0.0,1011.1200000000001,35.04,5.120000000000001,261.52,34.0,1346.8000000000002,1.374103059974715,12.366927539772437,12.366927539772437,12.366927539772437,,4.122309179924145,0.037343294180827304,0.0843261608294266,0.0843240508527141,0.08435380370874004,0.08432567960331673,106.08668516098155,954.780166448834,954.780166448834,954.780166448834,,0.29782667811727753,0.6000000275969516,0.7641930545807809,-0.16419302698382932,0.0003896836610921633,37.758551612118104,1226.141448387882,2.954788675463108,40.84521132453689,0.4317391403658963,5.968260859634104,22.060206745909696,304.8397932540903,2.867073106512769,39.63292689348723,66.07235928036957,1617.4276407196305,9704.565844317784,122.69997461687251,2400.0000253831276,0.9618721419823004,8.656849277840704,8.656849277840704,8.656849277840704,,,8.656849277840704,8.656849277840704,8.656849277840704,,,36.31889891729728,25.579160211354697,3.737500665492076,190.971884837345,,,217.9133935037837,153.4749612681282,22.425003992952455,1145.83130902407,,226.5513096727086,17.728732052778646,2.5904348421953776,132.36124047545817,17.20243863907661,396.4341556822174,10101.0
1,2032,1NB,1,NB,AM-Early,1,OP,AM,0.7,41.61723488582224,8000.0,1,6,69.8532510622413,3600,1,5,0.5,0,6018.3,90.1,59.2,375.8,25.7,1.2870655091820147,3.6,1.8,0.3103448275862069,0.3103448275862069,3.246,0.715,6018.3,90.1,59.2,375.8,25.7,6569.1,7670.700000000001,1.2,0.9588375000000001,7670.700000000001,0.0,1.0,0.0,4814.64,72.08,47.36000000000001,300.64000000000004,20.560000000000002,5255.280000000001,1.7999988411467582,16.199989570320824,16.199989570320824,16.199989570320824,,5.399996523440275,0.14690139523988885,0.25850202723130733,0.2585001712337076,0.2585191859271648,0.25849815902638196,54.4342146594227,489.90793193480425,489.90793193480425,489.90793193480425,,0.6006773437783259,0.6012604905472011,1.0091972740435033,-0.40793678349630225,0.17189263728499782,707.2773335777784,5311.022666422222,18.632826122832633,71.46717387716737,12.242568109628394,46.95743189037161,77.72120805714283,298.07879194285715,5.314722149582414,20.385277850417587,821.1886580169646,5747.911341983036,5747.911341983036,1049.0113068953372,6621.688693104663,1.2599991888027307,11.339992699224576,11.339992699224576,11.339992699224576,,,11.339992699224576,11.339992699224576,11.339992699224576,,,891.1688665665591,211.29611219884302,138.8306329829456,881.357931942914,,,891.1688665665591,211.29611219884302,138.8306329829456,881.357931942914,,707.2773335777784,18.632826122832633,12.242568109628394,77.72120805714283,5.314722149582414,821.1886580169646,6569.1
2,2032,1NB,1,NB,AM-Peak,1,Peak,AM,0.7,34.14587129776735,8000.0,1,6,62.961306650042104,3600,1,5,0.5,0,7548.6,216.2,113.3,368.1,16.7,1.2870655091820147,3.6,1.8,0.3103448275862069,0.3103448275862069,3.246,0.715,7926.030000000001,227.01,118.965,386.50500000000005,17.535,8676.045,9691.500000000002,1.2,1.2114375000000002,9691.500000000002,0.0,1.0,0.0,6340.8240000000005,181.608,95.17200000000001,309.20400000000006,14.028,6940.836,1.7999999992971683,16.199999993674513,16.199999993674513,16.199999993674513,,5.399999997891505,0.27820215997285747,0.3103448274274396,0.31034482740492614,0.31034482744338915,0.31034482737697777,46.827590590479005,421.44831531431106,421.44831531431106,421.44831531431106,,0.4828609468638099,0.6670763717381001,1.2300169362714781,-0.562940564533378,0.32646640084458023,1764.0309328077342,6161.999067192266,56.36110341944245,170.64889658055753,29.536137913781634,89.42886208621837,95.95986202480572,290.54513797519434,4.353517238444244,13.181482761555756,1950.2415534042084,6725.803446595791,6725.803446595791,2322.6627945971563,7853.412205402843,1.2599999995080178,11.339999995572159,11.339999995572159,11.339999995572159,,,11.339999995572159,11.339999995572159,11.339999995572159,,,2222.678974469873,639.1349125269194,334.9398038115024,1088.1848349364018,,,2222.678974469873,639.1349125269194,334.9398038115024,1088.1848349364018,,1764.0309328077342,56.36110341944245,29.536137913781634,95.95986202480572,4.353517238444244,1950.2415534042084,8676.045
3,2032,1NB,1,NB,AM-Shoulder,3,OP,AM,0.7,44.15550997112703,8000.0,1,6,69.9396596330353,3600,1,5,0.5,0,5212.6,200.8,50.2,405.4,9.0,1.2870655091820147,3.6,1.8,0.3103448275862069,0.3103448275862069,3.246,0.715,5212.6,200.8,50.2,405.4,9.0,5878.0,7208.8,1.2,0.9011,7208.8,0.0,1.0,0.0,4170.080000000001,160.64000000000001,40.160000000000004,324.32,7.2,4702.400000000001,1.7999992742940742,16.199993468646667,16.199993468646667,16.199993468646667,,5.399997822882223,0.1240888590664535,0.2257396936984675,0.225729738392248,0.2257532174563356,0.22572701476247073,58.67851078535552,528.1065970681996,528.1065970681996,528.1065970681996,,0.6131702414704086,0.6005176493618753,0.9511836694325011,-0.35066602007062575,0.13128311405729626,517.4604694158365,4695.139530584163,36.26282439572182,164.5371756042782,9.06530629383268,41.134693706167326,73.21628348543875,332.18371651456124,1.6252345062897893,7.3747654937102105,637.6301180971196,5240.3698819028805,15721.109645708642,877.9694154596857,6330.830584540315,1.259999492005852,11.339995428052667,11.339995428052667,11.339995428052667,,,11.339995428052667,11.339995428052667,11.339995428052667,,,651.9999285970637,411.2202628557622,102.80053192595966,830.2723199838834,,,1955.999785791191,1233.6607885672865,308.401595777879,2490.8169599516505,,1552.3814082475096,108.78847318716547,27.19591888149804,219.64885045631627,4.875703518869368,1912.8903542913588,17634.0
4,2032,1NB,1,NB,MD,4,OP,MD,0.7,44.775569193453,8000.0,1,6,69.94862818684217,3600,1,5,0.5,0,4718.4,186.6,52.8,540.6,15.4,1.2870655091820147,3.6,1.8,0.3103448275862069,0.3103448275862069,3.249,0.708,4718.4,186.6,52.8,540.6,15.4,5513.8,7104.599999999999,1.2,0.888075,7104.599999999999,0.0,1.0,0.0,3774.72,149.28,42.24,432.48,12.32,4411.04,1.7999717870623007,16.199746083560704,16.199746083560704,16.199746083560704,,5.399915361186902,0.1162908523404075,0.21537788987925377,0.21536894568264284,0.21540155212844436,0.21536644528097076,60.01201245172284,540.1081120655055,540.1081120655055,540.1081120655055,,0.6111353503736467,0.6004406532149904,0.9380115262977196,-0.33757087308272915,0.12206261386294914,438.965406146383,4279.434593853617,32.151611401175,154.44838859882498,9.097184265634834,43.70281573436516,93.15686326450962,447.4431367354904,2.65331460586156,12.74668539413844,576.0243796835639,4937.775620316435,19751.10248126574,850.142326757926,6254.457673242074,1.2599802509436104,11.339822258492493,11.339822258492493,11.339822258492493,,,11.339822258492493,11.339822258492493,11.339822258492493,,,553.0877425918835,364.59355861344534,103.16045262505357,1056.3822715782278,,,2212.350970367534,1458.3742344537814,412.64181050021426,4225.529086312911,,1755.861624585532,128.6064456047,36.388737062539334,372.6274530580385,10.61325842344624,2304.0975187342556,22055.2
5,2032,1NB,1,NB,PM-Shoulder,2,OP,PM,0.7,46.9835773975105,8000.0,1,6,69.94850036534255,3600,1,5,0.5,0,4932.0,154.4,41.2,419.6,10.3,1.2870655091820147,3.6,1.8,0.3103448275862069,0.3103448275862069,3.399,0.592,4932.0,154.4,41.2,419.6,10.3,5557.5,6808.5,1.2,0.8510625,6808.5,0.0,1.0,0.0,3945.6000000000004,123.52000000000001,32.96,335.68000000000006,8.24,4446.0,1.5978307288751423,14.38047655987628,14.38047655987628,14.38047655987628,,4.793492186625427,0.12140876257637556,0.24748296009123474,0.24747693269803617,0.24749708897871164,0.24747528329640806,59.78155121866044,538.0339609679439,538.0339609679439,538.0339609679439,,0.5694905533134494,0.6004417504397246,0.8939293754635516,-0.29348762502382697,0.09120510827903161,479.03041362134746,4452.969586378653,30.56909523046932,123.83090476953069,8.156839701727272,33.04316029827273,83.07982282837393,336.5201771716261,2.039196334362402,8.2608036656376,602.8753677162804,4954.6246322837205,9909.249264567441,850.5652759061463,5957.934724093854,1.1184815102125996,10.066333591913395,10.066333591913395,10.066333591913395,,,10.066333591913395,10.066333591913395,10.066333591913395,,,535.786660464971,307.71871019287283,82.10946949335008,836.3092113474738,,,1071.573320929942,615.4374203857457,164.21893898670015,1672.6184226949476,,958.0608272426949,61.13819046093864,16.313679403454543,166.15964565674787,4.078392668724804,1205.7507354325608,11115.0
6,2032,1NB,1,NB,PM-Peak,2,Peak,PM,0.7,49.96013850951218,8000.0,1,6,69.95542923403801,3600,1,5,0.5,0,4744.1,95.2,28.3,379.7,10.3,1.2870655091820147,3.6,1.8,0.3103448275862069,0.3103448275862069,3.399,0.592,4981.305,99.96000000000001,29.715000000000003,398.685,10.815000000000001,5520.4800000000005,6284.6,1.2,0.785575,6284.6,0.0,1.0,0.0,3985.0440000000003,79.96800000000002,23.772000000000006,318.94800000000004,8.652000000000001,4416.384000000001,1.799998677865853,16.199988100792677,16.199988100792677,16.199988100792677,,5.399996033597559,0.12511500807890474,0.2532535321531515,0.2532495136909304,0.253270688103144,0.25324842382935936,59.14252323740279,532.282709136625,532.282709136625,532.282709136625,,0.7923154559083131,0.6003822785432097,0.8406702073494732,-0.24028792880626348,0.053923690599176684,498.5888122547909,4482.716187745209,20.252178459223224,79.70782154077679,6.020247439460799,23.694752560539204,80.78017942912159,317.9048205708784,2.1911053629716175,8.623894637028384,607.8325229455683,4912.647477054432,9825.294954108864,826.3199443271227,5772.510055672877,1.259999074506097,11.339991670554873,11.339991670554873,11.339991670554873,,,11.339991670554873,11.339991670554873,11.339991670554873,,,628.2214420001307,229.65953503818218,68.26955581816476,916.046561872167,,,1256.4428840002613,459.31907007636437,136.53911163632952,1832.093123744334,,997.1776245095818,40.50435691844645,12.040494878921598,161.56035885824318,4.382210725943235,1215.6650458911365,11040.960000000001
7,2032,1NB,1,NB,PM-Late,5,OP,PM,0.7,51.71563081265637,8000.0,1,6,69.96844262874602,3600,1,5,0.5,0,4329.7,83.7,12.9,372.0,29.6,1.2870655091820147,3.6,1.8,0.3103448275862069,0.3103448275862069,3.399,0.592,4329.7,83.7,12.9,372.0,29.6,4827.9,5824.3,1.2,0.7280375,5824.3,0.0,1.0,0.0,3463.76,66.96000000000001,10.32,297.6,23.680000000000003,3862.3199999999997,1.1598825323412,10.4389427910708,10.4389427910708,10.4389427910708,,3.4796475970236003,0.13169026124862987,0.2634505904869585,0.26344779928949286,0.2634619514748646,0.26344845754088864,58.048111370788284,522.4330023370945,522.4330023370945,522.4330023370945,,0.4675249751185193,0.600270613751586,0.8121335723844896,-0.2118629586329036,0.033948046123688166,456.1434593025542,3873.5565406974456,17.640651539006743,66.05934846099326,2.718781288667566,10.181218711332434,78.40627675891972,293.5937232410803,6.238459474568244,23.361540525431757,561.1476283637165,4266.752371636283,21333.761858181417,771.1559664860409,5053.144033513959,0.81191777263884,7.30725995374956,7.30725995374956,7.30725995374956,,,7.30725995374956,7.30725995374956,7.30725995374956,,,370.3509814807052,128.90482654903454,19.86684163368413,572.9350462830589,,,1851.754907403526,644.5241327451727,99.33420816842064,2864.6752314152945,,2280.717296512771,88.20325769503371,13.593906443337831,392.0313837945986,31.19229737284122,2805.7381418185823,24139.5
8,2032,1SB,1,SB,Night,6,OP,NT,0.7,54.94486775211136,8000.0,1,6,69.9983443178366,3600,1,5,0.5,0,1680.9,41.2,16.7,329.5,38.6,1.2870655091820147,3.6,1.8,0.3103448275862069,0.3103448275862069,3.402,0.708,1680.9,41.2,16.7,329.5,38.6,2106.9,2958.9,1.2,0.36986250000000004,2958.9,0.0,1.0,0.0,1344.7200000000003,32.96,13.36,263.6,30.880000000000003,1685.5200000000002,0.7112668557174285,6.401401701456857,6.401401701456857,6.401401701456857,,2.1338005671522855,0.13418186817156333,0.2417822930407787,0.24178156671084022,0.24179085072094209,0.24178221705076938,65.73924781953694,591.6532303758324,591.6532303758324,591.6532303758324,,0.22133194698820588,0.6000141918970759,0.7644026042520791,-0.16438841235500312,0.0005363684310008262,180.43704176766468,1500.4629582323355,7.969144378624066,33.23085562137594,3.2302017312568254,13.469798268743174,63.73606825004034,265.7639317499597,7.4662348625277595,31.133765137472242,262.83869099011366,1844.0613090098866,11064.36785405932,427.6419894350116,2531.258010564989,0.49788679900219995,4.4809811910198,4.4809811910198,4.4809811910198,,,4.4809811910198,4.4809811910198,4.4809811910198,,,89.83722114712883,35.70958606913561,14.474473200961429,285.600123017985,,,539.023326882773,214.25751641481367,86.84683920576857,1713.6007381079103,,1082.622250605988,47.8148662717444,19.381210387540953,382.416409500242,44.79740917516656,1577.032145940682,12641.400000000001
9,2032,1SB,1,SB,AM-Early,1,OP,AM,0.7,53.42544678808362,8000.0,1,6,69.98702116388075,3600,1,5,0.5,0,3134.0,127.4,54.1,429.9,41.2,1.2870655091820147,3.6,1.8,0.3103448275862069,0.3103448275862069,3.246,0.715,3134.0,127.4,54.1,429.9,41.2,3786.6,5091.8,1.2,0.636475,5091.8,0.0,1.0,0.0,2507.2000000000003,101.92000000000002,43.28,343.92,32.96,3029.28,1.0390005236784912,9.35100471310642,9.35100471310642,9.35100471310642,,3.1170015710354733,0.12008753199048687,0.21993975257651668,0.21993669173213942,0.21995238119209273,0.21993615316481913,59.49894295985109,535.4904866386598,535.4904866386598,535.4904866386598,,0.4216263167678558,0.600111267797115,0.78614223230732,-0.18603096451020507,0.015754108069669526,301.0834602065487,2832.916539793451,22.416259582598585,104.98374041740142,9.518860018166995,44.581139981833005,75.64602293958454,354.2539770604154,7.249095608312438,33.950904391687565,415.91369835521124,3370.6863016447883,3370.6863016447883,645.5741746525363,4446.225825347464,0.7273003665749438,6.545703299174494,6.545703299174494,6.545703299174494,,,6.545703299174494,6.545703299174494,6.545703299174494,,,218.97811097787536,146.73018430496742,62.30763342529588,495.15642192506795,,,218.97811097787536,146.73018430496742,62.30763342529588,495.15642192506795,,301.0834602065487,22.416259582598585,9.518860018166995,75.64602293958454,7.249095608312438,415.91369835521124,3786.6
