,Period,Hours/Day,Peak,4Periods,Segment,Direction,SegDir,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,Year,MinToll,MinCapture,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalHeavies,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeHeavies,InScopeVeh,TollLights,TollHeavies,CaptureRateLights,CaptureRateHeavies,VOT Lights,VOT Heavies,Speed GP real,Speed ML real,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_Heavies,GPVeh_Heavies,MLVeh,GPVeh,GPVehDay,ML PCE,GP PCE,TollLightsPerSeg,TollHeaviesPerSeg,TollBlend,RevenuePerHour,RevenuePerHourLights,RevenuePerHourHeavies,RevenuePerDay,RevenuePerDayLights,RevenuePerDayHeavies,TransactionsDay_Lights,TransactionsDay_Heavies,TransactionsDay,TotalVeh_hours
58,AM-Peak,2,Peak,AM,4,SB,4SB,3.3,70,9600.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.2727272727272727,0.2727272727272727,3.246,0.715,6230.7,535.71,6766.41,7464.6,1.2,0.7775625,7464.6,0.0,1.0,0.0,5483.016,471.42480000000006,5954.4408,1.7263222155493083,5.178966646647925,0.10747822688945642,0.1069949432584732,62.49960063485187,187.49880190455565,62.60804572730964,69.99469310518114,4.081150242946924,2.8287858867023687,3.1625328294448325,-0.33374694274246375,0.23377298061138263,589.3048376865197,5641.39516231348,50.440069726637084,485.26993027336295,639.7449074131567,6126.665092586843,12253.330185173685,740.6250468664309,7097.204953133569,5.696863311312717,17.09058993393815,1.9985426331374547,4219.239656932632,3357.18910899543,862.0505479372023,8438.479313865264,6714.37821799086,1724.1010958744046,1178.6096753730394,100.88013945327417,1279.4898148263135,13532.82
59,AM-Shoulder,1,OP,AM,4,SB,4SB,3.3,70,8800.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.2903225806451613,0.2903225806451613,3.246,0.715,5225.6,807.0,6032.6,7646.6,1.2,0.8689318181818182,7646.6,0.0,1.0,0.0,4598.528,710.16,5308.688,1.4675026289406417,4.402507886821925,0.11535721076920136,0.11510326257032057,60.62357434435691,181.87072303307073,57.07010615168448,69.99299517171092,2.9848496373658935,2.828854509144162,3.469417061775622,-0.6405625526314598,0.44859194324293516,530.473363724074,4695.126636275926,81.74173294693885,725.2582670530611,612.2150966710129,5420.384903328987,5420.384903328987,775.6985625648906,6870.90143743511,4.842758675504117,14.528276026512353,1.8593786497904108,3756.5209434371973,2568.9544842986106,1187.5664591385867,3756.5209434371973,2568.9544842986106,1187.5664591385867,530.473363724074,81.74173294693885,612.2150966710129,6032.6
60,MD,5,OP,MD,4,SB,4SB,3.3,70,8000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.3103448275862069,0.3103448275862069,3.249,0.708,6974.1,674.5,7648.6,8997.6,1.2,1.1247,8997.6,0.0,1.0,0.0,6137.2080000000005,593.5600000000001,6730.768,1.7999999998622562,5.399999999586768,0.18393243273946838,0.18354349417759871,48.81314917044678,146.43944751134032,41.12730020094304,69.69538201707637,2.8427042615012414,2.840934281004259,4.814320391384697,-1.9733861103804378,1.3900242739692874,1128.8315976681274,5845.2684023318725,108.94407640405551,565.5559235959445,1237.775674072183,6410.824325927817,32054.121629639085,1455.663826880294,7541.936173119706,5.939999999545445,17.819999998636334,2.116857636702286,8646.643131007266,6705.259689635561,1941.3834413717059,43233.21565503633,33526.298448177804,9706.917206858529,5644.1579883406375,544.7203820202775,6188.878370360915,38243.0
61,PM-Shoulder,1,OP,PM,4,SB,4SB,3.3,70,6400.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.36,0.36,3.399,0.592,7983.2,510.8,8494.0,9515.6,1.2,1.4868125,9515.6,0.0,1.0,0.0,7025.215999999999,449.504,7474.72,3.599999012747477,10.79999703824243,0.25880811384952,0.2581155975814532,43.97439957944838,131.92319873834515,21.25694123057393,66.82752854155137,2.8860358929617638,2.9628508538496896,9.314604479181414,-6.351753625331725,4.54022313542699,1818.1829023454695,6165.0170976545305,116.02399357525354,394.77600642474647,1934.2068959207231,6559.793104079277,6559.793104079277,2166.2548830712303,7349.34511692877,11.879996742066673,35.63999022620002,4.031893101437617,25735.10095337224,21600.006956345507,4135.09399702673,25735.10095337224,21600.006956345507,4135.09399702673,1818.1829023454695,116.02399357525354,1934.2068959207231,8494.0
62,PM-Peak,3,Peak,PM,4,SB,4SB,3.3,70,8000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.3103448275862069,0.3103448275862069,3.399,0.592,7558.950000000001,504.105,8063.055,8639.3,1.2,1.0799124999999998,8639.3,0.0,1.0,0.0,6651.876000000001,443.61240000000004,7095.4884,1.7999999858147777,5.399999957444333,0.19425920656385304,0.19388945241167485,49.92298432548395,149.76895297645186,47.164401378452574,69.55650517062121,3.758014786342153,2.84660650379585,4.198081481226175,-1.3514749774303247,0.9586570368583223,1292.1881539211367,6266.7618460788635,86.01176531902888,418.09323468097114,1378.1999192401656,6684.855080759835,20054.565242279503,1550.2234498782234,7521.041550121777,5.939999953188766,17.8199998595663,2.0246715653045118,9208.327219708775,7675.597573802631,1532.729645906144,27624.981659126326,23026.79272140789,4598.1889377184325,3876.5644617634102,258.03529595708665,4134.599757720497,24189.165
63,PM-Late,3,OP,NT,4,SB,4SB,3.3,70,8000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.3103448275862069,0.3103448275862069,3.402,0.708,5523.6,436.2,5959.8,6832.200000000001,1.2,0.8540250000000001,6832.200000000001,0.0,1.0,0.0,4860.768,383.856,5244.624,1.5938516629026929,4.781554988708079,0.1215643725198598,0.12114745268782821,68.73773515528863,206.2132054658659,58.485310367230845,69.99511754989676,2.9559224560241573,2.8287687331741904,3.385465491364458,-0.5566967581902675,0.38982584395512065,590.8962118846139,4932.7037881153865,46.503176598938985,389.696823401061,637.3993884835529,5322.4006115164475,15967.201834549342,730.4057416814309,6101.7942583185695,5.259710487578886,15.77913146273666,1.826419081986086,3841.7227397096567,3107.9430027201392,733.7797369895173,11525.16821912897,9323.829008160417,2201.339210968552,1772.6886356538416,139.50952979681696,1912.1981654506585,17879.4
176,Night,8,OP,NT,4,NB,4NB,3.3,70,8000.0,1,6,70,3600,1,6,2040,0.5,0,4.2,2.1,0.3103448275862069,0.3103448275862069,3.506,0.708,2321.8,419.3,2741.1000000000004,3579.7000000000003,1.2,0.44746250000000004,3579.7000000000003,0.0,1.0,0.0,2043.1840000000002,368.98400000000004,2412.168,0.7264129427630888,2.1792388282892663,0.11856114165190938,0.11851017511940846,76.96894404059027,230.90683212177083,69.71108859681989,69.99991279951452,1.5684466022575438,2.8285749521872723,2.840294191145832,-0.011719238958559863,0.008205933802082526,242.24222764491483,2079.5577723550855,43.72835845625982,375.5716415437402,285.97058610117466,2455.1294138988255,19641.035311190604,373.4273030136943,3206.272696986306,2.397162711118193,7.191488133354579,0.9485675774860647,895.1660060978624,580.6940351685945,314.47197092926785,7161.328048782899,4645.552281348756,2515.775767434143,1937.9378211593187,349.82686765007855,2287.7646888093973,21928.800000000003
177,AM-Early,1,OP,AM,4,NB,4NB,3.3,70,10800.0,1,6,70,3600,1,6,2040,0.5,0,4.2,2.1,0.25,0.25,3.35,0.715,10162.8,840.6,11003.4,12684.599999999999,1.2,1.1744999999999999,12684.599999999999,0.0,1.0,0.0,8943.264,739.7280000000001,9682.992,2.0999999980869455,6.299999994260837,0.18351767237340558,0.18293546633552554,54.43712539710533,163.31137619131601,36.59189788627813,67.71008996967382,2.197918403755145,2.92423182554743,5.41103390196794,-2.48680207642051,1.8077237313775585,1641.2469927008724,8521.553007299128,135.32248664144566,705.2775133585544,1776.5694793423181,9226.830520657682,9226.830520657682,2047.2144526252093,10637.38554737479,6.92999999368692,20.78999998106076,2.4199168096640062,14187.196143768471,11373.841649055721,2813.3544947127502,14187.196143768471,11373.841649055721,2813.3544947127502,1641.2469927008724,135.32248664144566,1776.5694793423181,11003.4
178,AM-Peak,2,Peak,AM,4,NB,4NB,3.3,70,8800.0,1,6,70,3600,1,6,2040,0.5,0,4.2,2.1,0.2903225806451613,0.2903225806451613,3.35,0.715,9802.905,823.725,10626.630000000001,11689.6,1.2,1.3283636363636364,11689.6,0.0,1.0,0.0,8626.556400000001,724.878,9351.4344,4.199993382348123,12.59998014704437,0.185139832589431,0.1839349225377528,54.321983101233215,162.96594930369966,25.13176320152068,68.01747856994987,4.5099978473151365,2.9110164646337893,7.8784762697437545,-4.967459805109965,3.534933388820628,1597.119207719285,8205.785792280716,133.33037877932117,690.3946212206788,1730.449586498606,8896.180413501395,17792.36082700279,1997.1103440572485,10276.969655942752,13.859978161748804,41.57993448524642,4.847208664328334,27679.90575523611,22136.037340698844,5543.868414537264,55359.81151047222,44272.07468139769,11087.736829074527,3194.23841543857,266.66075755864233,3460.899172997212,21253.260000000002
179,AM-Shoulder,1,OP,AM,4,NB,4NB,3.3,70,9600.0,1,6,70,3600,1,6,2040,0.5,0,4.2,2.1,0.2727272727272727,0.2727272727272727,3.35,0.715,8218.5,1237.1,9455.6,11929.8,1.2,1.2426875,11929.8,0.0,1.0,0.0,7232.28,1088.648,8320.928,2.099999992348766,6.299999977046299,0.21278750561079132,0.2124758829745336,50.456036520216195,151.36810956064858,33.945497999236636,66.22932057741515,2.0584291349478754,2.989612429566731,5.832879517762638,-2.8432670881959075,2.103015662433847,1538.9388210788138,6679.561178921186,231.31144504846003,1005.7885549515399,1770.2502661272738,7685.349733872727,7685.349733872727,2232.8731562241937,9696.926843775806,6.929999974750928,20.789999924252786,2.6487970095011697,15473.81091625569,10664.845991219403,4808.964925036286,15473.81091625569,10664.845991219403,4808.964925036286,1538.9388210788138,231.31144504846003,1770.2502661272738,9455.6
180,MD,5,OP,MD,4,NB,4NB,3.3,70,8800.0,1,6,70,3600,1,6,2040,0.5,0,4.2,2.1,0.2903225806451613,0.2903225806451613,3.353,0.708,8417.8,808.9,9226.699999999999,10844.5,1.2,1.2323295454545455,10844.5,0.0,1.0,0.0,7407.664,711.832,8119.495999999999,2.0999999982201825,6.299999994660547,0.213581431943737,0.21313973021815336,50.23452445613071,150.70357336839214,34.91410863147827,67.77374699822329,2.296283046679967,2.9214852176491086,5.67105985978072,-2.7495746421316114,1.9897419018465043,1582.1394844780705,6835.660515521929,151.71968044064855,657.1803195593515,1733.859164918719,7492.84083508128,37464.2041754064,2037.2985258000163,8807.201474199983,6.929999994126602,20.789999982379804,2.4675169628062474,14118.478771828246,10964.226618140494,3154.252153687753,70592.39385914123,54821.13309070247,15771.260768438766,7910.697422390353,758.5984022032427,8669.295824593595,46133.49999999999
181,PM-Shoulder,1,OP,PM,4,NB,4NB,3.3,70,8800.0,1,6,70,3600,1,6,2040,0.5,0,4.2,2.1,0.2903225806451613,0.2903225806451613,3.502,0.592,9321.4,581.4,9902.8,11065.599999999999,1.2,1.2574545454545454,11065.599999999999,0.0,1.0,0.0,8202.832,511.632,8714.464,2.099999809791262,6.299999429373786,0.22821294238589368,0.22777237518845825,51.622163671620925,154.8664910148628,34.47633931638357,66.33621401946061,2.048054709310846,2.9847950011424236,5.74306912874326,-2.7582741276008362,2.0401483901202817,1871.9924266171652,7449.407573382834,116.53563586242127,464.8643641375787,1988.5280624795864,7914.271937520412,7914.271937520412,2221.599334204429,8844.000665795571,6.929999372311165,20.789998116933493,2.3461364550441632,15395.681991563593,12972.906341428208,2422.7756501353856,15395.681991563593,12972.906341428208,2422.7756501353856,1871.9924266171652,116.53563586242127,1988.5280624795864,9902.8
182,PM-Peak,3,Peak,PM,4,NB,4NB,3.3,70,8800.0,1,6,70,3600,1,6,2040,0.5,0,4.2,2.1,0.2903225806451613,0.2903225806451613,3.502,0.592,8873.025,811.02,9684.045,10767.7,1.2,1.2236022727272728,10767.7,0.0,1.0,0.0,7808.262,713.6976,8521.9596,2.0999998214342264,6.2999994643026795,0.22357162832339791,0.22323259397197942,52.089126139079696,156.2673784172391,38.09138052442213,66.31678067351517,2.9141256217471208,2.985669659912713,5.198026358563013,-2.2123566986502996,1.6586184509941084,1745.7058497157116,7127.319150284288,159.32056655957618,651.6994334404238,1905.0264162752878,7779.018583724712,23337.055751174135,2223.6675493944404,9082.41745060556,6.929999410732947,20.78999823219884,2.451252862827813,15410.014806969446,12097.740509842939,3312.2742971265066,46230.044420908336,36293.22152952882,9936.82289137952,5237.117549147135,477.96169967872856,5715.079248825863,29052.135000000002
183,PM-Late,3,OP,NT,4,NB,4NB,3.3,70,8000.0,1,6,70,3600,1,6,2040,0.5,0,4.2,2.1,0.3103448275862069,0.3103448275862069,3.506,0.708,4555.3,350.7,4906.0,5607.4,1.2,0.7009249999999999,5607.4,0.0,1.0,0.0,4008.664,308.616,4317.28,1.1960494448560306,3.588148334568092,0.12500822131023304,0.12474625742785149,75.30840216088762,225.92520648266287,66.10329182281608,69.99823256265083,2.389555750772275,2.828642849271704,2.9953122535973122,-0.16666940432560828,0.1167185775181185,501.11595647036404,4054.1840435296363,38.498690982353814,312.20130901764617,539.6146474527178,4366.385352547282,13099.156057641847,616.6120294174254,4990.787970582574,3.946963168024901,11.840889504074703,1.3667132257392687,2433.7449690716653,1977.8862230980965,455.85874597356866,7301.2349072149955,5933.658669294289,1367.576237920706,1503.3478694110922,115.49607294706144,1618.8439423581538,14718.0
184,Night,8,OP,NT,4,SB,4SB,3.3,70,8000.0,1,6,70,3600,1,6,2040,0.5,0,4.2,2.1,0.3103448275862069,0.3103448275862069,3.506,0.708,2210.7,365.4,2576.1,3306.8999999999996,1.2,0.41336249999999997,3306.8999999999996,0.0,1.0,0.0,1945.416,321.55199999999996,2266.968,0.7001736604690256,2.100520981407077,0.11263791057661167,0.11258468413685492,78.64347577938493,235.93042733815474,69.81380397788689,69.99996015218608,1.485574973623553,2.8285730387493158,2.8361153341925807,-0.007542295443264901,0.005280733934806566,219.12759344230955,1991.5724065576903,36.20183035357397,329.198169646426,255.3294237958835,2320.7705762041164,18566.16460963293,327.7330845030315,2979.166915496968,2.3105730795477846,6.931719238643353,0.8987216201793333,757.2512423298637,506.3103183938921,250.94092393597157,6058.009938638909,4050.4825471511367,2007.5273914877725,1753.0207475384764,289.61464282859174,2042.635390367068,20608.8
185,AM-Early,1,OP,AM,4,SB,4SB,3.3,70,8800.0,1,6,70,3600,1,6,2040,0.5,0,4.2,2.1,0.2903225806451613,0.2903225806451613,3.35,0.715,6002.9,496.5,6499.4,7492.4,1.2,0.8514090909090909,7492.4,0.0,1.0,0.0,5282.552,436.92,5719.472,1.550596515248339,4.651789545745017,0.11567186751901673,0.11523946269633668,67.21525603388677,201.64576810166034,58.3269998060489,69.99370066104554,2.9204458713243215,2.8288259961970463,3.394654288038077,-0.5658282918410307,0.3962580016266542,611.0426551063168,5391.857344893683,50.35042604128343,446.1495739587166,661.3930811476002,5838.006918852399,5838.006918852399,762.0939332301671,6730.306066769833,5.116968500319518,15.350905500958556,1.7866836391880585,3899.6106506233714,3126.686018530627,772.9246320927447,3899.6106506233714,3126.686018530627,772.9246320927447,611.0426551063168,50.35042604128343,661.3930811476002,6499.4
