,Year,Total Revenue,Var Total Revenue (%),Total Revenues Heavies,Var Total Revenues Heavies (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Segment 8 Revenue,Var Segment 8 Revenue (%),Segment 8 Transactions,Var Segment 8 Transactions (%),Segment 8 AADT,Var Segment 8 AADT (%),Segment 8 Toll/AADT/mi,Var Segment 8 Toll/AADT/mi (%)
0,2032.0000000000005,72571916.190774,,15442257.390495,,11158557.160296,,30571.38948,,1.970818,,0.141098,,0.0,,0.0,,,,,
1,2033.0000000000007,78023416.539316,0.07511859455676118,16559608.727997,0.07235673575741264,11618384.747867,0.04120851656405389,31831.19109,0.04120851657148816,2.035004,0.03256820264478999,0.144215,0.02209102893024717,0.0,,0.0,,,,,
2,2034.0000000000002,83884425.932266,0.07511859455675896,17757807.960974,0.0723567357573629,12097161.148197,0.04120851656405167,33142.907255,0.04120851655507418,2.10128,0.03256799495234408,0.1474,0.02208508130222242,0.0,,0.0,,,,,
3,2034.9999999999993,90185706.113498,0.07511859455675474,19042704.979236,0.07235673575735202,12595667.213751,0.041208516564094744,34508.677298,0.0412085165761662,2.169715,0.03256824411787096,0.150656,0.022089552238806043,0.0,,0.0,,,,,
4,2035.9999999999998,96960329.605853,0.07511859455676029,20420572.951524,0.07235673575736312,13114715.974765,0.04120851656412006,35930.728698,0.04120851656294611,2.240378,0.03256787181726639,0.153984,0.022090059473236945,0.0,,0.0,,,,,
5,2036.999999999999,104243853.293605,0.07511859455676118,21898138.952592,0.07235673575739354,13655153.965245,0.04120851656413271,37411.380727,0.04120851657212343,2.313342,0.03256771848322004,0.157386,0.02209320448877805,0.0,,0.0,,,,,
6,2038.0000000000005,112074505.044202,0.07511859455676295,23482616.806363,0.072356735757376,14217862.603607,0.0412085165640903,38953.048229,0.04120851655409141,2.388683,0.03256803360679039,0.160862,0.022085827201911323,0.0,,0.0,,,,,
7,2038.999999999999,120493384.348766,0.0751185945567514,25181742.305513,0.07235673575738755,14803759.630213,0.04120851656404101,40558.245562,0.04120851655981439,2.466478,0.03256815575779637,0.164416,0.02209347142271012,0.0,,0.0,,,,,
8,2039.9999999999998,129544678.034433,0.07511859455676162,27003810.979423,0.07235673575736268,15413800.604146,0.04120851656412783,42229.590696,0.04120851656280533,2.546806,0.032567896409374075,0.168048,0.022090307512650842,0.0,,0.0,,,,,
9,2041.0000000000002,141008648.766181,0.08849433960305841,29421967.662623,0.0895487190694173,15666873.852625,0.01641861439487724,42922.942062,0.01641861440219161,2.727404,0.0709115653096466,0.168358,0.0018447110349424367,0.0,,0.0,,,,,
10,2041.9999999999995,153487116.017063,0.08849433960305264,32056667.179313,0.0895487190694273,15924102.213184,0.016418614394849707,43627.677296,0.016418614385333763,2.920808,0.07091138679858222,0.168669,0.001847254065740822,0.0,,0.0,,,,,
11,2043.0,167069856.986571,0.08849433960305864,34927300.662856,0.08954871906944506,16185553.907007,0.01641861439488479,44343.983307,0.01641861440709058,3.127927,0.07091154228555929,0.168981,0.001849776781744028,0.0,,0.0,,,,,
12,2044.0000000000002,181854593.648175,0.08849433960305819,38054995.697768,0.08954871906944128,16451298.275374,0.016418614394899222,45072.05007,0.01641861440275849,3.349733,0.07091150145128067,0.169293,0.0018463614252490768,0.0,,0.0,,,,,
13,2044.9999999999993,197947695.816852,0.0884943396030542,41462771.816696,0.08954871906943551,16721405.798052,0.016418614394848374,45812.07068,0.016418614392970765,3.587267,0.0709113233801022,0.169606,0.0018488655762494144,0.0,,0.0,,,,,
14,2045.9999999999993,215464946.434112,0.08849433960306152,45175709.921949,0.0895487190694253,16995948.111991,0.016418614394908326,46564.241403,0.01641861439213166,3.841646,0.07091164387819471,0.169919,0.0018454535806515793,0.0,,0.0,,,,,
15,2046.9999999999995,234532374.576407,0.08849433960305775,49221136.878511,0.08954871906941508,17274998.030317,0.016418614394870135,47328.761727,0.01641861439088621,4.114062,0.07091127084588211,0.170233,0.0018479393122605714,0.0,,0.0,,,,,
16,2048.0,255287162.180082,0.08849433960305308,53628826.637123,0.08954871906943529,17558629.561649,0.016418614394874798,48105.834415,0.016418614382566865,4.405796,0.0709114252531926,0.170547,0.001844530731409444,0.0,,0.0,,,,,
17,2049.000000000001,277878631.006347,0.08849433960305753,58431219.367674,0.08954871906943196,17846917.929724,0.01641861439486547,48895.665561,0.01641861440727288,4.718218,0.07091159009631864,0.170862,0.0018469981881827913,0.0,,0.0,,,,,
18,2049.999999999999,302469316.947055,0.0884943396030562,63663660.215715,0.08954871906944573,18139939.593349,0.016418614394868136,49698.464639,0.016418614386145558,5.052793,0.0709113059210067,0.171178,0.0018494457515421114,0.0,,0.0,,,,,
