,Year,Total Revenue,Var Total Revenue (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%)
0,2024.9999999999995,189501919.711074,,71071298.833422,,24900.388192,,1.319646,,0.156872,
1,2026.0,206547479.798742,0.08994927393694319,74327203.438625,0.045811806715875925,25857.471667,0.03843648812300415,1.385109,0.04960648537562329,0.158433,0.00995078790351367
2,2026.9999999999995,225126275.640144,0.08994927393694185,77732266.916286,0.04581180671586438,26851.342068,0.03843648806037003,1.453819,0.04960620427706419,0.160009,0.009947422569793085
3,2027.999999999999,245376220.678103,0.08994927393694274,81293322.503842,0.04581180671587881,27883.413358,0.03843648810500122,1.525937,0.04960590004670462,0.161602,0.009955689992437788
4,2029.0,267447633.56949,0.08994927393694518,85017516.481679,0.045811806715871484,28955.153844,0.038436488109964806,1.601633,0.04960624193528296,0.16321,0.009950371901337851
5,2030.0,291504354.025218,0.08994927393693852,88912322.514201,0.04581180671587015,30068.08827,0.03843648809452338,1.681083,0.04960562126279866,0.164834,0.009950370688070587
6,2031.0000000000007,317724959.019244,0.08994927393694319,92985556.647881,0.045811806715873704,31223.799986,0.038436488067420616,1.764475,0.049606117009094675,0.166474,0.009949403642452337
7,2032.0000000000005,346304088.394669,0.08994927393693986,97245392.996402,0.04581180671587748,32423.933203,0.038436488112853384,1.852004,0.049606256818600425,0.16813,0.009947499309201469
8,2033.0000000000007,360697590.761597,0.04156318925846536,98436395.176534,0.012247389243170259,32523.748745,0.0030784526163150083,1.923059,0.03836654780443238,0.166218,-0.011372152501040844
9,2034.0000000000002,375689332.991495,0.04156318925846891,99641984.023955,0.01224738924316493,32623.871565,0.003078452634258211,1.996841,0.038366997580417506,0.164327,-0.011376625876860502
10,2034.9999999999993,391304179.841007,0.041563189258464917,100862338.187258,0.012247389243168927,32724.302608,0.0030784526232547904,2.073453,0.03836660004477088,0.162458,-0.01137366348804525
11,2035.9999999999998,407568029.525369,0.04156318925846958,102097638.503014,0.012247389243173812,32825.042823,0.003078452616905425,2.153004,0.03836643512054527,0.16061,-0.011375247756343132
12,2036.999999999999,424507856.672232,0.04156318925846603,103348068.022569,0.01224738924317137,32926.093162,0.0030784526175602345,2.235608,0.03836685858456357,0.158783,-0.011375381358570413
13,2038.0000000000005,442151757.060806,0.04156318925846669,104613812.039171,0.012247389243169815,33027.45458,0.003078452627261141,2.32138,0.038366296774747566,0.156976,-0.011380311494303519
14,2038.999999999999,460528994.220488,0.04156318925846714,105895058.115426,0.012247389243164708,33129.128034,0.0030784526174649773,2.410444,0.03836683352143977,0.155191,-0.011371165018856488
15,2039.9999999999998,479670047.966285,0.04156318925846558,107191996.111094,0.01224738924317248,33231.114485,0.0030784526201634854,2.502924,0.038366375655273455,0.153425,-0.011379525874567364
16,2041.0000000000002,541166531.329304,0.12820580235049706,115791555.000227,0.08022575566388745,36213.049048,0.08973320965043174,2.591289,0.03530470761397475,0.164992,0.0753918852859703
17,2041.9999999999995,610547220.683612,0.1282058023504955,125081019.999618,0.08022575566389767,39462.562171,0.0897332096696084,2.682774,0.035304823198029966,0.17743,0.07538547323506606
18,2043.0,688822916.984222,0.12820580235049972,135115739.348297,0.08022575566388612,43003.664536,0.0897332096597181,2.777488,0.0353045019819036,0.190806,0.0753874767513949
19,2044.0000000000002,777134011.733594,0.12820580235049683,145955501.6396,0.080225755663895,46862.521381,0.08973320963774167,2.875546,0.035304562972009235,0.205191,0.07539071098393135
20,2044.9999999999993,876767101.241759,0.12820580235049572,157664892.051938,0.08022575566388279,51067.645837,0.08973320965407816,2.977066,0.0353045995438781,0.22066,0.0753882967576549
21,2045.9999999999993,989173730.930977,0.12820580235049572,170313677.15847,0.08022575566388768,55650.109607,0.08973320964562403,3.08217,0.03530455824627321,0.237295,0.075387473941811
22,2046.9999999999995,1115991542.769016,0.1282058023504955,183977220.608405,0.08022575566389545,60643.77256,0.0897332096605945,3.190985,0.03530467170856899,0.255185,0.0753913904633472
23,2048.0,1259068133.92609,0.12820580235049994,198736932.156656,0.08022575566388745,66085.532917,0.08973320964845999,3.303641,0.03530445928138182,0.274423,0.07538844367811581
24,2049.000000000001,1420487974.250026,0.12820580235049595,214680752.717247,0.08022575566389012,72015.599898,0.0897332096640251,3.420275,0.03530468352947569,0.295111,0.07538726710224752
25,2049.999999999999,1602602774.717982,0.1282058023504966,231903678.330481,0.08022575566389056,78477.790821,0.0897332096400334,3.541026,0.035304471131707205,0.317359,0.07538858260112291
