,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT Medium A,AADT Medium B,AADT Heavy A,AADT Heavy B,GrowthFactor,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,TollHeavyA,TollHeavyB,CaptureRateLights,CaptureRateMediumA,CaptureRateMediumB,CaptureRateHeavyA,VOT Lights,VOT MediumA,VOT MediumB,VOT HeavyA,Speed GP Real,Speed ML Real,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh_MediumB,GPVeh_MediumB,MLVeh_HeavyA,GPVeh_HeavyA,MLVeh,GPVeh,GPVehDay,ML PCE,ML V/C,ML Volume,ML PCE Total,GP PCE,GP Volume,GP PCE Total,Highway PCE,Highway Volume,Highway PCE Total,Highway V/C,TollLightsPerSeg,TollMediumAPerSeg,TollMediumBPerSeg,TollHeavyAPerSeg,TollBlend,RevenuePerHour,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerHourMediumB,RevenuePerHourHeavyA,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,RevenuePerDayMediumB,RevenuePerDayHeavyA,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay_MediumB,TransactionsDay_HeavyA,TransactionsDay,TransactionsLightsLength,TransactionsMediumALength,TransactionsMediumBLength,TransactionsHeavyALength,TotalVeh_hours,Difference in Travel Time,Implied Min VOT
0,2032,1NB,1,NB,Night,6,OP,NT,0.7,55,8234.489712329321,1,6,70,3600,1,5,0.5,0,1187.7,41.1,6.0,307.2,39.9,1.2094222272955006,3.6,1.8,0.3840853856773422,0.3840853856773422,3.402,0.708,1187.7,41.1,6.0,307.2,39.9,1581.9,2370.2999999999997,1.2,0.2962875,2370.2999999999997,0.0,1.0,0.0,1045.1760000000002,36.168,5.28,270.336,35.112,1392.0720000000001,0.5000107451944101,1.5000322355832303,1.5000322355832303,1.5000322355832303,1.5000322355832303,0.03466101606256827,0.034644650513330565,0.03464303148703099,0.005597097986385937,108.64870815944113,325.9461244783234,325.9461244783234,325.9461244783234,54.97213150783062,69.9999999784615,0.0,0.6000000001846157,0.7640234942321134,-0.1640234940474976,0.00027099141702479414,36.22686212421086,1151.4731378757892,1.25302771976614,39.846972280233864,0.18291520625152363,5.817084793748476,1.5130970812476288,305.68690291875237,39.17590213147615,1542.724097868524,9256.344587211144,45.07398214600674,0.012520550596112984,270.4438928760404,189.31072501322828,2325.226017853993,13951.35610712396,9765.949274986771,2370.2999999999997,14221.800000000001,9955.26,0.2878502594339272,0.35000752163608706,1.050022564908261,1.050022564908261,1.050022564908261,0.5752892511847602,15.776232781193054,12.679674228747276,1.3157073802099921,0.19206509402894845,1.5887860782068386,94.65739668715833,76.07804537248366,7.894244281259953,1.1523905641736907,9.53271646924103,217.36117274526515,7.5181663185968395,1.097491237509142,9.078582487485772,235.05541278885687,152.1528209216856,5.262716423017787,0.7682438662563993,6.35500774124004,9491.400000000001,-0.2146838353607836,128.03319073354183
1,2032,1NB,1,NB,AM-Early,1,OP,AM,0.7,55,8796.923054719633,1,6,70,3600,1,5,0.5,0,5655.3,84.7,55.6,353.2,24.2,1.2094222272955006,3.6,1.8,0.3666598982175698,0.3666598982175698,3.246,0.715,5655.3,84.7,55.6,353.2,24.2,6173.0,7208.4000000000015,1.2,0.9010500000000001,7208.4000000000015,0.0,1.0,0.0,4976.664,74.536,48.928000000000004,310.816,21.296,5432.24,1.3855384757248876,4.156615427174663,4.156615427174663,4.156615427174663,4.156615427174663,0.14723896607092474,0.14714146839555511,0.1471398963598747,0.03897981975142272,54.37401624767723,163.1220487430317,163.1220487430317,163.1220487430317,47.98535675305524,69.9561561057992,0.5566617015626267,0.6003760403370462,0.8752670156469317,-0.2748909753098855,0.07814145640739763,732.7588618423925,4922.541138157608,10.967336488331096,73.7326635116689,7.199260849095951,48.40073915090405,12.115551655858203,341.0844483441418,763.0410108356778,5409.958989164322,5409.958989164322,823.6053088222483,0.22877925245062453,823.6053088222483,576.5237161755738,6384.794691177752,6384.794691177752,4469.356283824426,7208.4,7208.4,5045.88,0.819422877199389,0.9698769330074213,2.909630799022264,2.909630799022264,2.909630799022264,1.4955118112652128,798.7957909291522,710.6859175577084,31.910900029688836,20.94719109672475,35.25178224503021,798.7957909291522,710.6859175577084,31.910900029688836,20.94719109672475,35.25178224503021,732.7588618423925,10.967336488331096,7.199260849095951,12.115551655858203,763.0410108356778,512.9312032896747,7.677135541831767,5.039482594367165,8.480886159100741,6173.0,-0.3140652742485751,211.69343924384768
2,2032,1NB,1,NB,AM-Peak,1,Peak,AM,0.7,55,8000.0,1,6,70,3600,1,5,0.5,0,7093.3,203.2,106.4,345.9,15.7,1.2094222272955006,3.6,1.8,0.39184952978056425,0.39184952978056425,3.246,0.715,8795.327084686149,251.9575463618098,131.9305262445697,428.8982051503445,19.46719231240361,9627.580554755277,11292.087494893532,1.2,1.4115109368616916,11292.087494893532,0.0,1.0,0.0,7739.887834523811,221.7226407983926,116.09886309522135,377.4304205323032,17.13112923491518,8472.270888184645,3.5999998457244726,10.799999537173418,10.799999537173418,10.799999537173418,10.799999537173418,0.2671860202542418,0.2670079307019941,0.26699994783924724,0.09083620997342394,40.072326091621036,120.21697827486314,120.21697827486314,120.21697827486314,19.40979871860358,61.217888834883325,0.749265803707113,0.6860739695431551,2.1638555148820036,-1.4777815453388485,0.980153405871948,2067.989827720639,6727.337256965509,59.201703509360335,192.75584285244946,30.998390390620006,100.9321358539497,34.28434892982999,394.6138562205145,2192.474270550449,7435.106284204827,7435.106284204827,2441.4431562100694,0.678178654502797,2441.4431562100694,1709.0102093470484,8850.644338683462,8850.644338683462,6195.451037078423,11292.08749489353,11292.08749489353,7904.4612464254715,1.4115109368616914,2.5199998920071307,7.559999676021392,7.559999676021392,7.559999676021392,4.008801883679428,6152.436489990924,5211.334142527855,447.56485935067866,234.34782131027188,259.18966680211906,6152.436489990924,5211.334142527855,447.56485935067866,234.34782131027188,259.18966680211906,2067.989827720639,59.201703509360335,30.998390390620006,34.28434892982999,2192.474270550449,1447.592879404447,41.44119245655223,21.698873273434003,23.999044250880992,9627.580554755277,-0.6829391034546191,102.31552423789294
3,2032,1NB,1,NB,AM-Shoulder,3,OP,AM,0.7,55,7130.1280045716185,1,6,70,3600,1,5,0.5,0,4898.2,188.7,47.2,381.0,8.5,1.2094222272955006,3.6,1.8,0.4236160597075761,0.4236160597075761,3.246,0.715,6367.66,245.31,61.36000000000001,495.3,11.05,7180.68,8806.72,1.2,1.1008399999999998,8806.72,0.0,1.0,0.0,5603.5408,215.8728,53.99680000000001,435.86400000000003,9.724,6318.9984,1.7999999589770554,5.399999876931166,5.399999876931166,5.399999876931166,5.399999876931166,0.2816839788977997,0.28161911349422897,0.2816127464353629,0.0981632287381234,38.83474715920115,116.50424147760346,116.50424147760346,116.50424147760346,30.530532311348242,66.99599700922349,0.4775097617900357,0.6269031266781173,1.375672050905858,-0.7487689242277407,0.42842498108864613,1578.4276684601598,4789.23233153984,60.79390656351699,184.516093436483,15.206187146721005,46.153812853279,42.78581753071342,452.5141824692866,1697.2135797011113,5483.466420298889,16450.399260896666,1934.785402183014,0.5374403894952816,5804.356206549042,4063.0493445843294,6871.934597816986,20615.803793450956,14431.062655415668,8806.72,26420.159999999996,18494.111999999997,1.2351419209239163,1.2599999712839387,3.779999913851816,3.779999913851816,3.779999913851816,2.0519595684428467,2437.8295511911815,1988.8188169335756,229.8009615728096,57.47938610461999,161.73038658017626,7313.488653573544,5966.456450800727,689.4028847184288,172.43815831385996,485.19115974052875,4735.283005380479,182.38171969055097,45.61856144016301,128.35745259214028,5091.6407391033335,3314.6981037663354,127.66720378338567,31.932993008114106,89.85021681449818,21542.04,-0.5442931865444881,100.96572631537566
4,2032,1NB,1,NB,MD,4,OP,MD,0.7,55,7229.63859674559,1,6,70,3600,1,5,0.5,0,4433.7,175.4,49.6,508.0,14.5,1.2094222272955006,3.6,1.8,0.41972356739776134,0.41972356739776134,3.249,0.708,5763.81,228.02,64.48,660.4,18.85,6735.56,8679.06,1.2,1.0848825,8679.06,0.0,1.0,0.0,5072.152800000001,200.6576,56.7424,581.1519999999999,16.588,5927.2928,1.7999999903335293,5.399999971000588,5.399999971000588,5.399999971000588,5.399999971000588,0.2766747379036924,0.27661540007847457,0.27660966105129325,0.09444298694375973,39.205160854880326,117.61548256464098,117.61548256464098,117.61548256464098,31.35484708950545,67.98197558982609,0.5142663026819587,0.6178108187589293,1.3395058148460086,-0.7216949960870793,0.40310861584675145,1403.3365465474797,4360.4734534525205,55.50498230278652,172.5150176972135,15.695496031236903,48.784503968763104,54.885730748339846,605.5142692516602,1529.422755629843,5206.1372443701575,20824.54897748063,1781.5951737945695,0.4948875482762693,7126.380695178278,4988.466486624794,6897.464826205431,27589.859304821723,19312.901513375204,8679.06,34716.24,24301.368,1.2004832446129277,1.2599999932334704,3.779999979700411,3.779999979700411,3.779999979700411,2.096785394230545,2244.809906925941,1768.204039154106,209.80883197780474,59.32897467946338,207.46806111456684,8979.239627703764,7072.816156616424,839.235327911219,237.3158987178535,829.8722444582673,5613.346186189919,222.0199292111461,62.78198412494761,219.54292299335938,6117.691022519372,3929.3423303329428,155.41395044780225,43.947388887463326,153.68004609535157,26942.24,-0.5387770535136097,104.75339305925625
5,2032,1NB,1,NB,PM-Shoulder,2,OP,PM,0.7,55,6217.690612419211,1,6,70,3600,1,5,0.5,0,4634.5,145.1,38.7,394.3,9.7,1.2094222272955006,3.6,1.8,0.4629861262591249,0.4629861262591249,3.399,0.592,6024.85,188.63,50.31,512.59,12.61,6788.990000000001,8317.27,1.2,1.03965875,8317.27,0.0,1.0,0.0,5301.868,165.99439999999998,44.272800000000004,451.0792,11.0968,5974.311200000001,1.7999992186078648,5.3999976558235945,5.3999976558235945,5.3999976558235945,5.3999976558235945,0.34746095350924516,0.3474199128260323,0.3474168064127445,0.10477366472133588,37.75982908550991,113.27948725652969,113.27948725652969,113.27948725652969,28.884347887144322,64.46625690804888,0.4159298700823843,0.6515036239796967,1.4540747177018012,-0.8025710937221044,0.48330684784580624,1842.1921106601549,4182.6578893398455,57.66975997760953,130.96024002239045,15.381114786950157,34.928885213049846,47.26122086356841,465.32877913643165,1962.504206288283,4826.485793711717,9652.971587423433,2203.128397544539,0.6119801104290387,4406.256795089078,3084.3797565623545,6114.141602455461,12228.283204910922,8559.798243437644,8317.27,16634.54,11644.178,1.3376783308238418,1.2599994530255052,3.779998359076516,3.779998359076516,3.779998359076516,2.020698544933684,2775.9405758510766,2321.161051799696,217.99159808370055,58.14058865543913,178.6473373122414,5551.881151702153,4642.322103599392,435.9831961674011,116.28117731087826,357.2946746244828,3684.3842213203097,115.33951995521906,30.762229573900314,94.52244172713682,3925.008412576566,2579.0689549242165,80.73766396865334,21.533560701730217,66.16570920899578,13577.980000000001,-0.5519462541722661,94.19722162047778
6,2032,1NB,1,NB,PM-Peak,2,Peak,PM,0.7,55,5600.0,1,6,70,3600,1,5,0.5,0,4457.9,89.5,26.6,356.8,9.7,1.2094222272955006,3.6,1.8,0.49407114624505927,0.49407114624505927,3.399,0.592,5795.2699999999995,116.35000000000001,34.580000000000005,463.84000000000003,12.61,6422.65,7677.41,1.2,0.95967625,7677.41,0.0,1.0,0.0,5099.8376,102.388,30.430400000000006,408.17920000000004,11.0968,5651.932,1.799999857030085,5.399999571090255,5.399999571090255,5.399999571090255,5.399999571090255,0.3811793127372204,0.38114375895784325,0.3811421303695994,0.12199609688346374,35.80439751277478,107.41319253832432,107.41319253832432,107.41319253832432,30.002900949810112,63.96452469908596,0.6061410016470457,0.6566139621545592,1.3998646354317221,-0.7432506732771629,0.445359790256751,1943.9525914394353,3851.317408560564,39.02454719217565,77.32545280782435,11.59830748399906,22.981692516000948,49.796269229014726,414.0437307709853,2044.3717153446248,4378.278284655374,8756.556569310747,2245.2099631550036,0.6236694342097232,4490.419926310007,3143.2939484170047,5432.200036844996,10864.400073689992,7605.080051582994,7677.41,15354.82,10748.374,1.3709660714285714,1.2599998999210595,3.7799996997631786,3.7799996997631786,3.7799996997631786,1.9768311126336748,2828.96432887707,2449.3800706649727,147.51277666981795,43.84159880727747,188.22988273500206,5657.92865775414,4898.760141329945,295.0255533396359,87.68319761455494,376.45976547000413,3887.9051828788706,78.0490943843513,23.19661496799812,99.59253845802945,4088.7434306892496,2721.533628015209,54.63436606904591,16.23763047759868,69.71477692062061,12845.3,-0.5309446745527236,101.71533873212094
7,2032,1NB,1,NB,PM-Late,5,OP,PM,0.7,55,10400.0,1,6,70,3600,1,5,0.5,0,4068.5,78.6,12.1,349.5,27.8,1.2094222272955006,3.6,1.8,0.3246753246753246,0.3246753246753246,3.399,0.592,4068.5,78.6,12.1,349.5,27.8,4536.500000000001,5472.5,1.2,0.6840625,5472.5,0.0,1.0,0.0,3580.28,69.16799999999999,10.648,307.56,24.464000000000002,3992.120000000001,0.7040487507492403,2.112146252247721,2.112146252247721,2.112146252247721,2.112146252247721,0.17091807006033788,0.17088845631767002,0.17088691278849039,0.03489690258536368,52.5515745635882,157.65472369076457,157.65472369076457,157.65472369076457,54.481589116414945,69.98253795492987,0.30244400414519307,0.6001497120188586,0.7709026238250029,-0.17075291180614427,0.005086382132047468,611.9345478756265,3456.565452124373,11.820012746580598,66.77998725341939,1.8196038473718457,10.280396152628153,10.732891359154454,338.76710864084555,636.3070558287334,3900.1929441712664,19500.964720856333,685.0520717349473,0.19029224214859647,3425.2603586747364,2397.6822510723155,4787.447928265052,23937.239641325257,16756.06774892768,5472.499999999999,27362.499999999993,19153.749999999993,0.526201923076923,0.4928341255244682,1.4785023765734047,1.4785023765734047,1.4785023765734047,0.7579831951965432,337.617038712218,301.58222778049526,17.47591693694735,2.6902886127613845,15.86860538201402,1688.08519356109,1507.9111389024763,87.37958468473676,13.451443063806924,79.3430269100701,3059.672739378133,59.100063732902996,9.098019236859228,53.66445679577227,3181.5352791436676,2141.770917564693,41.37004461303209,6.3686134658014595,37.565119757040584,22682.500000000004,-0.22149738051080453,173.17448480784304
8,2032,1SB,1,SB,Night,6,OP,NT,0.7,55,9658.720330941385,1,6,70,3600,1,5,0.5,0,1579.5,38.7,15.7,309.6,36.3,1.2094222272955006,3.6,1.8,0.34282754534364723,0.34282754534364723,3.402,0.708,1579.5,38.7,15.7,309.6,36.3,1979.8,2780.4,1.2,0.34755,2780.4,0.0,1.0,0.0,1389.96,34.056000000000004,13.815999999999999,272.44800000000004,31.944,1742.224,0.5000016923000007,1.5000050769000022,1.5000050769000022,1.5000050769000022,1.5000050769000022,0.03466450703332775,0.03464200923418242,0.03464094845201341,0.005596749791017879,108.65124774489126,325.9537432346738,325.9537432346738,325.9537432346738,54.972419916738986,69.99999992575573,0.0,0.6000000006363795,0.7640194858369531,-0.16401948520057363,0.0002681855404126472,48.18227819604424,1531.3177218039557,1.1797682664793165,37.52023173352069,0.4785993438130172,15.221400656186981,1.5248232870632392,308.0751767129368,51.36546909339981,1928.4345309066,11570.6071854396,57.731850888110955,0.016036625246697488,346.39110532866573,242.473773730066,2722.6681491118893,16336.008894671337,11435.206226269935,2780.4,16682.4,11677.68,0.28786422059380706,0.35000118461000046,1.0500035538300014,1.0500035538300014,1.0500035538300014,0.561973318907661,20.20621620056674,16.863854445824078,1.2387608724991426,0.5025310118643748,1.6010698703791457,121.23729720340043,101.18312667494448,7.432565234994856,3.015186071186249,9.606419222274875,289.0936691762654,7.078609598875899,2.8715960628781034,9.148939722379435,308.19281456039886,202.36556842338575,4.955026719213129,2.010117244014672,6.404257805665604,11878.8,-0.21467971464222116,128.03400188044597
9,2032,1SB,1,SB,AM-Early,1,OP,AM,0.7,55,10400.0,1,6,70,3600,1,5,0.5,0,2944.9,119.7,50.8,403.9,38.7,1.2094222272955006,3.6,1.8,0.3246753246753246,0.3246753246753246,3.246,0.715,2944.9,119.7,50.8,403.9,38.7,3558.0,4784.200000000001,1.2,0.5980250000000001,4784.200000000001,0.0,1.0,0.0,2591.512,105.336,44.704,355.43199999999996,34.056000000000004,3131.04,0.6281108029757679,1.8843324089273037,1.8843324089273037,1.8843324089273037,1.8843324089273037,0.17202505793579098,0.17200441239769976,0.17200276191149017,0.04840947891985852,50.531351831385386,151.59405549415618,151.59405549415618,151.59405549415618,54.75925898763789,69.99273394082356,0.2744739676814566,0.6000622869726671,0.7669935783733242,-0.1669312914006571,0.0023500503158723866,445.8050019412976,2499.0949980587025,18.118256784324103,101.5817432156759,7.689211468491257,43.11078853150874,17.206277911443152,386.6937220885568,488.8187481055561,3069.1812518944434,3069.1812518944434,574.846240434073,0.15967951123168694,574.846240434073,402.3923683038511,4209.353759565927,4209.353759565927,2946.547631696149,4784.200000000001,4784.200000000001,3348.94,0.46001923076923085,0.43967756208303754,1.3190326862491124,1.3190326862491124,1.3190326862491124,0.7386523840707471,252.74699356665292,196.01045641797353,23.898572916378228,10.142321258421505,22.69564297387963,252.74699356665292,196.01045641797353,23.898572916378228,10.142321258421505,22.69564297387963,445.8050019412976,18.118256784324103,7.689211468491257,17.206277911443152,488.8187481055561,312.0635013589083,12.68277974902687,5.382448027943879,12.044394538010206,3558.0,-0.21764366235593888,158.03300569732733
