,index,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT Medium A,AADT Medium B,AADT Heavy A,AADT Heavy B,GrowthFactor,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Max VC,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,TollHeavyA,TollHeavyB,CaptureRateLights,CaptureRateMediumA,CaptureRateMediumB,CaptureRateHeavyA,VOT Lights,VOT MediumA,VOT MediumB,VOT HeavyA,Speed GP Real,Speed ML Real,Bonus Seg,Time ML,Time GP,Time Savings,BonusRel,Reliability %,Bonus %,Time Savings %,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh_MediumB,GPVeh_MediumB,MLVeh_HeavyA,GPVeh_HeavyA,MLVeh,GPVeh,GPVehDay,ML PCE,ML V/C,ML Volume,ML PCE Total,GP PCE,GP Volume,GP PCE Total,Highway PCE,Highway Volume,Highway PCE Total,Highway V/C,TollLightsPerSeg,TollMediumAPerSeg,TollMediumBPerSeg,TollHeavyAPerSeg,TollBlend,RevenuePerHour,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerHourMediumB,RevenuePerHourHeavyA,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,RevenuePerDayMediumB,RevenuePerDayHeavyA,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay_MediumB,TransactionsDay_HeavyA,TransactionsDay,GPDay_Lights,GPDay_MediumA,GPDay_MediumB,GPDay_HeavyA,GPDay_HeavyB,TransactionsLightsLength,TransactionsMediumALength,TransactionsMediumBLength,TransactionsHeavyALength,TotalVeh_hours,GPDayLength_Lights,GPDayLength_MediumA,GPDayLength_MediumB,GPDayLength_HeavyA,GPDayLength_HeavyB,Difference in Travel Time,Implied Min VOT
0,480,2050,1NB,1,NB,Night,6,OP,NT,0.7,55,7818.563956451466,1,6,72,3600,1,6,0.2,0.053191489361702135,1509.5,52.3,7.7,390.4,50.7,1.5371469295880429,5.15,2.575,0.1595744680851064,0.1595744680851064,4.538409640699686,0.708,1509.5,52.3,7.7,390.4,50.7,2010.6000000000001,3012.7999999999997,1.3,0.3766,1.3,3012.7999999999997,0.0,1.0,0.0,1418.9299999999998,49.16199999999999,7.2379999999999995,366.97599999999994,47.658,1889.964,2.496794477032659,7.490383431097977,7.490383431097977,7.490383431097977,7.490383431097977,0.15957445810646956,0.15957446330465183,0.15957446092113367,0.05319149012555795,188.71258911248643,566.1377673374593,566.1377673374593,566.1377673374593,54.906710556349545,71.99996949862111,0.28982654720857265,0.5833335804510911,0.7649338227409622,-0.18160024228987115,0.0009082213732190259,0.0019228330577124987,0.6136037781186642,0.38447338882362325,226.4249858410128,1283.0750141589872,7.844999764983292,44.455000235016705,1.1549999481471653,6.545000051852835,19.52000028031675,370.8799997196832,254.94498583446006,1755.65501416554,10533.93008499324,311.9849858213544,0.08666249606148733,1871.9099149281265,1310.3369404496884,2700.8150141786455,16204.890085071873,11343.42305955031,3012.7999999999997,18076.8,12653.759999999998,0.38533930486224344,1.7477561339228613,5.243268401768584,5.243268401768584,5.243268401768584,3.0554136492084734,545.2736726611091,395.73565787702717,41.13343937961886,6.055974732164385,102.34860067229873,3271.6420359666545,2374.4139472621628,246.80063627771318,36.33584839298631,614.0916040337924,1358.5499150460769,47.069998589899754,6.929999688882992,117.1200016819005,1529.6699150067602,7698.450084953924,266.7300014101002,39.27000031111701,2225.2799983180994,304.20000000000005,950.9849405322537,32.948999012929825,4.850999782218094,81.98400117733034,12063.6,5388.915059467746,186.71100098707015,27.489000217781904,1557.6959988226695,212.94000000000003,-0.2374064747707834,577.4516967217758
1,481,2050,1NB,1,NB,AM-Early,1,OP,AM,0.7,55,8000.0,1,6,72,3600,1,6,0.2,0.0,7187.7,107.6,70.7,448.8,30.7,1.5371469295880429,5.15,2.575,0.3301540719002201,0.3301540719002201,4.322952579242244,0.715,7187.7,107.6,70.7,448.8,30.7,7845.5,9161.1,1.3,1.1451375000000001,1.3,9161.1,0.0,1.0,0.0,6756.437999999999,101.14399999999999,66.458,421.872,28.857999999999997,7374.7699999999995,2.5749998613741165,7.724999584122349,7.724999584122349,7.724999584122349,7.724999584122349,0.30519480491382744,0.30511839587004697,0.30511717392842713,0.11053190510369708,108.57278588568722,325.7183576570617,325.7183576570617,325.7183576570617,39.88189806793955,66.76349968019632,0.22003583151801132,0.629086255232037,1.0531093562410752,-0.4240231010090382,0.20263109482329805,0.2393214615476419,0.2598776699975986,0.5008008684547596,2062.02977732237,5125.67022267763,30.860895031880027,76.73910496811996,20.27747714493541,50.42252285506459,46.630315869906894,402.1696841300931,2159.7984653690924,5685.701534630907,5685.701534630907,2355.335841462537,0.6542599559618157,2355.335841462537,1648.7350890237756,6805.764158537463,6805.764158537463,4764.034910976224,9161.1,9161.1,6412.7699999999995,1.1451375000000001,1.8024999029618813,5.407499708885644,5.407499708885644,5.407499708885644,2.8081275000901824,4245.492625678864,3716.808473528082,166.88028090084165,109.65045175817353,252.15341949176715,4245.492625678864,3716.808473528082,166.88028090084165,109.65045175817353,252.15341949176715,2062.02977732237,30.860895031880027,20.27747714493541,46.630315869906894,2159.7984653690924,5125.67022267763,76.73910496811996,50.42252285506459,402.1696841300931,30.7,1443.420844125659,21.60262652231602,14.194234001454786,32.64122110893482,7845.5,3587.9691558743407,53.71737347768397,35.295765998545214,281.51877889106515,21.49,-0.4026391926879547,255.05684459254883
2,482,2050,1NB,1,NB,AM-Peak,1,Peak,AM,0.7,55,6739.387687237572,1,6,72,3600,1,6,0.2,0.0,9015.4,258.2,135.3,439.6,20.0,1.5371469295880429,5.15,2.575,0.3301540719002201,0.3301540719002201,4.322952579242244,0.715,9015.4,258.2,135.3,439.6,20.0,9868.5,11574.7,1.3,1.4468375,1.3,11574.7,0.0,1.0,0.0,8474.475999999999,242.70799999999997,127.182,413.224,18.799999999999997,9276.39,5.1499999381786195,15.449999814535857,15.449999814535857,15.449999814535857,15.449999814535857,0.3301540711378125,0.3301540655103048,0.33015406594831803,0.3301540669707898,51.09915773331011,153.29747319993032,153.29747319993032,153.29747319993032,14.472674763184097,36.79697711137542,0.3405130434401037,1.1413981065041379,2.9020205792809293,-1.7606224727767914,1.496868950951196,0.41602754099117284,0.09463941652860533,0.4893330424802218,2797.882752159684,6217.517247840316,80.13103293187504,178.06896706812495,41.989654415438984,93.31034558456102,136.42758416993763,303.1724158300624,3056.4310236769356,6812.068976323064,6812.068976323064,3573.527566711439,0.992646546308733,3573.527566711439,2501.469296698007,8001.172433288561,8001.172433288561,5600.820703301992,11574.699999999999,11574.699999999999,8102.289999999999,1.717470568122842,3.6049999567250333,10.8149998701751,10.8149998701751,10.8149998701751,6.021293006476422,12882.566723350452,10086.367200457378,866.6171107552252,454.11810705166994,1475.464305086178,12882.566723350452,10086.367200457378,866.6171107552252,454.11810705166994,1475.464305086178,2797.882752159684,80.13103293187504,41.989654415438984,136.42758416993763,3056.4310236769356,6217.517247840316,178.06896706812495,93.31034558456102,303.1724158300624,20.0,1958.5179265117788,56.091723052312524,29.392758090807288,95.49930891895633,9868.5,4352.26207348822,124.64827694768745,65.31724190919272,212.22069108104367,14.0,-0.6066884864107488,122.8542749783043
3,483,2050,1NB,1,NB,AM-Shoulder,3,OP,AM,0.7,55,5464.149844877925,1,6,72,3600,1,6,0.2,0.0,6225.4,239.8,59.9,484.2,10.8,1.5371469295880429,5.15,2.575,0.3301540719002201,0.3301540719002201,4.322952579242244,0.715,6225.4,239.8,59.9,484.2,10.8,7020.099999999999,8609.499999999998,1.3,1.0761874999999999,1.3,8609.499999999998,0.0,1.0,0.0,5851.875999999999,225.412,56.306,455.14799999999997,10.152,6598.893999999999,2.574999943632129,7.724999830896387,7.724999830896387,7.724999830896387,7.724999830896387,0.3301540712595027,0.3301540683845253,0.3301540648581132,0.33015406507958567,34.886767718771814,104.66030315631544,104.66030315631544,104.66030315631544,20.6521867509566,61.886713520121155,0.39096864384135976,0.678659402172723,2.0336829463376116,-1.3550235441648886,0.8890326078908735,0.33739060417008065,0.14837380067546968,0.5142355951544496,1932.0206859057732,4293.379314094226,74.42068886269263,165.37931113730738,18.58965477590092,41.31034522409908,150.26896241284325,333.93103758715677,2175.2999919572103,4844.800008042789,14534.400024128368,2661.8586040600835,0.7394051677944676,7985.57581218025,5589.903068526175,5947.641395939915,17842.924187819746,12490.046931473822,8609.499999999998,25828.499999999996,18079.949999999997,1.57563394936369,1.80249996054249,5.40749988162747,5.40749988162747,5.40749988162747,3.150961145935701,4798.000028787988,3482.4672101124306,402.4298662156452,100.52355600017977,812.5793964597326,14394.000086363965,10447.401630337292,1207.2895986469355,301.5706680005393,2437.738189379198,5796.0620577173195,223.2620665880779,55.76896432770276,450.8068872385297,6525.899975871629,12880.13794228268,496.1379334119222,123.93103567229724,1001.7931127614703,32.400000000000006,4057.2434404021233,156.2834466116545,39.03827502939193,315.5648210669708,21060.3,9016.096559597874,347.2965533883455,86.75172497060807,701.2551789330291,22.680000000000003,-0.666290459191342,79.81410957637867
4,484,2050,1NB,1,NB,MD,4,OP,MD,0.7,55,5524.99136908484,1,6,72,3600,1,6,0.2,0.0,5635.2,222.9,63.0,645.6,18.4,1.5371469295880429,5.15,2.575,0.3301540719002201,0.3301540719002201,4.327095984270272,0.708,5635.2,222.9,63.0,645.6,18.4,6585.099999999999,8484.900000000001,1.3,1.0606125000000002,1.3,8484.900000000001,0.0,1.0,0.0,5297.088,209.52599999999998,59.22,606.864,17.296,6189.993999999999,2.5749999715236087,7.724999914570827,7.724999914570827,7.724999914570827,7.724999914570827,0.3301540707909118,0.33015406679201253,0.3301540638926793,0.3301540691127495,39.36940620346464,118.10821861039392,118.10821861039392,118.10821861039392,22.57353238007481,62.75748258529896,0.3757903951252378,0.669242905703145,1.8605860745601577,-1.1913431688570126,0.7678647976466556,0.32885025114578215,0.1609381836409875,0.5102115652132303,1748.8551665376892,3886.344833462311,69.17586099866321,153.7241390013368,19.55172366372447,43.448276336275526,200.35861899803965,445.24138100196035,2037.9413701981166,4547.158629801884,18188.634519207535,2616.1137775189713,0.7266982715330476,10464.455110075885,7325.118577053119,5868.786222481029,23475.144889924115,16432.60142294688,8484.9,33939.6,23757.719999999998,1.5357309058394855,1.802499980066526,5.407499940199578,5.407499940199578,5.407499940199578,3.3055381283903125,4715.54503182971,3152.311402823426,374.06846421352566,105.72594454238875,1083.4392202503695,18862.18012731884,12609.245611293703,1496.2738568541026,422.903778169555,4333.756881001478,6995.420666150757,276.70344399465284,78.20689465489788,801.4344759921586,8151.765480792466,15545.379333849243,614.8965560053472,173.7931053451021,1780.9655240078414,73.6,4896.79446630553,193.69241079625698,54.74482625842851,561.0041331945109,26340.399999999998,10881.76553369447,430.427589203743,121.65517374157146,1246.6758668054888,51.519999999999996,-0.6403053237613024,90.77988746748079
5,485,2050,1NB,1,NB,PM-Shoulder,2,OP,PM,0.7,55,4761.139852406509,1,6,72,3600,1,6,0.2,0.0,5890.3,184.5,49.2,501.1,12.3,1.5371469295880429,5.15,2.575,0.3301540719002201,0.3301540719002201,4.534266235671658,0.592,5890.3,184.5,49.2,501.1,12.3,6637.400000000001,8131.6,1.3,1.01645,1.3,8131.6,0.0,1.0,0.0,5536.882,173.42999999999998,46.248,471.034,11.562,6239.156,2.5749999666243846,7.724999899873154,7.724999899873154,7.724999899873154,7.724999899873154,0.3301540664167994,0.3301540650528292,0.3301540680174244,0.3301540649598538,22.083605442361527,66.25081632708459,66.25081632708459,66.25081632708459,14.851523650062608,64.54697681859247,0.5403501676227469,0.6506888791715197,2.8279926686056176,-2.177303789434098,1.4450494134784777,0.34714205766063144,0.1298075119758673,0.5230504303635014,1828.024107569981,4062.275892430019,57.25861950211216,127.24138049788783,15.268965337669844,33.93103466233016,155.51378983429976,345.58621016570027,2056.065482244063,4581.334517755939,9162.669035511877,2512.1482315922262,0.6978189532200628,5024.2964631844525,3517.0075242291164,5619.451768407775,11238.90353681555,7867.232475770884,8131.6,16263.2,11384.24,1.7079103433371945,1.802499976637069,5.407499929911207,5.407499929911207,5.407499929911207,3.1461943543963544,4528.1471287538425,3295.0134111868897,309.625980944484,82.56692899326633,840.9408076292021,9056.294257507685,6590.026822373779,619.251961888968,165.13385798653266,1681.8816152584043,3656.048215139962,114.51723900422432,30.537930675339688,311.0275796685995,4112.130964488126,8124.551784860038,254.48276099577566,67.86206932466033,691.1724203314005,24.6,2559.233750597973,80.16206730295703,21.37655147273778,217.71930576801964,13274.800000000001,5687.186249402027,178.13793269704294,47.50344852726222,483.8206942319803,17.22,-0.7699113981464629,49.671524535551086
6,486,2050,1NB,1,NB,PM-Peak,2,Peak,PM,0.7,55,4358.782672790078,1,6,72,3600,1,6,0.2,0.0,5665.9,113.7,33.8,453.5,12.3,1.5371469295880429,5.15,2.575,0.3301540719002201,0.3301540719002201,4.534266235671658,0.592,5665.9,113.7,33.8,453.5,12.3,6279.2,7505.799999999999,1.3,0.9382249999999999,1.3,7505.799999999999,0.0,1.0,0.0,5325.945999999999,106.878,31.771999999999995,426.28999999999996,11.562,5902.447999999999,2.5749992017860257,7.724997605358077,7.724997605358077,7.724997605358077,7.724997605358077,0.33015405827679994,0.33015400908945464,0.3301538907701407,0.3301540683672561,19.210550469560967,57.6316514086829,57.6316514086829,57.6316514086829,14.312609376437836,67.21113047371648,0.9560934098220722,0.6248964971125501,2.934475391268806,-2.309578894156256,1.5195873193427099,0.317555877624064,0.19979969428670832,0.4826444280892278,1758.3826860630893,3907.5173139369103,35.28620018346273,78.41379981653728,10.489649417548907,23.31035058245109,140.7413778042776,312.7586221957224,1944.8999134683786,4334.300086531622,8668.600173063243,2317.9343682789568,0.6438706578552658,4635.8687365579135,3245.1081155905395,5187.865631721042,10375.731263442083,7263.011884409458,7505.799999999998,15011.599999999997,10508.119999999997,1.721994548352992,1.8024994412502178,5.407498323750653,5.407498323750653,5.407498323750653,3.068887559086085,4178.075403677496,3169.4838091327756,190.8100683436047,56.722761642127736,761.0587645589885,8356.150807354992,6338.967618265551,381.6201366872094,113.44552328425547,1522.117529117977,3516.7653721261786,70.57240036692546,20.979298835097815,281.4827556085552,3889.799826936757,7815.034627873821,156.82759963307456,46.62070116490218,625.5172443914448,24.6,2461.735760488325,49.40068025684782,14.685509184568469,197.0379289259886,12558.4,5470.524239511674,109.77931974315219,32.634490815431526,437.86207107401134,17.22,-0.7870500127648513,46.82670366821256
7,487,2050,1NB,1,NB,PM-Late,5,OP,PM,0.7,55,8000.0,1,6,72,3600,1,6,0.2,0.0,5171.0,99.9,15.4,444.2,35.4,1.5371469295880429,5.15,2.575,0.3301540719002201,0.3301540719002201,4.534266235671658,0.592,5171.0,99.9,15.4,444.2,35.4,5765.899999999999,6955.7,1.3,0.8694625,1.3,6955.7,0.0,1.0,0.0,4860.74,93.906,14.475999999999999,417.54799999999994,33.275999999999996,5419.945999999998,2.5749996232150574,7.724998869645172,7.724998869645172,7.724998869645172,7.724998869645172,0.2542621989452847,0.25417234580430476,0.2541676631287283,0.06381479966395139,137.8044328552496,413.41329856574873,413.41329856574873,413.41329856574873,49.444508696829814,71.75341313736888,0.3429269672105675,0.5853380092120882,0.8494370984151952,-0.264099089203107,0.06006051434518205,0.09003406301053118,0.5140666627728162,0.39589927421665266,1235.902440901303,3935.0975590986973,23.868308305099045,76.03169169490096,3.6793310914514707,11.720668908548529,26.64574197008357,417.5542580299164,1290.095822267937,4475.804177732062,22379.02088866031,1398.482585001205,0.388467384722557,6992.412925006025,4894.689047504217,5557.217414998795,27786.087074993975,19450.26095249578,6955.7,34778.5,24344.949999999997,0.8694625,1.80249973625054,5.40749920875162,5.40749920875162,5.40749920875162,2.7913369435770647,2520.7644906156456,2227.713823755997,129.06785827406281,19.895979965759064,144.08682861982675,12603.822453078228,11138.569118779986,645.3392913703141,99.47989982879533,720.4341430991337,6179.5122045065145,119.34154152549523,18.396655457257353,133.22870985041786,6450.479111339684,19675.487795493485,380.15845847450476,58.60334454274265,2087.771290149582,177.0,4325.65854315456,83.53907906784666,12.877658820080146,93.26009689529249,28829.499999999993,13772.84145684544,266.1109209321533,41.02234117991985,1461.4399031047074,123.89999999999999,-0.31091070745066324,409.505328100011
8,488,2050,1SB,1,SB,Night,6,OP,NT,0.7,55,8000.0,1,6,72,3600,1,6,0.2,0.053191489361702135,2007.5,49.2,20.0,393.5,46.1,1.5371469295880429,5.15,2.575,0.1595744680851064,0.1595744680851064,4.538409640699686,0.708,2007.5,49.2,20.0,393.5,46.1,2516.2999999999997,3533.9,1.3,0.4417375,1.3,3533.9,0.0,1.0,0.0,1887.05,46.248,18.799999999999997,369.89,43.333999999999996,2365.3219999999997,2.5749988042221386,7.724996412666416,7.724996412666416,7.724996412666416,7.724996412666416,0.1595742870848163,0.15957408129167444,0.15957398720161103,0.05785131405076443,183.51592312594283,550.5477693778284,550.5477693778284,550.5477693778284,54.8006126062269,71.99987155538429,0.31589828800053227,0.5833343739744374,0.7664147899548774,-0.18308041598044,0.001944898422959669,0.0038826248426428764,0.6306316701479759,0.36548570500938116,301.1246584434026,1706.3753415565975,7.379982111577359,41.82001788842264,2.999990959390287,17.00000904060971,21.398622554237253,372.10137744576275,332.9032540686075,2183.3967459313926,13100.380475588356,396.4604453190173,0.11012790147750481,2378.762671914104,1665.1338703398726,3137.439554680983,18824.637328085897,13177.246129660127,3533.9,21203.4,14842.38,0.4417375,1.802499162955497,5.407497488866491,5.407497488866491,5.407497488866491,3.06661217678411,714.6196208324922,542.7769447894931,39.90723473623419,16.22244357952515,115.7129977272398,4287.717724994953,3256.6616687369587,239.44340841740512,97.33466147715092,694.2779863634388,1806.7479506604157,44.279892669464154,17.999945756341724,128.39173532542353,1997.419524411645,10238.252049339586,250.92010733053584,102.00005424365827,2232.6082646745763,276.6,1264.723565462291,30.995924868624904,12.599962029439206,89.87421472779646,15097.8,7166.77643453771,175.64407513137508,71.40003797056079,1562.8257852722033,193.62,-0.238879022665023,590.7237494417992
9,489,2050,1SB,1,SB,AM-Early,1,OP,AM,0.7,55,8000.0,1,6,72,3600,1,6,0.2,0.0,3743.0,152.2,64.6,513.4,49.2,1.5371469295880429,5.15,2.575,0.3301540719002201,0.3301540719002201,4.322952579242244,0.715,3743.0,152.2,64.6,513.4,49.2,4522.4,6081.200000000001,1.3,0.7601500000000001,1.3,6081.200000000001,0.0,1.0,0.0,3518.4199999999996,143.06799999999998,60.72399999999999,482.59599999999995,46.248,4251.056,2.5749989047894073,7.724996714368222,7.724996714368222,7.724996714368222,7.724996714368222,0.21067742231878786,0.2105836988581585,0.21057620252593168,0.06452675293854336,134.03877096258168,402.11631288774504,402.11631288774504,402.11631288774504,51.472048173694006,71.97356104565681,0.4167598105779685,0.5835476165109724,0.8159768552102242,-0.2324292386992518,0.036638344101702386,0.05342210657581526,0.607674488656225,0.33890340476795977,741.2516562348695,3001.7483437651304,30.127788628239017,122.07221137176097,12.787029322184672,51.81297067781532,31.14035286112927,482.2596471388707,815.3068270464225,3707.0931729535773,3707.0931729535773,963.4171686695283,0.2676158801859801,963.4171686695283,674.3920180686698,5117.782831330472,5117.782831330472,3582.44798193133,6081.2,6081.2,4256.84,0.76015,1.8024992333525849,5.407497700057755,5.407497700057755,5.407497700057755,3.042778585782765,1736.5587079255429,1336.105542084686,162.91594771502866,69.14583165028469,168.39138647554347,1736.5587079255429,1336.105542084686,162.91594771502866,69.14583165028469,168.39138647554347,741.2516562348695,30.127788628239017,12.787029322184672,31.14035286112927,815.3068270464225,3001.7483437651304,122.07221137176097,51.81297067781532,482.2596471388707,49.2,518.8761593644086,21.08945203976731,8.95092052552927,21.798247002790486,4522.4,2101.223840635591,85.45054796023267,36.26907947447072,337.5817529972095,34.44,-0.28484783265006935,465.30270720842503
