,Period,Hours/Day,Peak,4Periods,Segment,Direction,SegDir,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,Year,MinToll,MinCapture,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalHeavies,TotalVeh,HOV3,Corridor PCE,InScopeLights,InScopeHeavies,InScopeVeh,CaptureRateLights,CaptureRateHeavies,TollLights,TollHeavies,VOT Lights,VOT Heavies,Speed GP real,Speed ML real,MLVeh_Lights,GPVeh_Lights,MLVeh_Heavies,GPVeh_Heavies,MLVeh,GPVeh,ML PCE,GP PCE,TollLightsPerSeg,TollHeaviesPerSeg,TollBlend,RevenuePerHour,RevenuePerDay,TransactionsDay_Lights,TransactionsDay_Heavies,TransactionsDay,TotalVeh_hours
0,Night,8,OP,NT,1,NB,1NB,3.9,65,8000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.340622372,3.402,0.708,1542.3,283.6,1825.9,92.538,2393.1,1188.80484,232.552,1497.238,0.158824641,0.170153617,0.50007344,1.450809724,61.04914577,177.1153741,64.98029841,69.99984247,188.8115018,1260.950498,39.5695639,244.0304361,228.3810657,1504.980934,307.5201935,1993.041807,1.950286415,5.658157926,0.664799093,592.1273485,4737.018788,1510.492014,316.5565112,1827.048525,14607.2
1,AM-Early,1,OP,AM,1,NB,1NB,3.9,65,6000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.411585366,3.246,0.715,5379,462.2,5841.2,322.74,6765.6,4146.1332,379.004,4789.784,0.176770883,0.170689517,1.949999921,5.849999701,51.02208355,153.066249,35.9300761,69.84759517,732.9156266,4323.344373,64.69200957,397.5079904,797.6076362,4720.852364,926.9916553,5515.868345,7.604999692,22.81499883,2.266319389,7049.771238,7049.771238,732.9156266,64.69200957,797.6076362,5841.2
2,AM-Peak,2,Peak,AM,1,NB,1NB,3.9,65,5600,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.429480382,3.246,0.715,5768.28,502.11,6270.39,346.0968,7274.61,4446.190224,411.7302,5141.7198,0.199999928,0.19999993,1.949999313,5.849997647,29.32654184,87.97962115,24.61684066,69.57509221,889.2377232,4532.945477,82.34601111,419.7639889,971.5837343,4952.709466,1136.275757,5792.237443,7.60499732,22.81499082,2.280541391,8641.37399,17282.74798,1778.475446,164.6920222,1943.167469,12540.78
3,AM-Shoulder,1,OP,AM,1,NB,1NB,3.9,65,8000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.340622372,3.246,0.715,5001.5,782.1,5783.6,300.09,7347.8,3855.1562,641.322,4742.552,0.132933123,0.133725757,1.520129395,4.490798386,58.2407359,172.0560129,50.00194295,69.94227745,512.4779521,4188.932048,85.76127004,696.33873,598.2392221,4885.270778,769.7617622,6277.948238,5.928504641,17.51411371,1.945993056,4540.260552,4540.260552,512.4779521,85.76127004,598.2392221,5783.6
4,MD,5,OP,MD,1,NB,1NB,3.9,65,8000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.340622372,3.249,0.708,6404.2,621.9,7026.1,384.252,8269.9,4936.35736,509.958,5761.402,0.130519718,0.124304139,1.949999801,5.821045548,59.2370894,176.831708,40.03657762,69.87165598,644.2919719,5375.656028,63.38989005,558.5101099,707.6818619,5934.166138,834.461642,7051.186358,7.604999225,22.70207764,2.296744825,6338.922152,31694.61076,3221.459859,316.9494503,3538.40931,35130.5
5,PM-Shoulder,1,OP,PM,1,NB,1NB,3.9,65,9600,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.299334812,3.399,0.592,8984.2,582.1,9566.3,539.052,10730.5,6925.02136,477.322,7844.366,0.118804717,0.12218948,2.692055029,7.600906326,63.94701333,180.5517543,31.68812237,69.48565516,822.7252013,7622.422799,58.32372716,523.7762728,881.0489285,8146.199072,997.6963828,9193.751617,10.49901461,29.64353467,3.017011446,10366.72534,10366.72534,822.7252013,58.32372716,881.0489285,9566.3
6,PM-Peak,3,Peak,PM,1,NB,1NB,3.9,65,8000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.340622372,3.399,0.592,7428.75,498.12,7926.87,445.725,8923.11,5726.0805,408.4584,6500.0334,0.193353689,0.187162164,1.949999961,5.849997476,50.82440425,152.47315,38.51539726,68.7224098,1107.158791,5875.866209,76.44795808,421.6720419,1183.606749,6297.538251,1336.502665,7140.882335,7.604999848,22.81499016,2.20189684,10164.10185,30492.30554,3321.476372,229.3438742,3550.820246,23780.61
7,PM-Late,3,OP,NT,1,NB,1NB,3.9,65,8000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.340622372,3.402,0.708,4584.2,366.1,4950.3,275.052,5682.5,3533.50136,300.202,4059.246,0.146718381,0.14733529,1.136031772,3.363554719,64.10077429,189.7891126,61.35071787,69.97495297,518.4295973,3790.718403,44.23034862,321.8696514,562.6599459,4112.588054,651.1206432,4756.327357,4.430523909,13.1178634,1.311135966,2877.122397,8631.367192,1555.288792,132.6910459,1687.979838,14850.9
8,Night,8,OP,NT,1,SB,1SB,3.9,65,9600,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.299334812,3.402,0.708,1981.7,371.8,2353.5,118.902,3097.1,1527.49436,304.876,1929.87,0.14754864,0.147607751,0.521254524,1.56154361,63.18700011,189.2918943,64.96621662,69.9995345,225.3797154,1637.418285,45.00206059,326.7979394,270.381776,1964.216224,360.3858971,2617.812103,2.032892643,6.090020078,0.694399154,732.2362179,5857.889743,1803.037723,360.0164847,2163.054208,18828
9,AM-Early,1,OP,AM,1,SB,1SB,3.9,65,10400,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.282229965,3.246,0.715,8675.3,745.5,9420.8,520.518,10911.8,6686.92124,611.31,7725.056,0.128051336,0.118291275,1.949999962,5.849998654,60.61977207,181.8592779,38.38800259,69.36078938,856.2691984,7298.512802,72.31263917,673.1873608,928.5818375,7971.700162,1073.207116,9318.074884,7.604999852,22.81499475,2.25370954,8161.73961,8161.73961,856.2691984,72.31263917,928.5818375,9420.8
